LI,Class,FY,Metric Source,Metric,Value $M,Source PB
1045,Columbia,2027,P-5c,Propulsion Equipment,1541.973,
1045,Columbia,2027,P-5c,Electronics,367.634,
1045,Columbia,2027,P-5c,"Hull, Mechanical, and Electrical",101.710,
1045,Columbia,2027,P-5c,Ordnance,512.585,
1045,Columbia,2027,P-5c,Other Cost,40.078,
1045,Columbia,2027,P-5c,Change Orders,207.129,
1045,Columbia,2027,P-5c,Total Ship Estimate,10486.369,
2013,Virginia,2020,P-40,Procurement Quantity (Units in Each),2.000,PB2022
2013,Virginia,2020,P-40,Gross/Weapon System Cost ($ in Millions),7483.677,PB2022
2013,Virginia,2020,P-40,Gross/Weapon System Unit Cost ($ in Millions),3741.839,PB2022
2013,Virginia,2020,P-40,Less PY Advance Procurement ($ in Millions),1756.902,PB2022
2013,Virginia,2020,P-40,Plus CY Advance Procurement ($ in Millions),2087.588,PB2022
2013,Virginia,2020,P-40,Net Procurement (P-1) ($ in Millions),5365.181,PB2022
2013,Virginia,2020,P-40,Total Obligation Authority ($ in Millions),8334.733,PB2022
2013,Virginia,2021,P-40,Procurement Quantity (Units in Each),2.000,PB2023
2013,Virginia,2021,P-40,Gross/Weapon System Cost ($ in Millions),7215.253,PB2023
2013,Virginia,2021,P-40,Gross/Weapon System Unit Cost ($ in Millions),3607.627,PB2023
2013,Virginia,2021,P-40,Less PY Advance Procurement ($ in Millions),1840.679,PB2023
2013,Virginia,2021,P-40,Plus CY Advance Procurement ($ in Millions),1745.767,PB2023
2013,Virginia,2021,P-40,Net Procurement (P-1) ($ in Millions),4603.213,PB2023
2013,Virginia,2021,P-40,Total Obligation Authority ($ in Millions),6776.400,PB2023
2013,Virginia,2022,P-40,Procurement Quantity (Units in Each),2.000,PB2024
2013,Virginia,2022,P-40,Gross/Weapon System Cost ($ in Millions),6900.757,PB2024
2013,Virginia,2022,P-40,Gross/Weapon System Unit Cost ($ in Millions),3450.379,PB2024
2013,Virginia,2022,P-40,Less PY Advance Procurement ($ in Millions),1888.328,PB2024
2013,Virginia,2022,P-40,Plus CY Advance Procurement ($ in Millions),2105.407,PB2024
2013,Virginia,2022,P-40,Net Procurement (P-1) ($ in Millions),4234.240,PB2024
2013,Virginia,2022,P-40,Total Obligation Authority ($ in Millions),6339.647,PB2024
2013,Virginia,2022,P-5c,Basic Construction/Conversion,4758.283,
2013,Virginia,2022,P-5c,Plan Costs,252.399,
2013,Virginia,2022,P-5c,Propulsion Equipment,1046.830,
2013,Virginia,2022,P-5c,Electronics,540.536,
2013,Virginia,2022,P-5c,"Hull, Mechanical, and Electrical",139.293,
2013,Virginia,2022,P-5c,Other Cost,67.806,
2013,Virginia,2022,P-5c,Change Orders,95.212,
