work_package_id,saronic_route,route_kind,fit_pct,win_prob,partner_strategy,notes,source
WP-MSVL-HULL,Marauder,vessel-platform,,,prime or shipyard-partner,seed: 150-class logistics USV,seed
WP-MSVL-AUTON,Echelon,autonomy-c2,,,autonomy/C2 subsystem,seed,seed
