Subawardee UEI,Program,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description
PNHTDAAYRXL3,Virginia,SPACECRAFT COMPONENTS CORP,,"n/a (long-tail, not researched)"
QVDMAW2TVBE7,Virginia,"MET LABORATORIES, INC.",,"n/a (long-tail, not researched)"
ZXGBKBLTY7F1,Virginia,LBC AQUISITIONS LLC,,"n/a (long-tail, not researched)"
DKSJBNE34MJ7,Virginia,"Q-MATION, INC.",,"n/a (long-tail, not researched)"
MJGFRKACFZB3,Virginia,MEMKOR INC,,"n/a (long-tail, not researched)"
KS91NKS9M428,Virginia,"ORBIS SIBRO, INC.",,"n/a (long-tail, not researched)"
VK36BNH241M8,Virginia,"H. O. PENN MACHINERY COMPANY, INC.",,"n/a (long-tail, not researched)"
D7T3U3HPNR49,Virginia,J. STEELE SERVICES LLC,,"n/a (long-tail, not researched)"
VS7NBJG314R6,Virginia,INTERNATIONAL PAINT LLC,,"n/a (long-tail, not researched)"
CQLFMKPGRUQ3,Virginia,"TEVET, LLC",334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
KK62PWHW5ZR8,Virginia,"CRITICAL IO, LLC",,"n/a (long-tail, not researched)"
FHJHVERLNXU7,Virginia,EAGLE LEASING COMPANY THE,,"n/a (long-tail, not researched)"
KVETLASZ5DL3,Virginia,CONREX STEEL LIMITED,332420,Metal Tank (Heavy Gauge) Manufacturing
U6JRN865H4E3,Virginia,TTI INC.,,"n/a (long-tail, not researched)"
EK4US8MM54U3,Virginia,"NOANK ELECTRIC, LLC",,"n/a (long-tail, not researched)"
GRTDYGFYWBS8,Virginia,"FARO TECHNOLOGIES, INC.",,"n/a (long-tail, not researched)"
DVLSV4HZBX23,Virginia,"EAST COAST METROLOGY, LLC",,"n/a (long-tail, not researched)"
TL9AYFLSQ189,Virginia,"JORGENSEN FORGE CORPORATION, THE",,"n/a (long-tail, not researched)"
U4TBEJN3QV83,Virginia,3M PURIFICATION INC.,333998,All Other Miscellaneous General Purpose Machinery Manufacturing
FMNVM66XGFY7,Virginia,"WIND RIVER SYSTEMS, INC.",513210,Software Publishers
XQ2FNSEVHWL1,Virginia,GOODWIN-BRADLEY PATTERN CO INC,,"n/a (long-tail, not researched)"
DKWCJWBNHCL3,Virginia,NCP COATINGS INC,,"n/a (long-tail, not researched)"
GLRVV6FC6DB3,Virginia,GP STRATEGIES CORPORATION,611430,Professional and Management Development Training
RW9ZRN3J3KB3,Virginia,"POWERHOUSE EQUIPMENT & ENGINEERING COMPANY, INC.",,"n/a (long-tail, not researched)"
C2HBVLFX4AH7,Virginia,"ARLAND TOOL & MFG, INC.",,"n/a (long-tail, not researched)"
W6SWKAS2DBE5,Virginia,SHILOH INDUSTRIES INC,,"n/a (long-tail, not researched)"
UGQ9ZMC59WA6,Virginia,"CABLEWORKS, INC.",332618,Other Fabricated Wire Product Manufacturing
HFDXVMRW2NX8,Virginia,"TRUSTED SYSTEMS, INC.",,"n/a (long-tail, not researched)"
M467BSNHK9J8,Virginia,KATO ENGINEERING INC.,335312,Motor and Generator Manufacturing
NK1RB5VKXES9,Virginia,DETROIT SWITCH INC,335313,Switchgear and Switchboard Apparatus Manufacturing
LEC1VZC9HL25,Virginia,"A.C.R. MACHINE, INC.",,"n/a (long-tail, not researched)"
K3K9GLKWAWQ1,Virginia,"OHIO SEMITRONICS, INC",,"n/a (long-tail, not researched)"
WYLZYTJ1SSJ3,Virginia,OPERATING & MAINTENANCE SPECIALTIES INC,,"n/a (long-tail, not researched)"
MC45MKDJLGK6,Virginia,J J U DISTRIBUTORS INC,,"n/a (long-tail, not researched)"
RLNZFHWTLKH6,Virginia,CARR COMPANY LIMITED,,"n/a (long-tail, not researched)"
KKRWXEQ9FVU6,Virginia,"HURLEY CONSTRUCTION, INC.",,"n/a (SAM record, no NAICS)"
S4LDURRAY3J9,Virginia,"Rexnord Industries, LLC",,"n/a (long-tail, not researched)"
MC9KZKMUD8F8,Virginia,"AGGREKO, LLC",532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
JJZ4GXK7SCJ5,Virginia,"CONCURRENT TECHNOLOGIES, INC.",,"n/a (long-tail, not researched)"
DMTPEM6MJPB8,Virginia,PEARSE-BERTRAM LLC,,"n/a (long-tail, not researched)"
SMNWM6HN79X5,Virginia,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",,"n/a (long-tail, not researched)"
HE98WLUBNW88,Virginia,"ORACLE AMERICA, INC.",,"n/a (long-tail, not researched)"
ZBR7R1G1MGB3,Virginia,"TIMKEN CORPORATION, THE",,"n/a (long-tail, not researched)"
X65QG1LNA3J3,Virginia,"UNITED TITANIUM, INC.",,"n/a (long-tail, not researched)"
TT6NACMBJC38,Virginia,"DIVERSIFIED METALS, INC.",,"n/a (long-tail, not researched)"
NK62M46B48L8,Virginia,"JOINING TECHNOLOGIES, INC.",,"n/a (long-tail, not researched)"
RANZTST3FQU3,Virginia,SID TOOL CO INC,332510,Hardware Manufacturing
PQ7FJYK7LNM6,Virginia,B M F TORQUE WRENCH COMPANY,,"n/a (long-tail, not researched)"
CXK2Y51KDBW1,Virginia,PRL INDUSTRIES INC,331513,Steel Foundries (except Investment)
GMKDF9P95AA7,Virginia,"AK SERVICES, INC.",,"n/a (long-tail, not researched)"
XBHNYVTCDQH8,Virginia,UNIFIED2 GLOBAL PACKAGING GROUP LLC,322211,Corrugated and Solid Fiber Box Manufacturing
CGH1CSXQJ5H7,Virginia,CAEN TECHNOLOGIES,,"n/a (long-tail, not researched)"
VTEWM5QSE598,Virginia,RAYTHEON COMPANY,,"n/a (long-tail, not researched)"
G1DSEBQKGDF8,Virginia,"CIRCOR INSTRUMENTATION TECHNOLOGIES, INC.",332911,Industrial Valve Manufacturing
JLUZRMMLKQ47,Virginia,"WODIN, INC.",332111,Iron and Steel Forging
FMKADN1KAXH6,Virginia,"HOSE-MCCANN TELEPHONE CO., INC.",,"n/a (long-tail, not researched)"
V8NJNRJ95KX5,Virginia,B F METALS INC,,"n/a (long-tail, not researched)"
HJ7KCZ68G3N3,Virginia,HAMPTON RUBBER COMPANY,,"n/a (long-tail, not researched)"
E2WALWZNMT18,Virginia,"APEX MACHINE TOOL COMPANY, INC.",,"n/a (long-tail, not researched)"
JHKFCL4CT7L6,Virginia,"FACILITIES ENGINEERING ASSOCIATES, P.C.",541330,Engineering Services
XP5GHU7EKM33,Virginia,"Sie Computing Solutions, Inc.",,"n/a (long-tail, not researched)"
GKN9NW23L2L9,Virginia,"HYSPAN PRECISION PRODUCTS, INC.",332919,Other Metal Valve and Pipe Fitting Manufacturing
LG8PRS9MR697,Virginia,SFC VALVE CORPORATION,332912,Fluid Power Valve and Hose Fitting Manufacturing
LV9KTAW8RSA3,Virginia,Continental Emsco Company (inc),,"n/a (long-tail, not researched)"
LUUBKNAN8TK6,Virginia,PALL AEROPOWER CORPORATION,,"n/a (long-tail, not researched)"
Z31MCJ7P45T1,Virginia,"CORE MANUFACTURING, LLC",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
JABWYKLD7GL8,Virginia,"KNOWLEDGE KEY ASSOCIATES, INC.",,"n/a (long-tail, not researched)"
SKKACASET588,Virginia,DYNALEC CORPORATION,334290,Other Communications Equipment Manufacturing
E6KQEMMCJ9B6,Virginia,"ATRENNE COMPUTING SOLUTIONS, LLC",334111,Electronic Computer Manufacturing
LKUNMC2NEY97,Virginia,"MATTHEW WARREN, INC",,"n/a (long-tail, not researched)"
L2Y7KUMBALU4,Virginia,"KENSINGTON ELECTRONICS, INC",,"n/a (long-tail, not researched)"
V8HLLRJLCQH6,Virginia,"ALBANY VALVE & FITTING CO., INC.",,"n/a (long-tail, not researched)"
JAWVFDNMQ633,Virginia,PHOTONWORKS ENGINEERING LLP,,"n/a (long-tail, not researched)"
UJD2HEK94GH8,Virginia,"KFT FIRE TRAINER, LLC",339999,All Other Miscellaneous Manufacturing
ERZRH1FL8R66,Virginia,"PLAINVILLE PLATING COMPANY, INC.",,"n/a (long-tail, not researched)"
E9B7STE3MUX9,Virginia,"C.I.L. Electroplating, Inc.",,"n/a (long-tail, not researched)"
JKN2Q1EHKF63,Virginia,LEONHARDT COMPANY INC,,"n/a (long-tail, not researched)"
CRG3ND68KH28,Virginia,"MCGILL HOSE & COUPLING, INC.",,"n/a (long-tail, not researched)"
UKXMHUWSFLW7,Virginia,"G.W. LISK CO, INC",336412,Aircraft Engine and Engine Parts Manufacturing
MVVAKQUHTTQ6,Virginia,PROGENY SYSTEMS LLC,,"n/a (long-tail, not researched)"
K5CLWKFJGGB9,Virginia,"BEAR MACHINERY, INC.",332710,Machine Shops
M5MVSHNR2BL1,Virginia,"SHERWIN-WILLIAMS COMPANY, THE",,"n/a (long-tail, not researched)"
WF99GAJKQAL5,Virginia,NTS LABS LLC,541380,Testing Laboratories and Services
MMRKLNN6PLB3,Virginia,"SII, INC.",,"n/a (long-tail, not researched)"
QLNMVC12KWY3,Virginia,"LEIDOS, INC.",,"n/a (long-tail, not researched)"
TJ2MWNHN22G8,Virginia,"FAIRBANKS MORSE, LLC",,"n/a (long-tail, not researched)"
C3B4GMUXK277,Virginia,BOWMAR LLC,,"n/a (long-tail, not researched)"
Z2XMD2USH373,Virginia,APCO TECHNOLOGIES ENGINEERING INC.,,"n/a (long-tail, not researched)"
KMDLJAJQ4UM1,Virginia,"BRANTNER AND ASSOCIATES, INC.",334417,Electronic Connector Manufacturing
LCV2N9FVV739,Columbia,NORTHROP GRUMMAN SYSTEMS CORPORATION,335312,Motor and Generator Manufacturing
GXPHJRVG9MR7,Columbia,DRS NAVAL POWER SYSTEMS INC,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
DK2SLQURMJF3,Columbia,BABCOCK MARINE (ROSYTH) LIMITED,,"n/a (foreign, no SAM record)"
N1PJDANWUJ61,Columbia,SCOT FORGE COMPANY,332111,Iron and Steel Forging
WYDAKCJ5K219,Columbia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
KENVPMBVBT39,Columbia,"RHOADS METAL FABRICATIONS, INC.",,"n/a (SAM record, no NAICS)"
YD1GK53355R5,Columbia,"PRECISION CUSTOM COMPONENTS, LLC",332313,Plate Work Manufacturing
LSMBJZFLN8L9,Columbia,ROSYTH ROYAL DOCKYARD LIMITED,336611,Ship Building and Repairing
F2LEAK3EK9R3,Columbia,GRAHAM CORP,336611,Ship Building and Repairing
XQW8RJNNAXX8,Columbia,"W INTERNATIONAL, LLC",336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
MSYWUDGYPKF5,Columbia,"CP INDUSTRIES HOLDINGS, INC",332420,Metal Tank (Heavy Gauge) Manufacturing
FK17Z7DJWLL1,Columbia,APCO TECHNOLOGIES SA,,"n/a (SAM record, no NAICS)"
Q35JL9GFCAK3,Columbia,MAROTTA CONTROLS INC,332912,Fluid Power Valve and Hose Fitting Manufacturing
SLD5KEGGLLZ3,Columbia,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
DJG7NEG7QRK5,Columbia,"HUNT VALVE COMPANY, INC.",332911,Industrial Valve Manufacturing
NN7PCHZFNZP8,Columbia,GOODWIN STEEL CASTINGS LIMITED,331513,Steel Foundries (except Investment)
Y6X3BDLEPNJ6,Columbia,"W INTERNATIONAL SC, LLC",336611,Ship Building and Repairing
VL18ZH6YLPY5,Columbia,"DRS NAVAL POWER SYSTEMS, INC.",333611,Turbine and Turbine Generator Set Units Manufacturing
TZVRTYNM3MN3,Columbia,PEGASUS STEEL LLC,332313,Plate Work Manufacturing
SX6BF52K2WB1,Columbia,VACCO INDUSTRIES,332912,Fluid Power Valve and Hose Fitting Manufacturing
JG6AMW7E23Z6,Columbia,C. H. POWELL COMPANY,488510,Freight Transportation Arrangement
F8M5LJA6LJL4,Columbia,"SARGENT AEROSPACE & DEFENSE, LLC",332911,Industrial Valve Manufacturing
LJRBXLTGXN57,Columbia,"CEPEDA ASSOCIATES, INC.",333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
GJNEBDUDNTA1,Columbia,EURO MACHINERY SPECIALISTS,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
F42BKS7EHCL8,Columbia,EMS DEVELOPMENT CORPORATION,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
MMCKJNNMSG23,Columbia,"ADVANCE MFG.CO., INC.",332710,Machine Shops
G9HKMXL5L973,Columbia,"OIL STATES INDUSTRIES, INC",326291,Rubber Product Manufacturing for Mechanical Use
WJ45NXW2TVD7,Columbia,MOOG INC.,333995,Fluid Power Cylinder and Actuator Manufacturing
RG6LJJM6JBS3,Columbia,"AUSTAL USA, LLC",336611,Ship Building and Repairing
JEP5GQGFPUL9,Columbia,PORTLAND VALVE LLC,332911,Industrial Valve Manufacturing
LL3PZJHUKZV3,Columbia,AMERICAN STEEL AND ALUMINUM LLC,332312,Fabricated Structural Metal Manufacturing
C9C6HPQLL4A8,Columbia,CATERPILLAR INC,333120,Construction Machinery Manufacturing
KYURG7LRSC89,Columbia,CIRCOR NAVAL SOLUTIONS LLC,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
FLDEFFBLR5P3,Columbia,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",325212,Synthetic Rubber Manufacturing
CFXRGJSB9UB6,Columbia,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",335313,Switchgear and Switchboard Apparatus Manufacturing
WVW5FMYALEL6,Columbia,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",335313,Switchgear and Switchboard Apparatus Manufacturing
N79NY6FRL2F3,Columbia,CUSTOM ALLOY CORPORATION,332996,Fabricated Pipe and Pipe Fitting Manufacturing
NYGUEDY27AM8,Columbia,CURTISS-WRIGHT FLOW CONTROL CORPORATION,332911,Industrial Valve Manufacturing
E8LNMDLEKM35,Columbia,DC FABRICATORS INC,332312,Fabricated Structural Metal Manufacturing
WJYVCPD5HKK7,Columbia,"BWXT NUCLEAR OPERATIONS GROUP, INC.",332410,Power Boiler and Heat Exchanger Manufacturing
DA1PDLWQ7BH4,Columbia,BEAST CODE LLC,513210,Software Publishers
Z89SS59265U9,Columbia,ESPEY MFG AND ELECTRONICS CORP,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
H11HD5VHGHN3,Columbia,LOCKHEED MARTIN CORPORATION,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
LPWJLN5JQPW4,Columbia,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,,"n/a (SAM record, no NAICS)"
NEGFNA8YS723,Columbia,"ALLARD NAZARIAN GROUP, INC.",339999,All Other Miscellaneous Manufacturing
GZ57A195G7K6,Columbia,WAUKESHA BEARINGS CORPORATION,541330,Engineering Services
CW48SQ7KJX68,Columbia,"CRAFT MACHINE WORKS, INC.",336611,Ship Building and Repairing
WXRTZLL25AE5,Columbia,"SEEMANN COMPOSITES, LLC",325991,Custom Compounding of Purchased Resins
K3XPS1HXNBF3,Columbia,"B & F MACHINE CO., INC.",332710,Machine Shops
QCFDU4MA1444,Columbia,A/Z CORPORATION,236210,Industrial Building Construction
HW4GNCTLLAM4,Columbia,GENERAL ATOMICS,332312,Fabricated Structural Metal Manufacturing
X6N2CNV552X7,Columbia,OCEANEERING INTERNATIONAL INC,336611,Ship Building and Repairing
MU3CM1145E44,Columbia,PROGENY SYSTEMS CORPORATION,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
DK14KTLXA9M5,Columbia,"KME AMERICA MARINE TUBE & FITTING, LLC",332919,Other Metal Valve and Pipe Fitting Manufacturing
TY25RCEB5FF3,Columbia,"COLLINS & JEWELL COMPANY, INC.",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
ZFNUGJEGR2Q9,Columbia,INGERSOLL MACHINE TOOLS INC,333517,Machine Tool Manufacturing
PTMFLMD2CUB4,Columbia,"L3 TECHNOLOGIES, INC.",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
JKZNKGGWYZ87,Columbia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,335312,Motor and Generator Manufacturing
LG88NCWJ3A95,Columbia,"YOUNG ENGINEERING & MANUFACTURING, INC.",332420,Metal Tank (Heavy Gauge) Manufacturing
D7HNEN3DAN36,Columbia,LEHIGH HEAVY FORGE CORP,332111,Iron and Steel Forging
F76KN7T9YP64,Columbia,WAUKESHA BEARINGS CORPORATION,333613,Mechanical Power Transmission Equipment Manufacturing
UMQ8KHJJUBN6,Columbia,"KOIKE ARONSON, INC.",333992,Welding and Soldering Equipment Manufacturing
WREEAHYMRQ45,Columbia,"PCB PIEZOTRONICS, INC.",334419,Other Electronic Component Manufacturing
Y7N4SPXNK115,Columbia,ARCELORMITTAL USA LLC,331110,Iron and Steel Mills and Ferroalloy Manufacturing
PAH8M4BJACA5,Columbia,TELEDYNE INSTRUMENTS INC,334417,Electronic Connector Manufacturing
MKDGDE6K34N5,Columbia,"D. W. CLARK, INC",331513,Steel Foundries (except Investment)
NSWQJBEZZD83,Columbia,SOPHEON CORPORATION,513210,Software Publishers
N5KMLMXEPFM5,Columbia,PARKER HANNIFIN CORPORATION,333310,Commercial and Service Industry Machinery Manufacturing
PUG1H9MFJD63,Columbia,THE AMERICAN TANK & FABRICATING COMPANY,332313,Plate Work Manufacturing
HUK5MJK4MH39,Columbia,"LESLIE CONTROLS, INC.",332911,Industrial Valve Manufacturing
Z19UP1U6FMT1,Columbia,INDUSTRIAL TRANSFER AND STORAGE INC.,238290,Other Building Equipment Contractors
GTP8S87MBPF3,Columbia,"GREENLAND ENTERPRISES, INC.",236220,Commercial and Institutional Building Construction
JAXJSTJJSP74,Columbia,"RTX BBN TECHNOLOGIES, INC.",541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
G319AMB56SW5,Columbia,901 D LLC,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
MK9SR2K87JN5,Columbia,"LANDSTAR INWAY, INC.",484121,"General Freight Trucking, Long-Distance, Truckload"
GUD4TJE3FN31,Columbia,CIRCOR PUMPS NORTH AMERICA LLC,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
FMC8BKMNMKF2,Columbia,"FLUID CONDITIONING PRODUCTS, INC.",339999,All Other Miscellaneous Manufacturing
HSV2N9ACRTJ6,Columbia,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,332911,Industrial Valve Manufacturing
MF1LU8RPCMB8,Columbia,"RANOR, INC.",332313,Plate Work Manufacturing
WESDY4U81NP8,Columbia,"TRIDENT MARITIME SYSTEMS - CAC, LLC",332996,Fabricated Pipe and Pipe Fitting Manufacturing
GLRVV6FC6DB3,Columbia,GP STRATEGIES CORPORATION,611430,Professional and Management Development Training
DXM3GSLGH2Z5,Columbia,"FAIRLEAD INTEGRATED, LLC",336611,Ship Building and Repairing
CXK2Y51KDBW1,Columbia,PRL INDUSTRIES INC,331513,Steel Foundries (except Investment)
KMDLJAJQ4UM1,Columbia,"BRANTNER AND ASSOCIATES, INC.",334417,Electronic Connector Manufacturing
Y5R2L8HWAUA8,Columbia,"NAVUS AUTOMATION, INC",333998,All Other Miscellaneous General Purpose Machinery Manufacturing
RLYHS582JDW8,Columbia,"CAMERON TECHNOLOGIES US, INC.",334519,Other Measuring and Controlling Device Manufacturing
N5BYYW3MMFP7,Columbia,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",326291,Rubber Product Manufacturing for Mechanical Use
HTR5K76FMH84,Columbia,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",331529,Other Nonferrous Metal Foundries (except Die-Casting)
V1MQFNQB56Z5,Columbia,RIX INDUSTRIES,333912,Air and Gas Compressor Manufacturing
GE4GA2B9JYF9,Columbia,"MERRILL TECHNOLOGIES GROUP, INC.",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
UHXFGP3DCRK7,Columbia,HANSOME ENERGY SYSTEMS INC,,"n/a (SAM record, no NAICS)"
M98JCJ2U7RD8,Columbia,CARLTON NATIONAL RESOURCES INC,541330,Engineering Services
CVKGYGVN9229,Columbia,ARTCRAFT FABRICATORS INC,332710,Machine Shops
JK4WJKLD44G9,Columbia,"METALTEK INTERNATIONAL, INC.",331529,Other Nonferrous Metal Foundries (except Die-Casting)
T2VFE1NGR3G5,Columbia,"DRS TRAINING & CONTROL SYSTEMS, LLC",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
HLQLWMV97J37,Columbia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,336611,Ship Building and Repairing
LB1XJ5UY5961,Columbia,"CIRCOR PUMPS NORTH AMERICA, LLC",,n/a (no SAM record)
PJRYS7EFXQD9,Columbia,B N L INDUSTRIES INC,332911,Industrial Valve Manufacturing
CN4DJZSKM3Y3,Columbia,"PENNSYLVANIA MACHINE WORKS, LLC",332996,Fabricated Pipe and Pipe Fitting Manufacturing
CBMZJ3Z5SC89,Columbia,GOODRICH CORP,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
JKPCAKFW8X93,Columbia,AMERICAST TECHNOLOGIES INC,,"n/a (SAM record, no NAICS)"
GLU5BML5XQK2,Columbia,Romey Paul Ventures LLC,,n/a (no SAM record)
JL9NMM3YALQ5,Columbia,"TAD PGS, INC.",561320,Temporary Help Services
MTNSMCNJCNE1,Columbia,"LJM PACKAGING CO., INC.",561910,Packaging and Labeling Services
MKXMUFJJYLY5,Columbia,WARD LEONARD CT LLC,335312,Motor and Generator Manufacturing
H8CSTCGGDD87,Columbia,STRYTEN ENERGY LLC,335910,Battery Manufacturing
MSFLXVQVJMG4,Columbia,"PEERLESS INSTRUMENT CO., INC.",334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
YA5MLUTX7W19,Columbia,ITT CORPORATION,,n/a (no SAM record)
R9EYKGK8NKA5,Columbia,"NUFLO, INC.",332710,Machine Shops
RG8HFHKSV215,Columbia,PDS ENGINEERING & CONSTRUCTION INC,236210,Industrial Building Construction
LPY6KXBKHMK8,Columbia,"RHOADS INDUSTRIES, INC.",336611,Ship Building and Repairing
K294P4QJHFU9,Columbia,MW JONES & COMPANY INC,541611,Administrative Management and General Management Consulting Services
PGWNKJF89FV5,Columbia,ELMA ELECTRONIC INC.,334111,Electronic Computer Manufacturing
N6JZARL64EW5,Columbia,"MCKINSEY & COMPANY, INC. WASHINGTON D.C.",541611,Administrative Management and General Management Consulting Services
K151N8EJE998,Columbia,"CLIMAX PORTABLE MACHINE TOOLS, INC.",333517,Machine Tool Manufacturing
QNEXJLA47BM4,Columbia,"JAMESTOWN METAL MARINE SALES, INC.",336611,Ship Building and Repairing
JC42EBJ5NFJ1,Columbia,HAMILTON SUNDSTRAND CORPORATION,336412,Aircraft Engine and Engine Parts Manufacturing
EYMMLMHBMSL5,Columbia,"SGL AUTOMATION, LLC",,"n/a (SAM record, no NAICS)"
C6C8KS7Y1K76,Columbia,MIDE TECHNOLOGY CORP,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
SKKACASET588,Columbia,DYNALEC CORPORATION,334290,Other Communications Equipment Manufacturing
QF82VVEDYFC3,Columbia,"PUROLATOR FACET, INC.",336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
E9DKKLZNCQS9,Columbia,TRIDENT MARITIME SYSTEMS UK LIMITED,334419,Other Electronic Component Manufacturing
NVPEBL51CSF8,Columbia,GUILL TOOL & ENGINEERING CO INC,332710,Machine Shops
EVZMB1757DW5,Columbia,"STEELFAB, INC",332312,Fabricated Structural Metal Manufacturing
U864F3HRME53,Columbia,GE ENERGY POWER CONVERSION USA INC.,541330,Engineering Services
FFL2MLNT4FN1,Columbia,GARDNER DENVER NASH LLC,333912,Air and Gas Compressor Manufacturing
KWHXKLAL87T5,Columbia,"IN-PLACE MACHINING COMPANY, LLC",336611,Ship Building and Repairing
MRGNDX62YHQ3,Columbia,Conrex Steel Ltd,,"n/a (foreign, no SAM record)"
VXHFDAKS2LZ6,Columbia,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,333611,Turbine and Turbine Generator Set Units Manufacturing
ETWEE7EYY9G5,Columbia,COGITIC CORPORATION,332710,Machine Shops
PM3QRNLPA8K5,Columbia,"RILEY POWER GROUP, LLC",336611,Ship Building and Repairing
FWF8QBPCGLG3,Columbia,GENERAL TOOL COMPANY,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
K4GJKMQD4961,Columbia,"BARBER-NICHOLS, LLC",333611,Turbine and Turbine Generator Set Units Manufacturing
HQYTCMF5RGE4,Columbia,SHERBURN ELECTRONICS INC.,423690,Other Electronic Parts and Equipment Merchant Wholesalers
WNDYZX3ALFB1,Columbia,"COMARK, LLC",334111,Electronic Computer Manufacturing
CE3HF8PLAFD3,Columbia,"MILWAUKEE VALVE COMPANY, LLC",332911,Industrial Valve Manufacturing
FACXKY7FULJ4,Columbia,"PRECISION FABRICATING & CLEANING COMPANY, INC.",336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
NTREK31GP8N3,Columbia,KSARIA CORPORATION,334417,Electronic Connector Manufacturing
LD7YXEQNEKZ3,Columbia,"LINCOLN ELECTRIC AUTOMATION, INC.",333992,Welding and Soldering Equipment Manufacturing
F2KSX22KK1E4,Columbia,BLOOMY CONTROLS INC,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
NMHFLDYJJ4C5,Columbia,LOCKHEED MARTIN CORPORATION,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
XJWLF38U74P3,Columbia,FLUID HANDLING LLC,332410,Power Boiler and Heat Exchanger Manufacturing
ZFQBUPK552C3,Columbia,"H. R. HILLERY COMPANY, THE",332312,Fabricated Structural Metal Manufacturing
E86EYMJR23D1,Columbia,"MELLINGER ENGINEERING, INCORPORATED",332911,Industrial Valve Manufacturing
LFNVWPJYQKH4,Columbia,COASTAL DESIGN LLC,541330,Engineering Services
XBHNYVTCDQH8,Columbia,"UNIFIED2 GLOBAL PACKAGING GROUP, LLC",322211,Corrugated and Solid Fiber Box Manufacturing
RYRLL49HWN65,Columbia,BAKER SHEET METAL CORPORATION,332322,Sheet Metal Work Manufacturing
U73RYB2RKTW4,Columbia,RWH CONSULTING GROUP INC,561320,Temporary Help Services
LR2HQKYJLDZ7,Columbia,JA MOODY LLC,423830,Industrial Machinery and Equipment Merchant Wholesalers
E2P8AAJA2LK5,Columbia,"MICRO PRECISION, LLC",332721,Precision Turned Product Manufacturing
PWK4GDMMEAQ8,Columbia,AMETEK SCP INC,334417,Electronic Connector Manufacturing
QSMPQ9WU65L5,Columbia,"FAIRLEAD INTEGRATED, LLC",336611,Ship Building and Repairing
KSZBH4K529U5,Columbia,"CMI, INC.",423510,Metal Service Centers and Other Metal Merchant Wholesalers
UAWKMCFNMNT1,Columbia,"CRAIG TECHNOLOGIES AEROSPACE SOLUTIONS, LLC",336414,Guided Missile and Space Vehicle Manufacturing
J8PKNJEX2MS2,Columbia,"LOCKWOOD BROTHERS, INC.",483113,Coastal and Great Lakes Freight Transportation
W3KUJLTCRLV1,Columbia,AMMCON CORP.,332919,Other Metal Valve and Pipe Fitting Manufacturing
KVETLASZ5DL3,Columbia,CONREX STEEL LIMITED,332420,Metal Tank (Heavy Gauge) Manufacturing
