Subawardee UEI,Program,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description
VV9KH3L99VE3,Virginia,INTERNATIONAL BUSINESS MACHINES CORPORATION,541519,Other Computer Related Services
C1PGRWC26153,Virginia,EXLAR CORPORATION,335312,Motor and Generator Manufacturing
DQLZFV6PFCB9,Virginia,"TATE ANDALE, LLC",332911,Industrial Valve Manufacturing
GMBZL1B9YMW9,Virginia,A W GIFFORD INC,561622,Locksmiths
VM23NJLXLCK9,Virginia,"G. O. CARLSON, INC.",331110,Iron and Steel Mills and Ferroalloy Manufacturing
X25CWCMUL417,Virginia,"CARLLO, INC.",238220,"Plumbing, Heating, and Air-Conditioning Contractors"
VJFKVNQBYVL5,Virginia,GREENE RUBBER CO INC,326291,Rubber Product Manufacturing for Mechanical Use
J3HWENQMNG69,Virginia,"ARCADIA MANUFACTURING GROUP, INC.",332312,Fabricated Structural Metal Manufacturing
GL8XT6HAWLK1,Virginia,BHI ENERGY I POWER SERVICES LLC,325510,Paint and Coating Manufacturing
PCELDZMEAL25,Virginia,"MICROPORE, INC.",326199,All Other Plastics Product Manufacturing
DKLBZLX4D674,Virginia,"L&C PROTEC, INC.",236210,Industrial Building Construction
LWF3CB1HFZF3,Virginia,I S C O CORPORATION,423840,Industrial Supplies Merchant Wholesalers
FNBNKXCC3QD8,Virginia,SUPERBOLT INC.,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
G58FFJ6F2CA7,Virginia,GK MECHANICAL SYSTEMS LLC,336611,Ship Building and Repairing
E844ZKYNKDX4,Virginia,"MECS, INC.",541330,Engineering Services
U8SAS3VH6J38,Virginia,AK INDUSTRIAL SERVICES LLC,238990,All Other Specialty Trade Contractors
CAAPQGM9QL17,Virginia,SOUTH BAY CABLE CORP.,,n/a (no SAM record)
HFK9V1G2B513,Virginia,"MOTOROLA SOLUTIONS, INC.",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
HTR5K76FMH84,Virginia,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",331529,Other Nonferrous Metal Foundries (except Die-Casting)
LPWJLN5JQPW4,Virginia,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,,"n/a (SAM record, no NAICS)"
GJEUJECUQNN6,Virginia,L-3 CHESAPEAKE SCIENCES CORPORATION,,n/a (no SAM record)
WDZDHBA8ZJX8,Virginia,Airgas USA LLC,,n/a (no SAM record)
CBY1P9UHMVK1,Virginia,"D.S. SEWING, INC.",314910,Textile Bag and Canvas Mills
DTCND1MN7J15,Virginia,ASPEQ HEATING GROUP LLC,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
XYNDM1Y7XGG7,Virginia,AMERICAN METAL BEARING COMPANY,332991,Ball and Roller Bearing Manufacturing
V7GQF5M7C667,Virginia,"SOUTHERN GEAR & MACHINE, INC.",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
C59LDR2KN4U6,Virginia,"FIN-TECH, INC.",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
L66VDJVM3VP6,Virginia,KEYENCE CORP OF AMERICA,423830,Industrial Machinery and Equipment Merchant Wholesalers
YXMXTJMDPJR7,Virginia,"FAXON ENGINEERING COMPANY, INCORPORATED THE",423830,Industrial Machinery and Equipment Merchant Wholesalers
MXDKLLXB3EK7,Virginia,"B&G MANUFACTURING CO., INC.",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
NYWQLNAXE9G4,Virginia,"ISLAND HOSE & SEALS, INC.",332912,Fluid Power Valve and Hose Fitting Manufacturing
HBLRJ28LNM16,Virginia,GE AVIATION SYSTEMS LLC,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
FCK2D4PSV1L2,Virginia,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
JX92LMWRTRJ9,Virginia,"DONALDSON COMPANY, INC.",333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
TCSFXP5TD5P6,Virginia,"BLOWERS, LLC",333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
TMDVSPNEFR69,Virginia,IVES EQUIPMENT CORPORATION,423840,Industrial Supplies Merchant Wholesalers
T5PEM8N1QE25,Virginia,"AMRON INTERNATIONAL, INC.",423490,Other Professional Equipment and Supplies Merchant Wholesalers
Q7CGW8NCRGJ6,Virginia,"TRANSDIGM, INC.",336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
KU8MSC4HELN8,Virginia,"TRANSDIGM, INC.",336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
TFBXC11G77F3,Virginia,BLACK BOX CORPORATION OF PENNSYLVANIA,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
XFM4VGW1NBE4,Virginia,"L.C.DOANE COMPANY,THE",335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
CSB6FUPJ5TC1,Virginia,"TDS AUTOMATION, INC.",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
C1VMWS2KV645,Virginia,"OMNI SERVICES, INC.",,"n/a (SAM record, no NAICS)"
GYDNLMKBK274,Virginia,"MARCO GROUP INTERNATIONAL, INC.",423840,Industrial Supplies Merchant Wholesalers
QJCBMJ8NX5P5,Virginia,"FOAMPAK, INC.",423830,Industrial Machinery and Equipment Merchant Wholesalers
CBB5ZBL4F2G3,Virginia,ENVIRONMENTAL CONTAINMENT SYSTEMS LLC,,"n/a (SAM record, no NAICS)"
UXVTFYJT5PN7,Virginia,"MARWAY POWER SYSTEMS, INC.",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
CWU4C613AB25,Virginia,THE AIRFLO INSTRUMENT COMPANY,334519,Other Measuring and Controlling Device Manufacturing
F6JXYKQB4QL6,Virginia,H.C. STARCK,,"n/a (SAM record, no NAICS)"
TRJPK4ELKDR3,Virginia,M & P INTERNATIONAL INC,334519,Other Measuring and Controlling Device Manufacturing
Y7HTALFZANK8,Virginia,"GENERAL MACHINE AND TOOL COMPANY, INC.",,"n/a (SAM record, no NAICS)"
VXJMLWN9XU18,Virginia,"BRADKEN - ATLAS, LLC",,n/a (no SAM record)
EN76W7CYJYN7,Virginia,MARMON/KEYSTONE LLC,,"n/a (SAM record, no NAICS)"
VJMTKNLENX24,Virginia,ENGINEERED COIL COMPANY,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
YUHMEUENEET4,Virginia,Lawrence Leasing Corp.,,n/a (no SAM record)
J3AFGKXWYK73,Virginia,YORK INTERNATIONAL CORPORATION,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
YKMMCNDT9KF8,Virginia,"YANKEE REMODELER OF NEW LONDON, INC.",238350,Finish Carpentry Contractors
K574V7KEQUC8,Virginia,"CIRCOR AEROSPACE, INC.",336412,Aircraft Engine and Engine Parts Manufacturing
FKEYGBAYJLH3,Virginia,"MERCURY SYSTEMS, INC.",334111,Electronic Computer Manufacturing
VBFXNRMUYSK6,Virginia,NTS TECHNICAL SYSTEMS,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
D3NDZT2XLW83,Virginia,"MARINE AIR SUPPLY CO., INC.",423690,Other Electronic Parts and Equipment Merchant Wholesalers
DB33FU6GGYE7,Virginia,BLACK KNIGHT ENTERPRISES LLC,334519,Other Measuring and Controlling Device Manufacturing
PRNKGJL4NQH1,Virginia,OMEGA ENGINEERING INC,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
HLAKD5J1DDG3,Virginia,"KLH INDUSTRIES, INC.",332710,Machine Shops
R7UCMAWL4H87,Virginia,The Credit Scholars,,n/a (no SAM record)
KPFHQNYN8R54,Virginia,"PACKAGE ONE INDUSTRIES, LLC",332710,Machine Shops
HLE1E2KALJA5,Virginia,POWER PARAGON INC,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
SLBCZQAMG3Q1,Virginia,"Solflower Computer, Inc",,n/a (no SAM record)
V87VJJNMMFH9,Virginia,"DEXTER MAGNETIC TECHNOLOGIES, INC.",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
F1N2KDGBDTU8,Virginia,"DLT SOLUTIONS, LLC",423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
JCY9NCTJF9J3,Virginia,AIRSAN CORPORATION,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
LK9BTBWNLY96,Virginia,"BEK, INC.",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
XK68QNYRQCH8,Virginia,"AMERICAN BOA, INCORPORATED",332919,Other Metal Valve and Pipe Fitting Manufacturing
GY5BEBKX7ME7,Virginia,"RBC SOUTHWEST PRODUCTS, INC.",,"n/a (long-tail, not researched)"
P3NZJN8NQSB3,Virginia,FORTUNE METAL FINISHING CORPORATION,,"n/a (long-tail, not researched)"
MFGMH9R7GMG3,Virginia,"FORCE 3, LLC",334111,Electronic Computer Manufacturing
G8HNS2EJYJU6,Virginia,"BUFFALO MACHINES, INC.",333517,MACHINE TOOL MANUFACTURING
DAR5NMQQMY53,Virginia,RED-D-ARC INC.,,"n/a (long-tail, not researched)"
PRKVJMMJYJM3,Virginia,WILLIFORD PLASTICS INC,,"n/a (long-tail, not researched)"
VRTZQSMQ8615,Virginia,"HARDING COMPANY, INC",332618,Other Fabricated Wire Product Manufacturing
RG8HFHKSV215,Virginia,"PDS ENGINEERING & CONSTRUCTION, INC.",236210,Industrial Building Construction
MHR1KKAZ1NH5,Virginia,"EDRO CORPORATION, THE",333310,Commercial and Service Industry Machinery Manufacturing
NKNJZAVJ9EK3,Virginia,COGSDILL TOOL PRODUCTS INC,,"n/a (long-tail, not researched)"
C7QHHMJEALN1,Virginia,"MONROE CABLE COMPANY, INC., THE",331420,"Copper Rolling, Drawing, Extruding, and Alloying"
C12PGLEW9KW4,Virginia,"UNAFLEX, INC.",,"n/a (long-tail, not researched)"
W8RMNY6A3NT1,Virginia,"FLUID DYNAMICS, LLC",326220,Rubber and Plastics Hoses and Belting Manufacturing
EV14UZ7SCKG5,Virginia,New Haven Windustrial Co.,,"n/a (long-tail, not researched)"
HVK6DCBLUCP7,Virginia,GE AVIATION SYSTEMS LLC,,"n/a (long-tail, not researched)"
HKUGWLAQ4821,Virginia,"LCR EMBEDDED SYSTEMS, INC.",,"n/a (long-tail, not researched)"
C3L9A8H3TWG5,Virginia,"AERO NAV LABORATORIES, INC.",,"n/a (SAM record, no NAICS)"
MGFUP827VKV2,Virginia,"ROSS MACHINERY SALES, INC",,"n/a (long-tail, not researched)"
EHRJCSUERKU3,Virginia,EATON AEROSPACE LLC,334419,Other Electronic Component Manufacturing
HJEXMNM5EJE5,Virginia,F. W. WEBB COMPANY,,"n/a (long-tail, not researched)"
FHKCX7RMYW83,Virginia,MARINE EQUIPMENT SUPPLY LLC,,"n/a (long-tail, not researched)"
LGM4LM5ZR9K9,Virginia,"LUNA TECHNOLOGIES, INC.",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
T9U5YKZRMHH5,Virginia,"MANUFACTURER'S RUBBER & SUPPLY CO, INC.",,"n/a (long-tail, not researched)"
PD3NKE727DN9,Virginia,"TRI-LANE EQUIPMENT RENTALS, INC.",,"n/a (long-tail, not researched)"
CFLHPEP9NMU4,Virginia,HUBBS MACHINE & MANUFACTURING,,n/a (no SAM record)
WLHBRDWEW7T4,Virginia,"ABACO SYSTEMS, INC.",334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
WY3RNC5GMY36,Virginia,"TITANIUM INDUSTRIES, INC.",,"n/a (long-tail, not researched)"
CTVBA1WN13S3,Virginia,"SYNERGY FLOW SYSTEMS, LLC",,"n/a (long-tail, not researched)"
SBJMSMKJ9M93,Virginia,"Fitchburg Welding Co., Inc.",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
