Recipient,Total_$M_across_window
"MID-CONTINENT ENGINEERING, INC.",11.64
MARMON AEROSPACE & DEFENSE LLC,11.5
"MICRO-MODE PRODUCTS, INC.",11.49
"CARMIN INDUSTRIES, INC.",11.34
CIRCOR NAVAL SOLUTIONS LLC,11.3
"MARCH ELECTRONICS, INC.",11.22
"JAMESTOWN METAL MARINE SALES, INC.",11.18
EVAC NORTH AMERICA INC,10.85
CARTRIDGE ACTUATED DEVICES INC,10.84
BORG DESIGN INC,10.79
INDEECO LLC,10.75
"RAYCO ELECTRONIC MANUFACTURING, INC.",10.67
RHINESTAHL CORPORATION,10.51
"ATESSA, INC",10.48
GULF COPPER & MANUFACTURING CORPORATION,10.47
"CRISTEK INTERCONNECTS, LLC",10.44
FACET (OKLAHOMA) LLC,10.33
"IMIA, LLC",10.26
"NAVAL COATING, INC.",10.14
SYSTEMS ENGINEERING & MANAGEMENT COMPANY,10.07
CRISTEK INTERCONNECTS INC,9.94
"N T M, INC.",9.91
KINGSBURY INC.,9.91
MEGGITT SAFETY SYSTEMS INC,9.88
SERCO INC,9.88
"HANWHA AEROSPACE CO., LTD.",9.73
MTK ELECTRONICS INC,9.68
DRS TECHNOLOGIES CANADA LTD,9.67
INDUSTRIAL CORROSION CONTROL INC,9.52
"GLENAIR, INC.",9.36
CURTISS-WRIGHT FLOW CONTROL CORPORATION,9.17
"SPECTRUM CONTROL, INC.",9.11
"FIBER SYSTEMS INTERNATIONAL, INC.",9.02
FEDTECH INC,8.95
"MARWAY POWER SYSTEMS, INC",8.83
"STEELFAB, INC.",8.7
"SIEMENS INDUSTRY, INC.",8.65
"GERMANE SYSTEMS, LC",8.53
ITRON CORPORATION (DEL),8.51
"HUTCHINSON MANUFACTURING, INC.",8.46
APPLETON MARINE INC,8.45
"SOUTH BAY SAND BLASTING AND TANK CLEANING, INC.",8.4
BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,8.27
"CALIFORNIA MARINE CLEANING, INC.",8.24
CEC COMPUTING INC,8.2
"THE MONROE CABLE COMPANY, INC.",8.13
PACIFIC SCIENTIFIC ENERGETIC MATERIALS CO CALIFORNIA LLC,8.02
GOODRICH CORPORATION,8.0
PNY TECHNOLOGIES INC,7.96
GENERAL TOOL COMPANY,7.92
COMARK LLC,7.86
HYBRID SOURCES INC,7.78
MACKAY CONSOLIDATED INDUSTRIES PTY. LIMITED,7.62
TYCO FIRE PRODUCTS LP,7.59
"ONTIC ENGINEERING & MANUFACTURING, INC",7.58
"BRAZONICS, INC.",7.56
B N L INDUSTRIES INC,7.53
"FISICA APPLIED TECHNOLOGIES, INC.",7.51
GLOBAL INNOVATION CORP.,7.46
LISTER CHAIN & FORGE INC,7.41
THE HELLAN STRAINER CO,7.26
QUALITY PACIFIC MANUFACTURING INC.,7.16
"ASCO POWER TECHNOLOGIES, L..P.",7.15
"FAIRMOUNT AUTOMATION, INC",6.92
KOLLMORGEN CORP,6.92
RAYTHEON COMPANY,6.89
"SETRA SYSTEMS, INC.",6.86
