supplier,n_blocks_served,blocks_served,reported_$m,n_subawards,top_swbs_system
ANDERSON METAL INDUSTRIES INC,2,FY18-22 MYP; FY23-27 MYP,0.2,3,(unmapped)
"FLETCHER CONSTRUCTION COMPANY, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.2,6,(unmapped)
"Moniteq, Inc.",2,FY11 single-ship; FY13-17 MYP,0.2,4,(unmapped)
"COSPOLICH, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,0.2,5,(unmapped)
SOUNDOWN CORPORATION,2,FY11 single-ship; FY13-17 MYP,0.2,2,(unmapped)
"ROMAC INDUSTRIES, INC.",2,FY11 single-ship; FY13-17 MYP,0.1,4,(unmapped)
ASI MARINE & INDUSTRIAL INC,2,FY13-17 MYP; FY18-22 MYP,0.1,2,(unmapped)
WARTSILA DEFENSE INC,2,FY13-17 MYP; FY18-22 MYP,0.1,4,(unmapped)
"J.G.B. ENTERPRISES, INC.",2,FY13-17 MYP; FY18-22 MYP,0.1,3,(unmapped)
CHAND LLC,2,FY13-17 MYP; FY18-22 MYP,0.1,3,(unmapped)
Higgins Marine Services Inc,2,FY11 single-ship; FY13-17 MYP,0.1,4,(unmapped)
"HARDING COMPANY, INC",2,FY11 single-ship; FY13-17 MYP,0.1,3,(unmapped)
THE DEWEY ELECTRONICS CORPORATION,2,FY13-17 MYP; FY18-22 MYP,0.1,4,(unmapped)
"KIDDE-FENWAL, INC.",2,FY11 single-ship; FY13-17 MYP,0.1,3,(unmapped)
"WBPARTS, INC.",2,FY13-17 MYP; FY18-22 MYP,0.1,3,(unmapped)
HORIZONS INCORPORATED,2,FY13-17 MYP; FY18-22 MYP,0.1,3,(unmapped)
"VALLEN DISTRIBUTION, INC.",2,FY11 single-ship; FY13-17 MYP,0.1,2,(unmapped)
"WALDO BROTHERS, INC.",2,FY11 single-ship; FY13-17 MYP,0.1,3,(unmapped)
KLUMB LUMBER COMPANY,2,FY11 single-ship; FY13-17 MYP,0.1,2,(unmapped)
CRESTWOOD TECHNOLOGY GROUP CORP.,2,FY11 single-ship; FY13-17 MYP,0.1,2,(unmapped)
"ADMARTEC, INC.",2,FY13-17 MYP; FY18-22 MYP,0.1,3,(unmapped)
ITT CORPORATION,2,FY11 single-ship; FY13-17 MYP,0.1,2,(unmapped)
Xerox Corporation,2,FY11 single-ship; FY13-17 MYP,0.1,3,(unmapped)
CARVER PUMP COMPANY (INC),2,FY13-17 MYP; FY18-22 MYP,0.1,2,(unmapped)
"KAHN AND COMPANY, INCORPORATED",2,FY13-17 MYP; FY18-22 MYP,0.1,3,(unmapped)
"MICROFLEX, INC.",2,FY18-22 MYP; FY23-27 MYP,0.1,2,(unmapped)
COLUMBUS MCKINNON CORPORATION,2,FY11 single-ship; FY13-17 MYP,0.1,2,(unmapped)
