supplier,mock_pop_n_report_ids,date_span_months,first_subaward,last_subaward,reported_$m,n_blocks
Core Active Fixed Income,4,26,2014-06-24,2016-08-17,0.27,1
YOUNG ENGINEERING COMPANY INC.,6,97,2013-05-27,2021-06-07,0.27,3
"STOCKERT, LAURA",4,106,2016-02-08,2024-12-12,0.27,3
KULITE SEMICONDUCTOR PRODUCTS INC,5,8,2022-10-20,2023-06-29,0.25,1
SPACE MACHINE & ENGINEERING CORP.,4,98,2016-12-01,2025-02-28,0.25,2
GOODRICH CORP,6,17,2023-06-21,2024-11-25,0.25,1
FLOWSERVE CORPORATION,4,38,2013-06-05,2016-08-12,0.24,2
"JAL ENTERPRISES, INC.",5,130,2013-10-01,2024-08-13,0.24,2
"DETROIT SWITCH, INC.",8,89,2014-08-15,2022-01-07,0.24,2
KINGSBURY INC.,3,27,2023-08-16,2025-11-05,0.23,1
"MSA SAFETY SALES, LLC",3,33,2022-06-21,2025-03-21,0.23,1
FLETCHER CONSTRUCTION CO INC,6,33,2023-02-23,2025-11-20,0.23,1
"IMPRES TECHNOLOGY SOLUTIONS, INC.",3,12,2016-10-17,2017-10-09,0.22,2
"DRS NAVAL POWER SYSTEMS, INC.",1,0,2022-03-04,2022-03-04,0.22,1
ULTRA ELECTRONICS OCEAN SYSTEMS INC,5,22,2013-12-02,2015-10-02,0.22,2
PASCAGOULA LAUNCH SERVICE INC,3,34,2023-04-13,2026-02-27,0.22,1
"EFFORT FOUNDRY, INC.",5,31,2013-04-24,2015-11-23,0.22,2
SIEMENS INDUSTRY INC.,2,13,2013-07-31,2014-08-13,0.21,2
Ralph & Dorothy Moore,5,23,2013-08-27,2015-07-26,0.2,2
SOUTHWEST RESEARCH INSTITUTE,6,23,2020-02-26,2022-01-13,0.2,1
METALTEK INTERNATIONAL INC,2,7,2022-07-05,2023-02-28,0.2,1
"SPARTON AYDIN, LLC",4,19,2016-06-22,2018-01-31,0.2,1
"DEFENSE TECHNOLOGIES, INC.",3,13,2015-06-08,2016-07-05,0.2,1
"TIMKEN COMPANY, THE",1,0,2022-10-17,2022-10-17,0.2,1
WATTS WATER TECHNOLOGIES INC,7,78,2014-12-10,2021-06-01,0.19,2
FORENTA L.P.,7,94,2014-10-28,2022-08-23,0.19,2
"POWELL ELECTRONICS, INC.",2,20,2022-07-25,2024-03-21,0.19,1
"HEILIND MIL-AERO, LLC",4,29,2020-09-04,2023-02-27,0.18,2
"Cameron Technologies Us, LLC",2,2,2021-11-04,2022-01-20,0.18,1
"TOOL-SMITH COMPANY, INCORPORATED",4,36,2018-03-23,2021-03-09,0.18,1
"ACCU-FAB AND CONSTRUCTION, INC",1,0,2026-03-05,2026-03-05,0.18,1
ITW Food Equipment Group LLC,1,0,2025-10-03,2025-10-03,0.18,1
SYSTEMS ENGINEERING SUPPORT CO.,1,0,2023-11-08,2023-11-08,0.18,1
HEILIND MIL-AERO LLC,2,26,2023-04-05,2025-06-26,0.18,1
BAE SYSTEMS LAND & ARMAMENTS L.P.,2,1,2021-05-04,2021-06-10,0.17,1
SHIELD TECHNOLOGIES CORPORATION,4,30,2015-10-13,2018-04-24,0.17,2
Anixter Inc.,2,8,2025-04-01,2025-12-11,0.17,1
"TOOL-SMITH COMPANY, INC",3,6,2023-10-02,2024-04-15,0.17,1
D. W. BOYD CORPORATION,3,37,2013-09-23,2016-10-04,0.17,2
ANDERSON METAL INDUSTRIES INC,3,28,2023-06-21,2025-10-28,0.16,2
"FLETCHER CONSTRUCTION COMPANY, INC.",6,86,2014-05-09,2021-07-16,0.16,3
"JANSENEERING, INC.",3,20,2013-08-12,2015-04-15,0.16,1
"Moniteq, Inc.",4,35,2013-07-24,2016-06-30,0.16,2
KADANT UNAFLEX LLC,3,28,2023-06-02,2025-10-14,0.16,1
"COSPOLICH, INC.",5,93,2013-07-26,2021-04-22,0.15,3
"NCP COATINGS, LLC",4,0,2022-06-14,2022-06-14,0.15,1
Lona Slade,2,5,2016-10-03,2017-03-10,0.15,1
SOUNDOWN CORPORATION,2,11,2013-05-10,2014-04-14,0.15,2
"BAY CITY MARINE, INC.",3,12,2017-05-09,2018-05-01,0.15,1
PROPULSION CONTROLS ENGINEERING,2,5,2017-05-09,2017-10-31,0.15,1
"GREAT LAKES SOUND & VIBRATION, INC.",1,0,2022-06-28,2022-06-28,0.15,1
THE WHITMOR CO. INC.,3,3,2024-08-30,2024-11-05,0.15,1
MORPAC INDUSTRIES INC,3,1,2022-07-08,2022-08-31,0.15,1
"ROMAC INDUSTRIES, INC.",4,48,2013-04-23,2017-04-12,0.15,2
ASI MARINE & INDUSTRIAL INC,2,21,2019-06-20,2021-03-05,0.15,2
"ARGON ST, INC.",2,20,2022-02-08,2023-10-11,0.15,1
"VALKYRIE ENTERPRISES, LLC",3,3,2024-05-30,2024-08-13,0.14,1
DEWEY ELECTRONICS CORPORATION,3,17,2023-03-03,2024-08-01,0.14,1
WARTSILA DEFENSE INC,4,8,2023-02-27,2023-10-23,0.14,2
"PIMA VALVE, INC.",5,42,2013-10-04,2017-04-28,0.14,1
Howden American Fan Company,1,0,2026-03-06,2026-03-06,0.14,1
"J.G.B. ENTERPRISES, INC.",3,33,2016-05-13,2019-02-14,0.14,2
CHAND LLC,3,7,2023-12-06,2024-07-11,0.14,2
Higgins Marine Services Inc,4,29,2015-04-15,2017-09-12,0.14,2
"CONNECTOR SPECIALISTS, INC.",3,11,2017-06-16,2018-05-14,0.14,1
"Hdt Expeditionary Systems, Inc.",2,25,2019-02-07,2021-03-25,0.13,1
BOLAND MARINE & INDUSTRIAL LLC,2,0,2023-07-11,2023-07-14,0.13,1
"ADVANTEC MANUFACTURING USA, INC.",2,0,2013-10-11,2013-10-14,0.12,1
"HARDING COMPANY, INC",3,13,2015-07-22,2016-08-08,0.12,2
THE DEWEY ELECTRONICS CORPORATION,4,79,2016-01-19,2022-08-25,0.12,2
"ENERGY MACHINERY, INC.",4,0,2023-09-28,2023-09-28,0.12,1
DB CONTROL,1,0,2025-09-09,2025-09-09,0.12,1
"ADVANCED ACOUSTIC CONCEPTS, LLC",1,0,2024-06-25,2024-06-25,0.12,1
"PASCAGOULA LAUNCH SERVICE, INC",4,43,2017-08-01,2021-03-09,0.12,1
SYSCO USA II LLC,1,0,2025-01-10,2025-01-10,0.12,1
"KIDDE-FENWAL, INC.",3,3,2013-05-23,2013-08-26,0.12,2
Xylem Inc.,3,0,2025-04-25,2025-04-25,0.11,1
"HUTCHINSON INDUSTRIES, INC",2,15,2024-09-13,2025-12-09,0.11,1
"WBPARTS, INC.",3,41,2019-02-20,2022-07-22,0.11,2
US TOOL GRINDING INC,1,0,2024-07-24,2024-07-24,0.11,1
"HOSE-MCCANN TELEPHONE CO., INC.",4,16,2016-11-21,2018-03-14,0.11,1
LAUREL TECHNOLOGIES PARTNERSHIP,2,0,2023-09-28,2023-09-28,0.11,1
HORIZONS INCORPORATED,3,12,2022-10-21,2023-10-10,0.1,2
TORK SYSTEMS INC,2,0,2024-06-06,2024-06-06,0.1,1
SIVYER STEEL CASTINGS LLC,1,0,2022-12-22,2022-12-22,0.1,1
"VALLEN DISTRIBUTION, INC.",2,1,2016-08-12,2016-09-28,0.1,2
"WALDO BROTHERS, INC.",3,35,2013-05-06,2016-04-19,0.1,2
"VITA MOTIVATOR CO., INC.",2,9,2022-11-14,2023-08-04,0.1,1
KLUMB LUMBER COMPANY,2,38,2017-04-11,2020-06-11,0.1,2
TRI-TEC MANUFACTURING LLC,2,1,2023-05-08,2023-06-19,0.1,1
"PACIFIC WESTERN LUMBER, INC.",1,0,2015-03-23,2015-03-23,0.09,1
CRESTWOOD TECHNOLOGY GROUP CORP.,2,8,2017-03-16,2017-11-08,0.09,2
"ADMARTEC, INC.",3,12,2022-07-15,2023-07-13,0.09,2
ITT CORPORATION,2,24,2016-07-12,2018-07-12,0.09,2
"HOTTINGER BALDWIN MEASUREMENTS, INC.",1,0,2019-10-11,2019-10-11,0.09,1
AIR SYSTEMS COMPONENTS INC,3,7,2023-02-22,2023-09-25,0.09,1
"IN-PLACE MACHINING COMPANY, LLC",1,0,2024-08-16,2024-08-16,0.09,1
"HEGEDUS ALUMINUM INDUSTRIES, INC",2,13,2024-06-04,2025-07-02,0.09,1
TABET MANUFACTURING CO INC,1,0,2023-02-07,2023-02-07,0.09,1
R P M SUPPLY CORPORATION,1,0,2022-11-08,2022-11-08,0.09,1
"Stockert, Laura",1,0,2026-01-14,2026-01-14,0.09,1
"MAZZELLA LIFTING TECHNOLOGIES, INC.",2,5,2025-04-25,2025-09-26,0.09,1
"EAGLE INDUSTRIES OF LOUISIANA, L.L.C.",1,0,2023-04-17,2023-04-17,0.08,1
FLOWSERVE CORP,1,0,2025-12-03,2025-12-03,0.08,1
"CHELSEA CLOCK, LLC, THE",3,19,2016-07-18,2018-02-06,0.08,1
ARA SERVICES LLC.,2,0,2021-06-10,2021-06-28,0.08,1
"BOEING COMPANY, THE",2,0,2020-05-29,2020-05-29,0.08,1
Xerox Corporation,3,38,2013-04-19,2016-06-10,0.08,2
BELL STEEL CO,1,0,2023-09-20,2023-09-20,0.08,1
MGR EQUIPMENT CORP,2,0,2014-02-13,2014-02-13,0.08,1
CARVER PUMP COMPANY (INC),2,50,2017-06-30,2021-08-05,0.08,2
PIERCE ALUMINUM CO INC,1,0,2023-01-16,2023-01-16,0.08,1
BRENNTAG LUBRICANTS,2,0,2022-10-24,2022-10-24,0.08,1
"KAHN AND COMPANY, INCORPORATED",3,43,2016-05-20,2019-12-11,0.08,2
"UNITED RENTALS (NORTH AMERICA), INC.",2,14,2018-02-15,2019-04-17,0.07,1
"SEEMANN COMPOSITES, LLC",2,0,2021-06-08,2021-06-08,0.07,1
"L3 UNIDYNE, INC.",1,0,2021-02-09,2021-02-09,0.07,1
"901 D, LLC",1,0,2022-10-28,2022-10-28,0.07,1
"CAJUN PROCESS SOLUTIONS, LLC",2,7,2016-09-14,2017-04-07,0.07,1
"HEGEDUS ALUMINUM INDUSTRIES, INC.",2,10,2022-08-19,2023-06-01,0.07,1
"ENERGY FOCUS, INC.",1,0,2022-12-09,2022-12-09,0.07,1
KSARIA SERVICE CORPORATION,1,0,2024-08-09,2024-08-09,0.07,1
GULF COAST MARINE SUPPLY COMPANY,2,26,2015-07-23,2017-09-20,0.07,1
FORENTA LP,2,8,2023-03-27,2023-11-13,0.07,1
"GULF SALES AND SUPPLY, INCORPORATED",2,0,2018-06-15,2018-06-15,0.07,1
"MANSFIELD INDUSTRIAL, INC.",1,0,2014-10-09,2014-10-09,0.07,1
HYSPAN PRECISION PRODUCTS INC,2,1,2022-11-29,2022-12-15,0.06,1
INTERNATIONAL WELDING & FABRICATION INC,1,0,2026-03-06,2026-03-06,0.06,1
Sunbelt Supply L.P.,2,6,2019-05-27,2019-11-27,0.06,1
SAFARILAND LLC,1,0,2025-09-30,2025-09-30,0.06,1
SECHAN ELECTRONICS INC,1,0,2026-01-08,2026-01-08,0.06,1
"MICROFLEX, INC.",2,0,2025-08-01,2025-08-01,0.06,2
"GENERAL MARINE PRODUCTS, INC.",1,0,2023-08-24,2023-08-24,0.06,1
KSARIA CORPORATION,1,0,2019-12-06,2019-12-06,0.06,1
INDAL TECHNOLOGIES INC.,1,0,2024-10-28,2024-10-28,0.06,1
"HOFFER FLOW CONTROLS, INC.",2,10,2015-08-04,2016-06-01,0.06,1
HYDRADYNE LLC,1,0,2025-12-03,2025-12-03,0.06,1
KW BOATS,1,0,2017-09-27,2017-09-27,0.05,1
THOMPSON SUPPLY CO INC,2,5,2023-04-03,2023-09-25,0.05,1
JACKSON PLATING CO,1,0,2025-02-06,2025-02-06,0.05,1
KENWAY CORP,1,0,2016-06-24,2016-06-24,0.05,1
COLUMBUS MCKINNON CORPORATION,2,6,2015-07-23,2016-01-04,0.05,2
"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",2,0,2014-02-13,2014-02-13,0.05,1
The Whitmor Co. Inc.,1,0,2025-11-07,2025-11-07,0.05,1
"DEBAN ENTERPRISES, INC.",1,0,2024-05-17,2024-05-17,0.05,1
"MONITEQ, INC.",1,0,2018-10-12,2018-10-12,0.05,1
Captain Freds Sea Trial Support LLC,1,0,2025-03-03,2025-03-03,0.05,1
"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",2,6,2016-07-21,2017-01-30,0.05,1
TIM BRIERE,1,0,2022-03-16,2022-03-16,0.05,1
"PROCESS ENGINEERING COMPANY, INC.",1,0,2018-04-25,2018-04-25,0.05,1
"LAFAYETTE RESTAURANT SUPPLY, INC.",1,0,2014-12-17,2014-12-17,0.05,1
CORE INDUSTRIES INC.,1,0,2025-11-07,2025-11-07,0.05,1
"EIS, INC.",1,0,2019-08-15,2019-08-15,0.05,1
IVES EQUIPMENT CORPORATION,1,0,2025-06-26,2025-06-26,0.05,1
SIOUX MANUFACTURING CORPORATION,1,0,2023-05-17,2023-05-17,0.04,1
"VEGAS FASTENER MANUFACTURING, LLC",1,0,2023-07-13,2023-07-13,0.04,1
"MCNALLY INDUSTRIES, LLC",1,0,2020-04-28,2020-04-28,0.04,1
ASC ENGINEERED SOLUTIONS LLC,1,0,2025-02-07,2025-02-07,0.04,1
TYCO FIRE PRODUCTS LIMITED PARTNERSHIP,1,0,2021-01-07,2021-01-07,0.04,1
SCOT FORGE COMPANY,1,0,2025-05-01,2025-05-01,0.04,1
"FLUID HANDLING, LLC",1,0,2022-01-27,2022-01-27,0.04,1
AUTOMATED PRECISION INC.,1,0,2022-06-27,2022-06-27,0.04,1
"W.W. GRAINGER, INC.",1,0,2025-07-31,2025-07-31,0.04,1
"NOBLE SUPPLY & LOGISTICS, LLC",1,0,2024-12-04,2024-12-04,0.04,1
"CORNET TECHNOLOGY, INC.",1,0,2021-02-17,2021-02-17,0.04,1
TECNICO CORPORATION,1,0,2016-04-25,2016-04-25,0.04,1
"TEAM INDUSTRIAL SERVICES, INC.",1,0,2017-12-08,2017-12-08,0.04,1
"CONTINENTAL MICROWAVE AND TOOL CO., INC.",1,0,2019-03-07,2019-03-07,0.04,1
"M2 GLOBAL TECHNOLOGY, LTD.",1,0,2016-12-01,2016-12-01,0.03,1
"EST GROUP, INC.",1,0,2014-05-19,2014-05-19,0.03,1
KITCO FIBER OPTICS INC,1,0,2024-07-25,2024-07-25,0.03,1
"ECHELON SUPPLY AND SERVICE, INC.",1,0,2023-05-23,2023-05-23,0.03,1
"DISTRIBUTION INTERNATIONAL SOUTHWEST, INC.",1,0,2013-11-01,2013-11-01,0.03,1
"RECLAMATION TECHNOLOGIES, INC.",1,0,2019-11-22,2019-11-22,0.03,1
CPI RADANT TECHNOLOGIES DIVISION INC.,1,0,2022-01-10,2022-01-10,0.03,1
"LABORDE PRODUCTS, INC.",1,0,2022-02-21,2022-02-21,0.03,1
EST GROUP INC,1,0,2025-09-16,2025-09-16,0.03,1
"BAT CONSERVATION AND MANAGEMENT, INC.",1,0,2022-01-07,2022-01-07,0.03,1
KINNAMAN ELECTRIC INC,1,0,2020-12-02,2020-12-02,0.03,1
LBI INC,1,0,2022-11-17,2022-11-17,0.03,1
"L.B.I., INC.",1,0,2023-08-14,2023-08-14,0.03,1
"AMERICAN TRADE GROUP, INC., THE",1,0,2022-06-17,2022-06-17,0.03,1
"DELPHINUS ENGINEERING, INC.",1,0,2025-07-11,2025-07-11,0.03,1
"EGGELHOF, INC.",1,0,2015-06-22,2015-06-22,0.03,1
LOEFFLER CORPORATION,1,0,2015-12-04,2015-12-04,0.03,1
ENERGY MACHINERY INC,1,0,2023-03-08,2023-03-08,0.03,1
FEDERAL RESOURCES SUPPLY COMPANY,1,0,2017-04-13,2017-04-13,0.03,1
"Johnson Controls, Inc.",1,0,2017-06-12,2017-06-12,0.03,1
"Southern Rubber & Specialties, , Inc.",1,0,2017-11-02,2017-11-02,0.03,1
UNIVERSAL MANUFACTURING CORP.,1,0,2023-01-31,2023-01-31,0.03,1
"AIR SYSTEM COMPONENTS, INC",1,0,2022-04-26,2022-04-26,0.03,1
"ASC ENGINEERED SOLUTIONS, LLC",1,0,2021-12-08,2021-12-08,0.03,1
"DEZURIK, INC.",1,0,2023-08-01,2023-08-01,0.03,1
ELLISON BRONZE INC,1,0,2023-11-20,2023-11-20,0.03,1
WBPARTS INC,2,16,2024-02-15,2025-06-03,0.0,1
SILICO SYSTEMS LLC,2,13,2025-04-10,2026-05-22,-0.01,1
