piid,yard,block,award_type,multiyear_contract,type_of_contract_pricing,extent_competed,solicitation_procedures,number_of_offers,solicitation_id,contracting_office,funding_office,type_of_idc,psc,naics,description,original_date_signed,pop_start,pop_current_end,pop_potential_end,current_completion,ultimate_completion,last_date_to_order,first_action_date,last_action_date,obligated_total_to_date_$m,obligated_summed_permod_$m,base_exercised_options_$m,ceiling_base_and_all_options_$m,n_transactions,n_mods_sam_latest,family_count,tas_federal_accounts,tas_account_titles,n_funding_rows
N0002411C2307,Huntington Ingalls,FY11 single-ship,DEFINITIVE CONTRACT,N,FIXED PRICE INCENTIVE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,2,N0002411R2305,N69316 SUP OF SHIPBUILDING CONV AND REPAIR,N69316 SUP OF SHIPBUILDING CONV AND REPAIR,N/A,1903,336611,UNI/PP-5027,2011-09-26,2011-09-26,2018-04-24,2018-04-24,2017-07-21,2017-07-21,,2011-09-26,2024-09-16,701.5,701.5,709.7,716.8,271,100,271,,,0
N0002411C2309,Huntington Ingalls,FY11 single-ship,DEFINITIVE CONTRACT,N,FIXED PRICE INCENTIVE,NOT COMPETED,ONLY ONE SOURCE,1,N0002410R2309,N00024 NAVSEA HQ,N00024 NAVSEA HQ,N/A,1903,336611,CONSTRUCT DDG 113 DDG 51 CLASS DESTROYER,2011-06-15,2011-06-15,2024-04-30,2024-04-30,2017-07-25,2017-07-25,,2011-06-15,2024-04-30,794.2,794.2,797.2,805.2,271,100,271,,,0
N0002413C2305,Bath Iron Works,FY13-17 MYP,DEFINITIVE CONTRACT,Y,FIXED PRICE INCENTIVE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,2,N0002412R2316,N62786 SUP OF SHIPBUILDING CONV AND REPAIR,N00024 NAVSEA HQ,N/A,1905,336611,WF-3254C1,2013-06-03,2013-06-03,2027-01-31,2027-01-31,2019-12-18,2019-12-18,,2013-06-03,2026-03-20,4932.5,4932.5,5023.8,5037.5,719,100,782,017-1611; 017-1804; 017-1810,"Operation and Maintenance, Navy; Other Procurement, Navy; Shipbuilding and Conversion, Navy",30
N0002413C2307,Huntington Ingalls,FY13-17 MYP,DEFINITIVE CONTRACT,Y,FIXED PRICE INCENTIVE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,2,N0002412R2316,N69316 SUP OF SHIPBUILDING CONV AND REPAIR,N69316 SUP OF SHIPBUILDING CONV AND REPAIR,N/A,1905,336611,DDG 117: ECP F028001 - RELOCATE VIDMAR CABINET FROM CSMC TO FWD PWR CONV ROOM (MSC-0324),2013-06-03,2013-06-03,2027-03-31,2027-03-31,2021-07-30,2021-07-30,,2013-06-03,2025-12-09,3345.8,3345.8,3478.8,3493.6,1105,100,1111,017-1611; 017-1810,"Other Procurement, Navy; Shipbuilding and Conversion, Navy",29
N0002418C2305,Bath Iron Works,FY18-22 MYP,DEFINITIVE CONTRACT,Y,FIXED PRICE INCENTIVE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,2,N0002418R2302,N62786 SUP OF SHIPBUILDING CONV AND REPAIR,N00024 NAVSEA HQ,N/A,1905,336611,"WF-3434, WF-3435, AND FUNDING FOR WF-3431, WF-3419R1, WF-3433C1&WF-3418R1",2018-09-27,2018-09-27,2030-12-20,2030-12-20,2029-02-19,2029-02-19,,2018-09-27,2026-03-10,5339.0,5339.0,5381.0,5463.2,287,100,320,017-1611,"Shipbuilding and Conversion, Navy",14
N0002418C2307,Huntington Ingalls,FY18-22 MYP,DEFINITIVE CONTRACT,Y,FIXED PRICE INCENTIVE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,2,N0002418R2302,N00024 NAVSEA HQ,N00024 NAVSEA HQ,N/A,1905,336611,FUNDING ONLY ACTION,2018-09-27,2018-09-27,2032-07-09,2032-07-09,2029-04-28,2029-04-28,,2018-09-27,2026-03-24,6826.7,6826.7,6829.0,6926.3,777,100,882,017-1611; 017-1804,"Operation and Maintenance, Navy; Shipbuilding and Conversion, Navy",18
N0002423C2307,Huntington Ingalls,FY23-27 MYP,DEFINITIVE CONTRACT,Y,FIXED PRICE INCENTIVE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,2,N0002422R2302,N00024 NAVSEA HQ,N00024 NAVSEA HQ,N/A,1905,336611,CONSTRUCTION OF DDG 51 SHIP,2023-08-01,2023-08-01,2034-02-28,2034-02-28,2034-02-28,2034-02-28,,2023-08-01,2026-03-24,6948.2,6948.2,9724.1,15803.8,173,100,228,,,0
N0002423C2305,Bath Iron Works,FY23-27 MYP,DEFINITIVE CONTRACT,Y,FIXED PRICE INCENTIVE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,2,N0002422R2302,N00024 NAVSEA HQ,N00024 NAVSEA HQ,N/A,1905,336611,CONSTRUCTION OF DDG 51 SHIPS FY23-27,2023-08-01,2023-08-01,2034-02-28,2034-02-28,2034-02-28,2034-02-28,,2023-08-01,2026-03-20,5027.6,5027.6,6604.4,13791.0,60,60,85,,,0
