program,family,piid,work_type,wave_seq,vendor_uei,vendor_name,naics4,capability,wave_vendor_dollars_m,wave_vendor_dollars_positive_m,wave_vendor_share,records,first_date_in_wave,last_date_in_wave,entrant_flag
virginia,Submarines,N0002412C2115,castings,1,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.224,0.224,0.7153,2,2016-02-05,2016-02-08,yes
virginia,Submarines,N0002412C2115,castings,1,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.089,0.089,0.2847,1,2016-02-01,2016-02-01,yes
virginia,Submarines,N0002412C2115,castings,2,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.241,0.241,1.0,2,2016-07-05,2016-07-28,no
virginia,Submarines,N0002412C2115,castings,3,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.606,0.606,0.8589,6,2017-01-10,2017-02-06,no
virginia,Submarines,N0002412C2115,castings,3,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.1,0.1,0.1411,2,2016-12-19,2017-01-11,no
virginia,Submarines,N0002412C2115,castings,4,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.142,0.142,1.0,1,2017-08-14,2017-08-14,no
virginia,Submarines,N0002412C2115,castings,5,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.255,0.255,0.6179,4,2018-02-16,2018-04-23,no
virginia,Submarines,N0002412C2115,castings,5,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP,3321,Nonferrous Forging,0.103,0.103,0.2487,2,2018-03-16,2018-03-16,yes
virginia,Submarines,N0002412C2115,castings,5,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.055,0.055,0.1334,1,2018-05-07,2018-05-07,no
virginia,Submarines,N0002412C2115,coatings,1,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",3262,Rubber Product Manufacturing for Mechanical Use,0.029,0.029,1.0,1,2016-02-03,2016-02-03,yes
virginia,Submarines,N0002412C2115,coatings,2,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",3262,Rubber Product Manufacturing for Mechanical Use,0.059,0.059,1.0,1,2016-10-12,2016-10-12,no
virginia,Submarines,N0002412C2115,coatings,3,VLY1XBVNLJK8,RAG-STIFTUNG,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.053,0.053,1.0,1,2017-02-17,2017-02-17,yes
virginia,Submarines,N0002412C2115,coatings,4,VLY1XBVNLJK8,RAG-STIFTUNG,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3.134,3.134,0.9644,11,2017-08-02,2018-04-30,no
virginia,Submarines,N0002412C2115,coatings,4,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",3262,Rubber Product Manufacturing for Mechanical Use,0.116,0.116,0.0356,3,2017-06-05,2018-03-06,no
virginia,Submarines,N0002412C2115,coatings,5,VLY1XBVNLJK8,RAG-STIFTUNG,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.674,0.674,1.0,2,2018-09-20,2018-10-04,no
virginia,Submarines,N0002412C2115,electrical,1,NTREK31GP8N3,KSARIA CORPORATION,3344,Electronic Connector Manufacturing,0.626,0.626,0.6342,2,2016-04-21,2016-04-21,yes
virginia,Submarines,N0002412C2115,electrical,1,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,3359,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.361,0.361,0.3658,2,2016-02-03,2016-05-09,yes
virginia,Submarines,N0002412C2115,electrical,2,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,3344,Other Electronic Component Manufacturing,0.142,0.142,1.0,1,2016-08-30,2016-08-30,yes
virginia,Submarines,N0002412C2115,electrical,3,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,3364,Other Aircraft Parts and Auxiliary Equipment Manufacturing,6.198,6.198,0.4776,23,2018-04-24,2018-11-19,yes
virginia,Submarines,N0002412C2115,electrical,3,MPCXJJQJAL83,TE CONNECTIVITY LTD.,3344,Electronic Connector Manufacturing,1.186,1.186,0.0914,2,2018-03-09,2018-09-21,yes
virginia,Submarines,N0002412C2115,electrical,3,KDNEW5AC1X41,AGI UK ACQUISITION LIMITED,3344,Other Electronic Component Manufacturing,1.031,1.043,0.0795,4,2017-07-27,2018-01-19,yes
virginia,Submarines,N0002412C2115,electrical,3,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,3344,Other Electronic Component Manufacturing,0.962,0.962,0.0741,2,2017-05-12,2017-11-20,no
virginia,Submarines,N0002412C2115,electrical,3,W8PTMRME1496,LEONARDO SPA,3364,Aircraft Manufacturing,0.859,0.859,0.0662,13,2017-02-07,2018-06-15,yes
virginia,Submarines,N0002412C2115,electrical,3,CMANNFGEFNP6,WARD LEONARD CT LLC,3353,Motor and Generator Manufacturing,0.857,0.857,0.066,10,2017-03-03,2018-06-01,yes
virginia,Submarines,N0002412C2115,electrical,3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,3329,Industrial Valve Manufacturing,0.654,0.654,0.0504,6,2017-01-30,2018-05-09,yes
virginia,Submarines,N0002412C2115,electrical,3,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,3359,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.582,0.582,0.0449,4,2017-02-27,2017-07-28,no
virginia,Submarines,N0002412C2115,electrical,3,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",3353,Switchgear and Switchboard Apparatus Manufacturing,0.191,0.194,0.0147,5,2017-02-21,2018-05-16,yes
virginia,Submarines,N0002412C2115,electrical,3,Z89SS59265U9,ESPEY MFG AND ELECTRONICS CORP,3359,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.162,0.162,0.0125,2,2017-05-26,2017-09-14,yes
virginia,Submarines,N0002412C2115,electrical,3,UCNMVD1EMHN4,NORTECH SYSTEMS INCORPORATED,3359,Current-Carrying Wiring Device Manufacturing,0.114,0.114,0.0088,1,2018-01-31,2018-01-31,yes
virginia,Submarines,N0002412C2115,electrical,3,NTREK31GP8N3,KSARIA CORPORATION,3344,Electronic Connector Manufacturing,0.112,0.112,0.0086,2,2017-03-27,2017-04-25,no
virginia,Submarines,N0002412C2115,electrical,3,N9K8Y7U3RGA9,CATERPILLAR INC.,3331,Construction Machinery Manufacturing,0.065,0.065,0.005,3,2017-01-06,2018-03-05,yes
virginia,Submarines,N0002412C2115,electrical,3,WREEAHYMRQ45,AMPHENOL CORPORATION,3344,Other Electronic Component Manufacturing,0.003,0.003,0.0002,1,2017-11-20,2017-11-20,yes
virginia,Submarines,N0002412C2115,hvac,1,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,3334,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.156,0.156,1.0,2,2016-02-19,2016-05-02,yes
virginia,Submarines,N0002412C2115,hvac,2,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,3334,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.032,0.032,1.0,1,2016-09-08,2016-09-08,no
virginia,Submarines,N0002412C2115,hvac,3,DD7KGPMP93C1,HEH HOLDINGS LLC,3334,Heating Equipment (except Warm Air Furnaces) Manufacturing,0.062,0.062,1.0,1,2017-02-20,2017-02-20,yes
virginia,Submarines,N0002412C2115,hvac,4,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",3334,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.089,0.089,0.696,2,2017-05-31,2017-06-05,yes
virginia,Submarines,N0002412C2115,hvac,4,DD7KGPMP93C1,HEH HOLDINGS LLC,3334,Heating Equipment (except Warm Air Furnaces) Manufacturing,0.039,0.039,0.304,1,2017-05-22,2017-05-22,no
virginia,Submarines,N0002412C2115,hvac,5,L8T4R3N7ACL6,COLFAX CORPORATION,3334,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.315,0.315,0.5625,1,2017-10-10,2017-10-10,yes
virginia,Submarines,N0002412C2115,hvac,5,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,3334,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.127,0.127,0.2264,1,2017-11-16,2017-11-16,no
virginia,Submarines,N0002412C2115,hvac,5,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",3334,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.075,0.075,0.134,2,2018-01-02,2018-01-02,no
virginia,Submarines,N0002412C2115,hvac,5,DD7KGPMP93C1,HEH HOLDINGS LLC,3334,Heating Equipment (except Warm Air Furnaces) Manufacturing,0.043,0.043,0.0771,1,2017-10-17,2017-10-17,no
virginia,Submarines,N0002412C2115,hvac,6,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,3334,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.123,0.123,1.0,2,2018-11-19,2018-11-19,no
virginia,Submarines,N0002412C2115,machining,1,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",3327,Machine Shops,4.461,4.461,0.3529,32,2016-02-01,2018-10-16,yes
virginia,Submarines,N0002412C2115,machining,1,E2P8AAJA2LK5,"MICRO PRECISION, LLC",3327,Precision Turned Product Manufacturing,2.649,2.67,0.2095,45,2016-04-13,2018-09-25,yes
virginia,Submarines,N0002412C2115,machining,1,K3XPS1HXNBF3,"B & F MACHINE CO., INC.",3327,Machine Shops,2.431,2.458,0.1923,35,2016-02-19,2018-11-21,yes
virginia,Submarines,N0002412C2115,machining,1,NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",3327,Machine Shops,2.042,2.042,0.1616,41,2016-02-24,2018-10-11,yes
virginia,Submarines,N0002412C2115,machining,1,QB7EKDNK2E83,SHELBY SUPPLY CO LLC,3327,Machine Shops,0.583,0.583,0.0461,10,2016-02-16,2018-06-08,yes
virginia,Submarines,N0002412C2115,machining,1,FWF8QBPCGLG3,GENERAL TOOL COMPANY,3364,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,0.208,0.208,0.0165,2,2016-11-16,2017-02-07,yes
virginia,Submarines,N0002412C2115,machining,1,GCWKULHML2S3,"WARTSILA DEFENSE, INC.",,,0.093,0.093,0.0073,3,2016-02-24,2017-04-06,yes
virginia,Submarines,N0002412C2115,machining,1,ETWEE7EYY9G5,COGITIC CORPORATION,3327,Machine Shops,0.085,0.085,0.0067,2,2016-10-25,2016-10-25,yes
virginia,Submarines,N0002412C2115,machining,1,MT6DZPQUP663,ADOLF WURTH GMBH & CO KG,3327,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",0.062,0.062,0.0049,1,2017-01-05,2017-01-05,yes
virginia,Submarines,N0002412C2115,machining,1,DDQCLD6FEJJ6,WILLIAMS INDUSTRIAL SERVICES GROUP INC.,3327,Precision Turned Product Manufacturing,0.028,0.028,0.0022,2,2018-10-09,2018-10-09,yes
virginia,Submarines,N0002412C2115,piping,1,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,3252,Synthetic Rubber Manufacturing,10.594,10.594,0.4801,7,2016-08-09,2018-03-28,yes
virginia,Submarines,N0002412C2115,piping,1,W3KUJLTCRLV1,AMMCON CORP.,3329,Other Metal Valve and Pipe Fitting Manufacturing,2.36,2.371,0.107,24,2016-02-01,2018-09-28,yes
virginia,Submarines,N0002412C2115,piping,1,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,3329,Industrial Valve Manufacturing,1.34,1.34,0.0607,13,2016-11-03,2018-09-18,yes
virginia,Submarines,N0002412C2115,piping,1,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,3329,Fabricated Pipe and Pipe Fitting Manufacturing,1.151,1.153,0.0522,13,2016-10-31,2018-01-24,yes
virginia,Submarines,N0002412C2115,piping,1,NPDPXRZGXXL3,"LYN-LAD GROUP, LTD.",3329,All Other Miscellaneous Fabricated Metal Product Manufacturing,1.037,1.102,0.047,9,2016-12-21,2018-07-09,yes
virginia,Submarines,N0002412C2115,piping,1,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",3329,Other Metal Valve and Pipe Fitting Manufacturing,0.95,0.954,0.0431,12,2016-07-05,2018-04-25,yes
virginia,Submarines,N0002412C2115,piping,1,LNGAZMTYJPL3,THE ENTWISTLE TRUST,,,0.745,0.745,0.0338,4,2016-02-16,2016-10-13,yes
virginia,Submarines,N0002412C2115,piping,1,MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",,,0.683,0.683,0.0309,2,2016-08-30,2017-05-16,yes
virginia,Submarines,N0002412C2115,piping,1,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",3329,All Other Miscellaneous Fabricated Metal Product Manufacturing,0.587,0.587,0.0266,4,2016-09-15,2018-03-07,yes
virginia,Submarines,N0002412C2115,piping,1,VDSCUPC2H3K7,CITADEL CAPITAL CORPORATION,3329,Fabricated Pipe and Pipe Fitting Manufacturing,0.571,0.637,0.0259,10,2016-01-26,2017-03-23,yes
virginia,Submarines,N0002412C2115,piping,1,L4ZMKLM4MPL3,MOOG INC.,3339,Fluid Power Cylinder and Actuator Manufacturing,0.512,0.512,0.0232,4,2016-01-05,2017-11-28,yes
virginia,Submarines,N0002412C2115,piping,1,FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",3399,All Other Miscellaneous Manufacturing,0.258,0.258,0.0117,4,2016-04-25,2018-01-11,yes
virginia,Submarines,N0002412C2115,piping,1,MKRBJA6JXXS7,EMERSON ELECTRIC CO.,3329,Industrial Valve Manufacturing,0.205,0.205,0.0093,3,2018-06-19,2018-11-07,yes
virginia,Submarines,N0002412C2115,piping,1,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",,,0.184,0.184,0.0083,3,2016-01-29,2018-04-16,yes
virginia,Submarines,N0002412C2115,piping,1,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",3329,Industrial Valve Manufacturing,0.183,0.183,0.0083,1,2016-02-12,2016-02-12,yes
virginia,Submarines,N0002412C2115,piping,1,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",,,0.141,0.141,0.0064,1,2016-03-09,2016-03-09,yes
virginia,Submarines,N0002412C2115,piping,1,L8T4R3N7ACL6,COLFAX CORPORATION,3334,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.106,0.106,0.0048,3,2016-05-16,2016-10-13,yes
virginia,Submarines,N0002412C2115,piping,1,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,3329,Other Metal Valve and Pipe Fitting Manufacturing,0.1,0.1,0.0045,2,2016-11-09,2018-03-23,yes
virginia,Submarines,N0002412C2115,piping,1,K9M4XM134HW6,PENTAIR PUBLIC LIMITED COMPANY,3329,Industrial Valve Manufacturing,0.089,0.089,0.0041,1,2016-02-19,2016-02-19,yes
virginia,Submarines,N0002412C2115,piping,1,CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, INC.",3329,Fabricated Pipe and Pipe Fitting Manufacturing,0.081,0.081,0.0037,2,2016-02-04,2016-06-30,yes
virginia,Submarines,N0002412C2115,piping,1,HJUAXSF12JR6,"CUSTOM HYDRAULIC & MACHINE, INC.",3329,Fluid Power Valve and Hose Fitting Manufacturing,0.08,0.08,0.0036,1,2018-10-19,2018-10-19,yes
virginia,Submarines,N0002412C2115,piping,1,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,5511,"Corporate, Subsidiary, and Regional Managing Offices",0.065,0.065,0.0029,1,2018-04-05,2018-04-05,yes
virginia,Submarines,N0002412C2115,piping,1,GGSLGRB5KXM6,PON HOLDINGS B.V.,2382,Electrical Contractors and Other Wiring Installation Contractors,0.043,0.043,0.0019,1,2018-02-05,2018-02-05,yes
virginia,Submarines,N0002412C2115,structural,1,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",3366,Ship Building and Repairing,12.004,12.198,0.3576,34,2016-04-21,2017-10-23,yes
virginia,Submarines,N0002412C2115,structural,1,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",3323,Plate Work Manufacturing,7.029,7.029,0.2094,4,2017-01-09,2017-11-06,yes
virginia,Submarines,N0002412C2115,structural,1,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,3323,Sheet Metal Work Manufacturing,2.815,2.815,0.0839,13,2016-02-03,2018-09-25,yes
virginia,Submarines,N0002412C2115,structural,1,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",3323,Plate Work Manufacturing,2.769,2.769,0.0825,5,2016-09-13,2017-04-06,yes
virginia,Submarines,N0002412C2115,structural,1,TZVRTYNM3MN3,PEGASUS STEEL LLC,3323,Plate Work Manufacturing,2.345,2.345,0.0699,10,2016-10-31,2018-08-14,yes
virginia,Submarines,N0002412C2115,structural,1,EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",3366,Ship Building and Repairing,1.742,1.742,0.0519,6,2017-10-10,2018-09-04,yes
virginia,Submarines,N0002412C2115,structural,1,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",3366,Ship Building and Repairing,1.271,1.271,0.0379,5,2016-04-11,2018-03-21,yes
virginia,Submarines,N0002412C2115,structural,1,ZFQBUPK552C3,THE H R HILLERY COMPANY,3323,Fabricated Structural Metal Manufacturing,0.911,0.911,0.0272,8,2016-04-22,2018-02-13,yes
virginia,Submarines,N0002412C2115,structural,1,EVZMB1757DW5,"STEELFAB, INC.",3323,Fabricated Structural Metal Manufacturing,0.764,0.764,0.0228,1,2017-07-03,2017-07-03,yes
virginia,Submarines,N0002412C2115,structural,1,C256E427Q518,"DELTAK MANUFACTURING, INC.",3323,Ornamental and Architectural Metal Work Manufacturing,0.638,0.638,0.019,1,2017-03-30,2017-03-30,yes
virginia,Submarines,N0002412C2115,structural,1,UMMDFSB4ARJ7,TECHPRECISION CORPORATION,3323,Plate Work Manufacturing,0.507,0.507,0.0151,2,2016-08-18,2017-01-23,yes
virginia,Submarines,N0002412C2115,structural,1,CR99X5Q2KQS1,"L.B.I., INC.",3366,Ship Building and Repairing,0.352,0.352,0.0105,4,2017-03-13,2017-07-03,yes
virginia,Submarines,N0002412C2115,structural,1,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",3369,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",0.301,0.301,0.009,7,2016-12-05,2018-02-01,yes
virginia,Submarines,N0002412C2115,structural,1,G58FFJ6F2CA7,GK MECHANICAL SYSTEMS LLC,3366,Ship Building and Repairing,0.08,0.08,0.0024,1,2016-05-24,2016-05-24,yes
virginia,Submarines,N0002412C2115,structural,1,XBVZKN1HH445,"OCEANEERING INTERNATIONAL, INC.",,,0.039,0.039,0.0012,1,2017-12-01,2017-12-01,yes
virginia,Submarines,N0002412C2115,unbucketed,1,LV9KTAW8RSA3,CONTINENTAL EMSCO COMPANY (INC),,,0.028,0.028,1.0,1,2013-01-28,2013-01-28,yes
virginia,Submarines,N0002412C2115,unbucketed,2,WN3KS9Z5JLK9,"PRECISION MACHINE & GEAR, INC.",,,0.104,0.104,1.0,1,2015-03-25,2015-03-25,yes
virginia,Submarines,N0002412C2115,unbucketed,3,M7B8XCG21XV3,EXIDE TECHNOLOGIES,,,12.673,12.673,0.113,3,2017-05-08,2017-05-08,yes
virginia,Submarines,N0002412C2115,unbucketed,3,R9EYKGK8NKA5,"NUFLO, INC.",,,7.268,7.268,0.0648,13,2016-05-27,2016-12-16,yes
virginia,Submarines,N0002412C2115,unbucketed,3,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",3353,Switchgear and Switchboard Apparatus Manufacturing,5.466,5.466,0.0487,26,2016-10-03,2018-06-08,yes
virginia,Submarines,N0002412C2115,unbucketed,3,J8PKNJEX2MS2,"LOCKWOOD BROTHERS, INC.",4831,Coastal and Great Lakes Freight Transportation,5.389,5.389,0.048,6,2017-06-12,2018-05-30,yes
virginia,Submarines,N0002412C2115,unbucketed,3,QVMBB4UCMEH4,"ELECTRO MECHANICAL SPECIALISTS, LLC",,,3.417,3.417,0.0305,3,2016-05-03,2016-09-08,yes
virginia,Submarines,N0002412C2115,unbucketed,3,FFXKK2MMEM97,"DYNAMIC PRECISION GROUP, INC.",3327,Machine Shops,3.109,3.109,0.0277,19,2016-07-18,2018-07-27,yes
virginia,Submarines,N0002412C2115,unbucketed,3,TM8BK53JMDF4,LANXESS AG,,,2.998,2.998,0.0267,6,2017-01-20,2017-01-20,yes
virginia,Submarines,N0002412C2115,unbucketed,3,MPCXJJQJAL83,TE CONNECTIVITY LTD.,3344,Electronic Connector Manufacturing,2.65,2.65,0.0236,21,2016-02-22,2018-10-04,yes
virginia,Submarines,N0002412C2115,unbucketed,3,HT2SC8NC87E1,ANIXTER INTERNATIONAL INC.,,,2.088,2.088,0.0186,5,2016-02-26,2017-09-20,yes
virginia,Submarines,N0002412C2115,unbucketed,3,M1DFCE4G2PM8,"DEXTER APACHE HOLDINGS, INC.",,,2.017,2.017,0.018,8,2016-11-15,2018-01-18,yes
virginia,Submarines,N0002412C2115,unbucketed,3,W1LDBNHD4EM7,SCHLUMBERGER N.V.,3345,Other Measuring and Controlling Device Manufacturing,1.821,1.821,0.0162,15,2016-05-11,2018-09-20,yes
virginia,Submarines,N0002412C2115,unbucketed,3,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",3345,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",1.8,1.8,0.0161,22,2016-09-19,2018-10-04,yes
virginia,Submarines,N0002412C2115,unbucketed,3,RBJHSL4MK9M8,CHEMTURA CORPORATION,,,1.771,1.771,0.0158,3,2017-01-20,2017-01-20,yes
virginia,Submarines,N0002412C2115,unbucketed,3,SCEEGJW7XZE5,KAMAN CORPORATION,,,1.523,1.523,0.0136,8,2016-09-12,2017-08-03,yes
virginia,Submarines,N0002412C2115,unbucketed,3,UZMKDFWHKTC9,"MARO DISPLAY, INC.",,,1.453,1.537,0.013,11,2016-05-19,2018-02-05,yes
virginia,Submarines,N0002412C2115,unbucketed,3,FYUJEKH32UF5,"L.M. GILL WELDING & MANUFACTURING, L.L.C.",,,1.402,1.402,0.0125,25,2016-02-03,2018-04-04,yes
virginia,Submarines,N0002412C2115,unbucketed,3,WA6MBG28BUQ5,"PPG INDUSTRIES, INC.",3255,Adhesive Manufacturing,1.279,1.279,0.0114,17,2016-02-22,2018-09-07,yes
virginia,Submarines,N0002412C2115,unbucketed,3,WN3KS9Z5JLK9,"PRECISION MACHINE & GEAR, INC.",,,1.222,1.239,0.0109,22,2015-11-06,2018-10-17,no
virginia,Submarines,N0002412C2115,unbucketed,3,SK3YCN3CHJD7,"PLASTIC DISTRIBUTORS & FABRICATORS, INC.",,,1.2,1.2,0.0107,18,2016-08-24,2018-10-17,yes
virginia,Submarines,N0002412C2115,unbucketed,3,L4ZMKLM4MPL3,MOOG INC.,3339,Fluid Power Cylinder and Actuator Manufacturing,1.195,1.195,0.0107,5,2016-02-22,2018-05-14,yes
virginia,Submarines,N0002412C2115,unbucketed,3,LC7UN8MJYCJ7,RBC BEARINGS INCORPORATED,3329,Industrial Valve Manufacturing,1.165,1.165,0.0104,9,2016-02-10,2018-09-28,yes
virginia,Submarines,N0002412C2115,unbucketed,3,KNAGZL3AKW44,"110 TECHNOLOGY, LLC",,,1.137,1.137,0.0101,3,2016-09-28,2016-11-02,yes
virginia,Submarines,N0002412C2115,unbucketed,3,RW4NDPS7PYF1,"RPS HOLDINGS, INC.",,,1.076,1.076,0.0096,3,2016-04-22,2016-09-21,yes
virginia,Submarines,N0002412C2115,unbucketed,3,LZP6L339NKZ9,MARINE POLYMERS INC,,,1.065,1.065,0.0095,7,2016-07-25,2018-04-27,yes
virginia,Submarines,N0002412C2115,unbucketed,3,PM3QRNLPA8K5,"RILEY POWER GROUP, LLC",,,1.04,1.04,0.0093,1,2017-03-28,2017-03-28,yes
virginia,Submarines,N0002412C2115,unbucketed,3,WJ1XMJMTSYL9,"PAROSCIENTIFIC, INC.",3345,Other Measuring and Controlling Device Manufacturing,1.025,1.074,0.0091,7,2016-09-22,2018-09-17,yes
virginia,Submarines,N0002412C2115,unbucketed,3,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,3261,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",0.994,0.994,0.0089,11,2016-02-02,2018-08-14,yes
virginia,Submarines,N0002412C2115,unbucketed,3,XDBJX5QWAM86,"SAI SYSTEMS INTERNATIONAL, INC.",,,0.968,0.968,0.0086,11,2016-09-08,2018-06-19,yes
virginia,Submarines,N0002412C2115,unbucketed,3,XLKTN1TLGB75,ELMA ELECTRONIC AG,,,0.945,0.945,0.0084,7,2017-03-07,2017-11-09,yes
virginia,Submarines,N0002412C2115,unbucketed,3,N28CNQT19JY9,"USC CONSULTING GROUP, LLC",,,0.938,0.938,0.0084,1,2018-09-11,2018-09-11,yes
virginia,Submarines,N0002412C2115,unbucketed,3,DTZJAQF8NZA1,"L-3 COMMUNICATIONS HOLDINGS, INC.",3342,Other Communications Equipment Manufacturing,0.836,0.836,0.0075,5,2016-02-23,2016-11-14,yes
virginia,Submarines,N0002412C2115,unbucketed,3,PM5WJ7WYPX53,AGGREKO PLC,5324,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,0.795,0.799,0.0071,17,2017-06-16,2018-11-13,yes
virginia,Submarines,N0002412C2115,unbucketed,3,Z19UP1U6FMT1,INDUSTRIAL TRANSFER AND STORAGE INC.,2382,Other Building Equipment Contractors,0.779,0.779,0.0069,4,2017-03-28,2018-06-12,yes
virginia,Submarines,N0002412C2115,unbucketed,3,JFSETNYJ81Y4,ELECTRONIC COMPONENTS INC.,,,0.743,0.743,0.0066,11,2017-01-13,2018-07-13,yes
virginia,Submarines,N0002412C2115,unbucketed,3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,3329,Industrial Valve Manufacturing,0.738,0.738,0.0066,8,2017-07-14,2018-10-17,yes
virginia,Submarines,N0002412C2115,unbucketed,3,YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",5613,Temporary Help Services,0.732,0.732,0.0065,11,2016-02-25,2017-12-07,yes
virginia,Submarines,N0002412C2115,unbucketed,3,NN4BTBUN58J5,"STRATUS TECHNOLOGIES, INC.",,,0.73,0.741,0.0065,15,2016-12-09,2018-11-16,yes
virginia,Submarines,N0002412C2115,unbucketed,3,ML82LTYEBMQ5,ADVANCED OFFICE SYSTEMS INC,,,0.715,0.715,0.0064,10,2017-01-10,2018-08-07,yes
virginia,Submarines,N0002412C2115,unbucketed,3,ZPZMCRH2JSA3,"EZEFLOW USA, INC.",,,0.691,0.691,0.0062,5,2017-08-07,2017-12-04,yes
virginia,Submarines,N0002412C2115,unbucketed,3,HJG5ZSLCMTJ9,MSA SAFETY INCORPORATED,3391,Surgical Appliance and Supplies Manufacturing,0.687,0.687,0.0061,1,2016-02-18,2016-02-18,yes
virginia,Submarines,N0002412C2115,unbucketed,3,L4QQJ4BH2726,SOUTHWIRE COMPANY,,,0.686,0.686,0.0061,5,2016-10-18,2018-06-13,yes
