program,family,piid,work_type,window_days,n_waves,median_gap
ddg,DDG-51,N0002419C2322,electrical,90,5,278
ddg,DDG-51,N0002419C2322,electrical,120,5,278
ddg,DDG-51,N0002419C2322,electrical,180,3,486
ddg,DDG-51,N0002419C2322,hvac,45,3,168
ddg,DDG-51,N0002419C2322,hvac,60,3,168
ddg,DDG-51,N0002419C2322,hvac,90,2,330
ddg,DDG-51,N0002419C2322,hvac,120,2,330
ddg,DDG-51,N0002419C2322,hvac,180,2,330
ddg,DDG-51,N0002419C2322,machining,45,2,453
ddg,DDG-51,N0002419C2322,machining,60,2,453
ddg,DDG-51,N0002419C2322,machining,90,2,453
ddg,DDG-51,N0002419C2322,machining,120,2,453
ddg,DDG-51,N0002419C2322,machining,180,2,453
ddg,DDG-51,N0002419C2322,piping,45,5,232
ddg,DDG-51,N0002419C2322,piping,60,5,232
ddg,DDG-51,N0002419C2322,piping,90,5,232
ddg,DDG-51,N0002419C2322,piping,120,4,265
ddg,DDG-51,N0002419C2322,piping,180,3,332
ddg,DDG-51,N0002419C2322,structural,45,7,130
ddg,DDG-51,N0002419C2322,structural,60,5,180
ddg,DDG-51,N0002419C2322,structural,90,5,180
ddg,DDG-51,N0002419C2322,structural,120,4,201
ddg,DDG-51,N0002419C2322,structural,180,3,385
ddg,DDG-51,N0002419C2322,unbucketed,45,10,108
ddg,DDG-51,N0002419C2322,unbucketed,60,7,152
ddg,DDG-51,N0002419C2322,unbucketed,90,2,662
ddg,DDG-51,N0002419C2322,unbucketed,120,2,662
ddg,DDG-51,N0002419C2322,unbucketed,180,2,662
ddg,DDG-51,N0002419C4452,electrical,45,9,134
ddg,DDG-51,N0002419C4452,electrical,60,9,134
ddg,DDG-51,N0002419C4452,electrical,90,5,315
ddg,DDG-51,N0002419C4452,electrical,120,5,315
ddg,DDG-51,N0002419C4452,electrical,180,3,604
ddg,DDG-51,N0002419C4452,hvac,45,7,120
ddg,DDG-51,N0002419C4452,hvac,60,4,388
ddg,DDG-51,N0002419C4452,hvac,90,3,400
ddg,DDG-51,N0002419C4452,hvac,120,3,400
ddg,DDG-51,N0002419C4452,hvac,180,3,400
ddg,DDG-51,N0002419C4452,machining,45,2,971
ddg,DDG-51,N0002419C4452,machining,60,2,971
ddg,DDG-51,N0002419C4452,machining,90,2,971
ddg,DDG-51,N0002419C4452,machining,120,2,971
ddg,DDG-51,N0002419C4452,machining,180,2,971
ddg,DDG-51,N0002419C4452,piping,45,4,243
ddg,DDG-51,N0002419C4452,piping,60,4,243
ddg,DDG-51,N0002419C4452,piping,90,3,265
ddg,DDG-51,N0002419C4452,piping,120,2,308
ddg,DDG-51,N0002419C4452,piping,180,1,0
ddg,DDG-51,N0002419C4452,structural,45,8,138
ddg,DDG-51,N0002419C4452,structural,60,7,144
ddg,DDG-51,N0002419C4452,structural,90,5,248
ddg,DDG-51,N0002419C4452,structural,120,4,357
ddg,DDG-51,N0002419C4452,structural,180,1,0
ddg,DDG-51,N0002419C4452,unbucketed,45,10,119
ddg,DDG-51,N0002419C4452,unbucketed,60,7,202
ddg,DDG-51,N0002419C4452,unbucketed,90,6,263
ddg,DDG-51,N0002419C4452,unbucketed,120,4,366
ddg,DDG-51,N0002419C4452,unbucketed,180,2,930
ddg,DDG-51,N0002423C2307,castings,45,5,172
ddg,DDG-51,N0002423C2307,castings,60,4,255
ddg,DDG-51,N0002423C2307,castings,90,4,255
ddg,DDG-51,N0002423C2307,castings,120,3,324
ddg,DDG-51,N0002423C2307,castings,180,3,324
ddg,DDG-51,N0002423C2307,electrical,45,5,185
ddg,DDG-51,N0002423C2307,electrical,60,5,185
ddg,DDG-51,N0002423C2307,electrical,90,4,156
ddg,DDG-51,N0002423C2307,electrical,120,3,259
ddg,DDG-51,N0002423C2307,electrical,180,1,0
ddg,DDG-51,N0002423C2307,hvac,45,6,122
ddg,DDG-51,N0002423C2307,hvac,60,5,136
ddg,DDG-51,N0002423C2307,hvac,90,4,273
ddg,DDG-51,N0002423C2307,hvac,120,2,374
ddg,DDG-51,N0002423C2307,hvac,180,2,374
ddg,DDG-51,N0002423C2307,machining,45,6,98
ddg,DDG-51,N0002423C2307,machining,60,6,98
ddg,DDG-51,N0002423C2307,machining,90,3,314
ddg,DDG-51,N0002423C2307,machining,120,3,314
ddg,DDG-51,N0002423C2307,machining,180,3,314
ddg,DDG-51,N0002423C2307,piping,45,6,144
ddg,DDG-51,N0002423C2307,piping,60,3,416
ddg,DDG-51,N0002423C2307,piping,90,1,0
ddg,DDG-51,N0002423C2307,piping,120,1,0
ddg,DDG-51,N0002423C2307,piping,180,1,0
ddg,DDG-51,N0002423C2307,structural,45,7,90
ddg,DDG-51,N0002423C2307,structural,60,6,146
ddg,DDG-51,N0002423C2307,structural,90,3,213
ddg,DDG-51,N0002423C2307,structural,120,2,278
ddg,DDG-51,N0002423C2307,structural,180,1,0
ddg,DDG-51,N0002423C2307,unbucketed,45,4,130
ddg,DDG-51,N0002423C2307,unbucketed,60,4,130
ddg,DDG-51,N0002423C2307,unbucketed,90,4,130
ddg,DDG-51,N0002423C2307,unbucketed,120,1,0
ddg,DDG-51,N0002423C2307,unbucketed,180,1,0
