program,vendor_uei,vendor_name,work_type,cut_profile,first_award,last_award,n_records,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total
virginia,J632BG3ZB8L9,"TTM TECHNOLOGIES, INC.",unbucketed,both,2022-10-06,2024-04-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.246,0.0,0.0,0.622
virginia,J7RQVJ723JM3,MADISON COMPANY,unbucketed,both,2018-05-22,2023-03-07,5,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.177,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.622
virginia,XA3VAXMUA9A8,"EAGLE INDUSTRIES, INC.",unbucketed,Virginia-only,2017-04-04,2024-09-23,3,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.612
virginia,EUB6UJ91Y997,"SENESCO MARINE, LLC",unbucketed,Virginia-only,2023-02-17,2023-07-10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612,0.0,0.0,0.0,0.612
virginia,EAZVTUEVK9J9,AIRLINE HYDRAULICS CORPORATION,unbucketed,both,2017-01-30,2024-04-15,7,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.053,0.328,0.0,0.0,0.0,0.086,0.0,0.0,0.603
virginia,PGWNKJF89FV5,ELMA ELECTRONIC INCORPORATED,unbucketed,both,2022-05-02,2023-12-04,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.15,0.082,0.0,0.0,0.578
virginia,DNDLL934GK55,CDW CORPORATION,unbucketed,both,2016-05-10,2018-09-05,7,0.0,0.0,0.0,0.0,0.106,0.0,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
virginia,GPEHQHPNYZ31,ALCO INVESTMENT COMPANY,piping,both,2019-10-09,2021-03-16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354,0.215,0.0,0.0,0.0,0.0,0.0,0.57
virginia,DN8HGRSV3LA6,OUTLAND TECHNOLOGY INC.,unbucketed,Virginia-only,2017-05-12,2024-05-30,9,0.0,0.0,0.0,0.0,0.0,0.094,0.075,0.0,0.0,0.1,0.0,0.0,0.28,0.0,0.0,0.549
virginia,KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",structural,both,2024-11-21,2025-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,0.0,0.546
virginia,H4ZMPGLLZ8D9,ARTCRAFT FABRICATORS INC,unbucketed,both,2017-09-06,2018-08-07,10,0.0,0.0,0.0,0.0,0.0,0.276,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546
virginia,MCZLJUKD4BD4,ALLEGHENY TECHNOLOGIES INCORPORATED,unbucketed,Virginia-only,2017-01-26,2017-05-31,5,0.0,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543
virginia,JGSNSER23GR6,DELL FEDERAL SYSTEMS L.P,unbucketed,both,2023-03-28,2023-06-30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539,0.0,0.0,0.0,0.539
virginia,XBY5FEGMU441,THE TIMKEN COMPANY,machining,both,2023-04-26,2024-09-12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.39,0.0,0.0,0.537
virginia,WYN3NM142HF3,"LEE COMPANY, THE",unbucketed,both,2019-05-24,2024-06-13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.225,0.0,0.0,0.0,0.147,0.0,0.0,0.529
virginia,TQ6PLXME5XE1,ADHESIVE SYSTEMS TECHNOLOGY CORPORATION,unbucketed,Virginia-only,2019-01-22,2019-01-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517
virginia,J6DMEL935CD1,XYLEM INC.,structural,Virginia-only,2019-06-14,2019-06-14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517
virginia,M2MJR8KTEQU9,BARNHART CRANE AND RIGGING CO.,unbucketed,Virginia-only,2016-11-07,2021-03-30,7,0.0,0.0,0.0,0.0,0.0,0.07,0.294,0.0,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.515
virginia,LNU9THQFHLR5,TRIFAX LLC,unbucketed,Virginia-only,2021-03-16,2021-03-16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0,0.0,0.0,0.513
virginia,JQHDLX7VEUC1,"HUISH OUTDOORS, LLC",unbucketed,Virginia-only,2016-02-24,2020-01-23,3,0.0,0.0,0.0,0.0,0.195,0.13,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.505
virginia,FJAVFFKN2LE3,"WATTEREDGE, LLC",unbucketed,Virginia-only,2023-06-21,2025-08-13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.166,0.225,0.0,0.504
virginia,VE8ASCGN1188,"S & S FOREST PRODUCTS, LLC",unbucketed,both,2021-02-10,2025-01-13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.062,0.18,0.031,0.116,0.0,0.495
virginia,JMFNDVNJ67A3,CM-MATRIX CORPORATION,unbucketed,both,2017-10-11,2023-12-15,8,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.227,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.493
virginia,DNY9WHR3SKK6,CLARK-RELIANCE LLC,unbucketed,both,2021-09-02,2025-07-25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.123,0.208,0.0,0.092,0.0,0.493
virginia,HRJNGAUKL2Q2,"HI-TEST LABORATORIES, INC.",unbucketed,both,2017-04-25,2019-06-10,8,0.0,0.0,0.0,0.0,0.0,0.274,0.086,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491
virginia,DTCND1MN7J15,ASPEQ HEATING GROUP LLC,unbucketed,both,2017-03-13,2022-01-12,14,0.0,0.0,0.0,0.0,0.0,0.139,0.045,0.307,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.489
virginia,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",unbucketed,both,2016-08-26,2021-07-15,4,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.197,0.081,0.0,0.0,0.0,0.0,0.0,0.482
virginia,K2JGXQQ8HLE5,COMPONENTS CORPORATION OF AMERICA,unbucketed,Virginia-only,2016-10-26,2025-01-03,5,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.066,0.0,0.0,0.033,0.0,0.0,0.219,0.0,0.481
virginia,GHJ6L9RLAR65,WILSON TOOL INTERNATIONAL INC.,unbucketed,Virginia-only,2017-09-05,2017-09-05,3,0.0,0.0,0.0,0.0,0.0,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476
virginia,NFDVRDBAFR87,"B.W. ELLIOTT MANUFACTURING CO., LLC",unbucketed,both,2022-10-11,2024-11-13,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.149,0.287,0.0,0.47
virginia,HB74FFGNFK17,THE DYSON CORPORATION,unbucketed,both,2016-02-03,2025-06-23,8,0.0,0.0,0.0,0.0,0.038,0.14,0.0,0.037,0.085,0.0,0.0,0.0,0.0,0.163,0.0,0.463
virginia,EU8ESM53JNE7,LANXESS CORPORATION,unbucketed,Virginia-only,2023-09-27,2023-09-27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459,0.0,0.0,0.0,0.459
virginia,LD7YXEQNEKZ3,"LINCOLN ELECTRIC AUTOMATION, INC.",piping,both,2023-02-22,2023-02-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.0,0.0,0.0,0.458
virginia,JYTYZUGUN6V3,"TRI-TEC MANUFACTURING, LLC",unbucketed,Virginia-only,2017-01-12,2019-11-22,3,0.0,0.0,0.0,0.0,0.0,0.199,0.062,0.0,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.454
virginia,VCFNC31LV829,CRANE CO,unbucketed,Virginia-only,2016-04-08,2017-05-22,2,0.0,0.0,0.0,0.0,0.119,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453
virginia,KSZBH4K529U5,"CMI, INC.",piping,both,2023-09-27,2024-06-05,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.378,0.0,0.0,0.448
virginia,DZVSKE3ZKRV4,"IE TEST, LLC",unbucketed,Virginia-only,2016-06-20,2017-11-27,6,0.0,0.0,0.0,0.0,0.049,0.15,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445
virginia,V6FJCB53JDK7,"RURAL ROUTE 2, LLC",unbucketed,both,2022-05-27,2025-07-14,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.129,0.048,0.088,0.0,0.439
virginia,FH3GTQ8ZKNT8,"ATLAS HOLDINGS, LLC",unbucketed,Virginia-only,2016-07-21,2018-10-25,9,0.0,0.0,0.0,0.0,0.043,0.186,0.117,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434
virginia,H33DK44BJZE1,HAWTHORNE MACHINERY CO.,unbucketed,Virginia-only,2017-10-30,2018-10-15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431
virginia,MC9KZKMUD8F8,"AGGREKO, LLC",unbucketed,both,2021-12-17,2023-11-16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.079,0.314,0.0,0.0,0.428
virginia,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",electrical,both,2018-06-19,2018-06-19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427
virginia,U517SU1EZGK9,"CHALMERS & KUBECK, INC.",unbucketed,both,2018-02-06,2023-08-29,10,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.166,0.211,0.0,0.0,0.0,0.418
virginia,PVUKF83PZZM6,"INTEGRO, LLC",unbucketed,Virginia-only,2016-10-07,2018-04-06,3,0.0,0.0,0.0,0.0,0.0,0.246,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418
virginia,FFL2MLNT4FN1,GARDNER DENVER NASH LLC,piping,both,2021-02-12,2021-02-12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.0,0.0,0.0,0.0,0.0,0.412
virginia,Z3KHMUV8E999,"JAN ELECTRONIC SUPPLIES, INC.",unbucketed,both,2016-05-13,2019-09-16,13,0.0,0.0,0.0,0.0,0.132,0.261,0.013,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411
virginia,K5WVCD4GUK41,JONATHAN ENGINEERED SOLUTIONS CORP.,unbucketed,both,2016-02-03,2021-12-15,13,0.0,0.0,0.0,0.0,0.041,0.134,0.121,0.09,0.0,-0.013,0.031,0.0,0.0,0.0,0.0,0.404
virginia,EREJZHBM5MU1,SPIRAX-SARCO ENGINEERING PLC,unbucketed,Virginia-only,2019-05-22,2021-03-08,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.087,0.079,0.0,0.0,0.0,0.0,0.0,0.403
virginia,ZKKURBCSEX58,OPUS INVESTMENT,unbucketed,Virginia-only,2017-08-01,2021-03-25,4,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.233,0.059,0.0,0.0,0.0,0.0,0.0,0.399
virginia,RU42J22YFWW5,"STS OPERATING, INC.",unbucketed,Virginia-only,2020-04-23,2020-04-23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.391
virginia,CL4ZKLFK5DR3,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,unbucketed,both,2017-02-20,2018-08-07,4,0.0,0.0,0.0,0.0,0.0,0.133,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385
virginia,QATEDMDR46E4,FORTIVE CORPORATION,unbucketed,Virginia-only,2018-07-02,2020-06-03,20,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.139,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.384
virginia,ZA7HPV7XXUE3,"MERRILL TECHNOLOGIES GROUP, INC.",unbucketed,both,2019-06-07,2021-07-19,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.378,0.0,0.0,0.0,0.0,0.0,0.378
virginia,NNNPMB5KA1V6,DENNEY PLASTICS MACHINING LLC,unbucketed,both,2018-07-16,2024-09-27,9,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.061,0.0,0.0,0.093,0.077,0.0,0.0,0.373
virginia,UPMWNA8Y25L1,"GEODETIC SERVICES, INC",unbucketed,both,2016-02-15,2023-09-27,9,0.0,0.0,0.0,0.0,0.058,0.125,0.13,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.371
virginia,UR5TFK3LAVL5,"FEDERAL RESOURCES SUPPLY COMPANY, LLC",unbucketed,both,2016-04-21,2024-04-15,6,0.0,0.0,0.0,0.0,0.091,0.064,0.0,0.0,0.0,0.0,0.111,0.0,0.102,0.0,0.0,0.368
virginia,DLLCKA14LMZ5,"MERRILL AVIATION, INC.",unbucketed,Virginia-only,2019-01-16,2019-05-07,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
virginia,DZ8RD2EBBMK5,GENUINE PARTS COMPANY,unbucketed,both,2017-03-30,2024-04-15,8,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.084,0.0,0.032,0.0,0.0,0.032,0.0,0.0,0.36
virginia,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,unbucketed,Virginia-only,2017-01-10,2017-06-19,5,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358
virginia,U83NQK7LLLM6,"ONE ROCK CAPITAL PARTNERS, LLC",unbucketed,both,2021-05-14,2022-02-28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.17,0.0,0.0,0.0,0.0,0.355
virginia,N9K8Y7U3RGA9,CATERPILLAR INC.,electrical,both,2017-01-06,2020-01-09,6,0.0,0.0,0.0,0.0,0.0,0.181,0.136,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.352
virginia,ZBZVJGNBJ677,AMERICAN HYDRO LLC,unbucketed,Virginia-only,2023-04-28,2023-05-19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.351
virginia,UN3TBWQUCQN4,DELTA-ELECTRO POWER INC.,unbucketed,both,2016-05-11,2017-09-21,3,0.0,0.0,0.0,0.0,0.298,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
virginia,E5XTWRMQAZN1,APPLIED PRODUCTS INC,unbucketed,Virginia-only,2023-08-04,2023-08-04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35
virginia,MAKYNVTMNZX1,"TRAC REGULATOR CO., INC.",unbucketed,Virginia-only,2019-08-26,2025-06-18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.175,0.0,0.0,0.0,0.091,0.0,0.348
virginia,WCE1F3V37MM9,SPIRAX SARCO INC,unbucketed,both,2022-03-17,2022-03-17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.0,0.0,0.0,0.0,0.338
virginia,WW6HFEMKWPC5,FRIES SPINNING & STAMPINGS INC,unbucketed,both,2017-07-27,2023-04-04,21,0.0,0.0,0.0,0.0,0.0,0.618,0.0,-0.402,0.071,-0.082,-0.005,0.137,0.0,0.0,0.0,0.337
virginia,EKY1E33VMH27,"UNITED RENTALS (NORTH AMERICA), INC.",unbucketed,both,2023-09-29,2024-11-20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.242,0.0,0.334
virginia,YLQMY5SGNE55,3M COMPANY,unbucketed,both,2017-11-01,2023-06-28,4,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.176,0.108,0.0,0.0,0.0,0.328
virginia,X4M2SP7V9BC6,"METHODS MACHINE TOOLS, INC.",unbucketed,Virginia-only,2017-07-13,2017-07-13,1,0.0,0.0,0.0,0.0,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327
virginia,PFUMVMAUF5K2,THG CORPORATION,unbucketed,Virginia-only,2016-09-22,2017-06-12,2,0.0,0.0,0.0,0.0,0.293,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326
virginia,MYDWUALGXBL5,BIOMATED SOLUTIONS LLC,unbucketed,Virginia-only,2018-11-08,2021-02-15,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.317
virginia,CP1HCZ82DJL7,NC PRECISION LLC,unbucketed,both,2024-06-28,2025-06-18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.18,0.0,0.317
virginia,GMVJD1H9JQX8,"MICROFLEX, INC.",unbucketed,both,2021-10-25,2022-11-04,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.213,0.0,0.0,0.0,0.311
virginia,H12BMH6V6495,"PIMA VALVE, LLC",unbucketed,both,2019-09-09,2021-07-23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,-0.155,0.0,0.0,0.0,0.0,0.0,0.31
virginia,QAANUA3XNWD3,PREECE INCORPORATED,unbucketed,Virginia-only,2016-02-12,2017-06-19,3,0.0,0.0,0.0,0.0,0.037,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308
virginia,HFL7UADKYZ52,"BARNHART NORTHEAST, INC.",unbucketed,Virginia-only,2022-06-09,2024-04-15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.08,0.15,0.0,0.0,0.308
virginia,WMCUE58SZBD3,MILLER ELECTRIC MFG. CO.,unbucketed,Virginia-only,2018-08-14,2018-08-14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303
virginia,D6BPMCKP2FE4,"O.C. LUGO CO., INC., THE",unbucketed,Virginia-only,2018-08-29,2018-08-29,2,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302
virginia,V62NC51F7YV1,UNIVERSITY OF DAYTON,unbucketed,Virginia-only,2018-10-29,2018-10-29,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302
virginia,DZ4JXAPAU222,"UNITED RENTALS, INC.",unbucketed,Virginia-only,2017-11-13,2019-09-16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301
virginia,LKXHMX1K3AC5,NATIONAL INSTRUMENTS CORPORATION,unbucketed,both,2021-11-08,2021-11-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3
virginia,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,unbucketed,Virginia-only,2018-09-21,2018-09-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294
virginia,KHN9PQ6VZ756,MIDSTATE INDUSTRIAL SUPPLY INC,unbucketed,Virginia-only,2022-05-03,2025-03-07,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.148,0.0,0.081,0.0,0.292
virginia,DQLZFV6PFCB9,"TATE ANDALE, LLC",unbucketed,both,2020-01-08,2020-05-07,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.288
virginia,GMBZL1B9YMW9,A W GIFFORD INC,unbucketed,Virginia-only,2019-09-13,2021-11-02,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.074,0.059,0.082,0.0,0.0,0.0,0.0,0.286
virginia,S9HRDMLBL795,"PULSCO, INC.",unbucketed,Virginia-only,2024-08-28,2024-08-28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.284
virginia,VM23NJLXLCK9,"G. O. CARLSON, INC.",unbucketed,both,2018-03-22,2018-03-22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283
virginia,YWX1QLBKSQD7,"PRC DESOTO INTERNATIONAL, INC.",unbucketed,Virginia-only,2021-08-27,2023-11-06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.274,0.0,0.0,0.28
virginia,X25CWCMUL417,"CARLLO, INC.",unbucketed,Virginia-only,2018-10-16,2018-10-16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
virginia,VJFKVNQBYVL5,GREENE RUBBER CO INC,coatings,both,2021-04-23,2025-06-06,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.054,0.0,0.193,0.0,0.278
virginia,J3HWENQMNG69,"ARCADIA MANUFACTURING GROUP, INC.",unbucketed,both,2016-09-20,2020-06-04,8,0.0,0.0,0.0,0.0,0.235,0.01,0.02,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.276
virginia,GHH5AMJ8C896,PULSAFEEDER INC,unbucketed,both,2022-05-20,2024-04-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.0,0.196,0.0,0.0,0.276
virginia,GL8XT6HAWLK1,BHI ENERGY I POWER SERVICES LLC,unbucketed,Virginia-only,2018-05-23,2018-05-23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274
virginia,PCELDZMEAL25,"MICROPORE, INC.",unbucketed,Virginia-only,2016-04-25,2016-10-11,2,0.0,0.0,0.0,0.0,0.23,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274
virginia,DKLBZLX4D674,"L&C PROTEC, INC.",unbucketed,Virginia-only,2023-02-07,2023-02-07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.273
virginia,DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",piping,Virginia-only,2025-05-22,2025-05-23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.273
virginia,LWF3CB1HFZF3,I S C O CORPORATION,unbucketed,both,2021-11-29,2024-08-20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.123,0.0,0.0,0.27
virginia,MHNEK1CGNJS9,INVESTMENT AB LATOUR,unbucketed,both,2017-04-13,2020-01-10,4,0.0,0.0,0.0,0.0,0.0,0.232,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.268
virginia,G58FFJ6F2CA7,GK MECHANICAL SYSTEMS LLC,structural,both,2016-05-24,2025-04-23,3,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.112,0.0,0.266
virginia,MT6DZPQUP663,ADOLF WURTH GMBH & CO KG,machining,both,2017-01-05,2021-10-28,5,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.062,0.0,0.061,0.078,0.0,0.0,0.0,0.0,0.263
virginia,U8SAS3VH6J38,AK INDUSTRIAL SERVICES LLC,unbucketed,Virginia-only,2018-03-05,2021-12-08,6,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.041,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.262
virginia,CAAPQGM9QL17,SOUTH BAY CABLE CORP.,unbucketed,Virginia-only,2017-09-25,2017-09-25,2,0.0,0.0,0.0,0.0,0.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261
virginia,HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",castings,both,2022-05-20,2025-08-08,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.207,0.0,0.25
virginia,WH4HRFKKT8U6,"ROMAC INDUSTRIES, INC.",piping,both,2020-05-05,2022-02-25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.054,0.0,0.0,0.0,0.0,0.248
virginia,PQXWA9BB6UJ6,"PULSCO, INC.",unbucketed,Virginia-only,2018-03-12,2018-03-12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242
virginia,VKBFB8MAZ357,TITANIUM FABRICATION CORPORATION,unbucketed,both,2016-05-03,2024-11-22,4,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.239
virginia,CBY1P9UHMVK1,"D.S. SEWING, INC.",unbucketed,Virginia-only,2018-05-09,2018-06-05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236
virginia,PM2FDF7CCNC2,"MARISCO, LTD.",machining,Virginia-only,2018-07-05,2018-07-05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234
virginia,V7GQF5M7C667,"SOUTHERN GEAR & MACHINE, INC.",unbucketed,both,2017-02-09,2021-07-15,6,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.173,0.027,0.0,0.0,0.0,0.0,0.0,0.233
virginia,C59LDR2KN4U6,"FIN-TECH, INC.",unbucketed,Virginia-only,2016-05-03,2024-04-12,10,0.0,0.0,0.0,0.0,0.031,0.09,0.031,0.031,0.0,0.0,0.0,0.039,0.01,0.0,0.0,0.232
