program,vendor_uei,vendor_name,work_type,cut_profile,first_award,last_award,n_records,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total
virginia,NTREK31GP8N3,KSARIA CORPORATION,electrical,both,2016-04-21,2024-10-15,34,0.0,0.0,0.0,0.0,0.626,0.112,0.027,1.644,0.976,0.389,2.518,0.963,0.767,0.503,0.0,8.525
virginia,NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",machining,both,2016-02-24,2025-08-15,128,0.0,0.0,0.0,0.0,0.843,0.638,0.594,1.958,1.094,0.281,0.333,0.467,1.307,0.842,0.0,8.356
virginia,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",structural,both,2016-04-11,2024-08-14,21,0.0,0.0,0.0,0.0,0.035,1.133,0.987,0.035,0.0,0.783,3.427,0.0,1.826,0.0,0.0,8.226
virginia,FFXKK2MMEM97,"DYNAMIC PRECISION GROUP, INC.",machining,both,2016-07-18,2023-12-18,45,0.0,0.0,0.0,0.0,0.761,0.988,1.919,0.194,1.45,1.485,0.413,0.466,0.368,0.0,0.0,8.043
virginia,GE4GA2B9JYF9,"MERRILL TECHNOLOGIES GROUP, LLC",piping,both,2022-05-09,2025-08-21,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.89,4.372,0.893,0.0,7.925
virginia,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP,castings,both,2017-01-09,2025-08-21,43,0.0,0.0,0.0,0.0,0.0,0.477,1.874,1.171,0.178,0.0,0.0,0.642,0.716,2.849,0.0,7.906
virginia,R9EYKGK8NKA5,"NUFLO, INC.",unbucketed,both,2016-05-27,2017-03-20,14,0.0,0.0,0.0,0.0,2.578,5.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.728
virginia,J8PKNJEX2MS2,"LOCKWOOD BROTHERS, INC.",unbucketed,both,2017-06-12,2024-07-30,12,0.0,0.0,0.0,0.0,0.0,0.805,4.584,0.0,-0.037,0.067,0.0,0.0,2.183,0.0,0.0,7.602
virginia,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",piping,both,2016-03-09,2019-10-22,24,0.0,0.0,0.0,0.0,0.141,0.132,0.658,6.096,0.027,0.0,0.0,0.0,0.0,0.0,0.0,7.054
virginia,ZFQBUPK552C3,THE H R HILLERY COMPANY,structural,both,2016-04-22,2024-11-13,45,0.0,0.0,0.0,0.0,0.026,0.519,0.395,0.188,0.0,0.189,0.696,0.915,3.756,0.365,0.0,7.05
virginia,FWF8QBPCGLG3,GENERAL TOOL COMPANY,machining,both,2016-11-16,2025-08-07,25,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.079,0.243,0.183,1.778,1.697,0.69,1.784,0.0,6.662
virginia,VLY1XBVNLJK8,RAG-STIFTUNG,coatings,Virginia-only,2017-02-17,2021-09-28,29,0.0,0.0,0.0,0.0,0.0,0.17,4.27,0.359,0.357,1.451,0.0,0.0,0.0,0.0,0.0,6.607
virginia,E2P8AAJA2LK5,"MICRO PRECISION, LLC",machining,both,2016-04-13,2025-06-25,107,0.0,0.0,0.0,0.0,0.171,1.335,1.21,0.545,1.204,0.242,0.024,0.172,1.589,0.11,0.0,6.602
virginia,E86GJS762JJ5,TOTAL SA,coatings,both,2022-02-16,2023-07-27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.446,0.097,0.0,0.0,0.0,6.543
virginia,UMMDFSB4ARJ7,TECHPRECISION CORPORATION,structural,both,2016-08-18,2021-09-07,42,0.0,0.0,0.0,0.0,0.212,0.59,2.134,2.538,0.64,0.328,0.0,0.0,0.0,0.0,0.0,6.442
virginia,Q35JL9GFCAK3,MAROTTA CONTROLS INC,piping,both,2017-08-25,2022-03-18,12,0.0,0.0,0.0,0.0,0.0,0.462,2.808,2.5,0.0,1.009,-0.411,0.0,0.0,0.0,0.0,6.368
virginia,WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",piping,both,2023-09-27,2025-08-21,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,2.207,3.887,0.0,6.262
virginia,FR7WWCCNBQZ6,D K MACHINE INC,piping,both,2018-06-05,2020-05-01,17,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.89,5.118,0.0,0.0,0.0,0.0,0.0,0.0,6.117
virginia,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,piping,both,2016-11-09,2025-08-20,47,0.0,0.0,0.0,0.0,0.0,0.698,0.133,3.197,0.883,0.154,0.198,0.177,0.093,0.339,0.0,5.874
virginia,CE3HF8PLAFD3,"MILWAUKEE VALVE COMPANY, LLC",piping,both,2022-10-18,2024-09-27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509,5.164,0.0,0.0,5.673
virginia,JSAXGRLNEJ63,"COLONNA'S SHIP YARD, INCORPORATED",structural,both,2023-03-13,2024-05-31,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819,3.726,0.0,0.0,5.545
virginia,LL4CVJVLBGN1,QINETIQ GROUP PLC,electrical,both,2019-04-24,2023-05-04,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.519,0.0,1.352,0.0,2.664,0.0,0.0,0.0,5.535
virginia,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",structural,both,2019-07-30,2025-07-29,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,2.8,0.425,1.603,0.207,0.0,5.461
virginia,C1B6X8AADFB1,"COMSACO, INC.",unbucketed,both,2018-05-29,2025-01-24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.132,4.826,0.104,0.0,0.0,0.039,0.0,0.221,0.0,5.323
virginia,VXHFDAKS2LZ6,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,machining,both,2023-04-11,2025-01-09,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,5.041,0.0,5.285
virginia,WAJ6RKYZTYL3,C & C METALS ENGINEERING INC,machining,both,2019-03-05,2025-08-06,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.884,0.454,0.752,0.826,0.528,1.405,0.0,5.246
virginia,MENSE2ENG8J6,ARCLINE INVESTMENT MANAGEMENT LP,piping,both,2019-10-01,2021-12-17,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092,3.415,0.64,0.0,0.0,0.0,0.0,5.147
virginia,QVMBB4UCMEH4,"ELECTRO MECHANICAL SPECIALISTS, LLC",unbucketed,both,2016-05-03,2024-08-16,24,0.0,0.0,0.0,0.0,3.417,0.19,0.172,0.025,0.451,0.0,0.083,0.0,0.497,0.0,0.0,4.836
virginia,MF1LU8RPCMB8,RANOR INC.,structural,both,2021-04-23,2025-10-21,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.187,1.075,2.353,0.649,0.3,4.583
virginia,RXA2JHPN9JD3,"BRANTNER AND ASSOCIATES, INC.",electrical,both,2022-03-09,2025-01-22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.265,2.245,0.767,0.274,0.0,4.552
virginia,MVJ8B69F5CL6,"RIGGINS COMPANY, L.C.",structural,both,2019-02-26,2025-08-22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498,0.0,0.0,0.0,0.089,1.614,1.341,0.0,4.541
virginia,UAC2KLJM4XY1,TRANSDIGM GROUP INCORPORATED,unbucketed,both,2016-02-12,2022-01-24,15,0.0,0.0,0.0,0.0,0.111,0.104,0.0,0.212,3.775,0.215,0.071,0.0,0.0,0.0,0.0,4.487
virginia,FH39KDCYBK21,"HTP MEDS, LLC",unbucketed,both,2018-08-17,2021-12-15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.111,0.065,4.166,0.0,0.0,0.0,0.0,4.391
virginia,MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",piping,both,2016-08-30,2024-11-14,7,0.0,0.0,0.0,0.0,0.232,0.451,0.0,0.729,0.0,1.159,0.0,0.0,0.0,1.707,0.0,4.279
virginia,QB7EKDNK2E83,SHELBY SUPPLY CO LLC,machining,both,2016-02-16,2024-11-08,45,0.0,0.0,0.0,0.0,0.026,0.064,0.492,0.0,0.0,0.031,0.788,0.924,1.174,0.777,0.0,4.276
virginia,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",hvac,both,2017-05-31,2025-07-25,18,0.0,0.0,0.0,0.0,0.0,0.089,0.14,0.875,0.034,0.0,0.0,0.574,0.358,2.176,0.0,4.247
virginia,WLEATDDTMCT3,"GRAYCLIFF PARTNERS, LP",piping,both,2016-09-20,2021-12-21,40,0.0,0.0,0.0,0.0,-0.002,0.493,0.648,0.98,0.472,1.148,0.5,0.0,0.0,0.0,0.0,4.239
virginia,LYV8XEV314F6,UNIVERSAL MANUFACTURING CORP.,structural,both,2019-06-17,2024-06-17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,1.518,2.629,0.0,0.0,4.188
virginia,E9DKKLZNCQS9,TRIDENT MARITIME SYSTEMS UK LIMITED,electrical,both,2022-06-23,2025-04-08,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.638,0.629,4.109,0.0,4.141
virginia,RM4TFABVLPX4,"CP INDUSTRIES HOLDINGS, INC",structural,both,2023-03-10,2023-03-10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.122,0.0,0.0,0.0,4.122
virginia,XH9ADBLZRMF1,MELLINGER ENGINEERING GROUP LLC,unbucketed,both,2018-06-01,2019-12-13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.846,2.627,0.645,0.0,0.0,0.0,0.0,0.0,0.0,4.118
