piid,in_scope_17,records,total_dollars,eb_dollars,eb_pct,hii_dollars,hii_pct,other_us_dollars,other_us_pct,foreign_dollars,foreign_pct,unknown_dollars,unknown_pct,top_pop_state,top_pop_state_pct,top_pop_city,top_pop_city_pct
M0026421F0131,no,7,5029496.8,0,0.0,0,0.0,5029496.8,100.0,0,0.0,0,0.0,VA,100.0,"QUANTICO, VA",100.0
N0001923F0111,no,2,5022464.1,0,0.0,0,0.0,5022464.1,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N6833523C0190,no,7,4999998.0,0,0.0,0,0.0,4999998.0,100.0,0,0.0,0,0.0,FL,100.0,"NICEVILLE, FL",100.0
N0010424CZA58,no,2,4998240.0,0,0.0,0,0.0,4998240.0,100.0,0,0.0,0,0.0,PA,100.0,"BETHLEHEM, PA",100.0
N0010419CFA32,no,16,4989840.0,0,0.0,0,0.0,4989840.0,100.0,0,0.0,0,0.0,PA,100.0,"BETHLEHEM, PA",100.0
N3220525P5069,no,2,4973864.0,0,0.0,0,0.0,0,0.0,4973864.0,100.0,0,0.0,,0.0,,0.0
N0002419C2125,no,2,4876017.0,4876017.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0010424PZB26,no,2,4866291.53,0,0.0,0,0.0,4866291.53,100.0,0,0.0,0,0.0,CA,100.0,"CHULA VISTA, CA",100.0
N0010424FZU01,no,5,4861555.0,0,0.0,0,0.0,4861555.0,100.0,0,0.0,0,0.0,PA,100.0,"BETHLEHEM, PA",100.0
N0010422FU101,no,6,4845720.0,0,0.0,0,0.0,4845720.0,100.0,0,0.0,0,0.0,PA,100.0,"ERIE, PA",100.0
N0002419F4128,no,1,4840640.0,0,0.0,0,0.0,4840640.0,100.0,0,0.0,0,0.0,MA,100.0,"WALPOLE, MA",100.0
N4033919CF008,no,45,4835187.0,0,0.0,0,0.0,0,0.0,4835187.0,100.0,0,0.0,,0.0,,0.0
N0016420FJ046,no,6,4769012.9,0,0.0,0,0.0,4769012.9,100.0,0,0.0,0,0.0,IN,100.0,"CRANE, IN",100.0
N0003024C1005,no,4,4722953.0,0,0.0,0,0.0,4722953.0,100.0,0,0.0,0,0.0,MA,100.0,"PITTSFIELD, MA",100.0
N0010418CFA73,no,6,4716783.0,0,0.0,0,0.0,4716783.0,100.0,0,0.0,0,0.0,PA,100.0,"CHESWICK, PA",100.0
N0010418CFA68,no,6,4715066.0,0,0.0,0,0.0,4715066.0,100.0,0,0.0,0,0.0,PA,100.0,"ERIE, PA",100.0
N0001422C2015,no,18,4705849.0,0,0.0,0,0.0,4705849.0,100.0,0,0.0,0,0.0,FL,60.37,"NICEVILLE, FL",60.37
N0042119F0476,no,4,4701760.0,0,0.0,0,0.0,4701760.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002419F4130,no,5,4666164.0,0,0.0,0,0.0,4666164.0,100.0,0,0.0,0,0.0,MA,100.0,"WALPOLE, MA",100.0
N0017422C0005,no,8,4665294.0,0,0.0,0,0.0,4665294.0,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N6264520F0063,no,6,4585271.08,0,0.0,0,0.0,4585271.08,100.0,0,0.0,0,0.0,VA,100.0,"PORTSMOUTH, VA",100.0
N0042125F0205,no,3,4574624.0,0,0.0,0,0.0,4574624.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0016725F0043,no,2,4552044.05,0,0.0,0,0.0,4552044.05,100.0,0,0.0,0,0.0,MN,74.14,"MINNEAPOLIS, MN",74.14
N4523A24P0302,no,4,4524264.41,0,0.0,0,0.0,4524264.41,100.0,0,0.0,0,0.0,CA,100.0,"CHULA VISTA, CA",100.0
N0017425F1148,no,3,4502683.36,0,0.0,0,0.0,4502683.36,100.0,0,0.0,0,0.0,MA,100.0,"NORFOLK, MA",100.0
M6700118F0137,no,8,4499057.8,0,0.0,0,0.0,4499057.8,100.0,0,0.0,0,0.0,GA,100.0,"ALBANY, GA",100.0
M9549421F1019,no,7,4471095.9,0,0.0,0,0.0,4471095.9,100.0,0,0.0,0,0.0,DC,100.0,"WASHINGTON, DC",100.0
0039,no,29,4468346.3,0.0,0.0,0,0.0,4468346.3,100.0,0,0.0,0,0.0,PA,97.21,"CRUM LYNNE, PA",136.28
M0026422P0006,no,7,4458534.14,0,0.0,0,0.0,4458534.14,100.0,0,0.0,0,0.0,VA,100.0,"QUANTICO, VA",100.0
N4523A18C1306,no,12,4448705.93,0,0.0,0,0.0,4448705.93,100.0,0,0.0,0,0.0,PA,100.0,"CHESWICK, PA",100.0
M6700425F1006,no,5,4442999.99,0,0.0,0,0.0,4442999.99,100.0,0,0.0,0,0.0,FL,100.0,"JACKSONVILLE, FL",100.0
M6785421F0026,no,4,4425594.83,0,0.0,0,0.0,4425594.83,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
N0001420C1063,no,9,4386951.0,0,0.0,0,0.0,4386951.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
M6785422F0027,no,2,4377253.85,0,0.0,0,0.0,4377253.85,100.0,0,0.0,0,0.0,VA,100.0,"STAFFORD, VA",100.0
