program,work_type,vendor_uei,vendor_name,basis,n_awards_fy22_25,dollars_fy22_25_$M,n_awards_all,dollars_all_$M,first_award_date,first_award_fy,last_award_date,is_new_entrant_fy22_25,also_active_other_program,median_interaward_days,max_gap_days,exited_flag,n_piids,piids
submarines,unbucketed,EANJVKFHMSZ8,"GULF FASTENER, INC.",residual,0,0.0,1,0.063,2020-10-27,2021,2020-10-27,False,True,,,False,1,N0002417C2100
submarines,unbucketed,G3MFPVJHC8R1,"FRS HOLDINGS, INC.",residual,0,0.0,9,1.047,2019-04-10,2019,2021-09-10,False,False,78,385,False,2,N0002417C2100;N0002417C2117
submarines,unbucketed,MLZGT2BJ4J13,"ENPRO INDUSTRIES, INC.",residual,0,0.0,1,-0.212,2018-05-11,2018,2018-05-11,False,True,,,False,1,N0002417C2100
submarines,unbucketed,FHJHVERLNXU7,EAGLE LEASING COMPANY THE,residual,0,0.0,1,0.048,2021-05-14,2021,2021-05-14,False,False,,,False,1,N0002417C2100
submarines,unbucketed,KK9HWTR6SM49,"DUER /CAROLINA COIL, INCORPORATED",residual,0,0.0,2,0.003,2021-07-22,2021,2021-08-11,False,False,20,20,False,1,N0002417C2100
submarines,unbucketed,NFADFBRR9XM6,"SOURCE CODE MIDCO, LLC",residual,0,0.0,7,2.405,2020-05-20,2020,2021-09-30,False,False,77.0,335,False,2,N0002417C2100;N0002417C2117
submarines,unbucketed,E5PDQFYJJD43,ESSAR GLOBAL LIMITED,residual,0,0.0,1,0.054,2019-07-29,2019,2019-07-29,False,False,,,False,1,N0002417C2100
submarines,unbucketed,K5CLWKFJGGB9,"BEAR MACHINERY, INC.",residual,0,0.0,1,-0.0,2017-08-23,2017,2017-08-23,False,False,,,False,1,N0002417C2100
submarines,unbucketed,V8NJNRJ95KX5,B F METALS INC,residual,0,0.0,1,0.03,2019-09-16,2019,2019-09-16,False,False,,,False,1,N0002417C2100
submarines,unbucketed,V8HLLRJLCQH6,"ALBANY VALVE & FITTING CO., INC.",residual,0,0.0,1,0.025,2019-12-19,2020,2019-12-19,False,False,,,False,1,N0002417C2100
submarines,unbucketed,RQQYADH1UBU8,AIR TOOL SALES & SERVICE CO INC,residual,0,0.0,3,0.107,2020-05-11,2020,2021-07-07,False,False,422,422,False,1,N0002417C2100
submarines,unbucketed,LEC1VZC9HL25,"A.C.R. MACHINE, INC.",residual,0,0.0,1,0.038,2021-06-01,2021,2021-06-01,False,False,,,False,1,N0002417C2100
submarines,unbucketed,CE2KRB2JPVS4,"WSC FEDERAL, LLC",residual,0,0.0,1,0.025,2018-01-10,2018,2018-01-10,False,False,,,False,1,N0002417C2117
submarines,unbucketed,NNRGV1N3Y1G5,"WOLF ROBOTICS, LLC",residual,0,0.0,1,0.027,2021-02-25,2021,2021-02-25,False,False,,,False,1,N0002417C2117
submarines,unbucketed,MH4FDVBB4G88,WILLSCOT MOBILE MINI HOLDINGS CORP.,residual,0,0.0,1,0.144,2021-08-24,2021,2021-08-24,False,False,,,False,1,N0002417C2117
submarines,unbucketed,LW4AM44TTKU4,TDR CAPITAL LLP,residual,0,0.0,1,0.068,2018-07-31,2018,2018-07-31,False,False,,,False,1,N0002417C2117
submarines,unbucketed,N97CM6A1C2M7,"WESTMORELAND MECHANICAL TESTING & RESEARCH, INC.",residual,0,0.0,2,0.034,2019-02-07,2019,2019-02-07,False,False,,,False,1,N0002417C2117
submarines,unbucketed,LJNPJQVBN8R9,"SCIENS BUILDING SOLUTIONS, LLC",residual,0,0.0,2,0.091,2019-04-09,2019,2019-04-12,False,False,3,3,False,1,N0002417C2117
submarines,unbucketed,KN4DLHTLNCS8,"OCTOPUS INDUSTRIES, INC.",residual,0,0.0,1,0.03,2020-11-06,2021,2020-11-06,False,True,,,False,1,N0002417C2117
submarines,unbucketed,MG7DTFNAUC53,UNITED ELECTRIC CONTROLS COMPANY,residual,0,0.0,2,0.125,2018-02-27,2018,2018-02-27,False,False,,,False,1,N0002417C2117
submarines,unbucketed,GL44UBJEKJK1,"TRENTON SYSTEMS, INC",residual,0,0.0,1,0.027,2018-04-02,2018,2018-04-02,False,False,,,False,1,N0002417C2117
submarines,unbucketed,H4NUSZNWG4K6,"SOUND MECHANICAL, INC.",residual,0,0.0,2,0.05,2020-04-15,2020,2020-04-15,False,False,,,False,1,N0002417C2117
submarines,unbucketed,C42JQSEUNF23,SOPHEON PLC,residual,0,0.0,2,0.328,2021-01-14,2021,2021-01-14,False,False,,,False,1,N0002417C2117
submarines,unbucketed,MN5LYLMWBGK8,"SIMULATION AND CONTROL TECHNOLOGIES, INC.",residual,0,0.0,2,0.112,2021-04-07,2021,2021-04-07,False,False,,,False,1,N0002417C2117
submarines,unbucketed,W7FFRAVN1DA9,"SECURESTRUX, LLC",residual,0,0.0,1,0.243,2021-05-13,2021,2021-05-13,False,False,,,False,1,N0002417C2117
submarines,unbucketed,TNDFBBB3HBK1,H Y D A C TECHNOLOGY GMBH,residual,0,0.0,1,0.001,2018-09-17,2018,2018-09-17,False,False,,,False,1,N0002417C2117
submarines,unbucketed,WQVZMVXE2MK6,L & O HOLDING GMBH & CO. KG,residual,0,0.0,1,0.025,2018-06-06,2018,2018-06-06,False,False,,,False,1,N0002417C2117
submarines,unbucketed,VQMRYA1EN3J9,"R KEOUGH CONSTRUCTION, CO.",residual,0,0.0,1,-0.561,2020-08-03,2020,2020-08-03,False,False,,,False,1,N0002417C2117
submarines,unbucketed,EBMBBLNWAZS8,"PRECISION RESOURCES, INC.",residual,0,0.0,3,2.61,2018-09-14,2018,2018-09-14,False,False,,,False,1,N0002417C2117
submarines,unbucketed,R5RBSCTJTWZ6,PICKERING GROUP LIMITED,residual,0,0.0,4,0.055,2021-03-18,2021,2021-08-06,False,False,70.5,102,False,1,N0002417C2117
submarines,unbucketed,LFN2ND9H69T1,PARASOFT CORPORATION,residual,0,0.0,2,0.081,2017-12-06,2018,2017-12-06,False,False,,,False,1,N0002417C2117
submarines,unbucketed,MS5YBJZS9Y46,"ON ASSIGNMENT, INC.",residual,0,0.0,1,0.718,2019-09-12,2019,2019-09-12,False,False,,,False,1,N0002417C2117
submarines,unbucketed,L7DWM5VV9T97,NTS TECHNICAL SYSTEMS,residual,0,0.0,2,0.015,2018-06-11,2018,2018-06-11,False,False,,,False,1,N0002417C2117
submarines,unbucketed,KQJTYTVTATY8,"NORTH ATLANTIC INDUSTRIES, INC.",residual,0,0.0,2,0.297,2020-11-06,2021,2021-09-02,False,False,300,300,False,1,N0002417C2117
submarines,unbucketed,H1WGM2HUFNB3,NDI ENGINEERING COMPANY,residual,0,0.0,2,0.1,2020-08-27,2020,2021-01-29,False,False,155,155,False,1,N0002417C2117
submarines,unbucketed,DQ8FL1MAR4K5,"NAVAL AND MARITIME CONSORTIUM, INC.",residual,0,0.0,1,0.3,2021-06-18,2021,2021-06-18,False,False,,,False,1,N0002417C2117
submarines,unbucketed,F3XKPA82MHQ5,"NAG, LLC",residual,0,0.0,5,0.095,2019-03-26,2019,2021-01-22,False,True,334.0,637,False,1,N0002417C2117
submarines,unbucketed,GWJVH3CYE2F1,MID STATE FIRE EQUIPMENT INC,residual,0,0.0,1,0.084,2019-10-09,2020,2019-10-09,False,False,,,False,1,N0002417C2117
submarines,unbucketed,DJMMEPKGGNB3,TE CONNECTIVITY LTD.,residual,0,0.0,1,0.005,2021-03-03,2021,2021-03-03,False,False,,,False,1,N0002417C2117
submarines,unbucketed,F7J2BU8VKSL8,"MCALLISTER TOWING AND TRANSPORTATION COMPANY, INC.",residual,0,0.0,1,0.146,2021-06-25,2021,2021-06-25,False,False,,,False,1,N0002417C2117
submarines,unbucketed,J9PPG7L67SD3,"MAYCO HOLDINGS, LLC",residual,0,0.0,2,0.192,2018-11-02,2019,2021-01-14,False,False,804,804,False,1,N0002417C2117
submarines,unbucketed,MTNSMCNJCNE1,"LJM PACKAGING CO., INC.",residual,0,0.0,9,4.441,2018-06-11,2018,2019-04-11,False,False,152.0,210,False,1,N0002417C2117
submarines,unbucketed,F4JJL7645T67,LEXINGTON SOFT LLC,residual,0,0.0,2,0.083,2018-05-31,2018,2021-06-25,False,False,1121,1121,False,1,N0002417C2117
submarines,unbucketed,M6N3M8GCHLN5,LAL ACQUISITION INC.,residual,0,0.0,1,0.193,2019-10-24,2020,2019-10-24,False,False,,,False,1,N0002417C2117
submarines,unbucketed,PTMFLMD2CUB4,"L3HARRIS TECHNOLOGIES, INC.",residual,0,0.0,2,2.268,2021-06-25,2021,2021-09-28,False,False,95,95,False,1,N0002417C2117
submarines,unbucketed,KFF4DTT9LFJ3,"KELLY CONTAINER, INC.",residual,0,0.0,2,0.232,2018-05-08,2018,2018-09-18,False,False,133,133,False,1,N0002417C2117
submarines,unbucketed,K7WHM32LWU64,"IVEY'S CONSTRUCTION, INC.",residual,0,0.0,1,0.244,2018-09-24,2018,2018-09-24,False,False,,,False,1,N0002417C2117
submarines,unbucketed,CSGCTF11C2V9,INSTRUMENTS INCORPORATED,residual,0,0.0,1,0.108,2018-03-22,2018,2018-03-22,False,False,,,False,1,N0002417C2117
submarines,unbucketed,SHDVJS6DKEX1,LAG INTERNATIONAL S.A.,residual,0,0.0,1,11.917,2021-01-20,2021,2021-01-20,False,False,,,False,1,N0002417C2117
submarines,unbucketed,HTHFAYHMJWT4,"HEILIND ELECTRONICS, INC",residual,0,0.0,1,-0.0,2021-04-15,2021,2021-04-15,False,True,,,False,1,N0002417C2117
submarines,unbucketed,H5YBZ3M7LKG3,"HAYES PUMP, INC.",residual,0,0.0,2,0.514,2020-10-29,2021,2021-02-10,False,False,104,104,False,1,N0002417C2117
submarines,unbucketed,PX5GZY3JUU27,HALLMAN SEPTIC SERVICE LLC,residual,0,0.0,1,0.028,2017-03-21,2017,2017-03-21,False,False,,,False,1,N0002417C2117
submarines,unbucketed,DWMEGPGHBGY5,GENERAL DIGITAL CORPORATION,residual,0,0.0,1,0.17,2020-10-28,2021,2020-10-28,False,False,,,False,1,N0002417C2117
submarines,unbucketed,EHQGGH9CG9U7,"FAIRLEAD INTEGRATED POWER & CONTROLS, LLC",residual,0,0.0,1,0.096,2018-01-08,2018,2018-01-08,False,False,,,False,1,N0002417C2117
submarines,unbucketed,FA62JCF2JGN7,ENSAFE INC.,residual,0,0.0,3,0.173,2018-05-21,2018,2018-05-21,False,False,,,False,1,N0002417C2117
submarines,unbucketed,RKLZWNHGDHP7,"EBDG, INC.",residual,0,0.0,3,0.028,2018-11-21,2019,2021-01-20,False,False,791,791,False,1,N0002417C2117
submarines,unbucketed,RNWJCAQL4ZD7,"EIMC, LLC",residual,0,0.0,2,0.23,2019-12-03,2020,2020-05-14,False,False,163,163,False,1,N0002417C2117
submarines,unbucketed,FH7ML8E9EWJ7,"DYNETICS, INC.",residual,0,0.0,2,0.255,2019-07-03,2019,2019-07-08,False,False,5,5,False,1,N0002417C2117
submarines,unbucketed,NFCDTTZM5JL3,DUREX INTERNATIONAL CORP.,residual,0,0.0,3,1.165,2018-03-08,2018,2019-05-23,False,False,220.5,253,False,1,N0002417C2117
submarines,unbucketed,MQHCDMP17GK7,"DRAKA CABLETEQ USA, INC.",residual,0,0.0,1,0.16,2018-08-03,2018,2018-08-03,False,False,,,False,1,N0002417C2117
submarines,unbucketed,MUW4M1JLNY19,DIXIE TANK COMPANY,residual,0,0.0,3,0.191,2018-08-13,2018,2018-08-13,False,False,,,False,1,N0002417C2117
submarines,unbucketed,XRU8MN24H8C5,PINNACLE TECHNOLOGIES CORPORATION,residual,0,0.0,1,0.044,2021-07-27,2021,2021-07-27,False,False,,,False,1,N0002417C2117
submarines,unbucketed,UAWKMCFNMNT1,"CRAIG TECHNOLOGIES AEROSPACE SOLUTIONS, LLC",residual,0,0.0,7,2.238,2018-02-02,2018,2018-09-07,False,False,217,217,False,1,N0002417C2117
submarines,unbucketed,M6SKXVEXY4G3,"CMT MATERIALS, INC.",residual,0,0.0,1,0.001,2019-04-24,2019,2019-04-24,False,False,,,False,1,N0002417C2117
submarines,unbucketed,K151N8EJE998,"CLIMAX PORTABLE MACHINE TOOLS, INC.",residual,0,0.0,8,3.771,2018-03-22,2018,2019-02-22,False,False,26.0,281,False,1,N0002417C2117
