program,work_type,vendor_uei,vendor_name,basis,n_awards_fy22_25,dollars_fy22_25_$M,n_awards_all,dollars_all_$M,first_award_date,first_award_fy,last_award_date,is_new_entrant_fy22_25,also_active_other_program,median_interaward_days,max_gap_days,exited_flag,n_piids,piids
ddg,castings,SVXNHLLWX953,ELLWOOD NATIONAL FORGE COMPANY,registry,7,28.866,7,28.866,2024-03-06,2024,2025-08-11,True,True,131,157,False,2,N0002418C2307;N0002423C2307
ddg,castings,SNP5XVVL5896,ELLWOOD NATIONAL FORGE COMPANY,registry,2,14.221,2,14.221,2023-11-01,2024,2023-11-01,True,False,,,True,1,N0002423C2307
ddg,castings,GZKZJF8DBJJ2,"LISTER CHAIN AND FORGE, INC.",naics4,4,2.52,12,5.466,2013-07-31,2013,2022-06-22,False,False,313,1388,True,2,N0002413C2307;N0002418C2307
ddg,castings,FLQJXSFMNQP6,LISTER CHAIN & FORGE INC,naics4,2,1.441,2,1.441,2024-12-09,2025,2025-05-06,True,False,148,148,False,2,N0002418C2307;N0002423C2307
ddg,castings,P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,naics4,11,0.961,19,1.549,2016-08-11,2016,2025-10-16,False,False,98,697,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,castings,YN8EW4XM28Z1,"WASHINGTON CHAIN & SUPPLY, INC.",naics4,1,0.428,1,0.428,2023-10-24,2024,2023-10-24,True,False,,,False,1,N0002418C2307
ddg,castings,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",naics4,4,0.354,17,1.441,2013-07-24,2013,2025-11-26,False,True,300,1013,False,2,N0002413C2307;N0002418C2307
ddg,castings,N9DVRB18H324,ELLWOOD CITY FORGE COMPANY,naics4,1,0.35,1,0.35,2022-09-22,2022,2022-09-22,True,False,,,False,1,N0002418C2307
ddg,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,registry,1,0.041,1,0.041,2025-05-01,2025,2025-05-01,True,True,,,False,1,N0002418C2307
ddg,castings,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",naics4,0,0.0,18,48.531,2013-07-29,2013,2021-06-11,False,True,196,1299,False,2,N0002413C2307;N0002418C2307
ddg,coatings,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,registry,17,6.431,41,10.791,2015-08-24,2015,2025-12-08,False,False,36,1528,False,4,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307
ddg,coatings,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",registry,11,1.964,20,3.196,2013-09-18,2013,2023-11-27,False,False,92,1725,True,5,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002419C2322
ddg,coatings,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,naics4,6,1.351,10,1.563,2019-09-05,2019,2025-09-30,False,True,180,773,False,2,N0002413C2307;N0002418C2307
ddg,coatings,PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,residual,12,0.489,21,0.846,2013-05-23,2013,2025-11-25,False,True,64,1620,False,4,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307
ddg,coatings,EGAVSJTA2D81,RAYTHEON COMPANY,registry,3,0.449,3,0.449,2023-07-26,2023,2024-11-25,True,True,244.0,392,True,2,N0002418C2305;N0002418C2307
ddg,coatings,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",naics4,0,0.0,15,1.376,2013-05-09,2013,2018-04-27,False,True,123.0,398,False,3,N0002411C2307;N0002411C2309;N0002413C2307
ddg,coatings,E86GJS762JJ5,TOTAL SA,registry,0,0.0,1,0.241,2018-08-14,2018,2018-08-14,False,True,,,False,1,N0002414C4313
ddg,electrical,W8PTMRME1496,LEONARDO SPA,naics4,104,70.144,303,150.144,2013-07-11,2013,2026-03-06,False,True,9.5,256,False,10,N0002411C2307;N0002411C2309;N0002413C2305;N0002413C2307;N0002414C4313;N0002418C2305;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307
ddg,electrical,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",registry,15,40.637,18,49.318,2024-02-19,2024,2025-10-31,True,True,63,199,False,2,N0002418C2307;N0002423C2307
ddg,electrical,HLE1E2KALJA5,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",registry,24,29.929,24,29.929,2023-12-08,2024,2024-11-12,True,False,38,167,True,3,N0002418C2307;N0002419C4452;N0002423C2307
ddg,electrical,YYVHWZMPP3F8,DRS NAVAL POWER SYSTEMS INC,residual,34,28.173,34,28.173,2022-03-04,2022,2023-11-30,True,True,10,273,True,6,N0002413C2305;N0002413C2307;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307
ddg,electrical,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,registry,35,24.056,75,53.599,2016-11-30,2017,2026-02-27,False,True,64.5,298,False,4,N0002413C2307;N0002418C2305;N0002418C2307;N0002423C2307
ddg,electrical,MKXMUFJJYLY5,WARD LEONARD CT LLC,registry,12,12.797,12,12.797,2024-08-30,2024,2025-08-27,True,True,20,333,False,1,N0002423C2307
ddg,electrical,JCBMC726D155,BOGUE SYSTEMS INC,naics4,24,7.279,26,7.773,2022-08-11,2022,2026-01-30,True,False,69,228,False,3,N0002418C2307;N0002419C2322;N0002423C2307
ddg,electrical,SKKACASET588,DYNALEC CORPORATION,registry,68,7.271,203,16.225,2013-04-12,2013,2026-01-14,False,True,16,203,False,6,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002419C4452;N0002423C2307
ddg,electrical,CMANNFGEFNP6,WARD LEONARD CT LLC,registry,1,3.328,1,3.328,2022-05-16,2022,2022-05-16,True,True,,,False,1,N0002418C2307
ddg,electrical,C7QHHMJEALN1,"MONROE CABLE COMPANY, INC., THE",registry,1,3.282,2,8.128,2021-06-03,2021,2022-06-02,False,True,364,364,True,2,N0002418C2305;N0002418C2307
ddg,electrical,ZU51LS7JZ8L5,"FCX SYSTEMS, INC.",naics4,4,2.937,5,3.065,2021-02-15,2021,2025-03-12,False,False,408.0,663,False,1,N0002418C2307
ddg,electrical,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",registry,18,2.921,53,18.836,2019-08-02,2019,2025-12-18,False,True,21,441,False,5,N0002413C2307;N0002418C2305;N0002418C2307;N0002419C4452;N0002423C2307
ddg,electrical,PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",naics4,7,2.852,12,5.346,2020-01-10,2020,2025-12-19,False,False,207,659,False,2,N0002413C2307;N0002418C2307
ddg,electrical,P2LKC7KAFFR2,"FAIRMOUNT AUTOMATION, INC.",naics4,2,2.688,2,2.688,2023-02-08,2023,2023-02-08,True,False,,,True,1,N0002419C2322
ddg,electrical,C1B6X8AADFB1,"COMSACO, INC.",naics4,6,2.25,15,4.595,2015-11-03,2016,2025-03-14,False,True,210,734,False,3,N0002413C2305;N0002413C2307;N0002418C2307
ddg,electrical,PU6TDFGSJQA3,DYNALEC CORPORATION,registry,16,1.845,16,1.845,2023-09-27,2023,2023-12-22,True,False,11,16,True,2,N0002418C2307;N0002423C2307
ddg,electrical,UK6NAHCH8459,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",naics4,4,1.608,20,3.752,2013-07-15,2013,2025-12-04,False,False,302,934,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,electrical,T5CFQAL52L76,KATO ENGINEERING INC.,naics4,6,1.293,6,1.293,2024-02-12,2024,2024-02-12,True,False,,,True,1,N0002419C4452
ddg,electrical,PG7AZJQMRL27,"ASCO POWER TECHNOLOGIES, L.P.",naics4,5,1.173,5,1.173,2023-07-10,2023,2023-11-15,True,True,39.0,49,True,3,N0002418C2307;N0002419C2322;N0002419C4452
ddg,electrical,PNE9R5EJMWK8,L-3 COMMUNICATIONS WESTWOOD CORPORATION,registry,10,1.142,10,1.142,2023-07-11,2023,2023-10-26,True,True,14.0,40,True,3,N0002413C2305;N0002418C2307;N0002419C2322
ddg,electrical,MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,naics4,2,0.51,2,0.51,2022-09-26,2022,2024-09-23,True,False,728,728,True,2,N0002418C2305;N0002418C2307
ddg,electrical,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,naics4,1,0.258,28,9.176,2013-07-08,2013,2021-10-15,False,False,100,564,True,4,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307
ddg,electrical,T2PGFX9RZJH9,"ASCO POWER TECHNOLOGIES, L..P.",naics4,1,0.161,1,0.161,2023-10-16,2024,2023-10-16,True,True,,,False,1,N0002419C4452
ddg,electrical,KSFXGBDLNG74,SCHNEIDER ELECTRIC SE,naics4,1,0.1,9,4.269,2018-10-16,2019,2022-11-23,False,True,31.5,910,True,3,N0002413C2307;N0002418C2307;N0002419C4452
ddg,electrical,DY2JXQ22MA14,KSARIA SERVICE CORPORATION,registry,1,0.068,1,0.068,2024-08-09,2024,2024-08-09,True,False,,,False,1,N0002418C2307
ddg,electrical,YVBHN7GKLQ44,GLENAIR INC,naics4,1,0.037,1,0.037,2023-04-19,2023,2023-04-19,True,True,,,False,1,N0002419C4452
ddg,electrical,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",residual,0,0.0,35,38.012,2013-04-05,2013,2018-12-21,False,True,29,364,False,5,N0002411C2307;N0002411C2309;N0002413C2307;N0002414C4313;N0002418C2307
ddg,electrical,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",registry,0,0.0,7,0.546,2013-07-23,2013,2019-07-23,False,True,340.0,636,False,2,N0002413C2307;N0002414C4313
ddg,electrical,NTREK31GP8N3,KSARIA CORPORATION,registry,0,0.0,1,0.058,2019-12-06,2020,2019-12-06,False,True,,,False,1,N0002413C2307
ddg,electrical,MKRBJA6JXXS7,EMERSON ELECTRIC CO.,naics4,0,0.0,5,0.919,2016-04-15,2016,2017-06-08,False,True,209.5,290,False,1,N0002413C2307
ddg,electrical,R51XFNJFGCP8,"PLATINUM EQUITY, LLC",naics4,0,0.0,4,1.965,2013-07-30,2013,2016-04-26,False,False,347,375,False,1,N0002413C2307
ddg,hvac,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",registry,45,178.028,47,180.134,2017-04-28,2017,2025-12-03,False,True,17.0,1778,False,7,N0002413C2305;N0002413C2307;N0002414C4313;N0002418C2305;N0002418C2307;N0002419C2322;N0002423C2307
ddg,hvac,FPCZK4D8LXU5,HOWDEN NORTH AMERICA INC,registry,22,18.908,22,18.908,2024-07-03,2024,2025-03-19,True,False,7,117,False,2,N0002418C2307;N0002423C2307
ddg,hvac,E57FS3E4CQ19,ENGINEERED COIL COMPANY,registry,13,8.752,13,8.752,2023-02-01,2023,2023-12-15,True,True,21,70,True,4,N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307
ddg,hvac,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,residual,5,3.766,59,123.209,2013-07-25,2013,2022-04-26,False,True,30.0,468,True,5,N0002411C2307;N0002411C2309;N0002413C2305;N0002413C2307;N0002418C2307
ddg,hvac,F1RLRDZK2KC9,HOWDEN NORTH AMERICA INC.,registry,9,3.55,9,3.55,2022-07-19,2022,2023-05-03,True,False,21,127,True,1,N0002418C2307
ddg,hvac,ZTPLJJTAD2F4,HOWDEN AMERICAN FAN COMPANY,naics4,17,2.0,18,2.139,2023-07-25,2023,2026-03-06,True,False,30,639,False,5,N0002413C2305;N0002418C2305;N0002418C2307;N0002419C2322;N0002419C4452
ddg,hvac,RJGEKQDTZKT8,ELECTRIC HEATER CO,naics4,4,1.251,4,1.251,2024-07-30,2024,2024-08-16,True,True,8.5,16,True,1,N0002423C2307
ddg,hvac,L232ZUA5KLW3,HOWDEN AMERICAN FAN COMPANY,naics4,1,1.25,1,1.25,2022-10-28,2023,2022-10-28,True,False,,,False,1,N0002419C4452
ddg,hvac,DTCND1MN7J15,ASPEQ HEATING GROUP LLC,naics4,3,1.064,48,9.754,2013-07-15,2013,2023-03-22,False,True,15.5,990,True,2,N0002413C2307;N0002418C2307
ddg,hvac,FLMQAKFEMG64,INDEECO LLC,naics4,4,1.045,4,1.045,2023-08-30,2023,2025-09-22,True,False,206,514,False,2,N0002418C2307;N0002423C2307
ddg,hvac,JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,registry,5,0.449,5,0.449,2023-08-07,2023,2023-12-11,True,False,36.5,52,True,1,N0002413C2307
ddg,hvac,EREJZHBM5MU1,SPIRAX-SARCO ENGINEERING PLC,naics4,2,0.322,7,0.922,2019-03-18,2019,2022-06-30,False,True,438,741,True,1,N0002418C2307
ddg,hvac,DD7KGPMP93C1,HEH HOLDINGS LLC,naics4,1,0.304,14,2.498,2013-07-22,2013,2022-11-22,False,True,338.5,935,True,2,N0002413C2307;N0002418C2307
ddg,hvac,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",registry,0,0.0,24,76.376,2013-06-03,2013,2017-06-12,False,False,52.0,288,False,3,N0002411C2307;N0002411C2309;N0002413C2307
ddg,hvac,E2UWVCT7GDJ4,"IRVING PLACE CAPITAL, LLC",naics4,0,0.0,7,0.707,2013-04-15,2013,2017-07-31,False,True,342,479,False,2,N0002411C2307;N0002413C2307
ddg,machining,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,registry,28,332.896,28,332.896,2021-11-02,2022,2025-09-24,True,True,35,217,False,5,N0002413C2305;N0002413C2307;N0002418C2307;N0002419C4452;N0002423C2307
ddg,machining,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,registry,5,169.046,5,169.046,2024-02-20,2024,2025-06-18,True,False,162,296,False,2,N0002413C2307;N0002423C2307
ddg,machining,F32RBQ3CHAG9,ROLLS-ROYCE HOLDINGS PLC,registry,15,54.415,17,54.657,2023-06-05,2023,2025-11-26,True,False,30.5,323,False,4,N0002413C2305;N0002418C2307;N0002419C2322;N0002423C2307
ddg,machining,H4ZMPGLLZ8D9,ARTCRAFT FABRICATORS INC,naics4,2,11.575,2,11.575,2023-01-13,2023,2023-01-13,True,True,,,True,1,N0002418C2305
ddg,machining,PM2FDF7CCNC2,"MARISCO, LTD.",registry,6,5.031,35,27.339,2013-07-05,2013,2024-07-16,False,True,125.0,587,True,4,N0002413C2305;N0002413C2307;N0002418C2307;N0002423C2307
ddg,machining,D44RA79E3K57,PRECISION PRODUCTS INC,naics4,26,3.296,52,6.574,2013-06-26,2013,2025-09-30,False,False,47.5,1674,False,4,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307
ddg,machining,XYNDM1Y7XGG7,AMERICAN METAL BEARING CO,registry,5,2.977,5,2.977,2025-03-18,2025,2025-09-11,True,False,72,76,False,2,N0002418C2307;N0002423C2307
ddg,machining,JA2KCX21NL48,"DEFENSE MARITIME SOLUTIONS, INC.",registry,14,1.764,15,1.805,2023-02-27,2023,2026-02-02,True,True,82,310,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,machining,RMLGMBGNPCC8,"KINGSBURY, INC.",naics4,5,1.541,20,9.869,2013-06-28,2013,2025-11-05,False,False,217.0,552,False,4,N0002411C2309;N0002413C2307;N0002418C2305;N0002418C2307
ddg,machining,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,registry,13,1.107,124,420.683,2013-06-05,2013,2023-12-19,False,False,24,294,True,7,N0002411C2307;N0002411C2309;N0002413C2305;N0002413C2307;N0002414C4313;N0002418C2307;N0002419C2322
ddg,machining,FWF8QBPCGLG3,GENERAL TOOL COMPANY,registry,7,0.687,11,0.871,2017-11-01,2018,2025-02-20,False,True,295,813,False,4,N0002413C2305;N0002413C2307;N0002418C2307;N0002419C4452
ddg,machining,N3K7U4MKPSE4,"J & R TOOL, INC",naics4,1,0.244,1,0.244,2022-02-17,2022,2022-02-17,True,False,,,False,1,N0002419C4452
ddg,machining,GCWKULHML2S3,"WARTSILA DEFENSE, INC.",registry,2,0.078,52,25.547,2013-07-23,2013,2022-09-15,False,True,47.0,371,True,6,N0002411C2307;N0002411C2309;N0002413C2305;N0002413C2307;N0002414C4313;N0002418C2307
ddg,machining,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,registry,0,0.0,1,0.236,2026-01-09,2026,2026-01-09,False,False,,,False,1,N0002418C2307
ddg,piping,SSD8KRDXKG46,"THE HILLER COMPANIES, LLC",registry,23,18.129,23,18.129,2022-06-29,2022,2025-06-25,True,False,30,394,False,4,N0002413C2305;N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,registry,15,17.763,28,30.076,2013-06-27,2013,2025-02-06,False,True,119.5,1185,False,5,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,GU5YDKH7GPF1,"LESLIE CONTROLS, INC.",registry,32,17.325,36,17.769,2024-03-04,2024,2026-01-28,True,True,9.5,212,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,registry,26,15.328,29,15.462,2023-11-29,2024,2026-02-25,True,True,55.0,199,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,V1MQFNQB56Z5,RIX INDUSTRIES,registry,12,14.698,32,24.77,2013-06-28,2013,2026-03-03,False,True,164.5,526,False,6,N0002411C2309;N0002413C2307;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307
ddg,piping,J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",registry,10,14.179,22,29.907,2016-11-30,2017,2025-04-30,False,False,240.5,622,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,JRUCKDSNXKD5,THE ENTWISTLE COMPANY LLC,registry,27,13.555,28,13.634,2022-07-20,2022,2025-11-25,True,True,62,301,False,4,N0002418C2305;N0002418C2307;N0002419C2322;N0002423C2307
ddg,piping,M4ELQDG7JLM5,AIR & LIQUID SYSTEMS CORPORATION,registry,10,13.479,12,14.365,2020-09-09,2020,2024-10-15,False,False,83,847,True,2,N0002418C2307;N0002423C2307
ddg,piping,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",registry,68,10.736,149,19.909,2013-04-11,2013,2025-09-24,False,True,21,422,False,7,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307
ddg,piping,HWLGUR28KMS6,APPLETON MARINE INC,naics4,8,8.454,13,8.623,2024-05-30,2024,2025-10-03,True,False,234,253,False,2,N0002418C2307;N0002423C2307
ddg,piping,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",naics4,13,8.193,34,23.333,2013-06-28,2013,2025-07-16,False,False,79,547,False,4,N0002413C2307;N0002418C2307;N0002419C4452;N0002423C2307
ddg,piping,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",registry,45,5.75,116,14.266,2013-06-28,2013,2025-07-25,False,True,10.0,1302,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",registry,30,5.438,66,17.759,2013-10-08,2014,2023-06-22,False,True,20.5,328,True,5,N0002411C2307;N0002413C2305;N0002413C2307;N0002418C2307;N0002419C2322
ddg,piping,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",naics4,47,5.325,99,13.273,2013-04-05,2013,2025-12-05,False,True,19.5,503,False,5,N0002411C2307;N0002413C2307;N0002418C2307;N0002419C4452;N0002423C2307
ddg,piping,TSCZLHCGNQ53,FACET (OKLAHOMA) LLC,naics4,10,5.138,10,5.138,2023-09-30,2023,2025-08-14,True,False,166,517,False,2,N0002418C2307;N0002423C2307
ddg,piping,JJMSRWKWWQ87,NIBCO INC.,registry,16,5.084,36,8.215,2020-02-06,2020,2022-09-20,False,True,11.5,211,True,1,N0002418C2307
ddg,piping,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",naics4,34,3.9,74,8.492,2014-01-22,2014,2025-07-31,False,True,28,497,False,5,N0002413C2307;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307
ddg,piping,D3QEMKB2X4N5,LEXAIR INC,naics4,2,3.843,2,3.843,2023-09-15,2023,2025-05-15,True,True,608,608,False,2,N0002418C2307;N0002423C2307
ddg,piping,LGVPVLMRHH51,"W. & O. SUPPLY, INC.",registry,18,3.541,18,3.541,2023-01-27,2023,2025-09-26,True,False,39,243,False,2,N0002418C2307;N0002423C2307
ddg,piping,L2EDH4DX27J5,"WILLIAM E WILLIAMS, VALVE CORP",naics4,25,3.536,41,5.07,2014-05-16,2014,2025-08-26,False,False,101,512,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,JBMKQ8ZH6FN9,DOVER CORPORATION,registry,13,3.493,43,10.941,2013-07-24,2013,2023-09-06,False,True,49,462,True,5,N0002411C2307;N0002413C2307;N0002414C4313;N0002418C2305;N0002418C2307
ddg,piping,UNBUG7BAWZL3,DANTE VALVE COMPANY,naics4,19,3.277,19,3.277,2024-09-13,2024,2025-09-24,True,False,15,139,False,2,N0002418C2307;N0002423C2307
ddg,piping,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,residual,8,2.857,8,2.857,2023-10-16,2024,2025-09-16,True,True,100.0,275,False,2,N0002418C2307;N0002423C2307
ddg,piping,ZJYJB7MBFE56,CRANE PUMPS & SYSTEMS PFT CORP,naics4,14,2.84,14,2.84,2022-08-11,2022,2024-12-20,True,True,167.0,294,False,2,N0002418C2307;N0002423C2307
ddg,piping,K48HS3521BC4,EVAC NORTH AMERICA INC,registry,2,2.119,2,2.119,2024-04-09,2024,2024-04-09,True,False,,,True,1,N0002423C2307
ddg,piping,N9UNRN3F79J1,"LESLIE CONTROLS, INC.",registry,9,2.063,9,2.063,2023-06-14,2023,2023-12-20,True,True,9.5,169,True,1,N0002418C2307
ddg,piping,JEP5GQGFPUL9,PORTLAND VALVE LLC,registry,6,2.006,9,3.5,2023-08-04,2023,2025-10-16,True,True,24.0,617,False,2,N0002418C2307;N0002423C2307
ddg,piping,YY4YKPLKUJ55,VELAN VALVE CORP.,naics4,12,1.85,12,1.85,2022-07-14,2022,2023-08-03,True,False,16,127,True,1,N0002418C2307
ddg,piping,YMKJUADMJN79,TRI-TEC MANUFACTURING LLC,naics4,7,1.555,7,1.555,2022-08-31,2022,2023-06-22,True,False,42,130,True,3,N0002413C2307;N0002419C2322;N0002419C4452
ddg,piping,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,naics4,1,1.322,10,7.19,2013-07-31,2013,2023-03-13,False,True,376.0,1182,True,4,N0002411C2309;N0002413C2307;N0002414C4313;N0002418C2307
ddg,piping,D5NGX38L5EC9,EVAC NORTH AMERICA INC.,registry,6,1.297,7,2.107,2021-02-22,2021,2023-01-31,False,False,93.5,359,True,2,N0002418C2307;N0002419C2322
ddg,piping,QVTKQ7LJE196,M.T. DAVIDSON COMPANY,naics4,7,1.271,7,1.271,2023-06-09,2023,2024-12-20,True,False,280.0,430,False,2,N0002413C2307;N0002423C2307
ddg,piping,MMDRDDVELDX8,DANTE VALVE COMPANY INC,naics4,17,1.266,54,3.797,2013-07-26,2013,2023-07-12,False,False,34.5,538,True,3,N0002413C2307;N0002418C2307;N0002419C2322
ddg,piping,LG8PRS9MR697,SFC VALVE CORPORATION,naics4,9,1.151,9,1.151,2022-10-31,2023,2025-06-18,True,True,45,645,False,3,N0002418C2307;N0002419C4452;N0002423C2307
ddg,piping,RLXQHCXFT513,CUNICO CORPORATION,registry,5,0.997,5,0.997,2022-08-19,2022,2025-09-17,True,True,273.0,578,False,2,N0002418C2307;N0002423C2307
ddg,piping,JEKASJ7K4PJ1,BAUER COMPRESSORS INC,naics4,3,0.925,3,0.925,2024-05-15,2024,2024-05-16,True,False,1,1,True,2,N0002418C2307;N0002423C2307
ddg,piping,EYXEF9DML9L7,LIDGERWOOD MANUFACTURING COMPANY (INC),naics4,5,0.884,22,3.132,2013-06-25,2013,2022-12-19,False,False,48,868,True,3,N0002413C2307;N0002418C2307;N0002419C4452
ddg,piping,KH1WNH8NJR56,VELAN VALVE CORP.,naics4,5,0.849,8,1.129,2024-06-21,2024,2026-03-02,True,False,31.5,420,False,2,N0002418C2307;N0002423C2307
ddg,piping,MX63C2VRKCJ6,HOUDSTERMAATSCHAPPIJ WILG B.V.,registry,6,0.772,18,5.167,2019-05-14,2019,2022-10-24,False,False,34.5,274,True,2,N0002413C2307;N0002418C2307
ddg,piping,WWMME88ERQG5,"BESTWELD, INC.",naics4,7,0.546,21,1.31,2013-11-14,2014,2025-09-04,False,False,105,740,False,4,N0002411C2307;N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,GQ6ADGRCXZ54,"MIDDLEBY CORPORATION, THE",naics4,4,0.481,4,0.481,2022-07-18,2022,2023-08-15,True,False,65,265,True,1,N0002419C4452
ddg,piping,DQLZFV6PFCB9,"TATE ANDALE, LLC",naics4,6,0.456,20,1.279,2013-09-20,2013,2025-07-08,False,True,192.5,834,False,5,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",naics4,7,0.444,10,0.674,2013-04-25,2013,2025-10-22,False,True,249,2905,False,2,N0002411C2307;N0002418C2307
ddg,piping,JYTYZUGUN6V3,"TRI-TEC MANUFACTURING, LLC",naics4,1,0.413,10,1.086,2013-12-17,2014,2022-01-13,False,True,343,523,True,2,N0002413C2307;N0002418C2307
ddg,piping,G9N1X873CYJ6,THE TIMKEN COMPANY,naics4,2,0.373,3,0.643,2024-10-02,2025,2025-12-01,True,False,212.5,232,False,1,N0002418C2307
ddg,piping,XK8VBJ94L4E9,"AEROSPACE SUPPLY, INC",naics4,4,0.339,7,0.591,2019-06-20,2019,2025-10-08,False,False,466.5,1336,False,2,N0002413C2307;N0002418C2307
ddg,piping,HUK5MJK4MH39,"LESLIE CONTROLS, INC.",registry,5,0.324,5,0.324,2023-03-30,2023,2023-04-06,True,False,1.5,3,True,1,N0002418C2307
ddg,piping,MENSE2ENG8J6,ARCLINE INVESTMENT MANAGEMENT LP,residual,3,0.317,3,0.317,2021-12-07,2022,2023-05-25,True,True,267.0,472,True,1,N0002418C2307
ddg,piping,E3NCN9MXJAL5,TURNBULL LLC,naics4,4,0.311,4,0.311,2022-02-25,2022,2022-12-12,True,True,28,248,True,3,N0002413C2305;N0002418C2305;N0002419C2322
ddg,piping,W547TUQXJ8Y4,CARVER PUMP COMPANY,naics4,7,0.272,9,0.35,2017-06-30,2017,2023-10-10,False,True,790,1497,True,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,RU42J22YFWW5,"STS OPERATING, INC.",naics4,4,0.267,10,0.458,2014-10-17,2015,2025-08-04,False,True,285,1147,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,piping,FYS6F3284LN3,VELAN VALVE CORP.,naics4,3,0.254,3,0.254,2023-12-21,2024,2023-12-22,True,False,1,1,True,1,N0002418C2307
ddg,piping,H4FZBFXLJ636,"TIMKEN COMPANY, THE",registry,1,0.197,8,0.908,2014-01-22,2014,2022-10-17,False,True,311,1643,True,3,N0002411C2309;N0002413C2307;N0002418C2307
ddg,piping,ZXMJM9MBXBQ4,"HILLER COMPANIES, INC., THE",registry,3,0.118,3,0.118,2022-06-29,2022,2022-06-29,True,False,,,True,1,N0002413C2305
