program,vendor_uei,vendor_name,work_type,biw_dollars_fy22_25_$M,biw_n_awards_fy22_25,biw_first_award,ingalls_dollars_fy22_25_$M,ingalls_n_awards_fy22_25,ingalls_first_award,virginia_dollars_fy22_25_$M,virginia_n_awards_fy22_25,virginia_first_award,columbia_dollars_fy22_25_$M,columbia_n_awards_fy22_25,columbia_first_award,cut_profile
ddg,KB43RQK7PAH3,CUBIC CORPORATION,unbucketed,0.0,0,2018-05-08,0.0,0,,,,,,,,window-inactive
ddg,NFTFCKNL7Z57,"COASTAL MARINE EQUIPMENT, INC.",unbucketed,0.0,0,2018-05-30,0.0,0,,,,,,,,window-inactive
ddg,EKBRGQ6L48L8,"BRIARTEK, INC.",unbucketed,0.0,0,2019-04-29,0.0,0,,,,,,,,window-inactive
ddg,FVGUCFG6HLK7,BLACKMER,unbucketed,0.0,0,2017-10-31,0.0,0,,,,,,,,window-inactive
ddg,GJU6WW45U4F4,ARROWHEAD GLOBAL LLC,unbucketed,0.0,0,2019-07-25,0.0,0,,,,,,,,window-inactive
ddg,KLLANFLBFBA3,HACKFORTH HOLDING GMBH & CO. KG,unbucketed,0.0,0,2019-07-03,0.0,0,,,,,,,,window-inactive
ddg,LXC1G6NGF1W5,ELECTROCOMPONENTS PUBLIC LIMITED COMPANY,unbucketed,0.0,0,2018-06-19,0.0,0,,,,,,,,window-inactive
ddg,QM7GAR7U8NK3,AIRBUS SE,unbucketed,0.0,0,2017-07-14,0.0,0,,,,,,,,window-inactive
ddg,Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",unbucketed,0.0,0,2001-10-22,0.0,0,,,,,,,,window-inactive
ddg,NUMJXMNFTW19,SECHAN ELECTRONICS INC,unbucketed,0.0,0,,0.0,0,2026-01-08,,,,,,,window-inactive
ddg,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,machining,0.0,0,,0.0,0,2026-01-09,,,,,,,window-inactive
ddg,PWYQJP152BE5,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",unbucketed,0.0,0,,0.0,0,2025-12-03,,,,,,,window-inactive
ddg,N5KMLMXEPFM5,PARKER HANNIFIN CORPORATION,piping,0.0,0,,0.0,0,2025-11-24,,,,,,,window-inactive
ddg,WMKNZ361LYM4,"EVOQUA WATER TECHNOLOGIES, LLC",unbucketed,0.0,0,,0.0,0,2025-11-18,,,,,,,window-inactive
ddg,MAKYNVTMNZX1,"TRAC REGULATOR CO., INC.",unbucketed,0.0,0,,0.0,0,2025-11-20,,,,,,,window-inactive
ddg,CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,unbucketed,0.0,0,,0.0,0,2025-10-01,,,,,,,window-inactive
ddg,HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.",piping,0.0,0,,0.0,0,2021-04-15,,,,,,,window-inactive
ddg,UXLBKCMVY819,FLOWORKS INTERNATIONAL LLC,unbucketed,0.0,0,,0.0,0,2019-05-27,,,,,,,window-inactive
ddg,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",unbucketed,0.0,0,,0.0,0,2021-06-08,,,,,,,window-inactive
ddg,JU7ZGUDEJA79,RAILWAY SPECIALTIES CORPORATION,unbucketed,0.0,0,,0.0,0,2019-11-20,,,,,,,window-inactive
ddg,L14LNGXH8M26,CURTIS WRIGHT BUILDERS LLC,unbucketed,0.0,0,2021-01-11,0.0,0,,,,,,,,window-inactive
ddg,PNQKKYEK31E3,BAE SYSTEMS HOLDINGS INC.,unbucketed,0.0,0,2021-03-23,0.0,0,,,,,,,,window-inactive
ddg,PTVDFVF3JNX6,SILICO SYSTEMS LLC,unbucketed,0.0,0,,-0.052,1,2025-04-10,,,,,,,HII-Ingalls-only
submarines,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,electrical,,,,,,,537.095,15,2016-12-05,613.876,25,2016-04-26,both
submarines,W8PTMRME1496,LEONARDO SPA,electrical,,,,,,,-2.307,47,2017-02-07,436.378,36,2016-05-23,both
submarines,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,piping,,,,,,,54.68,35,2022-03-28,143.312,53,2021-10-04,both
submarines,N1PJDANWUJ61,SCOT FORGE COMPANY,castings,,,,,,,59.21,174,2016-02-05,86.975,126,2016-02-18,both
submarines,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",structural,,,,,,,17.569,17,2022-02-08,124.337,56,2022-02-28,both
submarines,E8LNMDLEKM35,D.C. FABRICATORS INC.,structural,,,,,,,109.354,20,2016-12-05,18.314,10,2016-10-04,both
submarines,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,coatings,,,,,,,78.594,47,2016-08-09,18.204,20,2016-01-06,both
submarines,UCWYBGRA11H1,"AUSTAL USA, LLC",structural,,,,,,,63.223,8,2022-12-22,24.333,16,2022-04-22,both
submarines,F2LEAK3EK9R3,GRAHAM CORP,piping,,,,,,,0.0,0,,81.595,25,2021-02-26,Columbia-only
submarines,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",structural,,,,,,,27.542,29,2016-12-05,53.646,31,2016-09-29,both
submarines,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,piping,,,,,,,65.367,68,2022-04-25,9.337,27,2022-04-20,both
submarines,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",structural,,,,,,,52.796,27,2017-01-03,9.774,15,2016-08-15,both
submarines,EGAVSJTA2D81,GOODRICH CORP,coatings,,,,,,,50.862,3,2022-12-22,10.759,25,2021-07-30,both
submarines,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",coatings,,,,,,,54.277,15,2017-06-16,0.0,0,2016-05-16,Virginia-only
submarines,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",hvac,,,,,,,14.843,4,2021-02-03,34.604,14,2018-10-16,both
submarines,JEP5GQGFPUL9,PORTLAND VALVE LLC,piping,,,,,,,34.132,27,2022-09-27,13.997,33,2021-12-21,both
submarines,TZVRTYNM3MN3,PEGASUS STEEL LLC,structural,,,,,,,12.819,36,2016-10-31,28.134,18,2016-02-09,both
submarines,GU5YDKH7GPF1,CIRCOR NAVAL SOLUTIONS LLC,piping,,,,,,,8.689,20,2021-06-24,28.617,27,2022-04-01,both
submarines,HG5LNJAG4LU8,"HUNT VALVE COMPANY, INC.",piping,,,,,,,15.915,20,2022-04-07,20.566,40,2021-03-23,both
submarines,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",machining,,,,,,,14.552,88,2016-02-01,15.67,59,2018-06-04,both
submarines,Q35JL9GFCAK3,MAROTTA CONTROLS INC,piping,,,,,,,-0.411,1,2017-08-25,30.425,34,2016-02-23,both
submarines,RM4TFABVLPX4,"CP INDUSTRIES HOLDINGS, INC",structural,,,,,,,4.122,1,2023-03-10,25.892,11,2021-03-31,both
submarines,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",coatings,,,,,,,18.547,37,2021-06-24,11.436,25,2021-01-14,both
submarines,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,hvac,,,,,,,22.558,7,2020-01-08,5.751,6,2017-05-04,both
submarines,WJ45NXW2TVD7,MOOG INC.,piping,,,,,,,12.465,15,2021-11-22,12.253,19,2021-01-29,both
submarines,KTSAL8YX2QQ5,AMERICAN STEEL AND ALUMINUM LLC,structural,,,,,,,1.444,31,2022-09-30,22.751,12,2022-09-20,both
submarines,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",piping,,,,,,,16.728,52,2016-07-05,6.814,80,2017-08-21,both
submarines,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",structural,,,,,,,14.13,19,2016-09-13,8.316,25,2016-11-10,both
submarines,F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,machining,,,,,,,17.636,4,2023-03-10,4.618,12,2021-11-02,both
submarines,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",hvac,,,,,,,3.109,5,2017-05-31,18.217,12,2016-02-29,both
submarines,D77VA4G9VJG8,CATERPILLAR INC,electrical,,,,,,,0.0,0,,19.516,12,2022-03-15,Columbia-only
submarines,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",structural,,,,,,,5.035,21,2019-07-30,14.02,35,2022-01-07,both
submarines,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",electrical,,,,,,,0.0,0,2018-06-19,17.881,7,2017-09-28,Columbia-only
submarines,K3XPS1HXNBF3,"B & F MACHINE CO., INC.",machining,,,,,,,10.986,90,2016-02-19,6.273,34,2018-01-09,both
submarines,Z89SS59265U9,ESPEY MFG AND ELECTRONICS CORP,electrical,,,,,,,1.386,6,2017-05-26,14.874,25,2017-03-31,both
submarines,RLXQHCXFT513,CUNICO CORPORATION,piping,,,,,,,14.178,17,2022-07-01,1.06,7,2021-12-21,both
submarines,C256E427Q518,"DELTAK MANUFACTURING, INC.",structural,,,,,,,14.847,2,2017-03-30,0.0,0,,Virginia-only
submarines,CU6NGN3UKFA6,OCEANEERING INTERNATIONAL INC,structural,,,,,,,2.69,18,2022-02-21,11.539,41,2022-06-15,both
submarines,GE4GA2B9JYF9,"MERRILL TECHNOLOGIES GROUP, LLC",piping,,,,,,,7.925,32,2022-05-09,6.172,21,2022-04-12,both
submarines,WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",piping,,,,,,,6.262,31,2023-09-27,7.34,44,2023-09-27,both
submarines,NGTNPRCG6BE1,GENERAL ATOMICS,structural,,,,,,,0.0,0,,13.538,1,2023-02-20,Columbia-only
submarines,CDVZLNCU7Z44,LEHIGH HEAVY FORGE CORP,castings,,,,,,,2.865,5,2023-04-27,10.648,10,2022-05-27,both
submarines,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,piping,,,,,,,2.633,9,2016-08-04,10.128,21,2016-02-09,both
submarines,FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",piping,,,,,,,6.128,18,2016-04-25,5.826,37,2016-08-15,both
submarines,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",coatings,,,,,,,2.504,4,2016-02-03,9.347,14,2016-08-22,both
submarines,MKDGDE6K34N5,"D. W. CLARK, INC",castings,,,,,,,1.812,14,2020-10-30,9.383,34,2018-09-04,both
submarines,R769GJRQF618,"KOIKE ARONSON, INC.",piping,,,,,,,0.0,0,,10.568,10,2022-12-09,Columbia-only
submarines,MF1LU8RPCMB8,RANOR INC.,structural,,,,,,,4.263,37,2021-04-23,6.22,15,2021-12-23,both
submarines,KAG7VEFLUZQ4,"SARGENT AEROSPACE & DEFENSE, LLC",piping,,,,,,,0.106,1,2024-04-10,9.77,21,2021-08-20,both
submarines,CXK2Y51KDBW1,PRL INDUSTRIES INC,castings,,,,,,,0.031,1,2025-03-19,9.785,9,2022-03-22,both
submarines,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",unbucketed,,,,,,,7.843,20,2018-07-02,1.856,10,2018-08-07,both
submarines,XDF1FRDG8KK4,"FOSTER-MILLER, INC.",electrical,,,,,,,8.834,8,2022-09-20,0.331,1,2023-04-27,both
submarines,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",piping,,,,,,,4.08,17,2016-09-15,4.577,17,2016-01-15,both
submarines,FWF8QBPCGLG3,GENERAL TOOL COMPANY,machining,,,,,,,5.949,19,2016-11-16,2.67,20,2017-02-13,both
submarines,WPP2ABN6UCF5,"L3HARRIS TECHNOLOGIES, INC.",unbucketed,,,,,,,8.614,2,2021-11-05,0.0,0,,Virginia-only
submarines,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,piping,,,,,,,0.09,2,2018-01-23,8.5,9,2016-10-18,both
submarines,CE3HF8PLAFD3,"MILWAUKEE VALVE COMPANY, LLC",piping,,,,,,,5.673,17,2022-10-18,2.813,19,2022-05-04,both
submarines,VXHFDAKS2LZ6,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,machining,,,,,,,5.285,2,2023-04-11,3.041,4,2022-03-22,both
submarines,CT5WNUADNZ44,AMPHENOL CORPORATION,electrical,,,,,,,0.816,1,2023-06-21,7.454,4,2022-04-26,both
submarines,RXA2JHPN9JD3,"BRANTNER AND ASSOCIATES, INC.",electrical,,,,,,,4.552,14,2022-03-09,3.549,13,2022-12-01,both
submarines,ZVFUENFF77T1,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",coatings,,,,,,,1.655,3,2022-11-28,6.141,7,2022-11-17,both
submarines,MKXMUFJJYLY5,WARD LEONARD CT LLC,electrical,,,,,,,3.318,11,2021-02-18,4.411,4,2022-10-28,both
submarines,JSAXGRLNEJ63,"COLONNA'S SHIP YARD, INCORPORATED",structural,,,,,,,5.545,4,2023-03-13,2.095,3,2024-11-18,both
submarines,NTREK31GP8N3,KSARIA CORPORATION,electrical,,,,,,,4.752,16,2016-04-21,2.756,4,2022-12-12,both
submarines,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",castings,,,,,,,4.576,13,2016-02-01,2.827,18,2017-01-23,both
submarines,G319AMB56SW5,901 D LLC,piping,,,,,,,2.882,7,2021-10-05,4.442,23,2022-01-18,both
submarines,VDSCUPC2H3K7,CITADEL CAPITAL CORPORATION,piping,,,,,,,6.876,4,2016-01-26,0.418,5,2018-10-19,both
submarines,L8T4R3N7ACL6,COLFAX CORPORATION,piping,,,,,,,6.629,3,2016-05-16,0.457,1,2016-01-25,both
submarines,ZFQBUPK552C3,THE H R HILLERY COMPANY,structural,,,,,,,5.732,27,2016-04-22,1.192,19,2016-09-19,both
submarines,E86GJS762JJ5,TOTAL SA,coatings,,,,,,,6.543,2,2022-02-16,0.328,2,2022-03-30,both
submarines,PBC2VH3ND3D4,"CP INDUSTRIES HOLDINGS, INC",structural,,,,,,,0.0,0,,6.855,1,2023-07-24,Columbia-only
submarines,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",coatings,,,,,,,0.682,5,2019-02-25,6.079,11,2016-05-23,both
submarines,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,piping,,,,,,,1.385,15,2016-10-31,5.26,42,2017-08-08,both
submarines,HSV2N9ACRTJ6,EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,piping,,,,,,,1.378,23,2022-05-16,5.226,33,2021-12-09,both
submarines,LPY6KXBKHMK8,"RHOADS INDUSTRIES, INC.",structural,,,,,,,2.967,5,2021-05-05,3.179,3,2020-10-06,both
submarines,Z43PV7K61YL4,WAUKESHA BEARINGS CORPORATION,machining,,,,,,,0.0,0,,6.017,3,2022-01-18,Columbia-only
submarines,V1MQFNQB56Z5,RIX INDUSTRIES,piping,,,,,,,3.206,4,2017-05-11,2.721,5,2016-02-05,both
submarines,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",piping,,,,,,,1.136,5,2016-02-12,4.671,19,2017-11-07,both
submarines,E9DKKLZNCQS9,TRIDENT MARITIME SYSTEMS UK LIMITED,electrical,,,,,,,4.141,8,2022-06-23,1.647,1,2023-07-14,both
submarines,HPDLRXR4FYX5,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,structural,,,,,,,3.857,2,2024-09-10,1.912,1,2025-01-21,both
submarines,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP,castings,,,,,,,4.207,14,2017-01-09,1.451,8,2018-08-31,both
submarines,MENSE2ENG8J6,ARCLINE INVESTMENT MANAGEMENT LP,piping,,,,,,,0.64,3,2019-10-01,4.993,24,2021-05-05,both
submarines,LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",structural,,,,,,,0.149,1,2018-02-26,5.472,12,2016-06-02,both
submarines,QZ9GLUKS1MS9,ARTCRAFT FABRICATORS INC,machining,,,,,,,0.0,0,,5.576,2,2024-04-25,Columbia-only
submarines,NVPEBL51CSF8,"GUILL TOOL & ENGINEERING CO, INC.",machining,,,,,,,2.949,44,2016-02-24,2.583,35,2016-01-21,both
submarines,HLQLWMV97J37,CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,structural,,,,,,,0.0,0,,5.442,8,2023-05-12,Columbia-only
submarines,U4MMR7DR2DR7,"JAL ENTERPRISES, INC.",structural,,,,,,,5.253,7,2016-04-11,0.129,3,2021-10-22,both
submarines,N9UNRN3F79J1,"LESLIE CONTROLS, INC.",piping,,,,,,,1.23,1,2023-04-18,4.065,10,2023-11-03,both
submarines,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",structural,,,,,,,1.823,7,2016-04-21,3.357,21,2018-03-21,both
submarines,WAJ6RKYZTYL3,C & C METALS ENGINEERING INC,machining,,,,,,,3.511,55,2019-03-05,1.613,18,2019-10-22,both
submarines,DXM3GSLGH2Z5,"FAIRLEAD INTEGRATED, LLC",structural,,,,,,,1.096,3,2021-12-16,3.829,13,2019-09-09,both
submarines,QB7EKDNK2E83,SHELBY SUPPLY CO LLC,machining,,,,,,,3.663,34,2016-02-16,0.925,9,2019-02-19,both
submarines,XTYYPELG5MQ7,"PENNSYLVANIA MACHINE WORKS, LLC",piping,,,,,,,1.716,33,2022-05-16,2.861,34,2022-03-07,both
submarines,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",piping,,,,,,,0.123,1,2018-11-02,4.246,29,2016-07-11,both
submarines,H8CSTCGGDD87,STRYTEN ENERGY LLC,electrical,,,,,,,0.0,0,,4.365,1,2025-01-24,Columbia-only
submarines,FH39KDCYBK21,"HTP MEDS, LLC",unbucketed,,,,,,,4.166,1,2018-08-17,0.136,4,2021-11-30,both
submarines,E3YNKWRANZ18,"AQUA-CHEM, INC.",structural,,,,,,,2.63,1,2017-08-16,1.651,2,2021-12-07,both
submarines,PNE9R5EJMWK8,"L3 TECHNOLOGIES, INC.",unbucketed,,,,,,,1.586,6,2023-07-14,2.688,9,2023-07-14,both
submarines,D1L2HV3GLLY3,TIOGA PIPE INC,piping,,,,,,,3.856,6,2024-06-04,0.387,2,2024-11-22,both
submarines,LYV8XEV314F6,UNIVERSAL MANUFACTURING CORP.,structural,,,,,,,4.147,3,2019-06-17,0.055,1,2016-11-01,both
submarines,MVJ8B69F5CL6,"RIGGINS COMPANY, L.C.",structural,,,,,,,3.044,12,2019-02-26,1.141,7,2023-06-27,both
submarines,E86EYMJR23D1,"MELLINGER ENGINEERING, INCORPORATED",piping,,,,,,,1.508,6,2021-03-02,2.618,10,2021-10-29,both
submarines,E2P8AAJA2LK5,"MICRO PRECISION, LLC",machining,,,,,,,1.894,24,2016-04-13,2.124,10,2016-09-06,both
submarines,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,structural,,,,,,,1.626,12,2016-02-03,2.289,16,2019-08-06,both
submarines,X6N2CNV552X7,"OCEANEERING INTERNATIONAL, INC.",structural,,,,,,,3.807,4,2021-11-24,0.064,1,2021-12-16,both
submarines,EVP4KM37YU23,CLEVELAND-CLIFFS INC.,structural,,,,,,,0.281,8,2020-04-14,3.477,3,2021-09-07,both
submarines,USRQZ9JUAF88,COGITIC CORPORATION,machining,,,,,,,1.371,8,2022-03-23,2.367,9,2022-05-20,both
submarines,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",piping,,,,,,,0.597,3,2016-01-29,3.056,14,2016-02-05,both
submarines,KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",structural,,,,,,,0.546,3,2024-11-21,3.074,3,2024-06-27,both
submarines,EYMMLMHBMSL5,"SGL AUTOMATION, LLC",unbucketed,,,,,,,0.0,0,,3.543,3,2023-06-20,Columbia-only
submarines,CDP4EDVLFNX9,NORTECH SYSTEMS INC,electrical,,,,,,,3.51,2,2022-06-22,0.0,0,,Virginia-only
submarines,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",electrical,,,,,,,2.068,13,2022-09-21,1.258,13,2021-12-01,both
submarines,FLU4K8MGMZX7,"HITACHI, LTD.",unbucketed,,,,,,,1.56,6,2017-06-21,1.759,5,2016-03-22,both
submarines,T5C6JNLVSC17,HYDRATIGHT OPERATIONS INC,unbucketed,,,,,,,2.045,8,2022-06-29,1.206,5,2021-12-01,both
submarines,JCXDK86FK3L5,FEDERAL METAL CO,unbucketed,,,,,,,3.236,2,2025-04-16,0.0,0,,Virginia-only
submarines,LD7YXEQNEKZ3,"LINCOLN ELECTRIC AUTOMATION, INC.",piping,,,,,,,0.458,1,2023-02-22,2.728,4,2023-07-19,both
submarines,EVZMB1757DW5,"STEELFAB, INC",structural,,,,,,,0.0,0,2017-07-03,3.168,4,2018-06-14,Columbia-only
submarines,XYCDRJ4BBZ34,"KME AMERICA MARINE TUBE & FITTING, LLC",piping,,,,,,,1.315,6,2022-03-31,1.7,15,2022-03-07,both
submarines,W3KUJLTCRLV1,AMMCON CORP.,piping,,,,,,,1.917,27,2016-02-01,1.089,17,2016-01-21,both
submarines,GFCUEMH2CGN1,RIVERHEAD BUILDING SUPPLY CORP.,unbucketed,,,,,,,2.993,28,2021-04-29,0.0,0,,Virginia-only
submarines,U5K7DSV5D3U7,"BARBER-NICHOLS, LLC",machining,,,,,,,0.0,0,,2.9,1,2023-05-16,Columbia-only
submarines,QT9LCNSYE637,MATERION CORPORATION,unbucketed,,,,,,,2.103,13,2018-04-03,0.762,3,2024-06-14,both
submarines,HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",castings,,,,,,,0.25,4,2022-05-20,2.562,11,2016-08-17,both
submarines,JRUCKDSNXKD5,THE ENTWISTLE COMPANY LLC,piping,,,,,,,2.646,5,2021-11-24,0.11,1,2023-01-24,both
submarines,WJ1XMJMTSYL9,"PAROSCIENTIFIC, INC.",unbucketed,,,,,,,2.514,11,2016-09-22,0.18,6,2017-07-20,both
submarines,LFJVPJ77LNM7,FLUID HANDLING LLC,structural,,,,,,,0.0,0,,2.689,2,2024-11-04,Columbia-only
submarines,LL4CVJVLBGN1,QINETIQ GROUP PLC,electrical,,,,,,,2.664,1,2019-04-24,0.0,0,2020-04-30,Virginia-only
submarines,F17YKE4BDQS4,"TM INDUSTRIES, LLC",machining,,,,,,,2.016,19,2022-04-05,0.631,11,2022-12-15,both
submarines,YPQMZDVKS1K8,FLOWSERVE CORPORATION,piping,,,,,,,2.594,5,2022-12-02,0.0,0,,Virginia-only
submarines,PWK4GDMMEAQ8,AMETEK SCP INC,unbucketed,,,,,,,1.082,10,2021-12-21,1.489,9,2021-12-20,both
submarines,D6GJGD1KMH25,"ANIXTER, INC",unbucketed,,,,,,,2.243,9,2024-04-26,0.218,2,2024-08-15,both
submarines,HQ19YHLBS985,GARDNER DENVER NASH LLC,piping,,,,,,,0.0,0,,2.457,4,2022-04-25,Columbia-only
submarines,N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",piping,,,,,,,1.356,8,2022-04-25,1.081,8,2022-12-01,both
submarines,W1LDBNHD4EM7,SCHLUMBERGER N.V.,unbucketed,,,,,,,0.0,0,2016-05-11,2.426,9,2016-07-05,Columbia-only
submarines,Z19UP1U6FMT1,INDUSTRIAL TRANSFER AND STORAGE INC.,unbucketed,,,,,,,0.15,1,2017-03-28,2.275,20,2016-05-09,both
submarines,VUNMXC2JLBY3,CLEVELAND-CLIFFS PLATE LLC,structural,,,,,,,0.822,9,2022-03-30,1.497,25,2022-07-22,both
submarines,PUVNWFNW5BG3,VETERANS GROUP LLC,structural,,,,,,,2.303,8,2022-05-17,0.0,0,,Virginia-only
submarines,TUJCSP9NJ6V5,"BRANTNER AND ASSOCIATES, INC.",electrical,,,,,,,1.172,4,2023-03-10,1.112,2,2023-09-20,both
submarines,TCCLSQU7ZMW5,ITT INC.,unbucketed,,,,,,,0.858,1,2018-04-16,1.421,2,2019-03-11,both
submarines,Z86FMF9P1KD6,"G. S. E. DYNAMICS, INC.",unbucketed,,,,,,,2.009,4,2022-06-14,0.27,5,2022-04-01,both
submarines,GYMLL74UL5Q8,"HYDRASEARCH COMPANY, LLC",piping,,,,,,,1.334,10,2022-12-21,0.937,10,2022-11-30,both
submarines,KSZBH4K529U5,"CMI, INC.",piping,,,,,,,0.448,2,2023-09-27,1.822,12,2023-07-24,both
submarines,C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,unbucketed,,,,,,,1.437,6,2020-03-26,0.8,7,2022-11-04,both
submarines,KZGEJ29ND6K3,EVONIK CORPORATION,coatings,,,,,,,2.228,11,2021-10-13,0.0,0,,Virginia-only
submarines,J8PKNJEX2MS2,"LOCKWOOD BROTHERS, INC.",unbucketed,,,,,,,2.183,2,2017-06-12,0.0,0,2018-06-13,Virginia-only
submarines,XPJVJCWTHYV6,ESCO GROUP INC,unbucketed,,,,,,,2.147,3,2016-05-16,0.0,0,,Virginia-only
submarines,C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,structural,,,,,,,0.0,0,2018-04-20,2.122,4,2016-04-28,Columbia-only
submarines,CG86N1ZC42B8,AMMCON CORP.,unbucketed,,,,,,,0.833,16,2021-03-23,1.283,19,2023-04-10,both
submarines,MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",piping,,,,,,,1.707,2,2016-08-30,0.385,4,2017-10-27,both
submarines,WREEAHYMRQ45,AMPHENOL CORPORATION,electrical,,,,,,,0.0,0,2017-11-20,2.082,1,2021-12-22,Columbia-only
submarines,G45GNP4ARKJ3,PROTERIAL CABLE AMERICA INC,machining,,,,,,,1.007,22,2022-05-06,1.054,14,2021-01-19,both
submarines,MSFLXVQVJMG4,"PEERLESS INSTRUMENT CO., INC.",unbucketed,,,,,,,0.0,0,,2.057,19,2021-08-30,Columbia-only
submarines,U73RYB2RKTW4,RWH CONSULTING GROUP INC,unbucketed,,,,,,,0.0,0,,2.025,11,2021-09-14,Columbia-only
submarines,LL3PZJHUKZV3,AMERICAN STEEL AND ALUMINUM LLC,structural,,,,,,,0.807,9,2023-05-10,1.202,9,2021-06-10,both
submarines,WNDYZX3ALFB1,"COMARK, LLC",unbucketed,,,,,,,1.308,2,2017-09-19,0.699,4,2017-10-06,both
submarines,J3C4WKJZZKN5,"LANDSTAR SYSTEM, INC.",unbucketed,,,,,,,0.0,0,,2.0,1,2021-03-24,Columbia-only
submarines,NG7TY7BYU9R7,"W. & O. SUPPLY, INC.",piping,,,,,,,0.649,14,2019-12-20,1.337,19,2019-04-08,both
submarines,UNYXWK1ZR391,"MAYCO MANUFACTURING, LLC",unbucketed,,,,,,,0.0,0,,1.921,2,2023-12-18,Columbia-only
submarines,RC1NNGFRMMM7,"STANLEY BLACK & DECKER, INC.",machining,,,,,,,1.304,15,2021-10-18,0.616,6,2022-10-28,both
submarines,HJUAXSF12JR6,"CUSTOM HYDRAULIC & MACHINE, INC.",piping,,,,,,,0.933,16,2018-10-19,0.98,15,2018-10-19,both
submarines,QYLMXH4B2KX8,"BECHTEL NATIONAL, INC.",unbucketed,,,,,,,0.0,0,,1.878,3,2023-01-13,Columbia-only
submarines,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",unbucketed,,,,,,,0.325,6,2016-09-19,1.531,12,2017-01-18,both
submarines,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,piping,,,,,,,0.808,15,2016-11-09,1.02,17,2016-03-22,both
submarines,R2D6XY1EM6J8,"SENSARAS, LLC",unbucketed,,,,,,,1.816,7,2016-04-25,0.0,0,2017-04-24,Virginia-only
submarines,CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, INC.",piping,,,,,,,0.453,4,2016-02-04,1.24,17,2017-02-23,both
submarines,VNC1NE44BXJ6,"TOTAL WELDING SUPPLY, INC.",unbucketed,,,,,,,0.0,0,,1.692,4,2022-06-30,Columbia-only
