program,vendor_uei,vendor_name,work_type,biw_dollars_fy22_25_$M,biw_n_awards_fy22_25,biw_first_award,ingalls_dollars_fy22_25_$M,ingalls_n_awards_fy22_25,ingalls_first_award,virginia_dollars_fy22_25_$M,virginia_n_awards_fy22_25,virginia_first_award,columbia_dollars_fy22_25_$M,columbia_n_awards_fy22_25,columbia_first_award,cut_profile
ddg,VD5WUGZUCJ44,"TRIPLE SON WHOLESALE TIMBER, INC.",unbucketed,0.0,0,,0.0,0,2013-10-21,,,,,,,window-inactive
ddg,JFEWJZWTH4W4,THE TOOL HOUSE INC,unbucketed,0.0,0,,0.0,0,2014-03-24,,,,,,,window-inactive
ddg,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,unbucketed,0.0,0,,0.0,0,2016-02-23,,,,,,,window-inactive
ddg,HUKGWGAFW4C7,SOUNDOWN CORPORATION,unbucketed,0.0,0,,0.0,0,2013-05-10,,,,,,,window-inactive
ddg,RDB2AM2GGHH8,SIEMENS AKTIENGESELLSCHAFT,unbucketed,0.0,0,,0.0,0,2013-07-31,,,,,,,window-inactive
ddg,GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,unbucketed,0.0,0,,0.0,0,2015-10-13,,,,,,,window-inactive
ddg,WH4HRFKKT8U6,"ROMAC INDUSTRIES, INC.",unbucketed,0.0,0,,0.0,0,2013-04-23,,,,,,,window-inactive
ddg,K1K5EKJ2KK29,RHINESTAHL CORPORATION,unbucketed,0.0,0,,0.0,0,2016-12-12,,,,,,,window-inactive
ddg,E5J1EAQ21JR9,SURVITEC GROUP (CAYMAN ISLANDS) LIMITED,unbucketed,0.0,0,,0.0,0,2014-01-24,,,,,,,window-inactive
ddg,DYJZZ9DANLM3,RALPH & DOROTHY MOORE,unbucketed,0.0,0,,0.0,0,2013-08-27,,,,,,,window-inactive
ddg,NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",unbucketed,0.0,0,,0.0,0,2013-08-07,,,,,,,window-inactive
ddg,FVFNV3NERP36,"POWERSTAR, INC.",unbucketed,0.0,0,,0.0,0,2013-04-17,,,,,,,window-inactive
ddg,L8T4R3N7ACL6,COLFAX CORPORATION,piping,0.0,0,2018-10-08,0.0,0,2013-07-26,,,,,,,window-inactive
ddg,NPKVXNRA1XT3,PARASENSE LIMITED,unbucketed,0.0,0,,0.0,0,2014-10-28,,,,,,,window-inactive
ddg,K8E4CQYCRJ25,ADVANCED STRUCTURES CORPORATION,unbucketed,0.0,0,,0.0,0,2013-04-18,,,,,,,window-inactive
ddg,T99DCLB5NRH7,"OCENCO, INCORPORATED",unbucketed,0.0,0,,0.0,0,2016-12-22,,,,,,,window-inactive
ddg,XECCFU26TTP9,"MONITEQ, INC.",unbucketed,0.0,0,,0.0,0,2013-07-24,,,,,,,window-inactive
ddg,V72KJGHK3JF2,MGR EQUIPMENT CORP,unbucketed,0.0,0,,0.0,0,2014-02-13,,,,,,,window-inactive
ddg,G871GBTQ94M7,LONA SLADE,unbucketed,0.0,0,,0.0,0,2016-10-03,,,,,,,window-inactive
ddg,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",electrical,0.0,0,2017-10-11,0.0,0,2013-04-05,,,,,,,window-inactive
ddg,HEUNPCKQLMN5,KLUMB LUMBER COMPANY,unbucketed,0.0,0,,0.0,0,2017-04-11,,,,,,,window-inactive
ddg,CVMQHCRDBVT7,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",unbucketed,0.0,0,,0.0,0,2016-07-21,,,,,,,window-inactive
ddg,R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",unbucketed,0.0,0,,0.0,0,2013-04-05,,,,,,,window-inactive
ddg,JNC1BUEVV3B9,"JGILS, LLC",unbucketed,0.0,0,,0.0,0,2015-12-14,,,,,,,window-inactive
ddg,UZKRMH51VMJ5,"PAR SYSTEMS, INC.",unbucketed,0.0,0,2017-04-28,0.0,0,2013-07-23,,,,,,,window-inactive
ddg,JGLLLKELFB57,ITT CORPORATION,unbucketed,0.0,0,,0.0,0,2016-07-12,,,,,,,window-inactive
ddg,MSSQQ551LG41,"IMPRES TECHNOLOGY SOLUTIONS, INC.",unbucketed,0.0,0,,0.0,0,2016-10-17,,,,,,,window-inactive
ddg,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",piping,0.0,0,,0.0,0,2013-04-17,,,,,,,window-inactive
ddg,KB8ALFD8K1X8,HIGGINS MARINE SERVICES INC,unbucketed,0.0,0,,0.0,0,2015-04-15,,,,,,,window-inactive
ddg,CP8AJC3EDE93,"ALP INDUSTRIES, INC.",unbucketed,0.0,0,,0.0,0,2015-07-22,,,,,,,window-inactive
ddg,RTYDEXYNEZS1,ILLINOIS TOOL WORKS INC.,unbucketed,0.0,0,,0.0,0,2014-03-24,,,,,,,window-inactive
ddg,YPQMZDVKS1K8,FLOWSERVE CORPORATION,unbucketed,0.0,0,,0.0,0,2013-06-05,,,,,,,window-inactive
ddg,SFBKKM3ZYN48,FILTRATION GROUP CORPORATION,piping,0.0,0,,0.0,0,2018-10-29,,,,,,,window-inactive
ddg,W1NCJ8ATWDN7,EVOQUA WATER TECHNOLOGIES CORP.,unbucketed,0.0,0,,0.0,0,2014-06-19,,,,,,,window-inactive
ddg,D28HQ4AA2ZL8,"EFFORT FOUNDRY, INC.",unbucketed,0.0,0,,0.0,0,2013-04-24,,,,,,,window-inactive
ddg,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",unbucketed,0.0,0,,0.0,0,2013-04-18,,,,,,,window-inactive
ddg,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",unbucketed,0.0,0,,0.0,0,2014-03-06,,,,,,,window-inactive
ddg,PJM1KBVHTYL6,"DISTRIBUTION INTERNATIONAL, INC.",unbucketed,0.0,0,,0.0,0,2013-11-01,,,,,,,window-inactive
ddg,W2GBUE64GMZ6,"DERBYSHIRE MARINE PRODUCTS, LLC",unbucketed,0.0,0,,0.0,0,2013-08-12,,,,,,,window-inactive
ddg,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,unbucketed,0.0,0,,0.0,0,2013-09-10,,,,,,,window-inactive
ddg,FECPDA1S8WJ1,D. W. BOYD CORPORATION,unbucketed,0.0,0,,0.0,0,2013-09-23,,,,,,,window-inactive
ddg,VDSCUPC2H3K7,CITADEL CAPITAL CORPORATION,piping,0.0,0,,0.0,0,2013-08-20,,,,,,,window-inactive
ddg,NKESS3J37J77,COLUMBUS MCKINNON CORPORATION,unbucketed,0.0,0,,0.0,0,2015-07-23,,,,,,,window-inactive
ddg,E2UWVCT7GDJ4,"IRVING PLACE CAPITAL, LLC",hvac,0.0,0,,0.0,0,2013-04-15,,,,,,,window-inactive
ddg,RC1NNGFRMMM7,"STANLEY BLACK & DECKER, INC.",unbucketed,0.0,0,,0.0,0,2013-09-17,,,,,,,window-inactive
ddg,VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",unbucketed,0.0,0,,0.0,0,2014-02-13,,,,,,,window-inactive
ddg,F98TZC6J5XV1,"ARC TECHNOLOGIES, INC.",unbucketed,0.0,0,,0.0,0,2015-07-01,,,,,,,window-inactive
ddg,W2H3SYSJNLK5,ARASTAFF,unbucketed,0.0,0,,0.0,0,2015-08-06,,,,,,,window-inactive
ddg,HT2SC8NC87E1,ANIXTER INTERNATIONAL INC.,unbucketed,0.0,0,,0.0,0,2013-05-14,,,,,,,window-inactive
ddg,XGKMK9LBC344,PREMIER FARNELL LIMITED,unbucketed,0.0,0,,0.0,0,2015-05-05,,,,,,,window-inactive
ddg,J3DRM4537TG4,SOCIETE DE NEGOCE ET DE PARTICIPATION,unbucketed,0.0,0,,0.0,0,2016-08-12,,,,,,,window-inactive
ddg,UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",unbucketed,0.0,0,,0.0,0,2014-10-09,,,,,,,window-inactive
ddg,EEE8FHKK1YR9,"LAFAYETTE RESTAURANT SUPPLY, INC.",unbucketed,0.0,0,,0.0,0,2014-12-17,,,,,,,window-inactive
ddg,EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",structural,0.0,0,,0.0,0,2014-10-10,,,,,,,window-inactive
ddg,XJMEFDTH72U5,"HDT GLOBAL, INC.",unbucketed,0.0,0,,0.0,0,2013-08-07,,,,,,,window-inactive
ddg,LPN2BLLPK366,"EGGELHOF, INC.",unbucketed,0.0,0,,0.0,0,2015-06-22,,,,,,,window-inactive
ddg,XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,unbucketed,0.0,0,,0.0,0,2017-03-16,,,,,,,window-inactive
ddg,JN16VPC2PXN4,"BAY CITY MARINE, INC.",unbucketed,0.0,0,,0.0,0,2017-05-09,,,,,,,window-inactive
ddg,E5K9VR2A1MW9,BAE SYSTEMS PLC,unbucketed,0.0,0,,0.0,0,2018-01-16,,,,,,,window-inactive
ddg,K6CEGCM3YCX3,"WESCO GAS & WELDING SUPPLY, INC.",unbucketed,0.0,0,,0.0,0,2015-05-15,,,,,,,window-inactive
ddg,FX3GHG9B79N5,"TC/AMERICAN MONORAIL, INC.",unbucketed,0.0,0,,0.0,0,2015-04-30,,,,,,,window-inactive
ddg,C6KWNDH3EEB5,"CARDINAL ENGINEERING, LLC",unbucketed,0.0,0,,0.0,0,2016-06-02,,,,,,,window-inactive
ddg,TT9AGM31ZHM5,"BURK-KLEINPETER, INC.",unbucketed,0.0,0,,0.0,0,2013-09-13,,,,,,,window-inactive
ddg,KQDAHF4VF266,"BEN M. RADCLIFF CONTRACTOR, INC.",unbucketed,0.0,0,,0.0,0,2014-08-07,,,,,,,window-inactive
ddg,GGERZB4A1FB3,WBPARTS INC,unbucketed,0.0,0,,0.0,2,2024-02-15,,,,,,,HII-Ingalls-only
ddg,NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,unbucketed,0.0,0,,0.0,0,2014-12-10,,,,,,,window-inactive
