code,family,n_subawards,total_usd,modal_swbs_group,top_components
03089-02,03,28,10232468.35,593,OIL/WATER SEPARATOR
05002-01,05,8,10181325.23,,STRUT CASTINGS
03067-01,03,19,10121839.02,244,LINE SHAFT BEARINGS; LSBs
01043-02,01,40,9955470.16,,DECK COVERING
03240-01,03,10,9908915.0,256,CHLORINATOR/DECHLOR
02506-01,02,9,9881594.55,512,FAN VANEAXIAL
02517-01,02,30,9804268.8,,CLOSURE VENTILATION; CLOSURE VENT
01022-01,01,40,9645176.41,,HATCHES
01021-01,01,44,9573639.91,,STRUCTURAL DOORS
01013-03,01,18,9494092.64,581,ANCHOR WINDLASS
04071-01,04,8,9458742.17,436,SHBD FIRE DETECTION
03062-01,03,15,9265431.57,259,INTAKE SILENCERS
03191-02,03,14,9170417.53,593,VCHT SYSTEM
04068-01,04,28,8900464.58,504,TANK LEVEL INDICATORS
03247-01,03,23,8880086.23,593,MEMBRANE OWS POL SYST
03174-02,03,14,8734964.22,,HALON INSTALLATION
03006-01,03,19,8721732.99,541,FUEL FILTER/SEPARATOR
01003-05,01,13,8623162.05,583,
03031-01,03,8,8559184.97,505,HYDRAULIC VALVES
03249-01,03,19,8448595.02,262,FLTR/SEPR PURIFIER
02537-01,02,20,8395311.52,512,FAN COIL ASSEMBLIES
08253-01,08,22,7818608.56,,
03204-01,03,8,7813566.79,244,MAIN THRUST BEARINGS
02537-03,02,28,7704551.84,512,FAN COIL UNITS
03236-01,03,11,7659147.6,503,CENTRALIZED PUMP
09137-01,09,23,7415961.55,,SOW POTABLE WATER MIST TANKS; HIGH SOLIDS PAINT
02507-01,02,20,7343404.78,512,COILS UNIT COOLER
04067-01,04,16,7272594.85,351,CURR LIMITING DEVICE
03106-01,03,37,7153155.52,,GAUGES PRESS; GAGES PRESSURE; GAUGES PRESSURE
09108-01,09,27,6975514.32,,BLAST PAINT; AGREEMENT ICCI; AGREEMENT IMIA
03029-01,03,12,6656289.68,555,AFFF PROPORTIONER
01039-01,01,19,6607462.37,,COMMISSARY EQUIPMENT
04020-01,04,24,6307578.52,314,TRANSFORMERS
03078-01,03,13,6131516.59,,CONTROL VALVE
07047-01,07,15,6013776.56,,
03035-01,03,13,5513503.42,262,MRG LUBE OIL CLR
04091-01,04,17,5473048.41,324,
01140-01,01,18,5419383.45,730,OVHD WEAPON HNDLG SYS
04072-01,04,2,5410898.0,,FREQUENCY CHANGER
04090-01,04,15,5355245.07,310,GROUNDING ASSY
04077-01,04,12,5206753.16,475,ACTIVE SHAFT GRND SYS
01027-01,01,37,5067554.02,,SCUTTLES
03235-01,03,12,4936490.56,551,WPN SYS AIR COMP
08254-01,08,16,4842702.56,,
05149-01,05,39,4659596.68,,
07020-01,07,20,4658345.59,,
02545-02,02,9,4643450.66,512,VANEAXIAL FANS
01003-04,01,14,4616913.62,583,BOAT DAVIT WINCH
03197-01,03,13,4573584.66,555,AFFF FIRE EXT SYST
01061-01,01,14,4544755.12,,
02000-04,02,12,4464419.48,516,MOD SYS S/S
07016-01,07,33,4391740.92,,
03090-01,03,18,4377254.99,262,RED GEAR L/O STRAINER
05246-01,05,10,4334658.0,,
04068-02,04,12,4295394.13,504,RADAR TDR TLIs
07012-02,07,27,4285920.24,,
03030-03,03,10,4228763.5,503,CHILLED WATER PUMP
04017-01,04,11,4121209.66,314,POWER SUPPLY
05011-01,05,12,4047938.48,,RUDDER STOCKS
03065-01,03,18,3967176.2,551,AIR PRES RED MANIFOLD
01140-02,01,18,3822244.03,730,TORPEDO CHOCKS
03189-01,03,18,3749262.0,532,ELEC WATER HEATER; ELECTRIC WATER HEATER
03008-01,03,9,3672057.26,541,FUEL HEATERS
04084-01,04,12,3660082.24,324,SOLID STATE ABT
07003-01,07,10,3613922.5,,VALVE GLOBE CLOSE
01114-01,01,10,3599457.37,581,ANCHOR CHAINS
07000-01,07,15,3432484.64,,VALVE GATE
05055-01,05,13,3398170.88,,SEAL ASSY RUDDER STK
03042-01,03,13,3392248.29,503,PUMP CENTRIFUGAL
01040-01,01,16,3359980.03,,
04085-01,04,17,3354545.01,324,COTS MFM III
04086-01,04,12,3280750.77,433,DIGITAL ANNOUNC SYST
04081-01,04,12,3157926.37,451,SEC NAV RADAR SYSTEM
02524-01,02,14,3142362.39,512,ELEC DUCT HEATERS
07055-01,07,19,3136510.26,,
07056-01,07,14,3070559.14,,VALVE GLOBE
03165-01,03,13,3066806.71,503,POS DISP PUMPS GRP
03191-01,03,12,3058973.0,593,VCHT TRANSFER PUMP
07018-01,07,14,2947628.03,,
01039-03,01,10,2941459.18,,COMMISSARY EQUIPMENT
02004-02,02,27,2931862.73,,VALVE SOLENOID
03217-01,03,13,2839457.0,,VALVE CONTROL
08160-01,08,23,2835299.69,,
04093-01,04,6,2819766.14,314,
01011-01,01,19,2759759.84,582,WARPING CAPSTAN
03174-01,03,4,2644784.13,,HALON FIRE EXT SYSTEM
01039-02,01,12,2637926.07,,COMMISSARY EQUIPMENT
03149-01,03,18,2630135.0,541,FUEL SERV PREFILTER
03063-01,03,11,2548193.45,551,BLEED AIR COOLERS
01041-01,01,14,2520103.0,,MODULAR REEFERS
07011-01,07,10,2480972.72,,
07057-01,07,14,2477090.13,,VALVE GLOBE
01055-01,01,19,2461049.94,,
03185-01,03,13,2459433.76,262,OIL TANK HEATERS
01006-01,01,5,2451829.31,,PACKAGE CONVEYOR
07022-01,07,28,2403143.89,,VALVE SWING CHECK; BID CONTROL
08022-01,08,35,2389722.75,,
03246-01,03,12,2385421.62,551,AIR COMPRESSOR
02506-02,02,10,2372503.72,512,CENTRIFUGAL FANS
03136-01,03,8,2361538.69,244,STERN TUBE SEALS
07027-01,07,18,2329270.47,,
07094-01,07,33,2314787.0,,STRAINER; STRAINER WYE; STRAINER ABOM
05007-02,05,10,2291069.94,,LEAD TRAIL CASTINGS
03202-01,03,8,2235813.66,,
08222-01,08,19,2233237.59,,
03068-01,03,8,2210795.81,244,BULKHEAD SHAFT SEAL
03202-02,03,6,2210190.35,505,
04016-01,04,13,2179156.37,633,CATHODIC PROT SYS
04011-01,04,19,2170131.29,431,MAIN SWITCHBOARD
07009-01,07,26,2126114.82,,VALVE RELIEF
07280-01,07,32,2019562.41,,
02508-01,02,14,1939926.99,512,AIRTIGHT CLOSURES
07014-02,07,20,1910453.95,,VALVES
07014-01,07,15,1897405.4,,VALVE PLUG
07000-02,07,15,1887990.13,,VALVE GLOBE
01040-02,01,13,1886472.0,,WINDOW FXD TILTED
07058-01,07,16,1875393.83,,VALVE GLOBE
03257-01,03,6,1835473.0,,
03081-01,03,11,1830525.95,551,TURB STRT AIR FILTER
01019-01,01,8,1790916.0,,LIFE RAFTS
01056-02,01,8,1744465.88,,
08404-01,08,14,1723479.0,,
04022-01,04,9,1663859.52,,TRANSFORMERS
08040-02,08,27,1646741.78,,
02525-01,02,14,1628097.05,512,ELEC CONV HEATERS
04040-03,04,20,1616369.1,,
07094-02,07,7,1584047.57,,STRAINER
05003-01,05,8,1568017.51,,BOLSTER CASTINGS
03087-02,03,17,1512121.73,551,BLEED AIR RELIEF VLV
07075-01,07,12,1511861.49,,VALVE BALL
07023-01,07,14,1507613.5,,
07004-01,07,14,1489996.58,,
01001-01,01,13,1465896.23,712,AMMO STRIKEDN EQP; AMMO STIRKEDN EQP
07008-01,07,13,1464750.13,,VALVE CONTROL
03190-01,03,13,1414157.23,262,LUBE OIL PUR HEATER
05049-02,05,9,1343624.4,,DOORS CIWS EQUIP
05013-01,05,7,1289224.8,,RUDDER BEARINGS
05242-01,05,16,1211596.04,,
02004-01,02,12,1209825.0,505,SOLENOID OPER VALVES
08135-01,08,12,1207217.76,,
05005-01,05,7,1205530.0,,
03203-02,03,8,1189861.08,551,MEMBRANE DEHYDRATOR
04100-01,04,10,1175456.18,,AESS ASSFC
07000-03,07,15,1159144.9,,VALVE SWING
04041-01,04,17,1130352.5,,INDICATOR
07015-01,07,20,1104399.69,,
05006-01,05,11,1053890.47,,RUDDER BEARING SLEEVE; RUDDER SLEEVES; RUDDER SLEEVES B&H
01039-05,01,8,1042756.77,,
03033-01,03,8,1040987.59,551,DEHYDRATOR TYPE
07307-02,07,18,1022706.0,,
01028-01,01,15,986773.0,,
05050-02,05,13,967097.2,,
07005-01,07,16,945163.0,,VALVE GLOBE
07219-01,07,12,944898.92,,
07297-01,07,10,944395.0,,
05503-01,05,8,943415.5,,
05140-03,05,12,942170.99,,
02520-01,02,9,899879.16,,HOOD GRS INTCPR
08007-05,08,14,898261.05,,
08365-01,08,14,880795.31,,
07012-03,07,5,858496.0,,
01139-02,01,8,849698.84,,
08254-11,08,9,837157.15,,
01044-01,01,5,832156.0,,ACCOM LADDER
01051-01,01,11,812280.77,,LOCKS KEYS TAGS
08007-13,08,16,786690.05,,
08348-01,08,13,770916.8,,
08324-01,08,15,754232.0,,
07065-01,07,13,748877.86,,VALVE RELIEF
07024-01,07,9,741576.7,,
04046-01,04,17,739533.0,314,HELI STRT PWR SUPPLY
07046-01,07,10,735967.0,,EDUCTOR; REPLACES
08517-01,08,12,733753.64,,
05248-01,05,13,731622.0,,RFQ
03106-02,03,4,716976.16,,
05000-01,05,12,699806.0,,STEM BAR CASTING; B&H
05104-01,05,11,691925.0,,
09518-01,09,10,689171.0,,BULB TEE OUTSOURCING; BULB TEE
07021-01,07,12,676506.29,,VALVE SCUPPER
08034-01,08,10,668014.5,,
05195-01,05,15,649136.69,,
03201-01,03,8,642498.6,551,AIR FILTER EQUIPMENT
01061-02,01,10,634418.89,,
07002-01,07,12,633810.2,,VALVE SOLENOID; VALVE PILOT
01137-01,01,13,612104.11,571,UNREP SYSTEM
07042-01,07,3,606138.0,,SEAL ASSY RUDDER STK
08106-02,08,7,593525.0,,
03120-01,03,11,578390.0,,
03206-01,03,15,561685.18,551,DIFF PRES FLOW METER
07309-01,07,9,552967.0,,
04083-01,04,5,539712.72,,OWN SHIPS SPEED LOG
07356-01,07,6,537103.0,,
03243-01,03,3,535460.0,,
09613-01,09,2,521075.37,,
03215-01,03,10,503440.0,,RELIEF VALVE
07131-02,07,11,502572.57,,
07214-01,07,8,500188.42,,NOZZLE FIRE HOSE; NOZZLE
07197-01,07,13,497550.0,,
07052-01,07,10,491300.86,,
03137-01,03,6,486122.1,,VALVE GAGE
05016-01,05,7,485851.3,,KIT ASSY NON-SKID
07039-01,07,9,482209.82,,TANK RCVR RELAY; TANK RCVR/RELAY; TANK RCVR RELAY ABOM
01034-01,01,7,481499.0,,EXTRACTOR WASHER
08054-01,08,10,480557.5,,
07189-01,07,5,479750.0,,
02558-01,02,12,478067.57,512,CPS PRESSURE CTRL VLV
05007-01,05,3,474779.0,,RUDDER HUB CASTINGS
04074-01,04,4,450329.0,,VISUAL LANDING AIDS
08079-01,08,9,448641.44,,
05022-01,05,12,439712.0,,B&H BOLSTER CASTINGS
08022-03,08,11,432400.6,,
03207-01,03,12,427865.22,532,HOT WTR CIRC PUMP
07202-01,07,11,426958.0,,
01010-01,01,12,418920.22,,LOCKER WEAPONS
01036-01,01,9,411491.7,,
04062-01,04,5,404147.42,,SHIPS E&T SYSTEM
05070-01,05,8,393420.84,,
02533-01,02,6,387543.0,,CONNECTOR FLEXIBLE; CONNECTOR
08013-09,08,10,385344.0,,
07141-01,07,10,382908.88,,
03168-01,03,5,377161.3,,
04047-01,04,12,373401.44,314,RECTIFIER PWR SUPPLY
04052-01,04,11,373338.95,,
05089-01,05,9,357090.0,,
05262-01,05,5,352453.12,,
03005-01,03,9,349890.58,503,TRANSFER PUMP
07006-01,07,11,341151.55,,VALVE PRESS REG
01018-01,01,8,338970.0,,LOCKER STOWAGE
03007-02,03,10,337062.19,529,OILY WASTE TRANS PUMP
01050-01,01,9,321587.5,,HACKSAW
01066-01,01,5,314009.86,,HANDLING EQPT
07338-01,07,7,300102.12,,PUMP ROTARY VANE; PUMP ROTARY VINE
03237-01,03,9,296131.74,532,RAST HYD EXCHANGER
08026-01,08,9,292691.0,,
07317-01,07,9,288374.63,,FILTER CARBON AIR; FILTER AIR
07019-01,07,7,272507.7,,
08512-01,08,6,272094.88,,
01130-02,01,6,270032.9,,
01056-54,01,2,267413.0,,
03095-01,03,6,266622.84,,REEL HOSE; HOSE ASSY
01014-01,01,5,265674.25,,FAIRWATER COMPOSITE
04048-01,04,1,265487.58,,A/C SOLID STATE CONT
03069-01,03,1,264890.0,,PSC
08103-01,08,8,262944.0,,
01035-01,01,9,256637.0,,PRESS LAUNDRY
07225-01,07,7,254374.0,,
05060-01,05,6,253810.0,,
07105-01,07,6,242014.75,,VALVE VENT
07001-01,07,7,240905.62,,
08027-01,08,8,240592.0,,
08317-01,08,7,238514.0,,
01056-45,01,2,216403.0,,
05241-01,05,6,213784.38,,
07235-01,07,7,212848.97,,
01004-03,01,5,196049.42,,
03163-01,03,4,187882.96,,
01080-01,01,7,185666.0,,
02013-01,02,2,180282.0,,
08101-03,08,6,177267.0,,
08031-01,08,6,173366.4,,
08008-13,08,5,171375.0,,
01056-46,01,5,165248.0,,
08254-08,08,2,164291.96,,
05283-01,05,4,161748.6,,RFQ
08016-02,08,4,155049.17,,
01062-02,01,5,150372.0,,
07095-01,07,5,148515.0,,TRAP CONDENSATE
01010-04,01,3,146561.0,,LOCKER AMMUNITION
02021-01,02,4,146557.84,,VALVE BALANCING; BALANCING VALVES
07053-01,07,4,146195.1,,VALVE FOOT
04023-01,04,4,144900.0,,CHARGER
08109-02,08,4,143570.0,,
08024-01,08,4,142428.0,,
07198-01,07,5,139664.0,,
05283-03,05,4,136037.0,,
07085-01,07,3,134952.0,,CONNECTOR FLEXIBLE
09315-01,09,2,134940.69,,HOUSING FILTERS; CBR FILTERS
07163-01,07,4,132103.0,,
07167-02,07,4,127246.0,,
05283-04,05,4,122598.1,,
07067-01,07,4,112920.0,,STRAINER SIMPLEX
03213-01,03,2,109874.4,,
07064-01,07,4,103030.84,,
02509-01,02,3,98346.68,,
01023-01,01,3,96235.0,,
09519-01,09,1,91500.0,,ACCOM LADDER
08284-01,08,2,91311.98,,
03106-04,03,3,87150.0,,
03182-01,03,3,86918.86,262,
07061-01,07,3,85775.8,,
01056-09,01,3,82394.0,,
03238-01,03,3,77550.0,,DEHYDRATOR
02031-01,02,3,77181.8,,WATER VENTURI METERS
03200-01,03,1,74800.0,551,
08485-01,08,2,72166.08,,
04015-02,04,2,64513.0,,HTZ CONTROL PANEL
01056-40,01,2,60270.0,,
07154-01,07,2,57396.3,,VALVE SOUNDING
07079-01,07,2,57290.0,,STRAINER WYE ABOM; STRAINER WYE
02518-01,02,2,55761.04,,
07323-01,07,2,55380.0,,
08287-01,08,2,55160.0,,
07273-01,07,2,54208.44,,VALVE ASSY
07140-01,07,2,53184.43,,
08263-01,08,2,51271.8,,
07223-01,07,2,51192.7,,
02000-02,02,1,47913.0,,REFRIGERATION COOLERS
03209-01,03,1,43377.0,,
08094-04,08,1,42500.0,,RELAY
03248-01,03,1,41098.0,,
07013-01,07,1,35969.0,,
08224-01,08,1,34916.0,,
04016-91,04,1,34860.0,,
01056-39,01,1,34667.0,,
04111-01,04,1,33602.0,,P-IND
02515-02,02,1,31621.52,,
08354-01,08,1,30010.0,,
03174-91,03,1,28908.0,,
01023-02,01,1,28400.0,,LATHE
07049-03,07,1,28143.0,,
08032-01,08,1,28118.0,,
08080-01,08,1,28109.4,,
65323-01,65,1,27983.0,,
02557-01,02,1,26896.0,,KIT
03222-01,03,1,26546.35,,
07064-02,07,1,25844.0,,
