fy,uei,vendor,foreign,amount_M,records
2023,T2PGFX9RZJH9,"ASCO POWER TECHNOLOGIES, L..P.",,0.4640,2
2023,T3DYDNW4KVC7,"KAUFMAN COMPANY, INC.",,0.4619,4
2023,EKY1E33VMH27,"UNITED RENTALS (NORTH AMERICA), INC.",,0.4601,2
2023,EU8ESM53JNE7,LANXESS CORPORATION,,0.4588,1
2023,J632BG3ZB8L9,"TTM TECHNOLOGIES, INC.",,0.4585,2
2023,JVPJXP6A4DF8,"ATRENNE COMPUTING SOLUTIONS, LLC",,0.4513,1
2023,KSFXGBDLNG74,SCHNEIDER ELECTRIC SE,,0.4254,1
2023,FFL2MLNT4FN1,GARDNER DENVER NASH LLC,,0.4245,1
2023,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC.",,0.4243,7
2023,RJGEKQDTZKT8,ELECTRIC HEATER CO,,0.4194,3
2023,MXDKLLXB3EK7,"B&G MANUFACTURING CO., INC.",,0.4090,4
2023,PUFMZLZJ2BY2,MATTHEW WARREN INC,,0.3905,4
2023,CG86N1ZC42B8,AMMCON CORP.,,0.3859,8
2023,GMVJD1H9JQX8,"MICROFLEX, INC.",,0.3825,3
2023,J7RQVJ723JM3,MADISON COMPANY,,0.3729,2
2023,EB3GK67LJFR1,SCHWEITZER ENGINEERING LABORATORIES INC,,0.3708,2
2023,NKNLZEBJBM67,TRANSDIGM INC,,0.3673,3
2023,XNFVD42NAB73,TRIAS CONSTRUCTION LLC,,0.3578,2
2023,K572F32CSLG5,MANPOWER INC.,,0.3554,1
2023,ZBZVJGNBJ677,AMERICAN HYDRO LLC,,0.3513,2
2023,LFNVWPJYQKH4,"COASTAL DESIGN, LLC",,0.3512,7
2023,E5XTWRMQAZN1,APPLIED PRODUCTS INC,,0.3500,1
2023,QLTXH525A671,"RAPID PREP, LLC",,0.3484,5
2023,WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",,0.3292,4
2023,VUA5GYK66K98,CHAPCO INC,,0.3191,5
