LI,Class,Category,Bucket,FY,Best Value $M,Source PB,All Vintages
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2027,4763.342,PB2027,"PB2023=3833.427, PB2024=3660.061, PB2025=4846.633, PB2027=4763.342"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2028,5363.445,PB2027,"PB2024=3782.709, PB2025=5014.453, PB2027=5363.445"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2029,4916.623,PB2027,"PB2025=4342.068, PB2027=4916.623"
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2030,6078.750,PB2027,PB2027=6078.750
1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2031,5716.743,PB2027,PB2027=5716.743
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2020,2087.588,PB2022,PB2022=2087.588
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2021,1745.767,PB2023,"PB2022=1745.767, PB2023=1745.767"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2022,2105.407,PB2024,"PB2022=2120.407, PB2023=2105.407, PB2024=2105.407"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2023,2025.651,PB2025,"PB2023=2025.651, PB2024=2025.651, PB2025=2025.651"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2024,1798.745,PB2026,"PB2023=1855.467, PB2024=1855.502, PB2025=1855.502, PB2026=1798.745"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2025,2421.954,PB2027,"PB2023=2214.983, PB2024=2214.984, PB2025=2421.954, PB2026=2421.954, PB2027=2421.954"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2026,2288.954,PB2027,"PB2023=2050.264, PB2024=2050.264, PB2025=2288.954, PB2026=2288.954, PB2027=2288.954"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2027,2375.448,PB2027,"PB2023=2256.373, PB2024=2102.858, PB2025=2375.448, PB2027=2375.448"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2028,2541.613,PB2027,"PB2024=1484.422, PB2025=1839.613, PB2027=2541.613"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2029,2597.163,PB2027,"PB2025=1575.177, PB2027=2597.163"
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2030,2595.198,PB2027,PB2027=2595.198
2013,Virginia,Advance Procurement,Advance Procurement (Va sub-total),2031,2695.976,PB2027,PB2027=2695.976
2013,Virginia,Economic Order of Quantity,EOQ,2020,881.964,PB2022,PB2022=881.964
2013,Virginia,Economic Order of Quantity,EOQ,2021,427.420,PB2023,"PB2022=427.420, PB2023=427.420"
2013,Virginia,Economic Order of Quantity,EOQ,2024,1360.037,PB2026,"PB2023=1088.028, PB2024=1360.037, PB2025=1360.037, PB2026=1360.037"
2013,Virginia,Economic Order of Quantity,EOQ,2025,1298.349,PB2027,"PB2023=973.761, PB2024=1298.349, PB2025=1298.349, PB2026=1298.349, PB2027=1298.349"
2013,Virginia,Economic Order of Quantity,EOQ,2026,707.862,PB2027,"PB2023=471.908, PB2024=707.862, PB2025=707.862, PB2026=707.862, PB2027=707.862"
2013,Virginia,Economic Order of Quantity,EOQ,2029,1501.595,PB2027,PB2027=1501.595
2013,Virginia,Economic Order of Quantity,EOQ,2030,1433.476,PB2027,PB2027=1433.476
2013,Virginia,Economic Order of Quantity,EOQ,2031,781.536,PB2027,PB2027=781.536
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2020,29.940,PB2022,PB2022=29.940
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2021,30.540,PB2023,"PB2022=30.540, PB2023=30.540"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2022,31.150,PB2024,"PB2022=31.150, PB2023=31.150, PB2024=31.150"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2023,31.774,PB2025,"PB2023=31.774, PB2024=31.774, PB2025=31.774"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2024,32.408,PB2026,"PB2023=32.408, PB2024=32.408, PB2025=32.408, PB2026=32.408"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2025,33.056,PB2027,"PB2023=33.056, PB2024=33.056, PB2025=33.056, PB2026=33.056, PB2027=33.056"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2026,33.718,PB2027,"PB2023=33.718, PB2024=33.718, PB2025=33.718, PB2026=33.718, PB2027=33.718"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2027,34.392,PB2027,"PB2023=34.392, PB2024=34.392, PB2025=34.392, PB2027=34.392"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2028,35.080,PB2027,"PB2024=35.080, PB2025=35.080, PB2027=35.080"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2029,35.783,PB2027,"PB2025=17.891, PB2027=35.783"
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2030,36.497,PB2027,PB2027=36.497
2013,Virginia,Electronics Equipment LLTM,Electronics LLTM,2031,37.227,PB2027,PB2027=37.227
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2020,542.963,PB2022,PB2022=542.963
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2021,542.188,PB2023,"PB2022=542.188, PB2023=542.188"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2022,533.556,PB2024,"PB2022=533.556, PB2023=533.556, PB2024=533.556"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2023,723.879,PB2025,"PB2023=723.879, PB2024=723.879, PB2025=723.879"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2024,568.247,PB2026,"PB2023=568.213, PB2024=568.247, PB2025=568.247, PB2026=568.247"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2025,820.076,PB2027,"PB2023=820.075, PB2024=820.076, PB2025=820.076, PB2026=820.076, PB2027=820.076"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2026,598.620,PB2027,"PB2023=598.620, PB2024=598.620, PB2025=598.620, PB2026=598.620, PB2027=598.620"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2027,611.172,PB2027,"PB2023=611.171, PB2024=611.172, PB2025=611.172, PB2027=611.172"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2028,623.395,PB2027,"PB2024=623.395, PB2025=623.395, PB2027=623.395"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2029,692.930,PB2027,"PB2025=346.463, PB2027=692.930"
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2030,606.423,PB2027,PB2027=606.423
2013,Virginia,Long Lead-Time CFE One Year AP,Shipbuilder-procured LLTM (CFE),2031,618.552,PB2027,PB2027=618.552
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2024,113.512,PB2026,PB2026=113.512
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2025,245.234,PB2027,"PB2026=245.234, PB2027=245.234"
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2026,268.518,PB2027,"PB2026=268.518, PB2027=268.518"
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2027,273.856,PB2027,PB2027=273.856
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2028,355.949,PB2027,PB2027=355.949
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2029,266.388,PB2027,PB2027=266.388
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2030,271.723,PB2027,PB2027=271.723
2013,Virginia,Long Lead-Time CFE Two Year AP,Shipbuilder-procured LLTM (CFE),2031,277.157,PB2027,PB2027=277.157
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2022,47.214,PB2024,PB2024=47.214
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2023,48.538,PB2025,"PB2024=48.538, PB2025=48.538"
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2024,49.508,PB2026,"PB2024=49.508, PB2025=49.508, PB2026=49.508"
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2025,50.498,PB2027,"PB2024=50.498, PB2025=50.498, PB2026=50.498, PB2027=50.498"
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2026,51.508,PB2027,"PB2024=51.508, PB2025=51.508, PB2026=51.508, PB2027=51.508"
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2027,52.538,PB2027,"PB2024=52.538, PB2025=52.538, PB2027=52.538"
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2028,53.589,PB2027,"PB2024=53.589, PB2025=53.589, PB2027=53.589"
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2029,54.662,PB2027,"PB2025=27.331, PB2027=54.662"
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2030,55.755,PB2027,PB2027=55.755
2013,Virginia,Non-Nuclear Propulsion / Propulsor LLTM,Propulsor LLTM,2031,56.870,PB2027,PB2027=56.870
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2020,1246.830,PB2022,PB2022=1246.830
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2021,883.115,PB2023,"PB2022=883.115, PB2023=883.115"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2022,1121.470,PB2024,"PB2022=1121.470, PB2023=1121.470, PB2024=1121.470"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2023,1004.950,PB2025,"PB2023=1004.950, PB2024=1004.950, PB2025=1004.950"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2024,1035.070,PB2026,"PB2023=1035.070, PB2024=1035.070, PB2025=1035.070, PB2026=1035.070"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2025,1273.090,PB2027,"PB2023=1066.120, PB2024=1066.120, PB2025=1273.090, PB2026=1273.090, PB2027=1273.090"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2026,1336.590,PB2027,"PB2023=1097.900, PB2024=1097.900, PB2025=1336.590, PB2026=1336.590, PB2027=1336.590"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2027,1403.490,PB2027,"PB2023=1130.900, PB2024=1130.900, PB2025=1403.490, PB2027=1403.490"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2028,1473.600,PB2027,"PB2024=640.655, PB2025=949.495, PB2027=1473.600"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2029,1547.400,PB2027,"PB2025=1007.465, PB2027=1547.400"
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2030,1624.800,PB2027,PB2027=1624.800
2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,Nuclear plant LLTM,2031,1706.170,PB2027,PB2027=1706.170
2013,Virginia,Plans,Plans / SIB,2024,200.000,PB2026,PB2026=200.000
2013,Virginia,Plans,Plans / SIB,2026,130.000,PB2027,"PB2026=130.000, PB2027=130.000"
2013,Virginia,Plans,Plans / SIB,2027,1768.170,PB2027,PB2027=1768.170
2013,Virginia,Plans,Plans / SIB,2028,1943.720,PB2027,PB2027=1943.720
2013,Virginia,Plans,Plans / SIB,2029,1602.690,PB2027,PB2027=1602.690
2013,Virginia,Plans,Plans / SIB,2030,285.000,PB2027,PB2027=285.000
2013,Virginia,Plans,Plans / SIB,2031,214.000,PB2027,PB2027=214.000
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2020,2969.552,PB2022,PB2022=2969.552
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2021,2173.187,PB2023,"PB2022=2173.187, PB2023=2173.187"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2022,2105.407,PB2024,"PB2022=2120.407, PB2023=2105.407, PB2024=2105.407"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2023,2025.651,PB2025,"PB2023=2025.651, PB2024=2025.651, PB2025=2025.651"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2024,3358.782,PB2026,"PB2023=2943.495, PB2024=3215.539, PB2025=3215.539, PB2026=3358.782"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2025,3720.303,PB2027,"PB2023=3188.744, PB2024=3513.333, PB2025=3720.303, PB2026=3720.303, PB2027=3720.303"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2026,3126.816,PB2027,"PB2023=2522.172, PB2024=2758.126, PB2025=2996.816, PB2026=3126.816, PB2027=3126.816"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2027,4143.618,PB2027,"PB2023=2256.373, PB2024=2102.858, PB2025=2375.448, PB2027=4143.618"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2028,4485.333,PB2027,"PB2024=1484.422, PB2025=1839.613, PB2027=4485.333"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2029,5701.448,PB2027,"PB2025=1575.177, PB2027=5701.448"
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2030,4313.674,PB2027,PB2027=4313.674
2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,Grand Total,2031,3691.512,PB2027,PB2027=3691.512
