LI,Class,Category,Bucket,FY,Best Value $M,Source PB,All Vintages
1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,Shipbuilder-procured LLTM,2026,583.783,PB2027,"PB2023=583.783, PB2024=583.783, PB2025=583.783, PB2026=583.782, PB2027=583.783"
1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,Shipbuilder-procured LLTM,2027,623.336,PB2027,"PB2023=623.336, PB2024=623.336, PB2025=623.336, PB2027=623.336"
1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,Shipbuilder-procured LLTM,2028,638.378,PB2027,"PB2024=638.378, PB2025=638.378, PB2027=638.378"
1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,Shipbuilder-procured LLTM,2029,653.770,PB2027,"PB2025=653.770, PB2027=653.770"
1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,Shipbuilder-procured LLTM,2030,669.536,PB2027,PB2027=669.536
1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,Shipbuilder-procured LLTM,2031,685.682,PB2027,PB2027=685.682
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2020,74.343,PB2022,PB2022=74.343
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2021,78.165,PB2023,"PB2022=78.165, PB2023=78.165"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2022,166.419,PB2024,"PB2022=146.419, PB2023=166.419, PB2024=166.419"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2023,140.871,PB2025,"PB2023=140.871, PB2024=140.871, PB2025=140.871"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2024,769.628,PB2026,"PB2023=767.728, PB2024=769.628, PB2025=769.628, PB2026=769.628"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2025,489.266,PB2027,"PB2023=431.159, PB2024=476.141, PB2025=489.266, PB2026=489.266, PB2027=489.266"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2026,376.645,PB2027,"PB2023=379.345, PB2024=379.612, PB2025=380.580, PB2026=376.645, PB2027=376.645"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2027,172.483,PB2027,"PB2023=347.777, PB2024=172.643, PB2025=173.779, PB2027=172.483"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2028,174.596,PB2027,"PB2024=175.213, PB2025=174.596, PB2027=174.596"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2029,15.455,PB2027,"PB2025=17.437, PB2027=15.455"
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2030,1012.365,PB2027,PB2027=1012.365
1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,EOQ,2031,690.536,PB2027,PB2027=690.536
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2020,5.808,PB2022,PB2022=5.808
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2021,12.553,PB2023,"PB2022=12.553, PB2023=12.553"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2022,25.936,PB2024,"PB2022=25.936, PB2023=25.936, PB2024=25.936"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2023,31.745,PB2025,"PB2023=31.745, PB2024=31.745, PB2025=31.745"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2024,31.607,PB2026,"PB2023=31.607, PB2024=31.607, PB2025=31.607, PB2026=31.607"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2025,47.320,PB2027,"PB2023=45.692, PB2024=45.692, PB2025=47.320, PB2026=47.320, PB2027=47.320"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2026,46.155,PB2027,"PB2023=46.155, PB2024=46.155, PB2025=48.812, PB2026=46.155, PB2027=46.155"
1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,Shipbuilder-procured LLTM,2027,37.619,PB2027,"PB2023=37.618, PB2024=37.618, PB2025=48.000, PB2027=37.619"
