program,piid,work_type,vendor_uei,vendor_name,n_records,dollars
ddg,N0002418C2307,unbucketed,FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",17,1.14
ddg,N0002418C2307,unbucketed,NYPLGL4BKTS7,ESI ACQUISITION CORP,16,3.228
ddg,N0002418C2307,unbucketed,DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",13,5.188
ddg,N0002418C2307,unbucketed,QATEDMDR46E4,FORTIVE CORPORATION,13,2.358
ddg,N0002418C2307,unbucketed,K3URF4HUNQS5,"GLOBAL, INCORPORATED",12,1.42
ddg,N0002418C2307,unbucketed,DV6YQV71ME11,MAR-VAC PRODUCTS INC,11,1.074
ddg,N0002418C2307,unbucketed,HNJDANSKDZK9,"SPECTRONICS, INC.",10,0.326
ddg,N0002418C2307,unbucketed,LN9YKAX66918,"KULITE SEMICONDUCTOR PRODUCTS, INC",9,0.417
ddg,N0002418C2307,unbucketed,X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, INC.",9,0.998
ddg,N0002418C2307,unbucketed,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,9,2.635
ddg,N0002418C2307,unbucketed,F3XKPA82MHQ5,"NAG, LLC",8,2.781
ddg,N0002418C2307,unbucketed,C4C1WKKFJ8H5,ENERGY RENTAL SOLUTIONS LLC,7,0.589
ddg,N0002418C2307,unbucketed,J2DMF1YRKD96,STANDARD CALIBRATIONS INC,7,0.398
ddg,N0002418C2307,unbucketed,JJRDPJY9GQA8,FLETCHER CONSTRUCTION CO INC,7,0.257
ddg,N0002418C2307,unbucketed,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",6,3.332
ddg,N0002418C2307,unbucketed,M4ANYAZ8Q6H8,"SETRA SYSTEMS, INC.",6,0.218
ddg,N0002418C2307,unbucketed,TMDVSPNEFR69,"IVES EQUIPMENT, LLC",6,0.685
ddg,N0002418C2307,unbucketed,C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,5,0.82
ddg,N0002418C2307,unbucketed,D9T3VK42BLV7,"MILWAUKEE COMPOSITES, INC.",5,0.968
ddg,N0002418C2307,unbucketed,HYN4GBTR6TF3,GULF COAST MARINE SUPPLY CO,5,0.357
ddg,N0002418C2307,unbucketed,LU7KP9UJJ5L7,"WESCO INTERNATIONAL, INC.",5,0.48
ddg,N0002418C2307,unbucketed,M6ZTA4NZGLQ5,"ANDERSON METAL INDUSTRIES, INC.",5,0.192
