program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,dollars_total,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
submarines,N0002416C2111,Virginia,GDEB,hvac,2016-11-23,2020-01-22,4,0.6667,1.0,0.328,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,6
submarines,N0002416C2111,Virginia,GDEB,castings,2019-06-13,2022-09-12,2,0.8,1.0,0.207,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5
submarines,N0002413C2128,Columbia,GDEB,unbucketed,2016-01-06,2020-01-14,106,0.7256,0.7264,46.738,0,0,0,0,78,120,11,5,1,0,0,0,0,0,0,215
submarines,N0002413C2128,Columbia,GDEB,piping,2016-01-06,2021-12-20,27,0.9889,0.963,39.89,0,0,0,0,38,118,14,2,2,2,4,0,0,0,0,180
submarines,N0002413C2128,Columbia,GDEB,structural,2016-02-09,2020-04-28,13,0.878,0.9231,19.825,0,0,0,0,7,32,1,0,1,0,0,0,0,0,0,41
submarines,N0002413C2128,Columbia,GDEB,castings,2016-02-18,2019-12-03,4,0.9091,1.0,1.933,0,0,0,0,5,14,1,0,2,0,0,0,0,0,0,22
submarines,N0002413C2128,Columbia,GDEB,electrical,2016-04-26,2021-09-24,7,0.9091,1.0,7.002,0,0,0,0,5,12,3,0,0,2,0,0,0,0,0,22
submarines,N0002413C2128,Columbia,GDEB,coatings,2016-05-16,2019-03-05,5,0.9048,1.0,6.089,0,0,0,0,14,6,0,1,0,0,0,0,0,0,0,21
submarines,N0002413C2128,Columbia,GDEB,machining,2016-01-21,2021-02-12,6,1.0,1.0,2.135,0,0,0,0,2,8,4,0,0,3,0,0,0,0,0,17
submarines,N0002413C2128,Columbia,GDEB,hvac,2016-02-29,2021-07-09,6,0.7273,1.0,4.795,0,0,0,0,6,3,1,0,0,1,0,0,0,0,0,11
submarines,N0002424C2110,Virginia,GDEB,piping,2024-05-31,2025-08-21,18,0.9831,0.9444,121.357,0,0,0,0,0,0,0,0,0,0,0,0,48,70,0,118
submarines,N0002424C2110,Virginia,GDEB,castings,2024-05-28,2025-08-21,8,0.9571,0.875,32.555,0,0,0,0,0,0,0,0,0,0,0,0,13,57,0,70
submarines,N0002424C2110,Virginia,GDEB,machining,2024-05-20,2025-08-22,10,0.94,1.0,23.484,0,0,0,0,0,0,0,0,0,0,0,0,8,42,0,50
submarines,N0002424C2110,Virginia,GDEB,unbucketed,2024-06-24,2025-08-15,24,0.5814,1.0,6.15,0,0,0,0,0,0,0,0,0,0,0,0,6,37,0,43
