ticker,fy,quarter,call_date,source,url,txt_size_chars,filename
LMT,2020,1,2020-04-21,fool,https://www.fool.com/earnings/call-transcripts/2020/04/21/lockheed-martin-corp-lmt-q1-2020-earnings-call-tra.aspx,57391,FY2020_Q1_fool.txt
LMT,2020,2,2020-07-21,fool,https://www.fool.com/earnings/call-transcripts/2020/07/21/lockheed-martin-corp-lmt-q2-2020-earnings-call-tra.aspx,57072,FY2020_Q2_fool.txt
LMT,2020,3,2020-10-20,fool,https://www.fool.com/earnings/call-transcripts/2020/10/20/lockheed-martin-corp-lmt-q3-2020-earnings-call-tra/,54616,FY2020_Q3_fool.txt
LMT,2020,4,2021-01-26,fool,https://www.fool.com/earnings/call-transcripts/2021/01/26/lockheed-martin-corp-lmt-q4-2020-earnings-call-tra/,50422,FY2020_Q4_fool.txt
LMT,2021,1,2021-04-20,fool,https://www.fool.com/earnings/call-transcripts/2021/04/20/lockheed-martin-corp-lmt-q1-2021-earnings-call-tra/,54289,FY2021_Q1_fool.txt
LMT,2021,2,2021-07-26,fool,https://www.fool.com/earnings/call-transcripts/2021/07/26/lockheed-martin-corporation-lmt-q2-2021-earnings-c/,54077,FY2021_Q2_fool.txt
LMT,2021,4,2022-01-25,fool,https://www.fool.com/earnings/call-transcripts/2022/01/25/lockheed-martin-lmt-q4-2021-earnings-call-transcri/,55792,FY2021_Q4_fool.txt
LMT,2022,2,2022-07-19,fool,https://www.fool.com/earnings/call-transcripts/2022/07/19/lockheed-martin-lmt-q2-2022-earnings-call-transcri/,52424,FY2022_Q2_fool.txt
LMT,2022,3,2022-10-18,fool,https://www.fool.com/earnings/call-transcripts/2022/10/18/lockheed-martin-lmt-q3-2022-earnings-call-transcri/,56486,FY2022_Q3_fool.txt
LMT,2022,4,2023-01-24,fool,https://www.fool.com/earnings/call-transcripts/2023/01/24/lockheed-martin-lmt-q4-2022-earnings-call-transcri/,60417,FY2022_Q4_fool.txt
LMT,2023,2,2023-07-18,fool,https://www.fool.com/earnings/call-transcripts/2023/07/18/lockheed-martin-lmt-q2-2023-earnings-call-transcri/,60139,FY2023_Q2_fool.txt
LMT,2023,3,2023-10-17,fool,https://www.fool.com/earnings/call-transcripts/2023/10/17/lockheed-martin-lmt-q3-2023-earnings-call-transcri/,53576,FY2023_Q3_fool.txt
LMT,2023,4,2024-01-23,fool,https://www.fool.com/earnings/call-transcripts/2024/01/23/lockheed-martin-lmt-q4-2023-earnings-call-transcri/,58193,FY2023_Q4_fool.txt
LMT,2024,1,2024-04-23,fool,https://www.fool.com/earnings/call-transcripts/2024/04/23/lockheed-martin-lmt-q1-2024-earnings-call-transcri/,57832,FY2024_Q1_fool.txt
LMT,2024,2,2024-07-23,fool,https://www.fool.com/earnings/call-transcripts/2024/07/23/lockheed-martin-lmt-q2-2024-earnings-call-transcri/,55236,FY2024_Q2_fool.txt
LMT,2024,3,2024-10-22,fool,https://www.fool.com/earnings/call-transcripts/2024/10/22/lockheed-martin-lmt-q3-2024-earnings-call-transcri/,55778,FY2024_Q3_fool.txt
LMT,2024,4,2025-01-28,fool,https://www.fool.com/earnings/call-transcripts/2025/01/28/lockheed-martin-lmt-q4-2024-earnings-call-transcri/,56491,FY2024_Q4_fool.txt
LMT,2025,2,2025-07-22,fool,https://www.fool.com/earnings/call-transcripts/2025/07/22/lockheed-martin-lmt-q2-2025-earnings-transcript/,57738,FY2025_Q2_fool.txt
LMT,2025,3,2025-10-21,fool,https://www.fool.com/earnings/call-transcripts/2025/10/21/lockheed-martin-lmt-q3-2025-earnings-transcript/,60181,FY2025_Q3_fool.txt
LMT,2025,4,2026-01-27,fool,https://www.fool.com/earnings/call-transcripts/2026/01/29/lockheed-martin-lmt-q4-2025-earnings-transcript/,57220,FY2025_Q4_fool.txt
LMT,2026,1,2026-04-22,fool,https://www.fool.com/earnings/call-transcripts/2026/04/23/lockheed-martin-lmt-q1-2026-earnings-transcript/,56657,FY2026_Q1_fool.txt
