uei,name,dollars,records,programs,foreign,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
HY9JJE3F4R25,"WOLLASTON ALLOYS, INC.",4816591.0,7,ddg,,Active,Active,Manufacturer of Goods,331513,3315,1,331513,0,,CONSOLIDATED PRECISION PRODUCTS CORP,"CPP GROUP HOLDING, LLC",1E526,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LYV8XEV314F6,UNIVERSAL MANUFACTURING CORP.,4808227.9,10,ddg,,Active,Active,Manufacturer of Goods,332323,3323,6,238990;332323;332999;423390;423840;532490,0,,,,87761,N,For Profit Organization;Business or Organization;Manufacturer of Goods
NMHFLDYJJ4C5,LOCKHEED MARTIN CORPORATION,4780449.32,21,ddg,,Active,Active,Manufacturer of Goods,334511,3345,52,334111;334220;334290;334418;334511;334512;334519;336413;336414;336419;517410;541211;541213;541214;541219;541330;541360;541370;541380;541511;541512;541513;541519;541611;541612;541613;541614;541618;541620;541690;541715;541720;541810;541820;541830;541840;541850;541860;541870;541890;541910;541990;561110;561210;561499;561990;611420;611430;611512;921190;927110;928110,0,,LOCKHEED MARTIN CORP,,52088,N,For Profit Organization;Business or Organization;Manufacturer of Goods
K6LKL4BYZGZ6,TRILOGIC SYSTEMS CORPORATION,4774091.88,37,ddg,,Active,Active,Subchapter S Corporation,541519,5415,5,423430;423690;541330;541512;541519,0,,,,5XPW3,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Subchapter S Corporation
RBJHSL4MK9M8,LANXESS SOLUTIONS US INC.,4769117.0,10,ddg,,NO_RECORD,,,,,0,,0,,,,,,
QV38GMJUBJQ3,L3HARRIS MARITIME SERVICES INC,4702215.48,14,ddg,,Active,Active,Manufacturer of Goods,336611,3366,41,238110;238120;238130;238190;238210;238220;238290;238310;238320;238330;238350;238390;238990;326291;332618;332999;334118;334220;334290;334418;334511;334512;335921;335931;335932;335999;336611;336612;488390;541330;541340;541380;541511;541512;541611;541990;561210;561621;561710;561730;811310,3,5925;5995;J059,"L3HARRIS TECHNOLOGIES, INC",,34246,N,For Profit Organization;Business or Organization;Manufacturer of Goods
ZJYJB7MBFE56,"CRANE PUMPS & SYSTEMS, INC.",4647189.52,24,ddg,,Active,Active,Manufacturer of Goods,333914,3339,2,333914;333996,0,,CRANE COMPANY,,96046,N,For Profit Organization;Business or Organization;Manufacturer of Goods
YWX1QLBKSQD7,"PRC - DESOTO INTERNATIONAL, INC.",4554999.41,48,ddg,,Active,Active,Manufacturer of Goods,325520,3255,1,325520,0,,"PRC-DESOTO INTERNATIONAL, INC.","PPG INDUSTRIES, INC",23354,N,For Profit Organization;Business or Organization;Manufacturer of Goods
FH39KDCYBK21,"Htp Meds, LLC",4526443.33,10,ddg,,NO_RECORD,,,,,0,,0,,,,,,
F3XKPA82MHQ5,"NAG, LLC",4516902.65,21,ddg,,Active,Active,Manufacturer of Goods,334513,3345,9,333995;334111;334118;334511;334513;334519;335314;335999;336611,3,6680;6685;7B22,,,1PL37,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
JL9NMM3YALQ5,"TAD PGS, INC.",4515227.64,33,ddg,,Active,Active,,561320,5613,9,541330;541611;541612;541690;541990;561110;561311;561320;621399,15,R401;R408;R418;R425;R426;R497;R499;R699;R703;R704;R706;R707;R708;R710;R799,"ADECCO USA, INC.",,1DAH2,N,For Profit Organization;Business or Organization
Y9KMLM1AFU63,ROTRON INCORPORATED,4467453.96,19,ddg,,Active,Active,Manufacturer of Goods,334419,3344,4,333413;333414;333415;334419,0,,AMETEK INC,,57487,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LGVPVLMRHH51,"W. & O. SUPPLY, INC.",4457876.31,30,ddg,,Active,Active,,423840,4238,2,336611;423840,3,4710;4810;4820,PVI HOLDINGS INC,"STS OPERATING, INC.",4YUS3,N,For Profit Organization;Business or Organization
MTNSMCNJCNE1,"LJM PACKAGING CO., INC.",4441314.0,9,ddg,,Inactive,Inactive,Manufacturer of Goods,561910,5619,1,561910,0,,,,87K35,N,For Profit Organization;Business or Organization;Manufacturer of Goods
WJ1XMJMTSYL9,"PAROSCIENTIFIC, INC.",4426281.27,36,ddg,,Active,Active,Subchapter S Corporation,334519,3345,1,334519,0,,,,54535,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
JLZUKW73FAM9,"Paradigm Precision Holdings, LLC",4423336.0,26,ddg,,NO_RECORD,,,,,0,,0,,,,,,
H8CSTCGGDD87,STRYTEN ENERGY LLC,4364540.72,1,ddg,,Active,Active,,335910,3359,1,335910,0,,,,20038,N,For Profit Organization;Business or Organization
RG8HFHKSV215,PDS ENGINEERING & CONSTRUCTION INC,4351542.0,6,ddg,,Inactive,Inactive,,236210,2362,3,236210;236220;238120,0,,,,3BHM5,N,For Profit Organization;Business or Organization
JCXDK86FK3L5,FEDERAL METAL CO,4308300.0,3,ddg,,Active,Active,Manufacturer of Goods,331420,3314,1,331420,0,,,,5B438,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LFNVWPJYQKH4,COASTAL DESIGN LLC,4280301.84,69,ddg,,Active,Active,,541330,5413,1,541330,0,,,,3EAU9,N,For Profit Organization;Business or Organization
QF82VVEDYFC3,"PUROLATOR FACET, INC.",4253101.45,12,ddg,,Active,Active,Manufacturer of Goods,336413,3364,4,336412;336413;336419;336992,1,1680,PARKER-HANNIFIN CORPORATION,,90005,N,For Profit Organization;Business or Organization;Manufacturer of Goods
D1L2HV3GLLY3,TIOGA PIPE INC,4242450.64,8,ddg,,Active,Active,,423510,4235,1,423510,0,,,,4DWR2,N,For Profit Organization;Business or Organization
ZMYGRJX1M1J3,RIESBECK CONTRACTING INC,4076959.12,25,ddg,,Active,Active,Subchapter S Corporation,236220,2362,1,236220,20,Y1EZ;Y1FB;Y1FC;Y1FD;Y1GZ;Y1JZ;Z200;Z2AA;Z2AB;Z2AZ;Z2CA;Z2CZ;Z2EB;Z2EZ;Z2FB;Z2FC;Z2FD;Z2GZ;Z2JZ;Z2QA,,,3FG59,N,For Profit Organization;Business or Organization;Subchapter S Corporation
PM3QRNLPA8K5,"RILEY POWER GROUP, LLC",4040000.0,3,ddg,,Active,Active,Limited Liability Company,336611,3366,9,236210;238190;238210;238220;238390;332710;332996;336611;811310,0,,RPG CO LLC,QUIET C RPG ACQUISITION I LLC,768C0,N,For Profit Organization;Business or Organization;Limited Liability Company
KQDAHF4VF266,"BEN M. RADCLIFF CONTRACTOR, INC.",4027771.0,1,ddg,,Active,Active,Subchapter S Corporation,236220,2362,2,236210;236220,0,,,,6D8R8,N,For Profit Organization;Business or Organization;Subchapter S Corporation
DR3FAZLZ8624,OLYMPIC PENINSULA PERSONNEL INC,4027701.16,10,ddg,,Active,Active,,561311,5613,9,336611;488320;541219;541330;541612;561110;561311;561312;561320,0,,,,5P020,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization
KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",4023880.36,10,ddg,,Active,Active,Manufacturer of Goods,336611,3366,5,332710;333515;336611;541330;811310,21,1270;1560;1620;1680;2010;2815;2825;2830;2835;2895;3411;3413;3416;3417;3419;3450;3615;3620;3695;3820;4140,"IPM HOLDINGS, LLC","LLCP GP HOLDINGS, LLC",0LC90,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LKJHENGNFX98,NORTHROP GRUMMAN SYSTEMS CORPORATION,4023024.43,7,ddg,,NO_RECORD,,,,,0,,0,,,,,,
N6JZARL64EW5,"MCKINSEY & COMPANY, INC. WASHINGTON D.C.",4000000.0,1,ddg,,Active,Active,,541611,5416,21,332993;541219;541330;541511;541512;541513;541519;541611;541612;541614;541618;541620;541690;541714;541715;541720;541910;541990;611420;611430;611710,0,,"MCKINSEY & COMPANY, INC.",,438P1,N,For Profit Organization;Business or Organization;Self-Certified HUBZone Joint Venture
QVTKQ7LJE196,M. T. DAVIDSON COMPANY,3985560.61,27,ddg,,Active,Active,Manufacturer of Goods,333914,3339,1,333914,4,4320;4330;H343;J043,SUPERIOR-LIDGERWOOD-MUNDY CORPORATION,LIDGERWOOD MANUFACTURING COMPANY (INC),16062,N,For Profit Organization;Business or Organization;Manufacturer of Goods
QLTXH525A671,"RAPID PREP, LLC",3957474.0,68,ddg,,Active,Active,Limited Liability Company,532490,5324,7,237310;238120;238910;336611;423830;532412;532490,5,W020;W036;W038;W043;W053,,,4JWY4,N,For Profit Organization;Business or Organization;Limited Liability Company
D3QEMKB2X4N5,"LEXAIR, INC.",3918057.0,4,ddg,,Active,Active,Manufacturer of Goods,332912,3329,3,332911;332912;333912,0,,,,56607,N,For Profit Organization;Business or Organization;Manufacturer of Goods
QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",3873447.53,52,ddg,,Active,Active,Manufacturer of Goods,334419,3344,11,332322;332999;334416;334417;334419;334511;334513;335313;335931;336320;336992,9,5935;5975;5999;6032;6110;6125;6150;6210;K062,,,44291,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",3799549.67,31,ddg,,Active,Active,Manufacturer of Goods,332911,3329,1,332911,0,,,,90800,N,For Profit Organization;Business or Organization;Manufacturer of Goods
CG86N1ZC42B8,Ammcon Corp.,3798866.4,58,ddg,,NO_RECORD,,,,,0,,0,,,,,,
NBM4G4SAFQM3,QUALITY PERFORMANCE INC,3792757.07,38,ddg,,Active,Active,Subchapter S Corporation,334419,3344,2,334419;334519,21,5998;5999;6105;6115;6125;6320;6340;6620;6655;6660;6695;H163;H166;H263;H363;H963;J063;K063;L063;N063;W063,"VALKYRIE INTERMEDIATE, LLC","DC CAPITAL PARTNERS FUND III GP, LLC",0SJM3,N,For Profit Organization;Business or Organization;Subchapter S Corporation
UE9QJD4KK1L6,"LEIDOS, INC.",3756401.34,7,ddg,,Active,Active,Manufacturer of Goods,541715,5417,66,236220;332311;334111;334112;334118;334290;334511;334512;334516;334517;334519;336411;336992;481211;488190;488999;493110;512110;517121;541330;541360;541370;541380;541420;541430;541511;541512;541513;541519;541611;541613;541614;541618;541620;541690;541715;541720;541810;541820;541850;541910;541922;541930;541990;561210;561422;561621;561920;561990;562112;562211;562910;611420;611430;611519;611630;611699;611710;621330;624110;624190;624221;624310;811111;811210;811310,0,,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",5UTE1,N,For Profit Organization;Business or Organization;Manufacturer of Goods
UK6NAHCH8459,CAROLINA POWER SYSTEMS OF SUMTER INC,3752398.8,20,ddg,,Active,Active,Manufacturer of Goods,335313,3353,1,335313,4,2090;5998;5999;6150,"BOLDEN, NEWBY & SONS, INC.",,6Z538,N,Minority-Owned Business;For Profit Organization;Veteran-Owned Business;Business or Organization;Manufacturer of Goods;Black American Owned;Service-Disabled Veteran-Owned Business
U5DDDFM4LJS3,"PRIME TECHNOLOGY, LLC",3747473.87,21,ddg,,Active,Active,Manufacturer of Goods,334515,3345,1,334515,0,,"COX & COMPANY, INC.",,0BHF9,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
GYMLL74UL5Q8,"HYDRASEARCH CO., INC.",3721573.24,47,ddg,,Active,Active,Manufacturer of Goods,332912,3329,2,326220;332912,0,,"DVCC, LLC","THE DIXON GROUP, INC.",32142,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
NXGLEN3CK1N6,"DATACON, INC.",3711393.19,23,ddg,,Active,Active,Subchapter S Corporation,334418,3344,15,332322;334111;334412;334417;334418;334419;334510;334511;334519;336414;336415;336419;336992;541330;541519,0,,,,9M789,N,For Profit Organization;Veteran-Owned Business;Business or Organization;Manufacturer of Goods;Service-Disabled Veteran-Owned Business;Subchapter S Corporation
Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",3698282.0,1,ddg,,Active,Active,Manufacturer of Goods,332999,3329,3,332999;541330;541715,0,,"FAIRBANKS MORSE, LLC",ARCLINE CAPITAL PARTNERS UGP LLC,07309,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
GFBTEVXB65X7,"PCC ROLLMET, INC.",3689050.71,22,ddg,,Active,Active,Manufacturer of Goods,336415,3364,2,331491;336415,0,,PRECISION CASTPARTS CORP,BERKSHIRE HATHAWAY INC,6GWD5,N,For Profit Organization;Business or Organization;Manufacturer of Goods
NQKEVF8KEMP1,PIVOTAL POWER INC,3683087.44,59,ddg,Y,Active,Active,Manufacturer of Goods,335999,3359,1,335999,0,,,,38370,N,For Profit Organization;Business or Organization;Manufacturer of Goods
M553NMG2GTR6,NORTECH SYSTEMS INCORPORATED,3624042.34,3,ddg,,Inactive,Inactive,Manufacturer of Goods,335931,3359,10,333618;334290;334418;334419;335921;335929;335931;336413;336419;336992,3,3670;5995;6150,,,24600,N,For Profit Organization;Business or Organization;Manufacturer of Goods
KYFUJ83L3UY9,CONE DRIVE OPERATIONS INC,3620746.28,10,ddg,,Inactive,Inactive,Manufacturer of Goods,333612,3336,1,333612,1,3010,THE TIMKEN CORPORATION,,97674,N,For Profit Organization;Business or Organization;Manufacturer of Goods
FFL2MLNT4FN1,GARDNER DENVER NASH LLC,3580074.24,7,ddg,,Active,Active,Manufacturer of Goods,333912,3339,2,333413;333912,3,4320;4330;4820,INGERSOLL-RAND COMPANY,,42280,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
EYMMLMHBMSL5,"SGL AUTOMATION, LLC",3543477.54,3,ddg,,?,,,,,0,,0,,,,,,
UJD2HEK94GH8,"KFT FIRE TRAINER, LLC",3542697.35,12,ddg,,Active,Active,Manufacturer of Goods,339999,3399,19,236220;238190;238990;332311;332312;332919;332999;335999;339999;541330;541350;541420;541511;541990;561210;561790;561990;611519;811310,26,1290;4210;H112;H142;H242;H269;H312;H342;H369;H912;H942;H969;J012;J042;J069;K012;K042;K069;L012;L042;L069;N012;N042;N069;U099;W012,"KFT INTERNATIONAL, LLC",,06003,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
T4RCBDVMPVM4,"MEGGITT DEFENSE SYSTEMS, INC.",3526623.99,14,ddg,,Active,Active,Manufacturer of Goods,333415,3334,11,332994;333413;333415;333912;333996;334511;336390;336413;336414;336992;541330,0,,PARKER-HANNIFIN CORPORATION,,62228,N,For Profit Organization;Business or Organization;Manufacturer of Goods
EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",3491300.86,20,ddg,,Active,Active,Manufacturer of Goods,339113,3391,17,333912;334511;334512;334513;334515;334519;335314;339112;339113;339920;339999;423490;423690;541618;561210;611430;811310,0,,MSA WORLDWIDE LLC,MSA SAFETY INCORPORATED,8B9P7,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
G7SQBKZNPRN4,"ACCU-FAB AND CONSTRUCTION, INC",3448140.52,9,ddg,,Active,Active,Manufacturer of Goods,332312,3323,1,332312,0,,,,04NB1,N,For Profit Organization;Business or Organization;Manufacturer of Goods
YHGHMGTME7A5,Howden American Fan Company,3414856.65,20,ddg,,Inactive,Inactive,Manufacturer of Goods,333413,3334,2,333413;335312,8,3040;3110;3120;4140;5310;5330;5331;6105,"FAIRBANKS MORSE, LLC","ARCLINE FM HOLDINGS, LLC",53555,N,For Profit Organization;Business or Organization;Manufacturer of Goods
H4NUSZNWG4K6,"SOUND MECHANICAL, INC.",3388354.8,20,ddg,,Active,Active,Subchapter S Corporation,236210,2362,6,236210;238350;238990;332322;332919;811310,0,,,,1MXN5,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Subchapter S Corporation
GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",3367507.48,10,ddg,,Active,Active,Manufacturer of Goods,332111,3321,2,332111;332112,0,,"ELLWOOD GROUP, INC.",,6L572,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
TJGHTGTTVEA1,"SAFARI MICRO GOVERNMENT SOLUTIONS, LLC",3325786.0,21,ddg,,Active,Active,Limited Liability Company,334111,3341,13,236210;238120;332510;332999;334111;334112;334118;334210;334310;423420;517810;541512;541519,0,,,,674N7,N,For Profit Organization;Veteran-Owned Business;Business or Organization;Limited Liability Company;Service-Disabled Veteran-Owned Business
VXJMLWN9XU18,"BRADKEN - ATLAS, LLC",3325283.02,21,ddg,,NO_RECORD,,,,,0,,0,,,,,,
RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,3267202.75,29,ddg,,Active,Active,Manufacturer of Goods,335999,3359,2,335311;335999,0,,,,04879,N,For Profit Organization;Business or Organization;Manufacturer of Goods
T5C6JNLVSC17,HYDRATIGHT OPERATIONS INC,3250474.81,13,ddg,,Active,Active,Manufacturer of Goods,332216,3322,4,332216;332710;333991;336413,3,4920;5120;5130,ENERPAC TOOL GROUP CORP,,87641,N,For Profit Organization;Business or Organization;Manufacturer of Goods
XJWLF38U74P3,FLUID HANDLING LLC,3246093.0,4,ddg,,Active,Active,Manufacturer of Goods,332410,3324,1,332410,0,,XYLEM INC.,,6LE50,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
FYS6F3284LN3,VELAN VALVE CORP.,3232177.01,23,ddg,,NO_RECORD,,,,,0,,0,,,,,,
S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",3196250.89,20,ddg,,Active,Active,Subchapter S Corporation,326291,3262,12,325211;325212;325991;326291;326299;335991;335999;336413;336419;336611;336992;339991,0,,TPS BUYER LLC,TCFV TPS LLC,3SKQ3,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
LD7YXEQNEKZ3,"LINCOLN ELECTRIC AUTOMATION, INC.",3185280.0,5,ddg,,Active,Active,Manufacturer of Goods,333992,3339,1,333992,0,,LINCOLN ELECTRIC HOLDINGS INC,,29677,N,For Profit Organization;Business or Organization;Manufacturer of Goods
KMDLJAJQ4UM1,"BRANTNER AND ASSOCIATES, INC.",3145783.68,119,ddg,,Active,Active,Manufacturer of Goods,334417,3344,5,333132;334417;334511;335999;336415,0,,BRANTNER HOLDING LLC,TE CONNECTIVITY MOG LLC,15789,N,For Profit Organization;Business or Organization;Manufacturer of Goods
V627Y8NS1JM1,"MILCOTS, LLC",3139890.0,24,ddg,,Active,Active,Manufacturer of Goods,334118,3341,3,334111;334118;423430,0,,,,5ACD8,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
QPB2M919LQM5,MATERION BRUSH INC,3125291.83,17,ddg,,Active,Active,Manufacturer of Goods,331529,3315,2,331523;331529,0,,MATERION CORPORATION,,4B151,N,For Profit Organization;Business or Organization;Manufacturer of Goods
