uei,name,dollars,records,programs,foreign,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
F8PEZKXES8B1,BLUEFORGE ALLIANCE,4173270883.11,8,ddg,,Active,Active,,541614,5416,4,336611;541330;541614;541715,0,,,,9DXU5,N,Non-Profit Organization;Business or Organization
LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,2046023086.41,128,ddg,,Active,Active,Manufacturer of Goods,335312,3353,3,333611;333612;335312,0,,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,90099,N,For Profit Organization;Business or Organization;Manufacturer of Goods
GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",520882112.22,278,ddg,,Active,Active,Manufacturer of Goods,335311,3353,3,335311;335313;335314,0,,"DRS TECHNOLOGIES, INC.",,27192,N,For Profit Organization;Business or Organization;Manufacturer of Goods
HLVBPCA2LH41,Rolls-Royce Marine North America Inc.,459522480.61,132,ddg,,NO_RECORD,,,,,0,,0,,,,,,
WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,378344585.14,216,ddg,,Active,Active,Manufacturer of Goods,333914,3339,1,333914,1,4320,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,CURTISS-WRIGHT CORPORATION,0UBG9,N,For Profit Organization;Business or Organization;Manufacturer of Goods
N1PJDANWUJ61,SCOT FORGE COMPANY,355371463.51,758,ddg,,Active,Active,Subchapter S Corporation,332111,3321,4,331221;332111;332112;541715,50,1325;1336;1338;1340;1410;1420;1550;1560;1610;1615;1620;1675;1710;1725;2010;2040;2350;2355;2845;3446;3605;3615;3660;3670;3693;3805;3820;3835;3895;4470;4920;5420;9510;9530;9640;AC11;AC12;AC13;AC14;AC15;AC21;AC22;AC23;AC24;AC25;AC31;AC32;AC33;AC34;AC35,,,2W651,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,333523184.93,30,ddg,,Active,Active,Manufacturer of Goods,336611,3366,6,336611;336992;488390;541330;541715;541990,0,,"BAE SYSTEMS, INC.",BAE SYSTEMS PLC,44114,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,333092746.6,28,ddg,,Active,Active,Manufacturer of Goods,336412,3364,6,336412;336413;336992;541330;541715;811310,0,,,,07482,N,For Profit Organization;Business or Organization;Manufacturer of Goods
SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",299690166.01,97,ddg,,Active,Active,Manufacturer of Goods,333415,3334,1,333415,0,,"JOHNSON CONTROLS FEDERAL SYSTEMS, LLC",JOHNSON CONTROLS INTERNATIONAL PLC,66935,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
WJYVCPD5HKK7,"BWXT NUCLEAR OPERATIONS GROUP, INC.",289874121.85,15,ddg,,Active,Active,Manufacturer of Goods,332410,3324,3,325180;332410;541990,0,,"BWX TECHNOLOGIES, INC.",,5AJL2,N,For Profit Organization;Business or Organization;Manufacturer of Goods
E8LNMDLEKM35,D.C. FABRICATORS INC.,255017223.64,66,ddg,,Active,Active,Subchapter S Corporation,332312,3323,6,332312;332313;332410;332420;332439;332710,0,,,,65427,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,240485509.84,20,ddg,Y,NO_RECORD,,,,,0,,0,,,,,,
FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",218319422.91,114,ddg,,Active,Active,Manufacturer of Goods,325212,3252,4,325211;325212;325991;326199,0,,ESCO TECHNOLOGIES INC.,,82094,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",211351009.86,85,ddg,,Active,Active,Manufacturer of Goods,332313,3323,5,332313;332410;332420;332710;332999,0,,"PRECISION COMPONENTS GROUP, LLC",,1P555,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,192134506.59,60,ddg,,NO_RECORD,,,,,0,,0,,,,,,
FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,169173617.0,8,ddg,,Active,Active,Manufacturer of Goods,333612,3336,5,237990;333611;333612;333613;336611,10,2010;3010;3020;3040;H230;H330;J030;K030;L030;N030,"TIMKEN COMPANY, THE",,17454,N,For Profit Organization;Business or Organization;Manufacturer of Goods
HNAECT5M9TM4,"SOCAIL, LDA",151352010.33,10,ddg,Y,NO_RECORD,,,,,0,,0,,,,,,
KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",141905342.68,73,ddg,,?,,,,,0,,0,,THE RMF IRREVOCABLE DEED OF TRUST,,,,
JEP5GQGFPUL9,PORTLAND VALVE LLC,139709774.35,233,ddg,,Active,Active,Manufacturer of Goods,332911,3329,1,332911,0,,,,53154,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,131642290.14,198,ddg,,Active,Active,Manufacturer of Goods,332911,3329,2,332911;333995,0,,,,95169,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JKZNKGGWYZ87,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,129323586.92,40,ddg,,Active,Active,Manufacturer of Goods,335312,3353,4,333611;333996;335312;336611,0,,CURTISS-WRIGHT CORPORATION,,04808,N,For Profit Organization;Business or Organization;Manufacturer of Goods
PQGNEEY9W5M3,Northrop Grumman Systems Corporation,123942075.03,80,ddg,,Active,Active,Manufacturer of Goods,334511,3345,5,334511;334515;513210;541330;811210,0,,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,03956,N,For Profit Organization;Business or Organization;Manufacturer of Goods
SX6BF52K2WB1,VACCO INDUSTRIES,109425983.04,92,ddg,,Active,Active,Manufacturer of Goods,332912,3329,4,332812;332912;336419;336611,0,,ROLLER BEARING COMPANY OF AMERICA INC,RBC BEARINGS INCORPORATED,99517,N,For Profit Organization;Business or Organization;Manufacturer of Goods
ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,109142145.67,137,ddg,,Active,Active,Manufacturer of Goods,335313,3353,4,333611;335311;335313;335314,0,,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",3FEQ2,N,For Profit Organization;Business or Organization;Manufacturer of Goods
PAH8M4BJACA5,"TELEDYNE INSTRUMENTS, INC.",105454106.86,252,ddg,,Active,Active,Manufacturer of Goods,334417,3344,6,332710;332721;332813;333132;334417;335931,4,2040;5935;5995;6150,TELEDYNE INSTRUMENTS INC,TELEDYNE TECHNOLOGIES INCORPORATED,17476,N,For Profit Organization;Business or Organization;Manufacturer of Goods
F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,104399732.92,87,ddg,,Active,Active,Manufacturer of Goods,334416,3344,13,334118;334413;334416;334417;334418;334419;334515;334519;335311;335312;335313;335999;336611,0,,ESCO TECHNOLOGIES INC.,,51435,N,For Profit Organization;Business or Organization;Manufacturer of Goods
WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,104053627.0,16,ddg,,Active,Active,,336611,3366,1,336611,0,,"HUNTINGTON INGALLS INDUSTRIES, INC",,43689,N,For Profit Organization;Business or Organization
G9HKMXL5L973,"OIL STATES INDUSTRIES, INC",103397591.36,117,ddg,,Active,Active,Manufacturer of Goods,326291,3262,2,326291;333132,0,,,,18444,N,For Profit Organization;Business or Organization;Manufacturer of Goods
FK17Z7DJWLL1,Apco Technologies SA,102859091.0,72,ddg,Y,Active,Active,,,,0,,0,,,,SVP45,N,For Profit Organization;Business or Organization
F2LEAK3EK9R3,THE GRAHAM CORPORATION,89120347.06,28,ddg,,Active,Active,Manufacturer of Goods,336611,3366,3,332410;333998;336611,0,,,,1LCX3,N,For Profit Organization;Business or Organization;Manufacturer of Goods
QGB4RDYJNJT9,ELLWOOD NATIONAL FORGE COMPANY,88144963.51,18,ddg,,Active,Active,Manufacturer of Goods,332111,3321,11,332111;332710;332811;332993;333611;333613;336413;336419;336611;336992;541715,11,1015;1020;1025;1325;1355;1356;1675;2010;2040;2825;2830,"ELLWOOD GROUP, INC.",,3D8M1,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
RG6LJJM6JBS3,"AUSTAL USA, LLC",87555353.98,24,ddg,,Active,Active,Manufacturer of Goods,336611,3366,4,336611;541330;811210;811310,1,1905,"AUSTAL HOLDINGS, INC.",AUSTAL LIMITED,1T3Z4,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
XQW8RJNNAXX8,"W INTERNATIONAL, LLC",85672809.54,106,ddg,,Inactive,Inactive,Manufacturer of Goods,336992,3369,4,332312;332313;332420;336992,0,,,,6UJS1,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",85406601.09,298,ddg,,Active,Active,Manufacturer of Goods,332911,3329,1,332911,0,,"FAIRBANKS MORSE, LLC",ARCLINE CAPITAL PARTNERS UGP LLC,11859,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,83981942.83,5,ddg,Y,Active,Active,Foreign Owned,336611,3366,3,332312;336611;541330,0,,BABCOCK MARINE (ROSYTH) LIMITED,BABCOCK INTERNATIONAL GROUP PLC,U1VL1,N,Foreign Owned;For Profit Organization;Business or Organization
CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",82395953.59,39,ddg,,Active,Active,Manufacturer of Goods,335313,3353,1,335313,0,,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC","L3HARRIS TECHNOLOGIES, INC",30086,N,For Profit Organization;Business or Organization;Manufacturer of Goods
QLJZVM6XKR71,"TRAINING MODERNIZATION GROUP, INC.",77032116.0,7,ddg,,Active,Active,Subchapter S Corporation,611430,6114,5,541612;541618;541990;611420;611430,0,,,,347P7,N,For Profit Organization;Veteran-Owned Business;Business or Organization;Service-Disabled Veteran-Owned Business;Subchapter S Corporation
KYURG7LRSC89,CIRCOR NAVAL SOLUTIONS LLC,75653517.99,78,ddg,,Active,Active,Manufacturer of Goods,333914,3339,1,333914,0,,,,63857,N,For Profit Organization;Business or Organization;Manufacturer of Goods
Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",75424259.46,37,ddg,,Inactive,Inactive,Manufacturer of Goods,336611,3366,12,332312;332313;332322;332999;333514;336413;336414;336415;336419;336611;336992;541330,0,,,,88ML5,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
VJMTKNLENX24,ENGINEERED COIL COMPANY,73741013.67,147,ddg,,Active,Active,Manufacturer of Goods,333415,3334,2,333414;333415,0,,"LEONARDO DRS, INC.",,38450,N,For Profit Organization;Business or Organization;Manufacturer of Goods
Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",73146296.55,222,ddg,,Active,Active,Manufacturer of Goods,332912,3329,10,332911;332912;332919;332999;334513;336412;336413;336415;336419;336999,0,,,,99657,N,For Profit Organization;Business or Organization;Manufacturer of Goods
Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,71588027.01,133,ddg,,Active,Active,Manufacturer of Goods,335999,3359,9,221118;334290;334416;334419;335311;335313;335999;336320;541715,3,6115;6120;6125,,,20950,N,For Profit Organization;Business or Organization;Manufacturer of Goods
CBMZJ3Z5SC89,GOODRICH CORPORATION,66936184.88,69,ddg,,Active,Active,Manufacturer of Goods,326130,3261,5,326130;326291;326299;332994;336611,0,,GOODRICH CORPORATION,RAYTHEON TECHNOLOGIES CORPORATION,0BBK9,N,For Profit Organization;Business or Organization;Manufacturer of Goods
WJ45NXW2TVD7,MOOG INC.,66611497.67,120,ddg,,Active,Active,Manufacturer of Goods,333995,3339,2,333995;541715,0,,"MOOG, INC.",,07270,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",65064895.08,321,ddg,,Active,Active,,332710,3327,2,332710;811310,1,3470,,,29293,N,For Profit Organization;Business or Organization
EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",64397666.39,83,ddg,,Active,Active,Limited Liability Company,336611,3366,2,336611;562910,0,,ARMADA PARENT INC,ARMADA TOPCO INC,50VU1,N,For Profit Organization;Business or Organization;Limited Liability Company
CPHLNLBGWFN5,DRS NAVAL POWER SYSTEMS INC,59793884.52,18,ddg,,Active,Active,Manufacturer of Goods,334515,3345,8,332510;334413;334418;334419;334515;335311;335314;335999,0,,"LEONARDO DRS, INC.",,06RP6,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC.",57863848.27,53,ddg,,Active,Active,Manufacturer of Goods,332420,3324,1,332420,0,,EVEREST KANTO CYLINDER LIMITED,,48899,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
WREEAHYMRQ45,"PCB PIEZOTRONICS, INC.",57493899.4,31,ddg,,Active,Active,Manufacturer of Goods,334419,3344,2,334419;334519,1,H966,AMPHENOL CORPORATION,,52681,N,For Profit Organization;Business or Organization;Manufacturer of Goods
TZVRTYNM3MN3,PEGASUS STEEL LLC,57341761.41,112,ddg,,Active,Active,Manufacturer of Goods,332313,3323,5,332312;332313;332710;336120;336992,0,,"KEEL PLATFORM, LLC","ARLINGTON CAPITAL PARTNERS VI, L.P.",4T1A9,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
V1MQFNQB56Z5,RIX INDUSTRIES,54538109.41,69,ddg,,Active,Active,Subchapter S Corporation,333912,3339,4,237120;325120;333912;336413,0,,"CRESTT, LP",,28953,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",54465330.28,331,ddg,,Active,Active,Manufacturer of Goods,332919,3329,3,332710;332919;332996,0,,"KME AMERICA MARINE HOLDING, INC.",CUNOVA GMBH,7A8G3,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",52661800.0,6,ddg,,?,,,,,0,,0,,,,,,
NN7PCHZFNZP8,GOODWIN STEEL CASTINGS LIMITED,51474259.43,29,ddg,Y,Active,Active,Manufacturer of Goods,331513,3315,1,331513,0,,GOODWIN PLC,,U1AR9,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
N5KMLMXEPFM5,PARKER-HANNIFIN CORPORATION,48860571.81,50,ddg,,Active,Active,Manufacturer of Goods,333310,3333,3,333310;333914;333998,0,,,,62144,N,For Profit Organization;Business or Organization;Manufacturer of Goods
HLVNZXU8EAM1,POWER PARAGON INC,48618683.71,62,ddg,,?,,,,,0,,0,,,,,,
QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",45017331.68,114,ddg,,Active,Active,Manufacturer of Goods,336611,3366,3,336611;423210;423440,0,,,,00096,N,For Profit Organization;Business or Organization;Manufacturer of Goods
K3XPS1HXNBF3,"B & F MACHINE COMPANY, INC.",40891145.48,275,ddg,,Active,Active,Manufacturer of Goods,332710,3327,21,331221;332322;332710;332721;332991;332999;333514;333515;333517;333519;333611;333612;333618;334519;336412;336413;336419;336611;336612;336992;561510,4,2840;3419;3450;5280,,,9J253,N,For Profit Organization;Business or Organization;Manufacturer of Goods
NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.",40471452.41,32,ddg,,Active,Active,Manufacturer of Goods,339999,3399,25,332313;332439;332710;332721;332911;332999;333241;333242;333517;333612;333613;333991;333995;334220;334511;334519;336411;336413;336419;336992;336999;339112;339999;541330;541990,0,,,,82005,N,For Profit Organization;Business or Organization;Manufacturer of Goods
PTMFLMD2CUB4,"L3 TECHNOLOGIES, INC.",39585015.48,65,ddg,,Active,Active,Manufacturer of Goods,334220,3342,20,334111;334112;334118;334210;334220;334310;334413;334418;334515;335999;336413;336419;541330;541511;541512;541519;541990;811210;927110;928110,0,,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",11447,N,For Profit Organization;Business or Organization;Manufacturer of Goods
YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",39369116.12,99,ddg,,Active,Active,Manufacturer of Goods,336611,3366,12,332312;332313;332321;332420;332510;332710;332721;332722;332999;333921;333923;336611,0,,"LAKE SHORE SYSTEMS HOLDINGS, LLC","JFL GP INVESTORS IV, LLC",7QAR4,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JA2KCX21NL48,"WARTSILA DEFENSE, INC.",39280708.03,84,ddg,,Active,Active,Manufacturer of Goods,336611,3366,12,321920;332710;332721;332911;332999;333613;333618;336611;339991;488390;541330;561990,0,,,,0EYA6,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",37860406.36,68,ddg,,Active,Active,Subchapter S Corporation,333413,3334,19,332312;332313;332410;332439;332710;332721;332911;332919;332999;333248;333413;333514;333612;333998;334513;336413;336419;336611;541330,0,,,,60756,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,37560243.67,150,ddg,,Inactive,Inactive,Manufacturer of Goods,332996,3329,11,331313;331318;331420;331491;332111;332112;332431;332919;332996;333517;333519,0,,,,3GR33,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Manufacturer of Goods
JRUCKDSNXKD5,THE ENTWISTLE COMPANY LLC,37486158.23,98,ddg,,Active,Active,Manufacturer of Goods,333998,3339,15,332312;332710;332994;332999;333914;333924;333998;334511;336411;336413;336414;336415;336419;336611;339999,0,,,,20722,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
SSD8KRDXKG46,"THE HILLER COMPANIES, LLC",36673685.61,59,ddg,,Active,Active,Manufacturer of Goods,238210,2382,20,236210;236220;238210;238390;238990;325998;332919;332996;334290;334419;334519;336611;336612;336992;339950;423690;423850;424690;541330;561621,0,,"THE HILLER COMPANIES, LLC",,66073,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MSFLXVQVJMG4,"PEERLESS INSTRUMENT CO., INC.",36671594.4,49,ddg,,Active,Active,Manufacturer of Goods,334515,3345,2,334515;335999,0,,CURTISS-WRIGHT CORPORATION,,95210,N,For Profit Organization;Business or Organization;Manufacturer of Goods
VL18ZH6YLPY5,"DRS NAVAL POWER SYSTEMS, INC.",36064690.83,4,ddg,,Active,Active,Manufacturer of Goods,333611,3336,6,333611;334290;334511;335999;336412;541330,0,,"LEONARDO DRS, INC.",,1EKE3,N,For Profit Organization;Business or Organization;Manufacturer of Goods
GZ57A195G7K6,WAUKESHA BEARINGS CORPORATION,35675634.0,17,ddg,,Active,Active,,541330,5413,2,541330;541340,0,,DOVER CORP,,07332,N,For Profit Organization;Business or Organization
WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",35598422.98,9,ddg,,Active,Active,Subchapter S Corporation,336611,3366,3,332111;336611;336612,0,,WHEMCO HOLDINGS INC,PARK CORPORATION,1F460,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",35259795.0,75,ddg,,Active,Active,Manufacturer of Goods,332313,3323,8,331221;331318;331491;332311;332313;332420;332999;336611,0,,,,96059,N,For Profit Organization;Business or Organization;Manufacturer of Goods
UHXFGP3DCRK7,"HANSOME ENERGY SYSTEMS, INC.",35228703.0,22,ddg,,?,,,,,0,,0,,,,,,
MU3CM1145E44,PROGENY SYSTEMS CORPORATION,34894132.46,38,ddg,,Active,Active,Manufacturer of Goods,541715,5417,14,332993;334111;334118;334290;334419;334511;335314;335999;541330;541511;541513;541519;541715;541720,0,,GENERAL DYNAMICS GOVERNMENT SYSTEMS CORPORATION,GENERAL DYNAMICS CORP,04JN4,N,For Profit Organization;Business or Organization;Manufacturer of Goods
WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",33359468.0,4,ddg,,Active,Active,Subchapter S Corporation,332996,3329,4,332410;332420;332996;332999,0,,,,40883,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
RLXQHCXFT513,CUNICO CORPORATION,32953574.2,79,ddg,,Active,Active,Manufacturer of Goods,332996,3329,3,332112;332919;332996,2,4710;4810,,,53424,N,Tribally Owned Firm;For Profit Organization;Business or Organization;Community Development Corporation Owned Firm;Manufacturer of Goods
MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",32094185.53,189,ddg,,Active,Active,Manufacturer of Goods,332911,3329,1,332911,3,4730;4810;4820,NIBCO INC,,76364,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
F8M5LJA6LJL4,"SARGENT AEROSPACE & DEFENSE, LLC",31618565.27,50,ddg,,Active,Active,Manufacturer of Goods,332911,3329,5,332911;332912;333995;333996;336413,0,,"SARGENT AEROSPACE & DEFENSE, LLC",ROLLER BEARING COMPANY OF AMERICA INC,78062,N,For Profit Organization;Business or Organization;Manufacturer of Goods
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,31589257.01,17,ddg,,Active,Active,,336611,3366,5,332313;332710;332996;336611;541380,0,,,,1CCR8,N,For Profit Organization;Business or Organization
LM35HWEVUPH3,ADI TECHNOLOGIES INC.,31566711.75,28,ddg,,Active,Active,,541613,5416,6,423610;423840;541330;541613;541690;541990,0,,,,02NT5,N,For Profit Organization;Business or Organization
HLE1E2KALJA5,"POWER PARAGON, INC.",31354153.48,43,ddg,,Active,Active,Manufacturer of Goods,335311,3353,1,335311,0,,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",04801,N,For Profit Organization;Business or Organization;Manufacturer of Goods
M4ELQDG7JLM5,"BUFFALO PUMPS, INC.",31039020.04,39,ddg,,Active,Active,Manufacturer of Goods,333914,3339,1,333914,0,,AMPCO-PITTSBURGH CORP,,83130,N,For Profit Organization;Business or Organization;Manufacturer of Goods
KCYPSYNH1M94,US JOINER LLC,30924048.75,92,ddg,,Active,Active,Manufacturer of Goods,336611,3366,5,332322;332919;336611;336612;811310,0,,"TRIDENT MARITIME SYSTEMS, INC.",,3P2A9,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
XYNDM1Y7XGG7,AMERICAN METAL BEARING COMPANY,30716659.98,44,ddg,,Active,Active,Subchapter S Corporation,332991,3329,8,332710;332721;332991;332999;333613;336611;541330;811310,3,3020;J030;R425,,,70508,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",30276761.49,150,ddg,,Active,Active,Subchapter S Corporation,332999,3329,9,238120;331210;331221;332312;332313;332420;332710;332996;332999,0,,,,07MM0,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
JG6AMW7E23Z6,C. H. POWELL COMPANY,30220891.32,6,ddg,,Active,Active,Subchapter S Corporation,488510,4885,1,488510,0,,,,1YFV2,N,For Profit Organization;Business or Organization;Subchapter S Corporation
J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",29906676.48,22,ddg,,Active,Active,Manufacturer of Goods,339999,3399,1,339999,0,,"FAIRBANKS MORSE, LLC",ARCLINE CAPITAL PARTNERS UGP LLC,57RT4,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
MAENKG4UJLK8,LOCKHEED MARTIN CORPORATION,29314650.0,7,ddg,,Active,Active,Manufacturer of Goods,334513,3345,5,332322;332993;334513;336414;336419,0,,LOCKHEED MARTIN CORP,,94271,N,For Profit Organization;Business or Organization;Manufacturer of Goods
K294P4QJHFU9,"MW JONES & COMPANY, INC.",28458832.8,10,ddg,,Active,Active,,541611,5416,3,541611;541613;541618,0,,,,7PYS5,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization
F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,28271585.72,19,ddg,,Active,Active,Manufacturer of Goods,333613,3336,3,333612;333613;541330,11,2010;2090;2825;2830;2835;3040;3120;3130;AC12;AG12;H131,WAUKESHA BEARINGS CORPORATION,DOVER CORP,9L185,N,For Profit Organization;Business or Organization;Manufacturer of Goods
GJNEBDUDNTA1,"EURO MACHINERY SPECIALISTS, INC",28124701.0,7,ddg,,Active,Active,,811310,8113,3,238290;811310;813920,0,,,,0BNL6,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization
X6N2CNV552X7,"OCEANEERING INTERNATIONAL, INC.",27906272.1,109,ddg,,Active,Active,,336611,3366,4,237990;336611;541330;561990,0,,OCEANEERING INTERNATIONAL INC,,4J950,N,For Profit Organization;Business or Organization
WSK3WRSGKAU1,ALFA LAVAL INC.,27393928.43,25,ddg,,Active,Active,Manufacturer of Goods,332410,3324,4,332410;336611;423830;811310,0,,ALFA LAVAL U.S. HOLDING INC.,ALFA LAVAL AB,71871,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
MKXMUFJJYLY5,WARD LEONARD CT LLC,26650988.96,50,ddg,,Active,Active,Manufacturer of Goods,335312,3353,8,333996;335311;335312;335313;335314;335931;335999;811310,0,,"FAIRBANKS MORSE, LLC",ARCLINE CAPITAL PARTNERS UGP LLC,63743,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,26625903.56,75,ddg,,Active,Active,Manufacturer of Goods,333914,3339,1,333914,0,,DOVER CORP,,07524,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LL3PZJHUKZV3,AMERICAN STEEL AND ALUMINUM LLC,26261318.19,63,ddg,,Active,Active,Manufacturer of Goods,332312,3323,8,332312;332313;332322;332323;332710;332812;332999;423510,5,3449;9530;9540;9640;H195,NOVAMERICAN STEEL INC,,5ZVM8,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
HUK5MJK4MH39,"LESLIE CONTROLS, INC.",25435611.96,94,ddg,,Active,Active,Manufacturer of Goods,332911,3329,1,332911,0,,CIRCOR INTL INC,,35795,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,25425882.63,45,ddg,,NO_RECORD,,,,,0,,0,,,,,,
LR2HQKYJLDZ7,ESI ACQUISITION CORP.,24815363.35,120,ddg,,Active,Active,Limited Liability Company,423830,4238,1,423830,0,,"JA MOODY INTERMEDIATE HOLDINGS, LLC","JA MOODY HOLDINGS, LLC",3B558,N,For Profit Organization;Business or Organization;Limited Liability Company
KNEFNMWXBK39,JO-KELL INC.,24733320.83,187,ddg,,Active,Active,Manufacturer of Goods,423610,4236,18,238210;332710;333511;333514;334419;334515;335311;335313;335314;335931;335999;336413;339999;423610;423690;423830;423840;541330,13,2090;5920;5925;5935;5950;5970;5975;5999;6110;6145;6150;6210;6320,,,5V049,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Manufacturer of Goods
