line_item_id,source_book_fy,exhibit,section,is_subtotal,cost_element,observed_fy,column_role,amount_type,unit_cost_k,qty_each,total_cost_m,dollars_basis,page,source_id,extract_run_id,raw_context,row_hash
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),575573bf33b1b722
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),2022,request_total,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),efedf6a2edb2db4d
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),f269564ca880bd27
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2020,actual,actual,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),5301b9e2b48a6924
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2021,enacted,enacted,1480.5,2.0,2.961,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),50409b6cf32fff98
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2022,request_base,request,1539.75,4.0,6.159,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),0cc01b0f65c7da0e
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),f68e0a530fddc583
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2022,request_total,request,1539.75,4.0,6.159,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),081a838ebdb5c008
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,c38a32f70fa2211d
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2020,actual,actual,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,f1fb54f19e733c01
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2021,enacted,enacted,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,fdf23d38e08107b8
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2022,request_base,request,,,0.331,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,354a7fd59f18674b
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,6d93a333a52fe9fd
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2022,request_total,request,,,0.331,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,76693f20822e6b48
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP New Equipment Training (NET),,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP New | Equipment Training | (NET),e9efc23aa61812fc
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP New Equipment Training (NET),2020,actual,actual,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP New | Equipment Training | (NET),54349d644e22e423
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP New Equipment Training (NET),2021,enacted,enacted,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP New | Equipment Training | (NET),c610971767d10d3f
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP New Equipment Training (NET),2022,request_base,request,,,0.101,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP New | Equipment Training | (NET),0b2446974facff85
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP New Equipment Training (NET),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP New | Equipment Training | (NET),25f400996078487f
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP New Equipment Training (NET),2022,request_total,request,,,0.101,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP New | Equipment Training | (NET),c3fbfe51894ca018
3569M11101,2022,P-5,Recurring Cost,,MIBS Vessels (LCU-2000),,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Vessels |  | (LCU-2000),67002a0693f506c6
3569M11101,2022,P-5,Recurring Cost,,MIBS Vessels (LCU-2000),2020,actual,actual,,,1.12,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Vessels |  | (LCU-2000),f8e0c3e8f56cf595
3569M11101,2022,P-5,Recurring Cost,,MIBS Vessels (LCU-2000),2021,enacted,enacted,,,7.898,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Vessels |  | (LCU-2000),167ccdf65da80edb
3569M11101,2022,P-5,Recurring Cost,,MIBS Vessels (LCU-2000),2022,request_base,request,,,13.372,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Vessels |  | (LCU-2000),23795bef56e42e3b
3569M11101,2022,P-5,Recurring Cost,,MIBS Vessels (LCU-2000),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Vessels |  | (LCU-2000),f52a2700c6a2de4a
3569M11101,2022,P-5,Recurring Cost,,MIBS Vessels (LCU-2000),2022,request_total,request,,,13.372,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Vessels |  | (LCU-2000),7addfe8c9e33786c
3569M11101,2022,P-5,Recurring Cost,,Program Management/Matrix Support,,prior_years,prior_year,,,12.538,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Program | Management/Matrix | Support,4fbb40c9c62c61da
3569M11101,2022,P-5,Recurring Cost,,Program Management/Matrix Support,2020,actual,actual,,,2.676,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Program | Management/Matrix | Support,1b36e62c057db1b1
3569M11101,2022,P-5,Recurring Cost,,Program Management/Matrix Support,2021,enacted,enacted,,,2.694,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Program | Management/Matrix | Support,9a7270934fdfd034
3569M11101,2022,P-5,Recurring Cost,,Program Management/Matrix Support,2022,request_base,request,,,2.702,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Program | Management/Matrix | Support,44385a6d39ca4ee2
3569M11101,2022,P-5,Recurring Cost,,Program Management/Matrix Support,2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Program | Management/Matrix | Support,21428b2ec2e3742c
3569M11101,2022,P-5,Recurring Cost,,Program Management/Matrix Support,2022,request_total,request,,,2.702,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Program | Management/Matrix | Support,c2bfa4599863d504
3569M11101,2022,P-5,Recurring Cost,Y,Subtotal: Recurring Cost,,prior_years,prior_year,,,89.864,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Recurring Cost,54f52d57815670ba
3569M11101,2022,P-5,Recurring Cost,Y,Subtotal: Recurring Cost,2020,actual,actual,,,29.773,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Recurring Cost,6fb2ec3841be6661
3569M11101,2022,P-5,Recurring Cost,Y,Subtotal: Recurring Cost,2021,enacted,enacted,,,40.91,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Recurring Cost,b468b79041e47f83
3569M11101,2022,P-5,Recurring Cost,Y,Subtotal: Recurring Cost,2022,request_base,request,,,44.409,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Recurring Cost,b20785eed9902b71
3569M11101,2022,P-5,Recurring Cost,Y,Subtotal: Recurring Cost,2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Recurring Cost,d6740d29e7441012
3569M11101,2022,P-5,Recurring Cost,Y,Subtotal: Recurring Cost,2022,request_total,request,,,44.409,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Recurring Cost,ece34d9c6dc5241f
3569M11101,2022,P-5,Non Recurring Cost,,MCS Logistics,,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS Logistics,f8950b23956d07ed
3569M11101,2022,P-5,Non Recurring Cost,,MCS Logistics,2020,actual,actual,,,7.02,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS Logistics,d5f1c91f034b97a1
3569M11101,2022,P-5,Non Recurring Cost,,MCS Logistics,2021,enacted,enacted,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS Logistics,f25f726f1accf6a9
3569M11101,2022,P-5,Non Recurring Cost,,MCS Logistics,2022,request_base,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS Logistics,1438a758d4b1e680
3569M11101,2022,P-5,Non Recurring Cost,,MCS Logistics,2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS Logistics,8aafeb5e537bb7c5
3569M11101,2022,P-5,Non Recurring Cost,,MCS Logistics,2022,request_total,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS Logistics,28a4179a157121e8
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Logistics (LCU-2000),,prior_years,prior_year,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Logistics |  | (LCU-2000),d5b813af075e8a27
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Logistics (LCU-2000),2020,actual,actual,,,3.159,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Logistics |  | (LCU-2000),6ea1a0ee8e7b5cd4
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Logistics (LCU-2000),2021,enacted,enacted,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Logistics |  | (LCU-2000),ba2f3adc776fdb2b
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Logistics (LCU-2000),2022,request_base,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Logistics |  | (LCU-2000),f42ecc2832f4a71d
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Logistics (LCU-2000),2022,request_oco,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Logistics |  | (LCU-2000),0508e1c7ee9e266c
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Logistics (LCU-2000),2022,request_total,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Logistics |  | (LCU-2000),68081d2858ca1a01
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LCU-2000),,prior_years,prior_year,,,4.38,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LCU-2000),6f67a8b30e134b7e
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LCU-2000),2020,actual,actual,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LCU-2000),4712b6cf52873023
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LCU-2000),2021,enacted,enacted,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LCU-2000),8728011a269253cb
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LCU-2000),2022,request_base,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LCU-2000),8d73045acc051a89
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LCU-2000),2022,request_oco,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LCU-2000),5362162feb7da1d2
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LCU-2000),2022,request_total,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LCU-2000),5fe23087be27ce16
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LSV),,prior_years,prior_year,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LSV),3509c286152fcf6b
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LSV),2020,actual,actual,,,2.28,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LSV),8b22ea34d2c95425
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LSV),2021,enacted,enacted,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LSV),286e0da7fb77c466
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LSV),2022,request_base,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LSV),ae1e83afad2c0c2e
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LSV),2022,request_oco,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LSV),5197461aa7d0f1d2
3569M11101,2022,P-5,Non Recurring Cost,,MIBS Engineering (LSV),2022,request_total,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MIBS Engineering |  | (LSV),ca88a4f325f480dd
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Non Recurring Cost,,prior_years,prior_year,,,4.38,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Non Recurring |  | Cost,b397b6e144e8743e
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Non Recurring Cost,2020,actual,actual,,,12.459,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Non Recurring |  | Cost,4f3689b4fe37ac5a
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Non Recurring Cost,2021,enacted,enacted,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Non Recurring |  | Cost,9b2ead7b6202841f
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Non Recurring Cost,2022,request_base,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Non Recurring |  | Cost,e9353312b4ca1f66
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Non Recurring Cost,2022,request_oco,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Non Recurring |  | Cost,9ed760e782d3e91b
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Non Recurring Cost,2022,request_total,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Non Recurring |  | Cost,c0724c92150d6492
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Flyaway Cost,,prior_years,prior_year,,,94.244,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Flyaway Cost,2894982fd95c8427
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Flyaway Cost,2020,actual,actual,,,42.232,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Flyaway Cost,c231bc214c7f78fa
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Flyaway Cost,2021,enacted,enacted,,,40.91,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Flyaway Cost,1626e8c2276f913c
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Flyaway Cost,2022,request_base,request,,,44.409,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Flyaway Cost,7eb14e15cbd1d771
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Flyaway Cost,2022,request_oco,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Flyaway Cost,ffc568662bc2ea00
3569M11101,2022,P-5,Non Recurring Cost,Y,Subtotal: Flyaway Cost,2022,request_total,request,,,44.409,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Subtotal: Flyaway Cost,7c21bf61482b06b0
3569M11101,2022,P-5,Non Recurring Cost,Y,Gross/Weapon System Cost,,prior_years,prior_year,47122.0,2.0,94.244,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Gross/Weapon System |  | Cost,94721fa63b51207c
3569M11101,2022,P-5,Non Recurring Cost,Y,Gross/Weapon System Cost,2020,actual,actual,21116.0,2.0,42.232,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Gross/Weapon System |  | Cost,5d8a47a782a6ee38
3569M11101,2022,P-5,Non Recurring Cost,Y,Gross/Weapon System Cost,2021,enacted,enacted,10227.5,4.0,40.91,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Gross/Weapon System |  | Cost,59cf18eb35321a5f
3569M11101,2022,P-5,Non Recurring Cost,Y,Gross/Weapon System Cost,2022,request_base,request,8881.8,5.0,44.409,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Gross/Weapon System |  | Cost,3ceab72738992cb1
3569M11101,2022,P-5,Non Recurring Cost,Y,Gross/Weapon System Cost,2022,request_oco,request,,,0.0,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Gross/Weapon System |  | Cost,4bfd987d1982dfc6
3569M11101,2022,P-5,Non Recurring Cost,Y,Gross/Weapon System Cost,2022,request_total,request,8881.8,5.0,44.409,then_year,380,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Gross/Weapon System |  | Cost,491ce372e11c11c6
8211R01001,2022,P-5,Recurring Cost,,Recurring Production - Vessels,,prior_years,prior_year,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Recurring Production | (†) | - Vessels,ed719f877ccb727c
8211R01001,2022,P-5,Recurring Cost,,Recurring Production - Vessels,2020,actual,actual,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Recurring Production | (†) | - Vessels,2ad55131338b4bc2
8211R01001,2022,P-5,Recurring Cost,,Recurring Production - Vessels,2021,enacted,enacted,21020.0,2.0,42.04,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Recurring Production | (†) | - Vessels,dc5f7e3fa48f73b6
8211R01001,2022,P-5,Recurring Cost,,Recurring Production - Vessels,2022,request_base,request,21055.0,2.0,42.11,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Recurring Production | (†) | - Vessels,e07c338b7b8203aa
8211R01001,2022,P-5,Recurring Cost,,Recurring Production - Vessels,2022,request_oco,request,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Recurring Production | (†) | - Vessels,b8cb5575cd62624e
8211R01001,2022,P-5,Recurring Cost,,Recurring Production - Vessels,2022,request_total,request,21055.0,2.0,42.11,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Recurring Production | (†) | - Vessels,27dd694b9a8b0144
8211R01001,2022,P-5,Recurring Cost,,Government Furnished Equipment,,prior_years,prior_year,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Government |  | Furnished Equipment,01c4d4a6c715aebe
8211R01001,2022,P-5,Recurring Cost,,Government Furnished Equipment,2020,actual,actual,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Government |  | Furnished Equipment,72a1d5d9fab90c7e
8211R01001,2022,P-5,Recurring Cost,,Government Furnished Equipment,2021,enacted,enacted,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Government |  | Furnished Equipment,dcbd3b0974b64792
8211R01001,2022,P-5,Recurring Cost,,Government Furnished Equipment,2022,request_base,request,,,3.1,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Government |  | Furnished Equipment,bdf81c3a011e2ce8
8211R01001,2022,P-5,Recurring Cost,,Government Furnished Equipment,2022,request_oco,request,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Government |  | Furnished Equipment,ab09533362033b15
8211R01001,2022,P-5,Recurring Cost,,Government Furnished Equipment,2022,request_total,request,,,3.1,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Government |  | Furnished Equipment,43fa6fc284cb390e
8211R01001,2022,P-5,Recurring Cost,,Engineering Changes,,prior_years,prior_year,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Engineering Changes,7097fbad4cf83adc
8211R01001,2022,P-5,Recurring Cost,,Engineering Changes,2020,actual,actual,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Engineering Changes,4e9dcac88f5b0613
8211R01001,2022,P-5,Recurring Cost,,Engineering Changes,2021,enacted,enacted,,,0.0,then_year,387,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,Engineering Changes,50e9ee3894efab6a
