rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
78,MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",28.1982,333995,Fluid Power Cylinder and Actuator Manufacturing ,33,3339,Manufacturing — Machinery/Electronics/Transport Eq,06742,USA,ok
79,EZN9VQG18FN1,"LAKE SHORE SYSTEMS, INC.",27.9059,,,,,Unknown,,,not_found
80,LJCSMLKU1MR5,"GENERAL MICRO SYSTEMS, INC",27.8115,334111,Electronic Computer Manufacturing ,33,3341,Manufacturing — Machinery/Electronics/Transport Eq,0A8J6,USA,ok
81,VMRALEFZBCN7,SANMINA-SCI CORPORATION,27.0294,,,,,Unknown,,,not_found
82,YMYQQQBNG2K5,RAM-SYSTEM GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,27.0082,,,,,Unknown,,,not_found
83,TKJ1TW2YRNL3,"MEGGITT DEFENSE SYSTEMS, INC.",26.986,,,,,Unknown,,,not_found
84,TCCLSQU7ZMW5,ITT INC.,26.9215,,,,,Unknown,,,not_found
85,NESMPT3TAWD7,NAMMO AS,26.7712,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,N5009,NOR,ok
86,K442K4T21K53,BECON INC,26.5904,333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,33,3339,Manufacturing — Machinery/Electronics/Transport Eq,62374,USA,ok
87,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,26.0326,,,,,Unknown,,,not_found
88,HPDLRXR4FYX5,BAE SYSTEMS PLC,25.833,,,,,Unknown,,,not_found
89,HJR5VDSHMMX5,"NEVADA HEAT TREATING, LLC",25.6189,332811,Metal Heat Treating ,33,3328,Manufacturing — Machinery/Electronics/Transport Eq,6FVX8,USA,ok
90,L9ADC7VS88U7,"CODA OCTOPUS GROUP, INC.",25.5688,,,,,Unknown,,,not_found
91,VN3RY9NGWD83,RAMBUS INC.,24.3695,334413,Semiconductor and Related Device Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,7FKU3,USA,ok
92,L4UCL5K5H5J9,"WOODWARD, INC.",23.4321,336412,Aircraft Engine and Engine Parts Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,66503,USA,ok
93,FAZSFFE6CST9,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",23.3959,,,,,Unknown,,,not_found
94,YA36Z8R2H4T4,"ARROW ELECTRONICS, INC.",23.3943,423690,Other Electronic Parts and Equipment Merchant Wholesalers ,42,4236,Wholesale Trade,0S466,USA,ok
95,V1MQFNQB56Z5,RIX INDUSTRIES,23.3791,333912,Air and Gas Compressor Manufacturing ,33,3339,Manufacturing — Machinery/Electronics/Transport Eq,28953,USA,ok
96,H6DDCK12JBM7,"SIRIUS COMPUTER SOLUTIONS, INC.",23.0071,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,42,4234,Wholesale Trade,3CQ03,USA,ok
97,SVKAW6129JL5,OPTIMA STANTRON CORP,23.0048,,,,,Unknown,,,not_found
98,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC",22.9407,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,3YXD4,USA,ok
99,DLLCKA14LMZ5,"MERRILL AVIATION, INC.",22.6068,,,,,Unknown,,,not_found
100,GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,22.2484,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",33,3369,Manufacturing — Machinery/Electronics/Transport Eq,53119,USA,ok
101,LBN9NJ1BSL28,"GREMADA INDUSTRIES, INC.",21.8934,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,0LZV2,USA,ok
102,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",21.7374,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,7QAR4,USA,ok
103,MS9XWCRV8XD8,"RICHLIND METAL FABRICATORS, INC.",21.4385,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,1HF14,USA,ok
104,PM2FDF7CCNC2,"MARISCO, LTD.",21.4297,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,4R778,USA,ok
105,UVFUAL43AP15,SCIOTEQ LLC,21.0325,334111,Electronic Computer Manufacturing ,33,3341,Manufacturing — Machinery/Electronics/Transport Eq,4DL36,USA,ok
106,SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,20.9999,,,,,Unknown,,,not_found
107,GCWKULHML2S3,WÄRTSILÄ OYJ ABP,20.9629,,,,,Unknown,,,not_found
108,KQYHKJS57J76,SENER AEROESPACIAL SOCIEDAD ANONIMA.,20.7946,,,,,Unknown,,,not_found
109,P5HAV87RFNP1,BARNES GROUP INC.,20.0061,336412,Aircraft Engine and Engine Parts Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,32317,USA,ok
110,CVK8KJNMJL36,AI CONVOY HOLDCO LIMITED,19.9675,,,,,Unknown,,,not_found
111,LM35HWEVUPH3,"ADI TECHNOLOGIES, INC.",19.8152,541613,Marketing Consulting Services ,54,5416,Professional/Scientific/Technical Services,02NT5,USA,ok
112,PLYSMJBAYE42,PARKER-HANNIFIN CORPORATION,19.7326,,,,,Unknown,,,not_found
113,DTZJAQF8NZA1,"L-3 COMMUNICATIONS HOLDINGS, INC.",19.7157,,,,,Unknown,,,not_found
114,TJCDPVN6RNP7,DELL FEDERAL SYSTEMS L.P.,19.4209,,,,,Unknown,,,not_found
115,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,19.2255,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,1SGJ6,USA,ok
116,FPCZK4D8LXU5,KPS CAPITAL PARTNERS LP,18.9082,,,,,Unknown,,,not_found
117,J5FTSL9NDLN5,"M & S MACHINING, INC.",18.7875,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,1X4E7,USA,ok
118,L4MDD6LHS8G9,"ALTRA HOLDINGS, INC.",18.6409,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,71041,USA,ok
