rank,uei,vendor,foreign,amount_M_lifetime,records,fy_count,fys,piid_count,piids
898,W6SWKAS2DBE5,"SHILOH INDUSTRIES, INC.",,0.2571,5,4,"2019,2020,2021,2022",2,"N0002415C5332,N0002420C5310"
899,MBFSJ8M4RQB6,DANAHER CORPORATION,,0.2563,1,1,2016,1,N0002413C5325
900,ENBFG8HHWTA9,"WAVELINE, INCORPORATED",,0.2552,6,3,"2018,2019,2020",1,N0002414C5114
901,LKXHMX1K3AC5,NATIONAL INSTRUMENTS CORPORATION,,0.2540,2,2,"2018,2022",2,"N0002414C4313,N0002421C5393"
902,FYS6F3284LN3,VELAN VALVE CORP.,,0.2537,3,1,2024,1,N0002418C2307
903,MDQZKU7HV7L8,"EBY GROUP, LLC, THE",,0.2519,2,2,"2019,2020",1,N0002414C5114
904,W34NLSTY9XJ8,GENERAL FINANCE CORPORATION,,0.2516,3,1,2021,1,N0002420C4468
905,FFXKK2MMEM97,"DYNAMIC PRECISION GROUP, INC.",,0.2513,4,2,"2018,2020",1,N0002415C4103
906,XABPNZ7FUSE3,"DARE ELECTRONICS, INC.",,0.2511,3,3,"2016,2020,2021",2,"N0017415C0009,N0017419C0004"
907,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",,0.2495,1,1,2023,1,N0017415C0009
908,Q98EVCAE4SB8,"R.E. DARLING CO., INC.",,0.2475,1,1,2024,1,N0002420C5380
909,HHM2PERCK575,"EMS ICE, INC.",,0.2473,1,1,2022,1,N0002420C4468
910,UQ5SEKN6MRL4,CIZION METAL ENGINEERING LLC,,0.2470,1,1,2013,1,N0002412C5311
911,FMFNAV9Q2LF3,"JEWETT MACHINE MANUFACTURING COMPANY, INC, BRYCE D",,0.2462,2,1,2023,1,N0002420C5380
912,NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",,0.2457,8,4,"2018,2019,2020,2021",2,"N0002413C2307,N0002418C2307"
913,CLJ5AQLQ8L29,"MACKAY COMMUNICATIONS, INC",,0.2438,1,1,2022,1,N0002419C4452
914,N3K7U4MKPSE4,"J & R TOOL, INC",,0.2436,1,1,2022,1,N0002419C4452
915,XWWGV5ZMALW1,CHROMALOX INC,,0.2433,1,1,2024,1,N0002423C5325
916,K7UKW5JLHVC7,"JWF DEFENSE SYSTEMS, LLC",,0.2426,1,1,2021,1,N0002420C5380
917,Y7HRJMWG5HN9,UNITED REFRIGERATION INC,,0.2405,2,1,2023,1,N0002419C4452
918,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",,0.2390,5,3,"2019,2020,2021",2,"N0002413C2307,N0002418C2307"
919,CDZJAJJHJMH5,SOUTHERN RESEARCH INSTITUTE,,0.2390,1,1,2021,1,N0002419C5102
920,NJ6LF9NUB5Z3,ELECTRO SWITCH CORP.,,0.2372,2,2,"2014,2015",1,N0002413C5314
921,HT2SC8NC87E1,ANIXTER INTERNATIONAL INC.,,0.2366,4,2,"2018,2019",2,"N0002413C2307,N0002414C5106"
922,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,,0.2359,1,1,2026,1,N0002418C2307
923,GYF6XRBCDNH1,"HIPK, L.L.C.",,0.2354,4,2,"2020,2021",2,"N0002416C5103,N0002419C5102"
924,XCP3T25VVKU3,LAKOTA TECHNICAL SOLUTIONS INC,,0.2351,5,2,"2022,2023",1,N0002413C5116
925,SGR5M2YHL6H9,"REGAL MACHINE, INC.",,0.2336,5,4,"2013,2014,2018,2019",2,"N0002413C5314,N0002413C5325"
926,JMMGQ2ME8XG3,ELBIT SYSTEMS LTD,,0.2322,2,2,"2021,2022",1,N0002420C5605
927,J7JGTBNSM619,MEGATOR CORPORATION,,0.2307,6,3,"2017,2018,2020",2,"N0002413C2307,N0002418C2307"
928,W8VEAJP8ZNY5,"ARNPRIOR RAPID MANUFACTURING SOLUTIONS, INC.",,0.2303,3,1,2020,1,N0002414C5114
929,GH1DGHNNHS58,MISTRAS GROUP INC,,0.2302,3,1,2024,1,N0002420C5380
930,EPK7A98BB4B6,"HEILIND MIL-AERO, LLC",,0.2300,3,1,2024,1,N0002420C5105
931,MC9KZKMUD8F8,CUBE MOBILE POWER HOLDCO LIMITED,,0.2295,2,1,2022,1,N0002420C4468
932,RZD8SPH3RR59,TYONEK ENGINEERING & AGILE MANUFACTURING LLC,,0.2294,1,1,2025,1,N0002423C5325
933,WL9HGM6PCK53,ZIVARO INC,,0.2288,3,3,"2021,2023,2024",3,"N0002413C5116,N0002414C5114,N0002420C5105"
934,XBHNYVTCDQH8,UNIFIED2 GLOBAL PACKAGING GROUP LLC,,0.2268,1,1,2024,1,N0002422C5500
935,KFP1XYK24DZ8,EPSILON C5I INC,,0.2262,5,2,"2024,2025",1,N0002413C2307
936,L4MAMGG8KA31,AQUALISBRAEMAR LOC ASA,,0.2243,2,2,"2021,2023",1,N0002420C4468
937,YVLFKLNBKKH7,CATON CONNECTOR CORP.,,0.2243,1,1,2018,1,N0002414C5114
938,K3FUWNCH1SK6,ALTRA INDUSTRIAL MOTION CORP,,0.2238,2,2,"2024,2026",1,N0002422C5500
939,GN82WS7LRJ77,SPACE MACHINE & ENGINEERING CORP.,,0.2232,3,3,"2022,2023,2025",1,N0002418C2307
940,CEFCD41CLDJ8,SHI INTERNATIONAL CORP.,,0.2229,4,3,"2017,2018,2019",2,"N0002413C5132,N0002419C5102"
941,H8S3BUR1KK43,EXCELITAS TECHNOLOGIES HOLDINGS LLC,,0.2223,1,1,2017,1,N0002417C4109
942,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",,0.2222,3,1,2018,1,N0002413C2307
943,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",,0.2217,3,2,"2018,2019",2,"N0002413C2307,N0002414C4313"
944,TAHNTWE2BVN1,"BISCO INDUSTRIES, INC.",,0.2213,2,2,"2023,2024",2,"N0002420C5380,N0002422C5500"
945,Q4LKTEKK7577,"EAGLE TOOL & DESIGN, INC.",,0.2199,4,2,"2013,2014",1,N0002412C5311
946,RHNJVNYPL1M9,"OAKTREE CAPITAL GROUP HOLDINGS, L.P.",,0.2194,1,1,2021,1,N0002419C5102
947,FD69PPCVM2B8,"PASCAGOULA LAUNCH SERVICE, INC",,0.2193,5,5,"2018,2020,2021,2023,2025",2,"N0002413C2307,N0002418C2307"
948,KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",,0.2184,3,2,"2023,2024",2,"N0002418C2307,N0002422C4485"
949,NF1ML95JY8B3,"ADCOR INDUSTRIES, INC.",,0.2177,4,1,2022,1,N0002420C5310
950,NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",,0.2160,2,1,2019,1,N0002413C2307
951,RKXSWB6ETDJ3,PRIME TIME COATINGS INC,,0.2158,7,2,"2023,2024",1,N0002422C4485
952,CSY2M7L3TMB8,PARKER-HANNIFIN CORPORATION,,0.2112,1,1,2023,1,N0001918C1061
953,FG94WVL9BLS7,PAS TECHNOLOGIES INC,,0.2105,1,1,2024,1,N0001918C1061
954,DZ8RD2EBBMK5,GENUINE PARTS COMPANY,,0.2103,3,3,"2017,2019,2026",3,"N0002413C2307,N0002413C5132,N0002420C5605"
955,R54LM1P25K23,PORTABLE STORAGE CORP,,0.2081,2,2,"2020,2022",2,"N0002420C4400,N0002422C4485"
956,DDNELLWJ1DB1,"ATLANTIC MARINE CLEANING, LLC",,0.2079,3,2,"2021,2022",1,N0002420C4468
957,K5K4P6AY7QM8,"LAIRD R & F PRODUCTS, INC.",,0.2063,1,1,2022,1,N0002419C2322
958,U5DDDFM4LJS3,"PRIME TECHNOLOGY, LLC",,0.2059,2,1,2022,1,N0002419C4452
959,ML28DU1R7P77,"CADRE HOLDINGS, INC.",,0.2045,4,3,"2018,2022,2025",2,"N0002413C2307,N0002418C2307"
960,JDRLC5Z7HJS5,"CP TECHNOLOGIES, LLC",,0.2042,2,2,"2021,2022",1,N0002415C5228
961,HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",,0.2041,3,3,"2014,2016,2020",3,"N0002412C5311,N0017415C0009,N0017419C0004"
962,PB11V1KH3KV4,SOUTHWEST RESEARCH INSTITUTE,,0.2040,6,2,"2020,2022",1,N0002413C2307
963,D7GHHEGVNK24,"GILBERT MECHANICAL CONTRACTORS, INC.",,0.2020,2,2,"2014,2016",1,N0002413C5325
964,LSGYNGHKB863,DEBAN ENTERPRISES INC,,0.2017,4,3,"2020,2021,2024",2,"N0002413C2307,N0002418C2307"
965,LRQPMCVWPTD5,"WIREMASTERS, INC.",,0.2005,5,3,"2023,2024,2026",3,"N0002420C5380,N0002420C5519,N0002424C5324"
966,SPJDDHTQBSY9,"HUNTER DEFENSE TECHNOLOGIES, INC.",,0.2004,3,3,"2019,2021,2023",1,N0002418C2307
967,NHCDCMMJC3N5,COOPER INDUSTRIES PUBLIC LIMITED COMPANY,,0.2004,2,2,"2013,2014",1,N0002413C5314
968,QN84GSHNM1M7,"BACHARACH, INC.",,0.1980,3,3,"2019,2020,2021",2,"N0002414C4313,N0002418C2307"
969,GA91C48LHEH3,AA CONTAINER SALES INC,,0.1980,2,1,2015,1,N0002413C5325
970,N59KLKMGK7T6,CHRISTIAN PETER THOMSEN HOLDING APS,Yes,0.1969,4,4,"2016,2017,2018,2021",1,N0002415C4103
971,PNQKKYEK31E3,BAE SYSTEMS HOLDINGS INC.,,0.1948,1,1,2021,1,N0002419C2322
972,VD1NLZGAJ2L4,"DURAMAX MARINE, LLC",,0.1943,2,2,"2021,2023",2,"N0002420C4400,N0002422C4485"
973,SK1EKRJUEKA7,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,,0.1943,1,1,2026,1,N0002421C5393
974,M9APHD19U9M4,"LANSDALE SEMICONDUCTOR, INC.",,0.1936,2,2,"2018,2020",1,N0002414C5114
975,F98TZC6J5XV1,"ARC TECHNOLOGIES, INC.",,0.1927,2,1,2018,1,N0002413C2307
976,Q3D6RGR3PLE4,"PHX HOLDINGS, LLC",,0.1923,1,1,2020,1,N0002420C5380
977,KZPUCSJNUSP3,SPIRIT AMERICA LABS CORP,,0.1919,4,2,"2022,2025",1,N0002422C5500
978,W1WKZNCSK6G1,RESION LLC,,0.1914,2,2,"2023,2024",1,N0002417C4109
979,FMQKP7DAMG35,"PEKO PRECISION PRODUCTS, INC.",,0.1911,3,3,"2022,2023,2025",2,"N0002420C5310,N0002420C5519"
980,RBH1T4FLDYN5,A & A MACHINE CO INC,,0.1906,2,2,"2018,2020",1,N0002414C5114
981,FKBHDS7BRJF4,"HONEYWELL SAFETY PRODUCTS USA, INC.",,0.1903,4,2,"2024,2025",2,"N0002418C2307,N0002420C5300"
982,QZDVJJHSMJK1,"ONEXIA, INC.",,0.1890,2,1,2019,1,N0002414C5114
983,LYHWX7B8JNF5,HEXAGON AB,,0.1885,2,1,2020,1,N0002419C5102
984,M647MA6E64V1,"DEWEY ELECTRONICS CORPORATION, THE",,0.1864,4,3,"2022,2023,2024",1,N0002418C2307
985,E5J1EAQ21JR9,SURVITEC HOLDINGS 1 LIMITED,,0.1864,1,1,2021,1,N0002413C2307
986,N7B7PME54JZ9,SURVITEC GROUP LIMITED,,0.1864,1,1,2019,1,N0002413C2307
987,PE2HGWQW7ZQ8,MERSEN S.A.,,0.1861,26,3,"2021,2022,2025",2,"N0002420C5519,N0002422C5500"
988,NJ83KV3NU9A6,WOODWARD GOVERNOR COMPANY,,0.1860,2,2,"2016,2020",2,"N0001918C1007,N0002412C5311"
989,V8M7VR28LYL1,BASIC RUBBER AND PLASTICS CO.,,0.1849,4,3,"2021,2022,2024",2,"N0002420C5380,N0017419C0004"
990,J8ATNVMEGLK1,CHAND LLC,,0.1847,4,2,"2024,2025",2,"N0002413C2307,N0002418C2307"
991,F3QWAEK8UPR8,"PANTHER PRECISION MACHINE, INCORPORATED",,0.1839,1,1,2015,1,N0002412C5311
992,NB6DNPN49S95,PACIFIC MARITIME INDUSTRIES CORP.,,0.1833,4,2,"2020,2022",2,"N0002420C4400,N0002422C4485"
993,F7CFMN9ANKK3,"THERMA, LLC",,0.1831,1,1,2024,1,N0002421C5393
994,QEB1F43QCFD7,PRECISION GRINDING AND MANUFACTURING CORPORATION,,0.1790,3,2,"2018,2020",1,N0002414C5114
995,WH4DRDKB7RR8,SYSTEMS ENGINEERING SUPPORT CO.,,0.1784,1,1,2024,1,N0002418C2307
996,Z8KVZV3DR7J4,ADVANCED COOLING TECHNOLOGIES INC,,0.1767,2,1,2023,1,N0002420C5105
997,LVSBF1JHVJG5,"QUALASTAT ELECTRONICS, INC.",,0.1767,5,3,"2018,2019,2020",1,N0002414C5114
998,NYEMFJ7MMJB5,"INFINITE ELECTRONICS INTERNATIONAL, INC.",,0.1757,2,2,"2024,2025",2,"N0002420C5605,N0025324F0016"
999,KPAKHRJJJBL3,"WATER RECOVERY, LLC",,0.1719,4,3,"2021,2022,2023",1,N0002420C4468
1000,JTBBJENKA811,ELECTRONICS INSTRUMENTS & OPTICS INC,,0.1717,4,1,2021,1,N0002414C5114
1001,Z1VWGF454BY7,"OMEGA II., INC.",,0.1711,1,1,2020,1,N0002420C4400
1002,TASAETAJNPD3,"B & E TOOL COMPANY, INC.",,0.1704,2,1,2022,1,N0001918C1007
1003,RYYRAAAGPXB5,LAURA STOCKERT,,0.1703,2,2,"2025,2026",1,N0002418C2307
1004,HJFAW5KCG7N7,"MAST TECHNOLOGIES, LLC",,0.1678,2,2,"2024,2026",1,N0002418C2307
1005,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",,0.1678,2,2,"2019,2020",1,N0002418C2307
1006,DJYESA6RM8J5,"EAST BAY MECHANICAL SERVICES, INC.",,0.1670,1,1,2022,1,N0002420C4468
1007,NCLCB9TERCF1,LINEMASTER SWITCH CORPORATION,,0.1663,3,3,"2020,2023,2025",1,N0002420C5605
1008,P4WMHCR9W1H3,"FUTURE TECHNOLOGIES, INC",,0.1645,8,2,"2022,2023",1,N0002413C5116
1009,JL4THZCMNKR7,JACKSON PLATING CO.,,0.1642,3,2,"2018,2025",2,"N0002413C2307,N0002418C2307"
1010,SJJDMJLYX997,MAMMOET NORTHERN USA INC.,,0.1638,5,2,"2020,2021",1,N0002414C5114
1011,KATZHMD3P8B1,ASKEW INDUSTRIAL CORPORATION,,0.1629,3,2,"2021,2022",2,"N0002420C4468,N0002422C4485"
1012,E5ETGL3SJKP7,"CHARTER INDUSTRIAL SUPPLY, INC.",,0.1624,3,1,2023,1,N0002422C4485
1013,DLRDDPVKLLA1,"HEGEDUS ALUMINUM INDUSTRIES, INC",,0.1617,4,4,"2022,2023,2024,2025",1,N0002418C2307
1014,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,,0.1609,2,2,"2020,2022",1,N0002418C2307
1015,T2PGFX9RZJH9,"ASCO POWER TECHNOLOGIES, L..P.",,0.1605,1,1,2024,1,N0002419C4452
1016,K7NYL13UM9Q3,FORKARDT INC.,,0.1600,3,1,2025,1,N0001923C0013
1017,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,,0.1585,3,3,"2018,2019,2021",1,N0002413C2307
1018,C2E5XKE6U313,"DYCO ELECTRONICS, INC",,0.1583,3,2,"2019,2021",1,N0002415C5228
1019,EQB8L144P6S4,ORBIT INTERNATIONAL CORP.,,0.1581,2,2,"2014,2016",1,N0002412C5311
1020,NW8HMUTVNTN7,ROLLING ENTERPRISES INC,,0.1580,2,1,2024,2,"N0002417C4109,N0025324F0016"
1021,YR6LY4AKHJT1,"IMIA, LLC",,0.1579,5,1,2023,1,N0002422C4485
1022,C1PFB91NJY47,"POTTER ELECTRIC, INC.",,0.1568,4,2,"2021,2024",2,"N0002420C4400,N0002422C4485"
1023,Z7D5BQGNHC99,AUDIOSCIENCE INC.,,0.1567,2,2,"2022,2024",1,N0002420C5605
1024,HG3VKBQEG5K4,"MOBILEMATICS, INC.",,0.1567,3,2,"2019,2020",3,"N0002414C5106,N0002414C5114,N0002419C5102"
1025,K88JMQ5QWFT1,PTC PRECISION LLC,,0.1562,4,3,"2022,2023,2024",3,"N0002420C5105,N0002420C5310,N0002423C5325"
1026,UER4AJLUB8D5,"THUNDERCAT TECHNOLOGY, LLC",,0.1549,1,1,2021,1,N0002419C5102
1027,NSKMMF7BY2K7,RELLI TECHNOLOGY INC,,0.1540,1,1,2024,1,N0017419C0004
1028,FK4DADNKNCR5,"ATLAS MACHINE COMPANY, INC.",,0.1537,7,4,"2019,2020,2021,2022",2,"N0002415C5332,N0002420C5310"
1029,N34DGEPC1N57,RUGGED SYSTEMS INC.,,0.1534,1,1,2021,1,N0002420C5105
1030,ERR4X5JLJWV5,"NCP COATINGS, LLC",,0.1531,4,1,2022,1,N0002413C2305
1031,RBDJQE5KY6N9,"FAIRMOUNT AUTOMATION, INC",,0.1528,1,1,2024,1,N0002415C5151
1032,S7Y5HNJJ1RL7,"PACE MACHINE & TOOL, INC.",,0.1528,4,1,2025,1,N0002423C5325
1033,XNK8NGRN3C93,FASTENAL COMPANY,,0.1521,3,2,"2023,2025",1,N0002420C5605
1034,GQBDLD57QVV7,"BG SYSTEMS, INC",,0.1510,1,1,2025,1,N0002420C5605
1035,FEPNND8HMMA3,MILLER MARINE,,0.1506,1,1,2022,1,N0002420C4400
1036,GLT9FNADUMA4,"ALLIED WIRE & CABLE, LLC",,0.1501,3,1,2022,2,"N0002420C5310,N0002420C5380"
1037,LMYZVK7K5MH5,"WYMAN-GORDON INVESTMENT CASTINGS, INC",,0.1501,2,1,2023,1,N0001918C1007
1038,HMJML9M8QC13,SHIPBOARD ELECTRICAL SUPPLY INC,,0.1500,1,1,2019,1,N0002414C5104
1039,F89GU9TUZJU6,TESAR ROBBINS INC,,0.1499,2,2,"2021,2022",1,N0002419C5102
1040,JALPQSJHLBV5,"DUPONT DE NEMOURS, INC.",,0.1496,2,2,"2021,2023",1,N0002422C5500
1041,Z2VAJVVHTKD5,"AVNET, INC.",,0.1489,4,2,"2024,2025",1,N0002417C4109
1042,XR3UT8BLTKP7,"ENERGY MACHINERY, INC.",,0.1485,5,1,2023,1,N0002418C2307
1043,DSXRN7GV2M91,"COMPASS SYSTEMS, INC.",,0.1472,3,1,2025,1,N0002417C4109
1044,UES5F4AAZJK5,"DONALDSON COMPANY, INC.",,0.1467,4,3,"2019,2021,2026",1,N0002418C2307
1045,TC3NF4XRLGV7,"IDEAL SYSTEM SOLUTIONS, INC.",,0.1466,2,2,"2023,2024",2,"N0002417C4109,N0002420C5605"
1046,VNP2L293JWL6,FRONTGRADE TECHNOLOGIES INC.,,0.1464,2,2,"2023,2024",1,N0002415C5151
1047,E68EJQL6GQZ5,VERTIV HOLDINGS CO,,0.1458,3,1,2021,2,"N0002419C5102,N0002420C5105"
1048,MCEDCKDJ4188,"ASTUTE ELECTRONICS, INC.",,0.1456,1,1,2021,1,N0002422C5500
1049,VJYSTMJME536,TRP INC,,0.1454,2,2,"2016,2019",1,N0002413C5314
1050,PT2JJ2ENT5A7,SCIENTIFIC COMPONENTS CORPORATION,,0.1452,3,2,"2022,2024",1,N0002422C5500
1051,LBSEMJP3HZV7,"LAPEER INDUSTRIES, INC.",,0.1452,2,2,"2013,2014",2,"N0002412C5311,N0002413C5325"
1052,GW7AKRL56QX7,"WIREMASTERS, INC.",,0.1442,3,3,"2017,2020,2022",2,"N0002414C5104,N0002420C5380"
1053,C1H9M7YF9LW8,"MOELLER MFG. COMPANY, LLC",,0.1434,2,1,2023,2,"N0001918C1007,N0001918C1061"
1054,G58FFJ6F2CA7,GK MECHANICAL SYSTEMS LLC,,0.1433,2,2,"2022,2023",1,N0002419C2322
1055,D3FHXWMJ5YX6,JD MACHINE CORP,,0.1432,2,2,"2023,2024",2,"N0002417C4109,N0025324F0016"
1056,FNQARYRJJEL5,"COSPOLICH, INC.",,0.1426,4,4,"2018,2020,2021,2023",3,"N0002413C2307,N0002418C2307,N0002419C4452"
1057,F8A1A24FCTN9,"CORDMASTER ENGINEERING COMPANY, INC.",,0.1423,3,2,"2023,2026",1,N0002422C5500
1058,MLZGT2BJ4J13,"ENPRO INDUSTRIES, INC.",,0.1419,1,1,2019,1,N0002414C4313
1059,D46ZNPBMTU79,"BAM ENTERPRISES, INC.",,0.1417,3,1,2019,1,N0002415C5332
1060,D7L6DVQTJDM5,"ARIES FILTERWORKS, INC.",,0.1416,4,3,"2018,2020,2021",2,"N0002414C5106,N0002414C5114"
1061,RD7HS69ASZM3,"AVERS MACHINE & MFG, INC",,0.1415,2,1,2022,1,N0017419C0004
1062,UGLLS8KB34F9,"CIRCUIT CHECK, INC.",,0.1412,1,1,2026,1,N0002420C5519
1063,WY6SAEUJ7EU4,TRIO MANUFACTURING,,0.1405,1,1,2026,1,N0002422C5500
1064,QQJ6E1XYFTD5,RENISHAW P L C,,0.1400,4,1,2025,1,N0001923C0013
1065,EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",,0.1400,2,2,"2024,2025",1,N0002418C2307
1066,WZQNCGF1CQC3,JAANN INC,,0.1387,1,1,2018,1,N0002414C5104
1067,GKMQFZNVUCF2,"SOLID STATE DEVICES, INC.",,0.1385,2,1,2019,1,N0002415C5228
1068,U18CH2ENEMX4,"ROBERTSON MANUFACTURING, INC",,0.1382,1,1,2015,1,N0002412C5311
1069,K5EHDDMPL8L3,ASC ENGINEERED SOLUTIONS LLC,,0.1377,1,1,2022,1,N0002419C4452
1070,TW2SHAU5ZQS6,MEADOWGATE TECHNOLOGIES LLC,,0.1376,3,3,"2020,2021,2023",2,"N0002415C5332,N0002420C5310"
1071,UZKRMH51VMJ5,"PAR SYSTEMS, INC.",,0.1364,3,2,"2017,2018",2,"N0002411C2307,N0002413C2307"
1072,HFRTEU89JJF9,MAJR PRODUCTS CORP,,0.1357,2,2,"2023,2024",1,N0002417C4109
1073,RDWJT82H4MW8,SAMTEC INC,,0.1346,2,1,2022,1,N0002422C5500
1074,JZVMRV1K2JZ1,BRUCE ZIERWICK CONSULTING LLC,,0.1342,3,2,"2014,2015",1,N0002412C5311
1075,JQYEX1N1U749,DUNMON INCORPORATED,,0.1342,2,2,"2020,2024",2,"N0002420C5605,N0025324F0016"
1076,R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",,0.1341,3,1,2019,2,"N0002413C2307,N0002418C2307"
1077,MERSKMH33AG9,KILDER CORP,,0.1338,3,2,"2023,2025",1,N0002422C5500
1078,E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,,0.1333,2,2,"2018,2021",2,"N0002413C2307,N0002418C2307"
1079,DSVCC3S92J21,BOLAND MARINE & INDUSTRIAL LLC,,0.1325,2,1,2023,1,N0002418C2307
1080,DMXKGDQFGMM9,"A.Z.E. SUPPLY COMPANY, INC.",,0.1322,2,2,"2018,2022",2,"N0002414C5114,N0002420C5310"
1081,QVMYLK59N3G2,INTEGRITS CORPORATION,,0.1321,2,2,"2018,2019",1,N0002413C5325
1082,WSK3WRSGKAU1,ALFA LAVAL INC,,0.1312,1,1,2023,1,N0002418C2307
1083,MVJ8VFHHZ9J1,THE INDIUM CORPORATION OF AMERICA,,0.1305,2,1,2024,1,N0002422C5500
1084,DNVQJ81GNA51,"MIL-SPEC MAGNETICS, INC",,0.1304,2,2,"2021,2022",1,N0002415C5228
1085,C8V6T36LW557,"AEGIS POWER SYSTEMS, INC.",,0.1303,4,2,"2018,2020",1,N0002415C5228
1086,LDEENBUBEX24,"MFM SERVICES, LLC",,0.1302,1,1,2021,1,N0002420C4468
1087,F4TYC1N7UEH3,"ELECTROWEAVE, INC.",,0.1300,4,3,"2018,2019,2020",2,"N0002414C5106,N0002414C5114"
1088,NB2HLRTJJJQ7,"WATTS WATER TECHNOLOGIES, INC",,0.1295,4,3,"2020,2021,2026",1,N0002418C2307
1089,UYCFM7GJBHK7,FIERCE SOFTWARE CORPORATION,,0.1292,2,2,"2018,2021",2,"N0002413C5132,N0002420C5105"
1090,FD6FBBZ5U4W3,TRELLEBORG AB,,0.1291,2,1,2025,1,N0002420C5605
1091,FHH6PS5YFK53,"RELADYNE, INC.",,0.1290,1,1,2021,1,N0002420C4468
1092,GL11VKK8MDH3,L.S. STARRETT COMPANY (THE),,0.1289,1,1,2025,1,N0001923C0013
1093,H12PZPAGKSZ8,TECH GLOBAL INC.,,0.1282,2,1,2024,1,N0025324F0016
1094,DPC3CKUML243,PNY TECHNOLOGIES INC,,0.1280,1,1,2022,1,N0002420C5605
1095,NK1RB5VKXES9,"DETROIT SWITCH, INC.",,0.1279,4,4,"2018,2020,2021,2022",2,"N0002413C2307,N0002418C2307"
1096,GZMNALVP4ME3,"TTM PRINTED CIRCUIT GROUP, LLC",,0.1279,1,1,2026,1,N0002417C4109
1097,TR37Q6FZ57V9,MEADOWGATE TECHNOLOGIES LLC,,0.1276,3,1,2024,1,N0002420C5105
1098,ND5LUA2V4JM5,MURPHY WAREHOUSE COMPANY,,0.1269,1,1,2024,1,N0002421C5393
1099,CYW5LK18T4D1,"THE COATING HOUSE, INC.",,0.1267,3,3,"2022,2023,2025",1,N0002422C5500
1100,GHBNDMFTEGX8,MACHINTEK CO,,0.1255,2,2,"2025,2026",2,"N0002420C5300,N0017419C0004"
1101,JBXBP1UZWCJ3,"SITTA, PAIGE & ASSOCIATES, INC.",,0.1247,23,2,"2023,2024",1,N0002422C4485
1102,FAH9WVAZE763,FERGUSON HOLDINGS LIMITED,,0.1235,1,1,2021,1,N0001913C0132
1103,GGEPLJ95RSR7,MATHESON SERVICES LIMITED,,0.1235,1,1,2019,1,N0002415C5228
1104,UC3FWNHHBJ84,THE INDIUM CORP OF AMERICA,,0.1232,1,1,2025,1,N0002422C5500
1105,HCMCF9N19ZE7,WELCO ELECTRONICS INCORPORATED,,0.1225,1,1,2013,1,N0002413C5314
1106,UV1TAZREC7S7,H. M. CRAGG CO.,,0.1221,2,1,2020,1,N0002419C5102
1107,YHCKC93MG135,BOB TURNER'S CRANE SERVICE INCORPORATED,,0.1216,10,4,"2021,2023,2024,2025",2,"N0002420C4400,N0002422C4485"
1108,HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.",,0.1215,3,1,2021,2,"N0002418C2307,N0002420C4468"
1109,R5N4GY677EH5,ESTERLINE TECHNOLOGIES CORP,,0.1209,2,2,"2014,2015",1,N0002413C5314
1110,SKP7U7LZMV41,ATF AEROSPACE LLC,,0.1200,2,1,2024,2,"N0002420C5380,N0002424C5324"
1111,ENBUEP29N149,ANNA HOLDING AG,,0.1200,1,1,2020,1,N0001918C1007
1112,XWTZJC873626,UIP INTERNATIONAL LLC,,0.1195,2,2,"2025,2026",1,N0002418C2307
1113,L33CDLJCPFC6,CORLAND CO.,,0.1195,2,2,"2021,2026",1,N0002422C5500
1114,KKSHM9X4VR99,P4 MANUFACTURING,,0.1190,2,1,2021,1,N0002420C5380
1115,EQ2TN2GMDFT5,"ADVANCED ACOUSTIC CONCEPTS, LLC",,0.1186,1,1,2024,1,N0002418C2307
1116,ZXMJM9MBXBQ4,"HILLER COMPANIES, INC., THE",,0.1181,3,1,2022,1,N0002413C2305
1117,N16ET1YJ6QZ3,"ROMAC INDUSTRIES, INC.",,0.1174,1,1,2024,1,N0025324F0016
1118,WPDLRZ9LA4Z7,"PHILADELPHIA PIPE BENDING COMPANY, THE",,0.1170,3,1,2020,1,N0002414C5106
1119,K2XQUFJHV4M1,FULL CIRCLE COMPOSITES LLC,,0.1170,1,1,2019,1,N0002415C4103
1120,JH61GLV2MCA7,"PRIME SCIENCE & TECHNOLOGY, LLC",,0.1163,1,1,2023,1,N0002419C4452
1121,C2Q8RQFNXJJ3,"ATF, INC",,0.1150,3,2,"2020,2022",2,"N0002420C5380,N0017419C0004"
