rank,uei,vendor,foreign,amount_M_lifetime,records,fy_count,fys,piid_count,piids
745,VDSCUPC2H3K7,CITADEL CAPITAL CORPORATION,,0.4683,5,3,"2019,2020,2021",2,"N0002413C2307,N0002418C2307"
746,JGSNSER23GR6,DELL FEDERAL SYSTEMS L.P,,0.4677,1,1,2024,1,N0002413C5116
747,C4C1WKKFJ8H5,ENERGY RENTAL SOLUTIONS LLC,,0.4657,6,2,"2024,2025",1,N0002418C2307
748,DZ6DK62GRZ39,SKF AUTOBALANCE SYSTEMS AB,,0.4585,2,2,"2024,2025",2,"N0001923C0013,N0017419C0004"
749,Y8UGX3KLADE3,"NEW AGE PRECISION TECHNOLOGIES, INC.",,0.4578,4,2,"2022,2024",2,"N0002420C5310,N0002423C5325"
750,DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP.,,0.4562,4,3,"2021,2022,2025",2,"N0002413C5116,N0025324F0016"
751,C5DML3MAXUN5,"PINNACLE CENTRAL COMPANY, INC",,0.4543,6,1,2021,1,N0002420C4468
752,PMF1EBLSLUJ3,"X-MICROWAVE, LLC",,0.4539,2,1,2024,1,N0002420C5519
753,WLC5S23M4NP9,"SGJB BUSINESS HOLDINGS, INC.",,0.4528,7,3,"2013,2015,2020",3,"N0002412C5311,N0017415C0009,N0017419C0004"
754,NC51HBU9N6L9,"MICROWAY, INC.",,0.4520,2,1,2021,2,"N0002419C5102,N0002420C5105"
755,HTHZV61C5DV8,SYSCO CORPORATION,,0.4509,4,4,"2018,2019,2021,2025",2,"N0002413C2307,N0002418C2307"
756,WX6SFA3CLNA3,"CHARLESBANK CAPITAL PARTNERS, LLC",,0.4507,1,1,2026,1,N0002422C5500
757,J2DMF1YRKD96,STANDARD CALIBRATIONS INC,,0.4498,10,4,"2021,2023,2024,2025",3,"N0002418C2307,N0002420C4400,N0002422C4485"
758,NTW5TQ1UJF57,"SCHNEIDER ELECTRIC FEDERAL, INC.",,0.4492,1,1,2026,1,N0002421C5393
759,C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,,0.4491,11,3,"2020,2021,2023",1,N0002418C2307
760,JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,,0.4489,5,2,"2023,2024",1,N0002413C2307
761,GCDKJTM3RJX6,"RAPID DEPLOYABLE SYSTEMS, INC",,0.4439,2,1,2023,1,N0002413C2305
762,E12JMWJACSZ6,"AMI SEMICONDUCTOR, INC.",,0.4425,2,1,2019,1,N0002414C5114
763,PUZ1NCWDC719,"SURE POWER, INC",,0.4417,3,1,2026,2,"N0002417C4109,N0002422C5500"
764,E7KKWDGAXAU6,"SOUTHBAY BOILER REPAIR, INC",,0.4404,1,1,2021,1,N0002420C4400
765,RM4TFABVLPX4,EVEREST KANTO CYLINDER LIMITED,,0.4387,6,3,"2024,2025,2026",2,"N0002418C2307,N0002423C2307"
766,QHZMLNNGSTA8,SPEC-BUILT SYSTEMS INC.,,0.4366,4,3,"2020,2021,2022",2,"N0002420C4400,N0002422C4485"
767,HQYTCMF5RGE4,SHERBURN ELECTRONICS INC.,,0.4355,9,3,"2023,2024,2025",3,"N0002418C2307,N0002419C4452,N0002423C2307"
768,Z3FPNHL5KQB4,"EAST COAST WELDING AND FABRICATION, LLC",,0.4326,6,3,"2022,2025,2026",1,N0002422C5500
769,LXJAD1QCKSK6,HÉROUX-DEVTEK INC,Yes,0.4307,1,1,2018,1,N0002414C5114
770,J3LAJM3ZG9T5,EATON AEROQUIP LLC,,0.4288,1,1,2021,1,N0002420C5310
771,YN8EW4XM28Z1,"WASHINGTON CHAIN & SUPPLY, INC.",,0.4280,1,1,2024,1,N0002418C2307
772,VD5WUGZUCJ44,"TRIPLE SON WHOLESALE TIMBER, INC.",,0.4253,4,2,"2019,2021",2,"N0002413C2307,N0002418C2307"
773,D7F1WVKZ91Q3,"DYNAMIC AIR ENGINEERING, INC.",,0.4237,2,2,"2013,2014",1,N0002412C5311
774,V6JXCLR8QR37,RHINESTAHL CORPORATION,,0.4189,3,2,"2024,2025",2,"N0002420C5310,N0017419C0004"
775,G4PWHUXGV5K5,"EPSILON SYSTEMS SOLUTIONS, INC.",,0.4165,7,1,2025,1,N0002413C2307
776,KUKPX32K6YM1,TWIN CITY GEAR CO.,,0.4154,7,3,"2016,2019,2020",2,"N0017415C0009,N0017419C0004"
777,WB3ZMXUNBMZ9,GKN AEROSPACE CHEM TRONICS INC,,0.4140,1,1,2023,1,N0001918C1061
778,GZ7FVBC6MFG6,"ECK INDUSTRIES, INC.",,0.4128,5,4,"2016,2018,2020,2021",2,"N0017415C0009,N0017419C0004"
779,UBNCLENTFTH9,KERNS MANUFACTURING CORP.,,0.4114,2,1,2025,1,N0001918C1061
780,EBVDXESS8KZ3,"TECHNICORP INTERNATIONAL II, INC.",,0.4110,5,3,"2019,2020,2021",1,N0002414C5114
781,YA3DC9SN4J23,OMNETICS CONNECTOR CORPORATION,,0.4110,2,2,"2019,2023",2,"N0002415C5228,N0002422C5500"
782,PQA5MF4SGFC9,"TERADYNE, INC",,0.4016,6,3,"2023,2024,2025",1,N0002417C4109
783,HYN4GBTR6TF3,GULF COAST MARINE SUPPLY COMPANY,,0.3967,6,4,"2017,2024,2025,2026",2,"N0002413C2307,N0002418C2307"
784,YJBYQBNZDJJ7,"TERADYNE, INC.",,0.3967,8,6,"2018,2019,2020,2021,2022,2023",3,"N0002415C5332,N0002417C4109,N0002420C5310"
785,YE33G9AY9DB8,"APPLIED POWER PRODUCTS, INC.",,0.3918,7,6,"2014,2015,2017,2018,2019,2020",1,N0002413C5314
786,LSRMQR1XHD35,"DUGGAN MANUFACTURING, L.L.C.",,0.3905,2,1,2021,1,N0002420C5380
787,YULJLSW1N2G4,CYGNUS L.L.C.,,0.3900,1,1,2022,1,N0002418C2305
788,K8E4CQYCRJ25,ADVANCED STRUCTURES CORPORATION,,0.3896,2,2,"2018,2020",2,"N0002413C2307,N0002420C4400"
789,JC8FRCAJC583,"HUBER + SUHNER, INC.",,0.3848,3,2,"2021,2023",1,N0002422C5500
790,FGRKX2N2WAE4,MILITARY AND COMMERCIAL FASTENERS CORP.,,0.3817,6,6,"2020,2021,2022,2023,2024,2025",3,"N0002420C5380,N0002424C5324,N0017419C0004"
791,WNKMDMALLWS1,CREATION TECHNOLOGIES INC,Yes,0.3799,6,3,"2014,2015,2021",2,"N0002413C5314,N0002420C4468"
792,Z43PV7K61YL4,DOVER CORP,,0.3789,3,2,"2022,2026",1,N0002422C5500
793,LJH7EQHQAK35,"AGM CONTAINER CONTROLS, INC.",,0.3740,7,6,"2020,2021,2022,2023,2025,2026",3,"N0002413C5314,N0002420C5380,N0002424C5324"
794,NQAHK9UFAFG6,"JRI, INC.",,0.3690,7,3,"2024,2025,2026",1,N0002422C5500
795,LWUJSY6EEMS5,CITY ELECTRIC SUPPLY COMPANY,,0.3657,5,1,2025,1,N0002418C2307
796,RU42J22YFWW5,"STS OPERATING, INC.",,0.3652,7,4,"2020,2021,2023,2025",2,"N0002418C2307,N0002423C2307"
797,RGFBAKWWL465,MARITIME APPLIED PHYSICS CORPORATION,,0.3645,3,1,2024,1,N0002419C2322
798,W1LDBNHD4EM7,SCHLUMBERGER N.V.,,0.3633,3,2,"2018,2022",2,"N0002413C2307,N0002418C2307"
799,EVCQR1MMZN15,ADVENT DESIGN CORPORATION,,0.3628,4,2,"2018,2020",1,N0002414C5114
800,KAZ4JKA23UT5,"ENDICOTT PRECISION, INC.",,0.3627,7,4,"2018,2022,2025,2026",2,"N0002414C5114,N0002422C5500"
801,CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,,0.3610,1,1,2026,1,N0002418C2307
802,X82AS93C28H7,DANVILLE METAL STAMPING CO INC,,0.3596,1,1,2024,1,N0001923C0013
803,FALZPQ7LVMU5,"DLP ENTERPRISES, INC",,0.3593,2,1,2021,1,N0002420C4400
804,VE86LWM6ABF6,MASON FOREST PRODUCTS INC,,0.3582,3,3,"2023,2025,2026",1,N0002418C2307
805,DUAYW5R6MXY5,S & K ELECTRONICS INC,,0.3560,5,3,"2022,2024,2025",2,"N0002420C5380,N0002422C5500"
