rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
76,SHDVJS6DKEX1,LAG INTERNATIONAL S.A.,11.9169,,,,,Unknown,,,not_found
77,MKDGDE6K34N5,"D. W. CLARK, INC.",11.4072,331513,Steel Foundries (except Investment) ,33,3315,Manufacturing — Machinery/Electronics/Transport Eq,5A043,USA,ok
78,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",11.2477,331529,Other Nonferrous Metal Foundries (except Die-Casting) ,33,3315,Manufacturing — Machinery/Electronics/Transport Eq,93812,USA,ok
79,GCWKULHML2S3,WARTSILA OYJ ABP,11.1551,,,,,Unknown,,,not_found
80,MENSE2ENG8J6,ARCLINE INVESTMENT MANAGEMENT LP,10.8716,,,,,Unknown,,,not_found
81,MF1LU8RPCMB8,TECHPRECISION CORPORATION,10.803,332313,Plate Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,6Y869,USA,ok
82,R769GJRQF618,"KOIKE ARONSON, INC.",10.5683,,,,,Unknown,,,not_found
83,KDNEW5AC1X41,AGI UK ACQUISITION LIMITED,10.4884,,,,,Unknown,,,not_found
84,DXM3GSLGH2Z5,"FAIRLEAD INTEGRATED, LLC",10.2623,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,6YQC9,USA,ok
85,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",10.002,325991,Custom Compounding of Purchased Resins ,32,3259,Manufacturing — Chemicals/Plastics/Metals,0EXM6,USA,ok
86,KAG7VEFLUZQ4,"SARGENT AEROSPACE & DEFENSE, LLC",9.8485,,,,,Unknown,,,not_found
87,CXK2Y51KDBW1,PRL INDUSTRIES INC,9.8158,331513,Steel Foundries (except Investment) ,33,3315,Manufacturing — Machinery/Electronics/Transport Eq,3L826,USA,ok
88,W3KUJLTCRLV1,AMMCON CORP.,9.249,332919,Other Metal Valve and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,6W889,USA,ok
