LI,Class,Bucket,FY,Best Value $M,Source PB
2013,Virginia,Electronics LLTM,2024,32.408,PB2026
2013,Virginia,Electronics LLTM,2025,33.056,PB2027
2013,Virginia,Electronics LLTM,2026,33.718,PB2027
2013,Virginia,Electronics LLTM,2027,34.392,PB2027
2013,Virginia,Electronics LLTM,2028,35.080,PB2027
2013,Virginia,Electronics LLTM,2029,35.783,PB2027
2013,Virginia,Electronics LLTM,2030,36.497,PB2027
2013,Virginia,Electronics LLTM,2031,37.227,PB2027
2013,Virginia,Nuclear plant LLTM,2020,1246.830,PB2022
2013,Virginia,Nuclear plant LLTM,2021,883.115,PB2023
2013,Virginia,Nuclear plant LLTM,2022,1121.470,PB2024
2013,Virginia,Nuclear plant LLTM,2023,1004.950,PB2025
2013,Virginia,Nuclear plant LLTM,2024,1035.070,PB2026
2013,Virginia,Nuclear plant LLTM,2025,1273.090,PB2027
2013,Virginia,Nuclear plant LLTM,2026,1336.590,PB2027
2013,Virginia,Nuclear plant LLTM,2027,1403.490,PB2027
2013,Virginia,Nuclear plant LLTM,2028,1473.600,PB2027
2013,Virginia,Nuclear plant LLTM,2029,1547.400,PB2027
2013,Virginia,Nuclear plant LLTM,2030,1624.800,PB2027
2013,Virginia,Nuclear plant LLTM,2031,1706.170,PB2027
2013,Virginia,Plans / SIB,2024,200.000,PB2026
2013,Virginia,Plans / SIB,2026,130.000,PB2027
2013,Virginia,Plans / SIB,2027,1768.170,PB2027
2013,Virginia,Plans / SIB,2028,1943.720,PB2027
2013,Virginia,Plans / SIB,2029,1602.690,PB2027
2013,Virginia,Plans / SIB,2030,285.000,PB2027
2013,Virginia,Plans / SIB,2031,214.000,PB2027
2013,Virginia,Propulsor LLTM,2022,47.214,PB2024
2013,Virginia,Propulsor LLTM,2023,48.538,PB2025
2013,Virginia,Propulsor LLTM,2024,49.508,PB2026
2013,Virginia,Propulsor LLTM,2025,50.498,PB2027
2013,Virginia,Propulsor LLTM,2026,51.508,PB2027
2013,Virginia,Propulsor LLTM,2027,52.538,PB2027
2013,Virginia,Propulsor LLTM,2028,53.589,PB2027
2013,Virginia,Propulsor LLTM,2029,54.662,PB2027
2013,Virginia,Propulsor LLTM,2030,55.755,PB2027
2013,Virginia,Propulsor LLTM,2031,56.870,PB2027
2013,Virginia,Shipbuilder-procured LLTM (CFE),2020,542.963,PB2022
2013,Virginia,Shipbuilder-procured LLTM (CFE),2021,542.188,PB2023
2013,Virginia,Shipbuilder-procured LLTM (CFE),2022,533.556,PB2024
2013,Virginia,Shipbuilder-procured LLTM (CFE),2023,723.879,PB2025
2013,Virginia,Shipbuilder-procured LLTM (CFE),2024,681.759,PB2026
2013,Virginia,Shipbuilder-procured LLTM (CFE),2025,1065.310,PB2027
2013,Virginia,Shipbuilder-procured LLTM (CFE),2026,867.138,PB2027
2013,Virginia,Shipbuilder-procured LLTM (CFE),2027,885.028,PB2027
2013,Virginia,Shipbuilder-procured LLTM (CFE),2028,979.344,PB2027
2013,Virginia,Shipbuilder-procured LLTM (CFE),2029,959.318,PB2027
2013,Virginia,Shipbuilder-procured LLTM (CFE),2030,878.146,PB2027
2013,Virginia,Shipbuilder-procured LLTM (CFE),2031,895.709,PB2027
