fy_book,fy_in_note,accn,marine_systems_capex_$M,marine_systems_da_$M,marine_systems_identifiable_assets_$M,marine_systems_op_income_$M,marine_systems_other_segment_items_$M,marine_systems_rev_$M
2021,2019,0000040533-22-000007,449,122,3918,785,,9183
2022,2020,0000040533-23-000014,604,145,4488,854,,9979
2023,2021,0000040533-24-000007,573,165,5294,874,,10526
2024,2022,0000040533-25-000008,530,191,5864,897,-10143,11040
2025,2023,0000040533-26-000006,511,217,6209,874,-11587,12461
2025,2024,0000040533-26-000006,424,243,7019,935,-13408,14343
2025,2025,0000040533-26-000006,517,270,7313,1177,-15546,16723
