LI,Section,Row Label,FY,Best Value,Source Vintage (PB Year),FYs ahead/behind PB,All Vintages Available
1045,base,Total Obligation Authority ($ in Millions),2027,"15,583.102",PB2027,0,"PB2023=8,954.970, PB2024=8,788.208, PB2025=10,234.574, PB2026=-, PB2027=15,583.102"
1045,base,Total Obligation Authority ($ in Millions),2028,"12,834.863",PB2027,-1,"PB2024=8,728.802, PB2025=10,181.937, PB2026=-, PB2027=12,834.863"
1045,base,Total Obligation Authority ($ in Millions),2029,"11,351.481",PB2027,-2,"PB2025=9,143.050, PB2026=-, PB2027=11,351.481"
1045,base,Total Obligation Authority ($ in Millions),2030,"12,359.708",PB2027,-3,"PB2026=-, PB2027=12,359.708"
1045,base,Total Obligation Authority ($ in Millions),2031,"12,020.144",PB2027,-4,"PB2027=12,020.144"
2013,base,Gross/Weapon System Cost ($ in Millions),2020,"7,483.677",PB2022,2,"PB2022=7,483.677"
2013,base,Gross/Weapon System Cost ($ in Millions),2021,"7,215.253",PB2023,2,"PB2022=7,215.253, PB2023=7,215.253"
2013,base,Gross/Weapon System Cost ($ in Millions),2022,"6,900.757",PB2024,2,"PB2022=6,915.757, PB2023=6,900.757, PB2024=6,900.757"
2013,base,Gross/Weapon System Cost ($ in Millions),2023,"7,250.579",PB2025,2,"PB2022=-, PB2023=7,250.579, PB2024=7,250.579, PB2025=7,250.579"
2013,base,Gross/Weapon System Cost ($ in Millions),2024,"11,377.643",PB2026,2,"PB2022=-, PB2023=7,689.037, PB2024=9,427.643, PB2025=9,427.643, PB2026=11,377.643"
2013,base,Gross/Weapon System Cost ($ in Millions),2025,"9,500.534",PB2027,2,"PB2022=-, PB2023=7,701.885, PB2024=8,593.967, PB2025=5,759.534, PB2026=9,500.534, PB2027=9,500.534"
2013,base,Gross/Weapon System Cost ($ in Millions),2026,"5,389.109",PB2027,1,"PB2022=-, PB2023=7,961.615, PB2024=8,617.251, PB2025=9,068.866, PB2026=3,465.509, PB2027=5,389.109"
2013,base,Gross/Weapon System Cost ($ in Millions),2027,"11,437.036",PB2027,0,"PB2023=8,087.281, PB2024=8,814.406, PB2025=9,505.624, PB2026=-, PB2027=11,437.036"
2013,base,Gross/Weapon System Cost ($ in Millions),2028,"11,284.824",PB2027,-1,"PB2024=8,965.622, PB2025=9,773.124, PB2026=-, PB2027=11,284.824"
