program,vendor_key_uei,entity_uei,parent_uei,vendor_name,dollars_fy22_25_$M,dollars_all_$M,n_awards,naics4,current_basis,cum_unbucketed_fy22_25_$M,cum_share_of_supplier_fy22_25
submarines,DZ4JXAPAU222,QFG7EC12DQK4,DZ4JXAPAU222,"UNITED RENTALS, INC.",0.0,0.301,7,,residual,183.819,0.044
submarines,ZBAJWJYVWC49,ZBAJWJYVWC49,ZBAJWJYVWC49,"UNITED BUILDERS SUPPLY CO., INCORPORATED",0.0,0.677,12,,residual,183.819,0.044
submarines,C12PGLEW9KW4,C12PGLEW9KW4,C12PGLEW9KW4,"UNAFLEX, INC.",0.0,0.136,3,,residual,183.819,0.044
submarines,E3NCN9MXJAL5,MUD4KL77FK98,E3NCN9MXJAL5,US Joiner Holding Company,0.0,1.17,6,,residual,183.819,0.044
submarines,QWM1XWLUFQM8,QWM1XWLUFQM8,QWM1XWLUFQM8,TRIDENT SYSTEMS INCORPORATED,0.0,0.773,10,,residual,183.819,0.044
submarines,JYTYZUGUN6V3,YMKJUADMJN79,JYTYZUGUN6V3,"TRI-TEC MANUFACTURING, LLC",0.0,0.454,3,,residual,183.819,0.044
submarines,UAC2KLJM4XY1,Q7CGW8NCRGJ6,UAC2KLJM4XY1,Transdigm Group Incorporated,0.0,3.545,11,3364,residual,183.819,0.044
submarines,H4FZBFXLJ636,ZBR7R1G1MGB3,H4FZBFXLJ636,"TIMKEN COMPANY, THE",0.0,0.254,9,,residual,183.819,0.044
submarines,G42SVPMNBDA1,G42SVPMNBDA1,,THOMSON LINEAR LLC,0.0,0.629,6,,residual,183.819,0.044
submarines,MPCXJJQJAL83,KP54PU9M3GY5,MPCXJJQJAL83,TE Connectivity Ltd.,0.0,3.548,25,,residual,183.819,0.044
submarines,KP54PU9M3GY5,KP54PU9M3GY5,,TE CONNECTIVITY SEACON PHOENIX INC.,0.0,0.216,3,,residual,183.819,0.044
submarines,CTVBA1WN13S3,CTVBA1WN13S3,,"SYNERGY FLOW SYSTEMS, LLC",0.0,0.116,2,,residual,183.819,0.044
submarines,MHNEK1CGNJS9,FNBNKXCC3QD8,MHNEK1CGNJS9,Investment AB Latour,0.0,0.688,6,,residual,183.819,0.044
submarines,NN4BTBUN58J5,NN4BTBUN58J5,,"STRATUS TECHNOLOGIES, INC.",0.0,0.73,15,,residual,183.819,0.044
submarines,NTUCRA5YV1N5,HMCHY1Y3NCG9,NTUCRA5YV1N5,DUBAI HOLDING LLC,0.0,0.167,8,,residual,183.819,0.044
submarines,LC2GUL767WN4,HMCHY1Y3NCG9,LC2GUL767WN4,DUBAI INTERNATIONAL CAPITAL LLC,0.0,0.22,3,,residual,183.819,0.044
submarines,VC8CKKWDRPD6,VC8CKKWDRPD6,,Skills For Rhode Island's Future,0.0,0.075,1,,residual,183.819,0.044
submarines,C11GZDT8UL88,C11GZDT8UL88,C11GZDT8UL88,"SILKTOWN ROOFING, INCORPORATED",0.0,0.099,1,,residual,183.819,0.044
submarines,SQJ7DSNHE9D5,MMRKLNN6PLB3,SQJ7DSNHE9D5,"Shi, Inc.",0.0,-0.036,4,,residual,183.819,0.044
submarines,RDB2AM2GGHH8,V25NZRTBX3R3,RDB2AM2GGHH8,SIEMENS AKTIENGESELLSCHAFT,0.0,0.906,2,,residual,183.819,0.044
submarines,KXJ2NDJBA178,XP5GHU7EKM33,KXJ2NDJBA178,Filzmaier Privatstiftung,0.0,0.029,1,,residual,183.819,0.044
