Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
NHDSASKCSSS9,DDG,SUPERIOR-LIDGERWOOD-MUNDY CORPORATION,EYXEF9DML9L7,LIDGERWOOD MANUFACTURING COMPANY (INC),EYXEF9DML9L7
KN2BBGWNLKJ8,DDG,"ASCO POWER TECHNOLOGIES, L.P.",PG7AZJQMRL27,,PG7AZJQMRL27
WQAKKCKH9LM8,DDG,"SECURITAS CRITICAL INFRASTRUCTURE SERVICES, INC.",JQTLH33SXNQ7,Securitas AB,JQTLH33SXNQ7
VJSTD8U7QBD9,DDG,"SAFARILAND, LLC",ML28DU1R7P77,Maui Acquisition Corp.,ML28DU1R7P77
XTB5UHKL6VE8,DDG,"SEA-TECH PRODUCTS, INC.",,,
J2DMF1YRKD96,DDG,STANDARD CALIBRATIONS INC,,,
MAKYNVTMNZX1,DDG,"TRAC REGULATOR CO., INC.",,,
YULJLSW1N2G4,DDG,CYGNUS L.L.C.,,,
LJLZRNS9DYC6,DDG,ANIXTER INC.,LU7KP9UJJ5L7,"WESCO INTERNATIONAL, INC.",LU7KP9UJJ5L7
JJRDPJY9GQA8,DDG,FLETCHER CONSTRUCTION CO INC,,,
J6DMEL935CD1,DDG,XYLEM INC.,J6DMEL935CD1,XYLEM INC.,J6DMEL935CD1
R1M8JJH7J5W5,DDG,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",,,
CWM4UN76ZQW8,DDG,LOCKHEED MARTIN CORPORATION,JSQTW5L2SSM1,LOCKHEED MARTIN CORP,JSQTW5L2SSM1
JLREE96WGKM5,DDG,DRS LAUREL TECHNOLOGIES,W8PTMRME1496,LEONARDO SPA,W8PTMRME1496
KKRXVDJZQ5V5,DDG,KEYSTONE FIRE PROTECTION CO.,KKRXVDJZQ5V5,KEYSTONE FIRE PROTECTION CO.,KKRXVDJZQ5V5
U8SDJVH8SQ19,DDG,CITY ELECTRIC SUPPLY COMPANY,LWUJSY6EEMS5,CITY ELECTRIC SUPPLY COMPANY,LWUJSY6EEMS5
VE86LWM6ABF6,DDG,MASON FOREST PRODUCTS INC,VE86LWM6ABF6,MASON FOREST PRODUCTS INC,VE86LWM6ABF6
RYYRAAAGPXB5,DDG,"STOCKERT, LAURA",RYYRAAAGPXB5,Laura Stockert,RYYRAAAGPXB5
U4MMR7DR2DR7,DDG,"JAL ENTERPRISES, INC.",,,
W547TUQXJ8Y4,DDG,CARVER PUMP COMPANY,W547TUQXJ8Y4,CARVER PUMP COMPANY,W547TUQXJ8Y4
S1TGQ9L36486,DDG,"TOOL-SMITH COMPANY, INCORPORATED",S1TGQ9L36486,"TOOL-SMITH COMPANY, INCORPORATED",S1TGQ9L36486
L14LNGXH8M26,DDG,CURTIS WRIGHT BUILDERS LLC,,,
VWX3JEES4FF7,DDG,TRIMAN INDUSTRIES INC,,,
J7JGTBNSM619,DDG,MEGATOR CORPORATION,,,
FD69PPCVM2B8,DDG,PASCAGOULA LAUNCH SERVICE INC,,,
GJU6WW45U4F4,DDG,ARROWHEAD GLOBAL LLC,,,
JL4THZCMNKR7,DDG,JACKSON PLATING CO.,,,
UES5F4AAZJK5,DDG,"DONALDSON COMPANY, INC.",UES5F4AAZJK5,"DONALDSON COMPANY, INC.",UES5F4AAZJK5
K8FJZDHMEP65,DDG,AMERICAN VULKAN CORPORATION,KLLANFLBFBA3,Hackforth Holding GmbH & Co. KG,KLLANFLBFBA3
KXWXRYB3FBW3,DDG,FLOWSERVE CORPORATION,YPQMZDVKS1K8,FLOWSERVE CORPORATION,YPQMZDVKS1K8
HJFAW5KCG7N7,DDG,"MAST TECHNOLOGIES, LLC",MENSE2ENG8J6,,MENSE2ENG8J6
FVFNV3NERP36,DDG,"POWERSTAR, INC.",,,
MUD4KL77FK98,DDG,TURNBULL LLC,E3NCN9MXJAL5,,E3NCN9MXJAL5
C18KXNHETC95,DDG,"KITCO FIBER OPTICS, INC.",UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,UU26FKF1MML6
ED16VKVTCHC8,DDG,ECI DEFENSE GROUP INC,ED16VKVTCHC8,ECI DEFENSE GROUP INC,ED16VKVTCHC8
R71XN254HA36,DDG,AKRON BRASS COMPANY,XGKMK9LBC344,PREMIER FARNELL LIMITED,XGKMK9LBC344
K574V7KEQUC8,DDG,"CIRCOR AEROSPACE, INC.",U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",U45EH8WMNF55
RL6KA2EUSUC8,DDG,ABACUS INDUSTRIES INC,,,
V6JXCLR8QR37,DDG,RHINESTAHL CORPORATION,K1K5EKJ2KK29,RHINESTAHL CORPORATION,K1K5EKJ2KK29
XNR9ZJ9VKZG5,DDG,"TEMEKU TECHNOLOGIES, INC.",XNR9ZJ9VKZG5,"TEMEKU TECHNOLOGIES, INC.",XNR9ZJ9VKZG5
FREEMCLKFXE3,DDG,BATH IRON WORKS CORPORATION,VF58HFRNGEL8,GENERAL DYNAMICS CORPORATION,VF58HFRNGEL8
LGEFMM39NGN4,DDG,ANIXTER INC,,,
ZVCNH5GL1Z83,DDG,Core Active Fixed Income,,,
EJ8LYVPT4KR9,DDG,THE WHITMOR CO. INC.,EJ8LYVPT4KR9,THE WHITMOR CO. INC.,EJ8LYVPT4KR9
E383LRP25MY6,DDG,YOUNG ENGINEERING COMPANY INC.,,,
GU9WXNREUPZ1,DDG,FORENTA L.P.,DJ4XUHDKTH71,,DJ4XUHDKTH71
GN82WS7LRJ77,DDG,SPACE MACHINE & ENGINEERING CORP.,,,
CLJ5AQLQ8L29,DDG,"MACKAY COMMUNICATIONS, INC",CLJ5AQLQ8L29,"MACKAY COMMUNICATIONS, INC",CLJ5AQLQ8L29
N3K7U4MKPSE4,DDG,"J & R TOOL, INC",,,
N5BYYW3MMFP7,DDG,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",E86GJS762JJ5,TOTAL SA,E86GJS762JJ5
NK1RB5VKXES9,DDG,"DETROIT SWITCH, INC.",,,
ZYRVDBTNPD25,DDG,UNITED REFRIGERATION INC,Y7HRJMWG5HN9,UNITED REFRIGERATION INC,Y7HRJMWG5HN9
EDJPMQN1HSJ1,DDG,"MSA SAFETY SALES, LLC",EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",EDJPMQN1HSJ1; HJG5ZSLCMTJ9
MSSQQ551LG41,DDG,"IMPRES TECHNOLOGY SOLUTIONS, INC.",,,
YYVHWZMPP3F8,DDG,"DRS NAVAL POWER SYSTEMS, INC.",,,
SVHJHMJH65S8,DDG,ULTRA ELECTRONICS OCEAN SYSTEMS INC,SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,SCWYXXK1EM13
FG7CGCHSNML9,DDG,L-3 COMMUNICATIONS CORPORATION,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",XXP4PLFFFGK9
D28HQ4AA2ZL8,DDG,"EFFORT FOUNDRY, INC.",,,
YLHLLLEUTKC1,DDG,"TELEDYNE FLIR SURVEILLANCE, INC.",SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,SQ2DSCE69F15
JZXZSN3BBL98,DDG,SIEMENS INDUSTRY INC.,RDB2AM2GGHH8,SIEMENS AKTIENGESELLSCHAFT,RDB2AM2GGHH8
XECCFU26TTP9,DDG,"Moniteq, Inc.",,,
NH4LSVC35EH7,DDG,"LAIRD R & F PRODUCTS, INC.",K5K4P6AY7QM8,,K5K4P6AY7QM8
KNY4J2WMVJX3,DDG,ASC ENGINEERED SOLUTIONS LLC,K5EHDDMPL8L3,,K5EHDDMPL8L3; QXH3CKUV5KP8; RDFUGEUNVCN9
U5DDDFM4LJS3,DDG,"PRIME TECHNOLOGY, LLC",,,
DYJZZ9DANLM3,DDG,Ralph & Dorothy Moore,,,
PB11V1KH3KV4,DDG,SOUTHWEST RESEARCH INSTITUTE,PB11V1KH3KV4,SOUTHWEST RESEARCH INSTITUTE,PB11V1KH3KV4
CYJ3L6SQANB4,DDG,"SPARTON AYDIN, LLC",DTXMJMGMQ655,SPARTON CORPORATION,DTXMJMGMQ655
FNQARYRJJEL5,DDG,"COSPOLICH, INC.",,,
LKXHMX1K3AC5,DDG,NATIONAL INSTRUMENTS CORPORATION,LKXHMX1K3AC5,NATIONAL INSTRUMENTS CORPORATION,LKXHMX1K3AC5
PGNTKH2XZAN5,DDG,"DEFENSE TECHNOLOGIES, INC.",,,
NB2HLRTJJJQ7,DDG,WATTS WATER TECHNOLOGIES INC,NB2HLRTJJJQ7,WATTS WATER TECHNOLOGIES INC,NB2HLRTJJJQ7
M2XAYNY2P889,DDG,"POWELL ELECTRONICS, INC.",M2XAYNY2P889,"POWELL ELECTRONICS, INC.",M2XAYNY2P889
WH4DRDKB7RR8,DDG,SYSTEMS ENGINEERING SUPPORT CO.,,,
YNJNTZWVC3H6,DDG,BAE SYSTEMS LAND & ARMAMENTS L.P.,E5K9VR2A1MW9,BAE SYSTEMS PLC,E5K9VR2A1MW9
GJEXETZX4N96,DDG,SHIELD TECHNOLOGIES CORPORATION,GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,GJEXETZX4N96
QF3MD1MU1651,DDG,"J.G.B. ENTERPRISES, INC.",QF3MD1MU1651,"J.G.B. ENTERPRISES, INC.",QF3MD1MU1651
FECPDA1S8WJ1,DDG,D. W. BOYD CORPORATION,,,
SBKKUUHKGXQ1,DDG,"GENUINE CABLE GROUP, LLC",LPNPM5FBDS29,,LPNPM5FBDS29
DLRDDPVKLLA1,DDG,"HEGEDUS ALUMINUM INDUSTRIES, INC",DLRDDPVKLLA1,"HEGEDUS ALUMINUM INDUSTRIES, INC",DLRDDPVKLLA1
P3ZZEMCBYSK7,DDG,"JANSENEERING, INC.",,"Kestrel Aircraft Company, Inc.",
NY66W8KMH427,DDG,"WALZ & KRENZER, INC.",NY66W8KMH427,"WALZ & KRENZER, INC.",NY66W8KMH427
L6EMG925NF78,DDG,KADANT UNAFLEX LLC,XWTZJC873626,UIP INTERNATIONAL LLC,QLMUV48L7HP4; XWTZJC873626
ERR4X5JLJWV5,DDG,"NCP COATINGS, LLC",,,
G871GBTQ94M7,DDG,Lona Slade,,,
HUKGWGAFW4C7,DDG,SOUNDOWN CORPORATION,HUKGWGAFW4C7,SOUNDOWN CORPORATION,HUKGWGAFW4C7
JN16VPC2PXN4,DDG,"BAY CITY MARINE, INC.",JN16VPC2PXN4,"BAY CITY MARINE, INC.",JN16VPC2PXN4
LUEGYMGV9N31,DDG,"INGRAM TECHNOLOGIES, LLC",,,
XR3UT8BLTKP7,DDG,"ENERGY MACHINERY, INC.",XR3UT8BLTKP7,"ENERGY MACHINERY, INC.",XR3UT8BLTKP7
N16ET1YJ6QZ3,DDG,"ROMAC INDUSTRIES, INC.",WH4HRFKKT8U6,"ROMAC INDUSTRIES, INC.",WH4HRFKKT8U6
LCKATM42Y1M1,DDG,"ARGON ST, INC.",NU2UC8MX6NK1,"BOEING COMPANY, THE",NU2UC8MX6NK1
X9C7KVWCMQJ6,DDG,"VALKYRIE ENTERPRISES, LLC",X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, LLC",X9C7KVWCMQJ6
G58FFJ6F2CA7,DDG,GK MECHANICAL SYSTEMS LLC,,,
M647MA6E64V1,DDG,DEWEY ELECTRONICS CORPORATION,M647MA6E64V1,DEWEY ELECTRONICS CORPORATION,M647MA6E64V1
TJ2MWNHN22G8,DDG,"FAIRBANKS MORSE, LLC",MLZGT2BJ4J13,"Enpro Industries, Inc.",MLZGT2BJ4J13
H12BMH6V6495,DDG,"PIMA VALVE, INC.",,,
UR5TFK3LAVL5,DDG,"FEDERAL RESOURCES SUPPLY COMPANY, LLC",UR5TFK3LAVL5,FEDERAL RESOURCES SUPPLY COMPANY,UR5TFK3LAVL5
KB8ALFD8K1X8,DDG,Higgins Marine Services Inc,,,
Q4LMAMECTR44,DDG,"CONNECTOR SPECIALISTS, INC.",Q4LMAMECTR44,"CONNECTOR SPECIALISTS, INC.",Q4LMAMECTR44
N5HGL94UC1D6,DDG,PIERCE ALUMINUM CO INC,N5HGL94UC1D6,"PIERCE ALUMINUM COMPANY, INC.",N5HGL94UC1D6
DSVCC3S92J21,DDG,BOLAND MARINE & INDUSTRIAL LLC,,,
CZKYJKB7H9J7,DDG,"VEGAS FASTENER MANUFACTURING, LLC",RBANKF6MUJS9,"Efg Holdings, Inc.",RBANKF6MUJS9
K783PK4DZEE3,DDG,"ADVANTEC MANUFACTURING USA, INC.",,,
ZE1KT2MPBGM3,DDG,"HARDING COMPANY, INC",CP8AJC3EDE93,"Alp Industries, Inc.",CP8AJC3EDE93
CQQUMMDARBG3,DDG,THE DEWEY ELECTRONICS CORPORATION,M647MA6E64V1,"DEWEY ELECTRONICS CORPORATION, THE",M647MA6E64V1
NCG7W2K7P7R6,DDG,DB CONTROL,WF9TN8AWH8K5,HEICO CORP,WF9TN8AWH8K5
EQ2TN2GMDFT5,DDG,"ADVANCED ACOUSTIC CONCEPTS, LLC",,,
E83TNKA9JCY6,DDG,AIR SYSTEMS COMPONENTS INC,XEQ3L57D2J24,,XEQ3L57D2J24
JH61GLV2MCA7,DDG,"PRIME SCIENCE & TECHNOLOGY, LLC",,,
ZQ11WUWJGAA4,DDG,"KIDDE-FENWAL, INC.",PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,PPLZG8J3N9D4
F4GNMTCCXGM8,DDG,"HUTCHINSON INDUSTRIES, INC",ZVFUENFF77T1,TOTALENERGIES SE,ZVFUENFF77T1
GGERZB4A1FB3,DDG,"WBPARTS, INC.",JDDMPNDNQ3L5,USBID INCORPORATED,GGERZB4A1FB3; JDDMPNDNQ3L5
UDMKPLHU8N48,DDG,US TOOL GRINDING INC,,,
D497LKJGKS84,DDG,MESTEK INC,D497LKJGKS84,MESTEK INC,D497LKJGKS84
FMKADN1KAXH6,DDG,"HOSE-MCCANN TELEPHONE CO., INC.",FMKADN1KAXH6,"HOSE-MCCANN TELEPHONE CO., INC.",FMKADN1KAXH6
H3R3VV5YN8G4,DDG,KW BOATS,C1FEMK612CT4,HILL & SMITH HOLDINGS PLC,C1FEMK612CT4; H3R3VV5YN8G4
X51YWDJN2ED6,DDG,HORIZONS INCORPORATED,X51YWDJN2ED6,HORIZONS INCORPORATED,X51YWDJN2ED6
QMXJLLJZ5QY4,DDG,TORK SYSTEMS INC,SDD9PKYQAXZ7,,SDD9PKYQAXZ7
FVGUCFG6HLK7,DDG,Blackmer,,,
K7SAUMHPLDJ9,DDG,SIVYER STEEL CASTINGS LLC,K7SAUMHPLDJ9,SIVYER STEEL CASTINGS LLC,K7SAUMHPLDJ9
ZTBRMLGP4JF5,DDG,"VALLEN DISTRIBUTION, INC.",J3DRM4537TG4,SOCIETE DE NEGOCE ET DE PARTICIPATION,J3DRM4537TG4
YVDFW51N3N61,DDG,"WALDO BROTHERS, INC.",,,
MQSPAE7NQQR8,DDG,"VITA MOTIVATOR CO., INC.",,,
HEUNPCKQLMN5,DDG,KLUMB LUMBER COMPANY,HEUNPCKQLMN5,KLUMB LUMBER COMPANY,HEUNPCKQLMN5
JAM1MGE5VDJ7,DDG,"PACIFIC WESTERN LUMBER, INC.",JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",JAM1MGE5VDJ7
XMLNYKT139G8,DDG,CRESTWOOD TECHNOLOGY GROUP CORP.,XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,XMLNYKT139G8
HQEUSUQSKVK7,DDG,"ADMARTEC, INC.",,,
QLNMVC12KWY3,DDG,"LEIDOS, INC.",ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",ZL41ERXMPAR3
JGLLLKELFB57,DDG,ITT CORPORATION,,,
RHLAM7GSJGJ4,DDG,"HOTTINGER BALDWIN MEASUREMENTS, INC.",NSFAYV7YAJB1,SPECTRIS PLC,NSFAYV7YAJB1
KWHXKLAL87T5,DDG,"IN-PLACE MACHINING COMPANY, LLC",KWHXKLAL87T5,"IN-PLACE MACHINING COMPANY, LLC",KWHXKLAL87T5
RDQDMFHFM8K3,DDG,R P M SUPPLY CORPORATION,,,
MNZGEAM8WG31,DDG,"MAZZELLA LIFTING TECHNOLOGIES, INC.",MNZGEAM8WG31,"MAZZELLA LIFTING TECHNOLOGIES, INC.",MNZGEAM8WG31
DQAYCKTDLND5,DDG,"EAGLE INDUSTRIES OF LOUISIANA, L.L.C.",,,
KAJ2U4MCB329,DDG,"CHELSEA CLOCK, LLC, THE",,,
KFP8JR5HL191,DDG,ARA SERVICES LLC.,,,
M8JLMEHJADQ5,DDG,"BOEING COMPANY, THE",NU2UC8MX6NK1,"BOEING COMPANY, THE",NU2UC8MX6NK1
ZSJFXM833NA3,DDG,Xerox Corporation,JB4NTVR9XMN4,XEROX CORPORATION,JB4NTVR9XMN4
V72KJGHK3JF2,DDG,MGR EQUIPMENT CORP,,,
YK4TPH3YV3S3,DDG,MARITIME APPLIED PHYSICS CORP,,,
YA86NYHUA353,DDG,BRENNTAG LUBRICANTS,,,
ZZG5TB4JCKE1,DDG,"KAHN AND COMPANY, INCORPORATED",,,
QFG7EC12DQK4,DDG,"UNITED RENTALS (NORTH AMERICA), INC.",DZ4JXAPAU222,"UNITED RENTALS, INC.",DZ4JXAPAU222
JFN9TTCMKQH8,DDG,"TEXSTARS, LLC",WA6MBG28BUQ5,"PPG INDUSTRIES, INC.",WA6MBG28BUQ5
WXRTZLL25AE5,DDG,"SEEMANN COMPOSITES, LLC",WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",WXRTZLL25AE5
G319AMB56SW5,DDG,"901 D, LLC",WLEATDDTMCT3,,WLEATDDTMCT3
KCDDKU78L9P7,DDG,CHASE CORPORATION,KCDDKU78L9P7,CHASE CORPORATION,KCDDKU78L9P7
LCTCMUR9KYB6,DDG,"CAJUN PROCESS SOLUTIONS, LLC",,,
EPK7A98BB4B6,DDG,"HEILIND MIL-AERO, LLC",HTHFAYHMJWT4,HEILIND ELECTRONICS INC,HTHFAYHMJWT4
GDK9ANY21DY6,DDG,"TEAM HOUSING SOLUTIONS, INC.",GDK9ANY21DY6,"TEAM HOUSING SOLUTIONS, INC.",GDK9ANY21DY6
E6ACL8BWKN47,DDG,"ENERGY FOCUS, INC.",E6ACL8BWKN47,"ENERGY FOCUS, INC.",E6ACL8BWKN47
VJFKVNQBYVL5,DDG,GREENE RUBBER CO INC,,,
DY2JXQ22MA14,DDG,KSARIA SERVICE CORPORATION,,,
MNS7TJ9KVTJ1,DDG,"HDT EXPEDITIONARY SYSTEMS, INC.",SPJDDHTQBSY9,"HUNTER DEFENSE TECHNOLOGIES, INC.",SPJDDHTQBSY9
K7L6DELLDU47,DDG,"GULF SALES AND SUPPLY, INCORPORATED",,,
UUK2QMVKDKN1,DDG,"MANSFIELD INDUSTRIAL, INC.",UUK2QMVKDKN1,"MANSFIELD INDUSTRIAL, INC.",UUK2QMVKDKN1
N6U1EU32U9J1,DDG,"EST GROUP, INC.",PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,J9V9SJL4CW97; PF8PJNVEPTJ1
X4YDGJ1UE973,DDG,Sunbelt Supply L.P.,UXLBKCMVY819,Floworks International LLC,UXLBKCMVY819
NUMJXMNFTW19,DDG,SECHAN ELECTRONICS INC,,,
GMVJD1H9JQX8,DDG,"MICROFLEX, INC.",GMVJD1H9JQX8,"MICROFLEX, INC.",GMVJD1H9JQX8
K6CEGCM3YCX3,DDG,"WESCO GAS & WELDING SUPPLY, INC.",K6CEGCM3YCX3,"WESCO GAS & WELDING SUPPLY, INC.",K6CEGCM3YCX3
K8T6RF8WAKC3,DDG,"WING INFLATABLES, INC.",,,
G9XVDY2MZMX5,DDG,INSINGER MACHINE CO,,,
MP5UJHMEHFV1,DDG,"TRIDENT MARITIME SYSTEMS, INC.",KN4DLHTLNCS8,,KN4DLHTLNCS8
CR99X5Q2KQS1,DDG,LBI INC,,,
S6F5JLBSADM7,DDG,MIL-SPEC WIRE & CABLE CO,,,
NTREK31GP8N3,DDG,KSARIA CORPORATION,NTREK31GP8N3,KSARIA CORPORATION,NTREK31GP8N3
HUYTR5ZGSSN6,DDG,"W. & O. SUPPLY, INC.",GGSLGRB5KXM6,Pon Holdings B.V.,GGSLGRB5KXM6
CRJJZA4KFZ42,DDG,LGS INNOVATIONS LLC,UK5FSMFVWEH3,LGS INNOVATIONS LLC,UK5FSMFVWEH3
RU3QHCAJP492,DDG,"HOFFER FLOW CONTROLS, INC.",,,
LS77JJSDUXH9,DDG,HYDRADYNE LLC,PWYQJP152BE5,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",PWYQJP152BE5
JUN5EFMB2NZ7,DDG,THOMPSON SUPPLY CO INC,JUN5EFMB2NZ7,THOMPSON SUPPLY CO INC,JUN5EFMB2NZ7
GC3AEESM5MT3,DDG,"IDEAL SUPPLY, INC.",GC3AEESM5MT3,"IDEAL SUPPLY, INC.",GC3AEESM5MT3
NC39YCMEXVJ8,DDG,COLUMBUS MCKINNON CORPORATION,NKESS3J37J77,COLUMBUS MCKINNON CORPORATION,NKESS3J37J77
PAH8M4BJACA5,DDG,TELEDYNE INSTRUMENTS INC,,,
VHCPBNRMLK33,DDG,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",VHCPBNRMLK33,"ASSOCIATED FOOD EQUIPMENT AND SUPPLIES, INC.",VHCPBNRMLK33
DMZLNDQW1RD6,DDG,HARDWARE SPECIALTY CO,LZQFW2PSQ4C3,,LZQFW2PSQ4C3
DA2CMNNJWSZ4,DDG,Captain Freds Sea Trial Support LLC,,,
CVMQHCRDBVT7,DDG,"KEVIN GROS CONSULTING & MARINE SERVICES, INC.",,,
QB7EKDNK2E83,DDG,TIM BRIERE,,,
NE3DARLAMEN6,DDG,"PROCESS ENGINEERING COMPANY, INC.",,,
EEE8FHKK1YR9,DDG,"LAFAYETTE RESTAURANT SUPPLY, INC.",,,
EJ1DW3A8BFM8,DDG,CORE INDUSTRIES INC.,NB2HLRTJJJQ7,"WATTS WATER TECHNOLOGIES, INC",NB2HLRTJJJQ7
MMTME6UEFEC5,DDG,"EIS, INC.",DZ8RD2EBBMK5,GENUINE PARTS COMPANY,DZ8RD2EBBMK5
NFTFCKNL7Z57,DDG,"COASTAL MARINE EQUIPMENT, INC.",,,
YGFEZY19YQR9,DDG,NORTHROP GRUMMAN SYSTEMS CORP,,,
FVC6G8L6UZ95,DDG,H & C TOOL SUPPLY CORP.,,,
GV6WMAJUK1R9,DDG,SIOUX MANUFACTURING CORPORATION,,,
L2R3JUN9CL49,DDG,CURTISS-WRIGHT FLOW CONTROL CORPORATION,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,PF8PJNVEPTJ1
J5AJWFZ9H8Q6,DDG,"MCNALLY INDUSTRIES, LLC",J5AJWFZ9H8Q6,"MCNALLY INDUSTRIES, LLC",J5AJWFZ9H8Q6
HJUAXSF12JR6,DDG,"CUSTOM HYDRAULIC & MACHINE, INC.",,,
MD21J51WM123,DDG,TYCO FIRE PRODUCTS LIMITED PARTNERSHIP,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,XEQ3L57D2J24
N1PJDANWUJ61,DDG,SCOT FORGE COMPANY,N1PJDANWUJ61,SCOT FORGE COMPANY,N1PJDANWUJ61
XJWLF38U74P3,DDG,"FLUID HANDLING, LLC",J6DMEL935CD1,XYLEM INC.,J6DMEL935CD1
YET2PMM1L7J4,DDG,AUTOMATED PRECISION INC.,,,
DBQGN324ULK3,DDG,"W.W. GRAINGER, INC.",DBQGN324ULK3,"W.W. GRAINGER, INC.",DBQGN324ULK3
C12YPM9YKQA5,DDG,PANAMETRICS LLC,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,JRZ1WHXAKBM3
YLE5AAYNVPK6,DDG,"NOBLE SUPPLY & LOGISTICS, LLC",,,
P4NMA2SHLR53,DDG,"CORNET TECHNOLOGY, INC.",P4NMA2SHLR53,"CORNET TECHNOLOGY, INC.",P4NMA2SHLR53
ZTAFBECM35Z6,DDG,TECNICO CORPORATION,CQUHU3PC44L3,"AMERICAN MARITIME HOLDINGS, INC.",CQUHU3PC44L3
NYEMFJ7MMJB5,DDG,"L-COM, INC.",FNDNN65LLG73,"Infinite Electronics, Inc.",FNDNN65LLG73
LXUMZZ3LETN5,DDG,"TEAM INDUSTRIAL SERVICES, INC.",LYDUF2SMFNA3,"TEAM, INC.",LYDUF2SMFNA3
YVBHN7GKLQ44,DDG,GLENAIR INC,YVBHN7GKLQ44,GLENAIR INC,YVBHN7GKLQ44
TPN7LAC6HGW3,DDG,"WARTSILA DEFENSE, INC.",GCWKULHML2S3,,GCWKULHML2S3
VNP2L293JWL6,DDG,"CONTINENTAL MICROWAVE AND TOOL CO., INC.",HMN8Q5FPFFD3,COBHAM PLC,HMN8Q5FPFFD3
DHGJVCVAFYE3,DDG,"CALIFORNIA MARINE CLEANING, INC.",DHGJVCVAFYE3,"CALIFORNIA MARINE CLEANING, INC.",DHGJVCVAFYE3
F99CKJDLYZR3,DDG,"WESCO DISTRIBUTION, INC.",,,
KJWPVM8EMCN5,DDG,"M2 GLOBAL TECHNOLOGY, LTD.",CJM6LNL2FP27,"M2 GLOBAL, INC",CJM6LNL2FP27
H46AXTX9X648,DDG,"ALLIED ELECTRONICS, INC",LXC1G6NGF1W5,ELECTROCOMPONENTS PUBLIC LIMITED COMPANY,LXC1G6NGF1W5
TC76NMCGN4F4,DDG,"DISTRIBUTION INTERNATIONAL SOUTHWEST, INC.",PJM1KBVHTYL6,"Distribution International, Inc.",PJM1KBVHTYL6
XKM7WDHK1DA7,DDG,"RECLAMATION TECHNOLOGIES, INC.",QUC7T822JG79,"CLEAN TOP CO., LTD.",QUC7T822JG79
QQ7DAUGJ6MC7,DDG,CPI RADANT TECHNOLOGIES DIVISION INC.,EAH2UTWCT3G6,"C.P.I. International, Inc.",EAH2UTWCT3G6
DZTKCR7BXVJ5,DDG,"LABORDE PRODUCTS, INC.",DZTKCR7BXVJ5,"LABORDE PRODUCTS, INC.",DZTKCR7BXVJ5
EKBRGQ6L48L8,DDG,"BRIARTEK, INC.",,,
K8KAE356N7N5,DDG,"BAT CONSERVATION AND MANAGEMENT, INC.",,,
HZVFYESM3PZ3,DDG,"PRECISION HOSE, INC.",,,
KC78MF1CL9B8,DDG,KINNAMAN ELECTRIC INC,,,
J51ULX3CNCZ4,DDG,"MERCURY SYSTEMS, INC.",J51ULX3CNCZ4,"MERCURY SYSTEMS, INC.",J51ULX3CNCZ4
FG19HT8C3MM4,DDG,"AMERICAN TRADE GROUP, INC., THE",FG19HT8C3MM4,"AMERICAN TRADE GROUP, INC., THE",FG19HT8C3MM4
KF3NGNBNQ271,DDG,"DELPHINUS ENGINEERING, INC.",KF3NGNBNQ271,"DELPHINUS ENGINEERING, INC.",KF3NGNBNQ271
LPN2BLLPK366,DDG,"EGGELHOF, INC.",LPN2BLLPK366,"EGGELHOF, INC.",LPN2BLLPK366
NX47A388J7L3,DDG,LOEFFLER CORPORATION,,,
C7RWMXEE6SD3,DDG,"Johnson Controls, Inc.",Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",Z2N8C3NL8FW5
HHFGANSDJXN8,DDG,"Southern Rubber & Specialties, , Inc.",,,
LYV8XEV314F6,DDG,UNIVERSAL MANUFACTURING CORP.,FP3BYCCPHDN3,"LUMEN TECHNOLOGIES, INC.",FP3BYCCPHDN3
J6MHT1L54CG4,DDG,"DEZURIK, INC.",,,
J683M8AF97Q5,DDG,ELLISON BRONZE INC,,,
PTVDFVF3JNX6,DDG,SILICO SYSTEMS LLC,,,
