Subawardee UEI,Program,Subawardee Vendor Name,Parent UEI,Parent Vendor Name,Parent UEI(s)
NBM4G4SAFQM3,DDG,"QUALITY PERFORMANCE, INC.",X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, INC.",C2WJWFHRK5S7; X9C7KVWCMQJ6
UK6NAHCH8459,DDG,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",,,
RJGEKQDTZKT8,DDG,"ELECTRIC HEATER COMPANY, THE",DD7KGPMP93C1,Heh Holdings LLC,DD7KGPMP93C1
Y9LLF354DH36,DDG,"BIRD-JOHNSON PROPELLER COMPANY, LLC",Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",Y9LLF354DH36
NQKEVF8KEMP1,DDG,PIVOTAL POWER INC,W8PTMRME1496,LEONARDO SPA,W8PTMRME1496
T4RCBDVMPVM4,DDG,"MEGGITT DEFENSE SYSTEMS, INC.",TKJ1TW2YRNL3,MEGGITT PLC,PLYSMJBAYE42; TKJ1TW2YRNL3
ZJYJB7MBFE56,DDG,CRANE PUMPS & SYSTEMS PFT CORP,VCFNC31LV829,CRANE CO,VCFNC31LV829
G7SQBKZNPRN4,DDG,"ACCU-FAB AND CONSTRUCTION, INC.",,,
YHGHMGTME7A5,DDG,HOWDEN AMERICAN FAN COMPANY,ZTPLJJTAD2F4,"CHART INDUSTRIES, INC",L232ZUA5KLW3; L8T4R3N7ACL6; ZTPLJJTAD2F4
GKPGD2F1LKL5,DDG,"ELLWOOD GROUP, INC.",GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",GKPGD2F1LKL5
C6C8KS7Y1K76,DDG,MIDE TECHNOLOGY CORPORATION,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,C6C8KS7Y1K76
FYS6F3284LN3,DDG,VELAN VALVE CORP.,YY4YKPLKUJ55,,KH1WNH8NJR56; YY4YKPLKUJ55
S3GFGJ1QGAE6,DDG,"M.S.M. INDUSTRIES, INC.",,,
HMBSX7Z72UK4,DDG,"WESTLAND TECHNOLOGIES, INC.",SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,JQTLH33SXNQ7; SFBKRA9THBA3
ZU51LS7JZ8L5,DDG,"FCX SYSTEMS, INC.",,,
JR3NDKLB4BH9,DDG,PACIFIC MARINE SYSTEMS CORP,K8E4CQYCRJ25,ADVANCED STRUCTURES CORPORATION,K8E4CQYCRJ25
VGCPT3NSM831,DDG,HII FLEET SUPPORT GROUP LLC,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC",F9SDJAZFTLG6
LCYTE2L5JEP4,DDG,NAVAL ENGINEERING SUPPORT INC.,Q5DRWXKQP299,NAVAL ENGINEERING SUPPORT INC,Q5DRWXKQP299
K84MXRVQ8BW5,DDG,"PACIFIC SHIPYARDS INTERNATIONAL, LLC",,,
UK8DL82MHJG5,DDG,PROPULSION CONTROLS ENGINEERING,UK8DL82MHJG5,PROPULSION CONTROLS ENGINEERING,UK8DL82MHJG5
K3URF4HUNQS5,DDG,"GLOBAL, INCORPORATED",,,
JNC1BUEVV3B9,DDG,"JGILS, LLC",,,
QEP4TKLKQDV3,DDG,"U.S. PIONEER, L.L.C.",QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",QEP4TKLKQDV3
KH1SMVPKSHY4,DDG,GREAT LAKES SOUND & VIBRATION INC,KH1SMVPKSHY4,"GREAT LAKES SOUND & VIBRATION, INC.",KH1SMVPKSHY4
P2LKC7KAFFR2,DDG,"FAIRMOUNT AUTOMATION, INC.",,,
YMKJUADMJN79,DDG,TRI-TEC MANUFACTURING LLC,JYTYZUGUN6V3,"TRI-TEC MANUFACTURING, LLC",JYTYZUGUN6V3
VDGQNU1VJC64,DDG,XCHANGER MANUFACTURING CORPORATION,,,
V32LJNFLKBT7,DDG,RFD BEAUFORT INC.,E5J1EAQ21JR9,Survitec Group (Cayman Islands) Limited,E5J1EAQ21JR9; N7B7PME54JZ9; SZ4SDE9YK5E4
EZVMH8VEGL34,DDG,"BAUER COMPRESSORS, INC.",EZVMH8VEGL34,"BAUER COMPRESSORS, INC.",EZVMH8VEGL34; JEKASJ7K4PJ1
U864F3HRME53,DDG,GE ENERGY POWER CONVERSION USA INC.,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,JRZ1WHXAKBM3
EANJVKFHMSZ8,DDG,"GULF FASTENER, INC.",EANJVKFHMSZ8,"GULF FASTENER, INC.",EANJVKFHMSZ8
J8ATNVMEGLK1,DDG,"CHAND, L.L.C.",MQDVMWB54XH4,"BOLLINGER SHIPYARDS, INC",J8ATNVMEGLK1; MQDVMWB54XH4
M467BSNHK9J8,DDG,KATO ENGINEERING INC.,T5CFQAL52L76,,MKRBJA6JXXS7; T5CFQAL52L76
VJHFDLA3NLG8,DDG,BRADKEN INC,FLU4K8MGMZX7,"HITACHI, LTD.",FLU4K8MGMZX7
ZMBFGXHLGLM3,DDG,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,E5K9VR2A1MW9,BAE SYSTEMS PLC,E5K9VR2A1MW9; PNQKKYEK31E3
JGNYLKEPEBL4,DDG,"PEMCO-NAVAL ENGINEERING WORKS, INC.",,,
RLXQHCXFT513,DDG,CUNICO CORPORATION,VDSCUPC2H3K7,Citadel Capital Corporation,VDSCUPC2H3K7
DV6YQV71ME11,DDG,Mar-Vac Products Inc,,,
DW33W8L3N1P8,DDG,"PHOENIX GROUP OF VIRGINIA, INC.",,,
UTWXQFNH47D5,DDG,"MEGGITT (NORTH HOLLYWOOD), INC.",TKJ1TW2YRNL3,MEGGITT PLC,TKJ1TW2YRNL3
CXZ9PUEZ5SQ7,DDG,BLACK & DECKER (U.S.) INC.,RC1NNGFRMMM7,"STANLEY BLACK & DECKER, INC.",CXZ9PUEZ5SQ7; RC1NNGFRMMM7
CJF6S4UR1LM8,DDG,EVOQUA WATER TECHNOLOGIES LLC,W1NCJ8ATWDN7,Evoqua Water Technologies Corp.,W1NCJ8ATWDN7
KH92FV2FJC26,DDG,"THRUSTMASTER OF TEXAS, INC.",,,
M8ZHL8ZXGQP5,DDG,"CHROMALOX, INC.",EREJZHBM5MU1,SPIRAX-SARCO ENGINEERING PLC,E2UWVCT7GDJ4; EREJZHBM5MU1
