program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,shared_vendor_pct_family,dollars_total,d_le_fy12,d_fy2013,d_fy2014,d_fy2015,d_fy2016,d_fy2017,d_fy2018,d_fy2019,d_fy2020,d_fy2021,d_fy2022,d_fy2023,d_fy2024,d_fy2025,d_fy2026,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
virginia,N0002416C2111,Virginia,GDEB,coatings,2017-01-24,2021-10-13,5,0.9853,1.0,1.0,10.892,0.0,0.0,0.0,0.0,0.0,0.41,5.682,2.844,1.482,0.472,0.001,0.0,0.0,0.0,0.0,0,0,0,0,0,7,24,23,9,4,1,0,0,0,0,68
virginia,N0002416C2111,Virginia,GDEB,structural,2016-10-31,2019-07-18,10,0.88,0.9,1.0,2.29,0.0,0.0,0.0,0.0,0.0,0.197,1.268,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,13,9,0,0,0,0,0,0,0,25
virginia,N0002416C2111,Virginia,GDEB,machining,2016-11-29,2020-08-31,6,0.8095,0.6667,0.6667,1.703,0.0,0.0,0.0,0.0,0.0,0.23,0.234,0.707,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,1,5,12,0,0,0,0,0,0,21
virginia,N0002416C2111,Virginia,GDEB,hvac,2016-11-23,2020-01-22,4,0.6667,1.0,1.0,0.328,0.0,0.0,0.0,0.0,0.0,0.076,0.054,0.17,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,6
virginia,N0002416C2111,Virginia,GDEB,castings,2019-06-13,2022-09-12,2,0.8,1.0,1.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.0,0.0,-0.104,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5
virginia,N0002424C2110,Virginia,GDEB,piping,2024-05-31,2025-08-21,18,0.9831,0.9444,0.9444,121.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.152,57.204,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,70,0,118
virginia,N0002424C2110,Virginia,GDEB,castings,2024-05-28,2025-08-21,8,0.9571,0.75,0.875,32.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.715,26.841,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,0,70
virginia,N0002424C2110,Virginia,GDEB,machining,2024-05-20,2025-08-22,10,0.94,1.0,1.0,23.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.729,8.755,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,0,50
virginia,N0002424C2110,Virginia,GDEB,unbucketed,2024-06-24,2025-08-15,24,0.5814,0.9583,1.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,5.726,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,0,43
virginia,N0002424C2110,Virginia,GDEB,coatings,2025-05-14,2025-08-20,3,0.96,1.0,1.0,14.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.453,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
virginia,N0002424C2110,Virginia,GDEB,structural,2024-05-29,2025-08-22,9,0.6111,1.0,1.0,81.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.581,54.007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,18
virginia,N0002424C2110,Virginia,GDEB,electrical,2024-01-04,2025-06-30,8,0.6429,1.0,1.0,103.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.037,10.688,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,14
virginia,N0002424C2110,Virginia,GDEB,hvac,2024-08-20,2025-07-25,2,1.0,1.0,1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.324,2.176,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6
virginia,N0002421C4106,Virginia,BAE,unbucketed,2022-03-09,2025-04-22,7,0.6923,0.4286,0.4286,1.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.292,0.262,0.232,0.0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,0,13
virginia,N0002421C4106,Virginia,BAE,structural,2025-02-18,2025-10-21,1,1.0,1.0,1.0,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
virginia,N0002421C4111,Virginia,RR,unbucketed,2024-02-19,2025-05-29,6,0.2857,0.0,0.0,4.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,4.646,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,7
columbia,N0002417C2117,Columbia,GDEB,piping,2016-05-19,2025-01-24,77,0.9948,0.3377,0.8701,635.723,0.0,0.0,0.0,0.0,0.206,5.58,36.976,61.454,8.598,24.512,87.255,171.543,181.827,57.774,0.0,0,0,0,0,3,18,152,245,38,68,271,292,314,126,0,1527
columbia,N0002417C2117,Columbia,GDEB,unbucketed,2016-02-25,2025-01-24,362,0.8949,0.174,0.5276,184.361,0.0,0.0,0.0,0.0,0.708,2.115,46.826,30.718,7.691,43.335,9.889,14.026,17.124,11.93,0.0,0,0,0,0,4,20,197,163,49,153,171,242,191,85,0,1275
columbia,N0002417C2117,Columbia,GDEB,structural,2016-04-28,2025-01-23,47,0.9883,0.234,0.8511,576.602,0.0,0.0,0.0,0.0,0.416,0.471,11.306,114.193,1.502,32.382,43.073,224.919,105.623,42.718,0.0,0,0,0,0,1,11,33,44,5,35,75,197,149,47,0,597
columbia,N0002417C2117,Columbia,GDEB,castings,2017-09-11,2025-02-18,12,0.9954,0.3333,0.75,218.169,0.0,0.0,0.0,0.0,0.0,0.218,70.756,5.022,21.273,-5.358,27.951,37.43,25.935,34.942,0.0,0,0,0,0,0,1,125,47,12,21,51,79,76,19,0,431
columbia,N0002417C2117,Columbia,GDEB,machining,2017-11-03,2025-01-24,28,0.9819,0.2143,0.7857,83.649,0.0,0.0,0.0,0.0,0.0,0.0,0.726,1.093,5.566,12.591,9.603,23.654,26.773,3.642,0.0,0,0,0,0,0,0,15,16,12,8,45,92,117,27,0,332
columbia,N0002417C2117,Columbia,GDEB,electrical,2017-02-06,2025-01-24,37,0.9468,0.2162,0.8108,1072.968,0.0,0.0,0.0,0.0,0.0,2.68,30.152,7.618,1.548,-107.365,17.699,501.622,314.403,304.611,0.0,0,0,0,0,0,11,32,31,12,28,33,59,53,23,0,282
