program,family,piid,work_type,prior_wave_seq,wave_seq,vendor_retention,allocation_similarity,same_top_vendor,capability_match
ddg,DDG-51,N0002418C2307,hvac,5,6,0.6667,0.6243,no,yes
ddg,DDG-51,N0002418C2307,hvac,6,7,1.0,0.7784,no,no
ddg,DDG-51,N0002418C2307,hvac,7,8,0.0,0.0,no,no
ddg,DDG-51,N0002418C2307,machining,1,2,1.0,0.9979,yes,no
ddg,DDG-51,N0002418C2307,machining,2,3,0.3333,0.0019,no,no
ddg,DDG-51,N0002418C2307,machining,3,4,0.6667,0.4764,no,yes
ddg,DDG-51,N0002418C2307,machining,4,5,0.2857,0.0243,no,no
ddg,DDG-51,N0002418C2307,machining,5,6,0.625,0.9392,yes,yes
ddg,DDG-51,N0002418C2307,piping,1,2,0.6562,0.1341,no,no
ddg,DDG-51,N0002418C2307,structural,1,2,0.625,0.0816,no,yes
ddg,DDG-51,N0002418C2307,structural,2,3,0.2424,0.2637,no,yes
ddg,DDG-51,N0002419C2322,electrical,1,2,1.0,1.0,yes,yes
ddg,DDG-51,N0002419C2322,electrical,2,3,0.0,0.0,no,no
ddg,DDG-51,N0002419C2322,electrical,3,4,0.0,0.0,no,no
ddg,DDG-51,N0002419C2322,electrical,4,5,0.0,0.0,no,no
ddg,DDG-51,N0002419C2322,hvac,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002419C2322,machining,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002419C2322,piping,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002419C2322,piping,2,3,0.3333,0.6766,no,no
ddg,DDG-51,N0002419C2322,piping,3,4,0.25,0.2997,no,yes
ddg,DDG-51,N0002419C2322,piping,4,5,0.25,0.0413,no,yes
ddg,DDG-51,N0002419C2322,structural,1,2,0.5,0.4761,no,yes
ddg,DDG-51,N0002419C2322,structural,2,3,1.0,0.7412,yes,yes
ddg,DDG-51,N0002419C2322,structural,3,4,1.0,1.0,yes,yes
ddg,DDG-51,N0002419C2322,structural,4,5,0.0,0.0,no,yes
ddg,DDG-51,N0002419C2322,unbucketed,1,2,0.0455,0.0049,no,no
ddg,DDG-51,N0002419C4452,electrical,1,2,1.0,1.0,yes,yes
ddg,DDG-51,N0002419C4452,electrical,2,3,0.0,0.0,no,no
ddg,DDG-51,N0002419C4452,electrical,3,4,0.0,0.0,no,no
ddg,DDG-51,N0002419C4452,electrical,4,5,0.0,0.0,no,no
ddg,DDG-51,N0002419C4452,hvac,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002419C4452,hvac,2,3,0.0,0.0,no,yes
ddg,DDG-51,N0002419C4452,machining,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002419C4452,piping,1,2,0.2857,0.4546,no,no
ddg,DDG-51,N0002419C4452,piping,2,3,0.6,0.0905,no,no
ddg,DDG-51,N0002419C4452,structural,1,2,1.0,0.0385,no,yes
ddg,DDG-51,N0002419C4452,structural,2,3,0.0,0.0,no,yes
ddg,DDG-51,N0002419C4452,structural,3,4,0.3333,0.9346,yes,yes
ddg,DDG-51,N0002419C4452,structural,4,5,1.0,0.0138,no,yes
ddg,DDG-51,N0002419C4452,unbucketed,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002419C4452,unbucketed,2,3,0.1111,0.0172,no,no
ddg,DDG-51,N0002419C4452,unbucketed,3,4,0.0,0.0,no,no
ddg,DDG-51,N0002419C4452,unbucketed,4,5,1.0,0.1796,no,no
ddg,DDG-51,N0002419C4452,unbucketed,5,6,0.0,0.0,no,no
ddg,DDG-51,N0002423C2307,castings,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002423C2307,castings,2,3,0.0,0.0,no,yes
ddg,DDG-51,N0002423C2307,castings,3,4,0.0,0.0,no,yes
ddg,DDG-51,N0002423C2307,electrical,1,2,1.0,0.0109,no,no
ddg,DDG-51,N0002423C2307,electrical,2,3,0.5,0.3739,no,no
ddg,DDG-51,N0002423C2307,electrical,3,4,0.0,0.0,no,no
ddg,DDG-51,N0002423C2307,hvac,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002423C2307,hvac,2,3,0.0,0.0,no,no
ddg,DDG-51,N0002423C2307,hvac,3,4,1.0,0.7493,yes,yes
ddg,DDG-51,N0002423C2307,machining,1,2,0.25,0.4702,no,no
ddg,DDG-51,N0002423C2307,machining,2,3,0.5,0.8339,no,no
ddg,DDG-51,N0002423C2307,structural,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002423C2307,structural,2,3,0.2222,0.4529,no,no
ddg,DDG-51,N0002423C2307,unbucketed,1,2,0.0,0.0,no,no
ddg,DDG-51,N0002423C2307,unbucketed,2,3,0.5,0.9939,yes,yes
ddg,DDG-51,N0002423C2307,unbucketed,3,4,0.0,0.0,no,no
