uei,name,sub_parent_uei,dollars,records,programs,foreign
NYEMFJ7MMJB5,"L-COM, INC.",FNDNN65LLG73,37789.08,1,ddg,
LEC1VZC9HL25,"A.C.R. MACHINE, INC.",,37620.00,1,ddg,
K3K9GLKWAWQ1,"OHIO SEMITRONICS, INC",K3K9GLKWAWQ1,37612.32,1,ddg,
LXUMZZ3LETN5,"TEAM INDUSTRIAL SERVICES, INC.",LYDUF2SMFNA3,37564.94,1,ddg,
WYLZYTJ1SSJ3,OPERATING & MAINTENANCE SPECIALTIES INC,,36791.16,1,ddg,
MC45MKDJLGK6,J J U DISTRIBUTORS INC,,36382.50,1,ddg,
RLNZFHWTLKH6,CARR COMPANY LIMITED,,35740.00,1,ddg,
TPN7LAC6HGW3,"WARTSILA DEFENSE, INC.",GCWKULHML2S3,35621.00,1,ddg,
VNP2L293JWL6,"CONTINENTAL MICROWAVE AND TOOL CO., INC.",HMN8Q5FPFFD3,35501.00,1,ddg,
X8C4N7SH2KB7,HV DIAGNOSTICS INC,,35460.00,1,ddg,
DR25DM16Y9G8,APPLICATIONS 3D LLC,,35229.00,4,ddg,
MJJ1N6C5CL19,"SPACESAVER INTERMOUNTAIN, LLC",,35219.42,2,ddg,
DHGJVCVAFYE3,"CALIFORNIA MARINE CLEANING, INC.",DHGJVCVAFYE3,35184.00,1,ddg,
FL6ACVUJMGN9,SIMPSON GUMPERTZ & HEGER INC.,,35000.00,1,ddg,
F99CKJDLYZR3,"WESCO DISTRIBUTION, INC.",,34950.00,1,ddg,
KJWPVM8EMCN5,"M2 GLOBAL TECHNOLOGY, LTD.",CJM6LNL2FP27,34865.00,1,ddg,
ECDLCKJC9TQ5,MAINE OXY ACETYLENE SUPPLY CO,,34500.00,1,ddg,
S4LDURRAY3J9,"Rexnord Industries, LLC",WFM2KCAVDX59,34131.81,1,ddg,
N97CM6A1C2M7,"WESTMORELAND MECHANICAL TESTING & RESEARCH, INC.",N97CM6A1C2M7,33866.00,2,ddg,
H46AXTX9X648,"ALLIED ELECTRONICS, INC",LXC1G6NGF1W5,33728.00,1,ddg,
CEWBRTLPMK73,"VERTEX SOLUTIONS, LLC",NTBGAMNEWP93,33713.23,1,ddg,
YDJLK3NMMUH5,THERMO DYNAMICS INC,YDJLK3NMMUH5,33708.00,1,ddg,
JJZ4GXK7SCJ5,"CONCURRENT TECHNOLOGIES, INC.",SC4MSPUB7B46,33536.00,1,ddg,
LFYHET3BNVD5,"KEY BELLEVILLES, INC.",,33398.40,1,ddg,
DMTPEM6MJPB8,PEARSE-BERTRAM LLC,,32883.84,1,ddg,
SP3WJKWRZ3M5,"W. W. Grainger, Inc.",,32689.36,1,ddg,
YV2MG1WKYEQ3,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,XEQ3L57D2J24,32500.00,1,ddg,
TC76NMCGN4F4,"DISTRIBUTION INTERNATIONAL SOUTHWEST, INC.",PJM1KBVHTYL6,32400.00,1,ddg,
T6HMTJ6CTRF5,PTC INC.,,32300.00,1,ddg,
SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",FAZSFFE6CST9,32290.00,1,ddg,
XKM7WDHK1DA7,"RECLAMATION TECHNOLOGIES, INC.",QUC7T822JG79,32205.10,1,ddg,
QQ7DAUGJ6MC7,CPI RADANT TECHNOLOGIES DIVISION INC.,EAH2UTWCT3G6,32143.00,1,ddg,
ZBR7R1G1MGB3,"TIMKEN CORPORATION, THE",H4FZBFXLJ636,31974.00,1,ddg,
DZTKCR7BXVJ5,"LABORDE PRODUCTS, INC.",DZTKCR7BXVJ5,31945.94,1,ddg,
EKBRGQ6L48L8,"BRIARTEK, INC.",,31681.00,1,ddg,
K8KAE356N7N5,"BAT CONSERVATION AND MANAGEMENT, INC.",,31213.00,1,ddg,
TT6NACMBJC38,"DIVERSIFIED METALS, INC.",,31210.08,2,ddg,
NK62M46B48L8,"JOINING TECHNOLOGIES, INC.",,31200.00,1,ddg,
PQ7FJYK7LNM6,B M F TORQUE WRENCH COMPANY,,31125.00,1,ddg,
GMKDF9P95AA7,"AK SERVICES, INC.",,30800.00,1,ddg,
HZVFYESM3PZ3,"PRECISION HOSE, INC.",,30672.98,1,ddg,
NFBRBB548QC1,YOKOGAWA CORPORATION OF AMERICA,VANUPV7TJ933,30590.00,1,ddg,
KC78MF1CL9B8,KINNAMAN ELECTRIC INC,,30520.00,1,ddg,
J51ULX3CNCZ4,"MERCURY SYSTEMS, INC.",J51ULX3CNCZ4,30340.00,1,ddg,
E34XGKUXCEC1,"HAYNES INTERNATIONAL, INC.",E34XGKUXCEC1,30278.17,2,ddg,
FQ8SWYUU91Y9,"RTH MECHANICAL CONTRACTORS, INC.",,30070.11,2,ddg,
FG19HT8C3MM4,"AMERICAN TRADE GROUP, INC., THE",FG19HT8C3MM4,30048.00,1,ddg,
JKK6MTNJSLH6,"EMC SHOP, LLC, THE",,30000.00,1,ddg,
KF3NGNBNQ271,"DELPHINUS ENGINEERING, INC.",KF3NGNBNQ271,30000.00,1,ddg,
PR8CL5BJMNK4,"HUNTINGTON PARTNERS, INC.",,29990.00,1,ddg,
CGH1CSXQJ5H7,CAEN TECHNOLOGIES,ZVDFRHRJJ272,29950.00,1,ddg,
VTEWM5QSE598,RAYTHEON COMPANY,KLW3ZYL15493,29903.00,1,ddg,
G1DSEBQKGDF8,"CIRCOR INSTRUMENTATION TECHNOLOGIES, INC.",U45EH8WMNF55,29897.28,1,ddg,
LPN2BLLPK366,"EGGELHOF, INC.",LPN2BLLPK366,29700.00,1,ddg,
V8NJNRJ95KX5,B F METALS INC,V8NJNRJ95KX5,29689.20,1,ddg,
NX47A388J7L3,LOEFFLER CORPORATION,,29640.00,1,ddg,
E2WALWZNMT18,"APEX MACHINE TOOL COMPANY, INC.",RCCFHJBQZ5G6,29592.00,1,ddg,
F5P5K3L3ZMH5,"ALLIED ELECTRONICS, INC.",LXC1G6NGF1W5,29448.12,1,ddg,
XP5GHU7EKM33,"Sie Computing Solutions, Inc.",KXJ2NDJBA178,28686.00,1,ddg,
LV9KTAW8RSA3,Continental Emsco Company (inc),,27984.96,1,ddg,
PX5GZY3JUU27,HALLMAN SEPTIC SERVICE LLC,,27850.00,1,ddg,
JMPNFJGDZLC7,ELLIOTT BAY DESIGN GROUP LLC,RKLZWNHGDHP7,27754.50,3,ddg,
XBATVWUECBL3,Actuant Corporation,KM5NRZNTUDY8,27000.00,1,ddg,
LUUBKNAN8TK6,PALL AEROPOWER CORPORATION,MBFSJ8M4RQB6,26882.10,1,ddg,
VVJHC4U9TGE7,"CORNERSTONE AIR CONDITIONING, INC.",,26800.00,1,ddg,
C7RWMXEE6SD3,"Johnson Controls, Inc.",Z2N8C3NL8FW5,26594.00,1,ddg,
GL44UBJEKJK1,"TRENTON SYSTEMS, INC",,26522.00,1,ddg,
MB5EMNHVAW77,"TENNESSEE INVESTMENT CASTING COMPANY, INC.",,26462.00,1,ddg,
HHFGANSDJXN8,"Southern Rubber & Specialties, , Inc.",,26454.00,1,ddg,
JABWYKLD7GL8,"KNOWLEDGE KEY ASSOCIATES, INC.",JABWYKLD7GL8,26400.00,1,ddg,
LKUNMC2NEY97,"MATTHEW WARREN, INC",PXBUGNWVPJ46,25993.60,8,ddg,
L2Y7KUMBALU4,"KENSINGTON ELECTRONICS, INC",L2Y7KUMBALU4,25863.88,1,ddg,
J6MHT1L54CG4,"DEZURIK, INC.",,25844.00,1,ddg,
PDSGNK6DVCN1,PUGET SOUND PIPE AND SUPPLY COMPANY,PDSGNK6DVCN1,25458.00,2,ddg,
NZ6JXR3EQC64,"LANCS INDUSTRIES HOLDINGS, LLC",,25454.27,1,ddg,
V8HLLRJLCQH6,"ALBANY VALVE & FITTING CO., INC.",V8HLLRJLCQH6,25248.72,1,ddg,
DT53X3W22KJ1,"I & I SLING, INC.",DT53X3W22KJ1,25174.40,1,ddg,
MA6NGUYK9VM1,"SAUER COMPRESSORS USA, INC.",WQVZMVXE2MK6,25030.00,1,ddg,
J683M8AF97Q5,ELLISON BRONZE INC,,25025.00,1,ddg,
CE2KRB2JPVS4,"WSC FEDERAL, LLC",,25000.00,1,ddg,
KNW6WWRKELJ3,CONCURRENT TECHNOLOGIES CORP,KNW6WWRKELJ3,20000.00,1,ddg,
VMN5C8N5JXD7,WILMOT MODULAR STRUCTURES INC,,16940.28,2,ddg,
PT57LEM1W8U4,"SWIFT FILTERS, INC.",,16500.00,1,ddg,
P21BU9R6BMM3,"TACOMA DIESEL AND EQUIPMENT, INC.",P21BU9R6BMM3,15503.22,1,ddg,
JAWVFDNMQ633,PHOTONWORKS ENGINEERING LLP,,13694.00,1,ddg,
NX49KNJK4JX6,"RESEARCH AND DEVELOPMENT SOLUTIONS, INCORPORATED",NX49KNJK4JX6,12287.08,1,ddg,
GN5BAU4UTD47,"WILLIMANTIC WASTE PAPER CO., INC.",GN5BAU4UTD47,12000.00,1,ddg,
NQPKNBBCZLK1,"HAMPSHIRE FIRE PROTECTION CO., LLC",NQPKNBBCZLK1,10088.12,3,ddg,
F2THCSCN2QH9,"JAHNKE & SONS CONSTRUCTION, INC.",,9263.72,1,ddg,
F8GKKAJ45KE4,NU LABORATORIES INC,,8200.00,1,ddg,
ERZRH1FL8R66,"PLAINVILLE PLATING COMPANY, INC.",,7616.71,6,ddg,
EYSFY8B947C6,COMNET COMMINCATIONS LLC,,6998.89,3,ddg,
DWCVQF2KLNM9,PUGET SOUND PRECISION INC,,6675.00,2,ddg,
Z1R4M8TSS3G3,PRYSMIAN CABLES AND SYSTEMS USA LLC,,6600.00,1,ddg,
E9B7STE3MUX9,"C.I.L. Electroplating, Inc.",E9B7STE3MUX9,6498.68,4,ddg,
VCASGYK6ADM4,SYNCON LLC,,5897.09,1,ddg,
JKN2Q1EHKF63,LEONHARDT COMPANY INC,,5446.34,7,ddg,
NH49JGEB8AJ7,CHESAPEAKE MARINE REFRIGERATION CORP,,5410.00,1,ddg,
Q584J81GDLH5,Interstate Steel Supply Company,,2643.27,1,ddg,
CRG3ND68KH28,"MCGILL HOSE & COUPLING, INC.",,2205.87,1,ddg,
M6SKXVEXY4G3,"CMT MATERIALS, INC.",,736.00,1,ddg,
MVVAKQUHTTQ6,PROGENY SYSTEMS LLC,FAZSFFE6CST9,3.90,2,ddg,
PTVDFVF3JNX6,SILICO SYSTEMS LLC,,-12000.00,2,ddg,
L2ULF82VDLU5,AZON DESIGN INTERNATIONAL,,-12230.62,1,ddg,
M5MVSHNR2BL1,"SHERWIN-WILLIAMS COMPANY, THE",GAJ1F3WQCWY5,-14421.14,10,ddg,
MMRKLNN6PLB3,"SII, INC.",SQJ7DSNHE9D5,-36260.00,4,ddg,
TJ2MWNHN22G8,"FAIRBANKS MORSE, LLC",MLZGT2BJ4J13,-69942.08,2,ddg,
K1PMP7M771E5,"E2 ENGINEERS, LLC",QLXAK6ZTDED8,-99433.00,2,ddg,
VQMRYA1EN3J9,"R KEOUGH CONSTRUCTION, CO.",,-560648.99,1,ddg,
VERVZNQLJQM6,ABRASIVE FINISHING INDUSTRIES LLC,,-692858.00,14,ddg,
C3B4GMUXK277,BOWMAR LLC,,-696148.09,8,ddg,
Z2XMD2USH373,APCO TECHNOLOGIES ENGINEERING INC.,Z2XMD2USH373,-1483031.00,4,ddg,
GEYLNNM683Q5,"EMPIRE MEDIA GROUP, INC.",GEYLNNM683Q5,-2679038.19,6,ddg,
LW88Z8MMJHT3,"INSIGHT GLOBAL, LLC",LZUPA35L1689,-2696572.70,20,ddg,
SCCVYEEKLHL3,NATIONAL INSPECTION & CONSULTANTS INC,,-3876292.25,2,ddg,
FYUJEKH32UF5,"L.M. GILL WELDING & MANUFACTURING, L.L.C.",,-5381834.31,159,ddg,
KS91NKS9M428,"ORBIS SIBRO, INC.",KS91NKS9M428,-36864380.03,4,ddg,
