uei,name,sub_parent_uei,dollars,records,programs,foreign
YS2TNLEU8EK3,"LOCKHEED MARTIN SIPPICAN, INC.",ZFN2JJXBLZT3,97807.05,1,ddg,
FKE7YM75FN66,"D&D FILTRATION CONSULTANTS & SUPPLIERS, INC.",,97721.80,3,ddg,
HEUNPCKQLMN5,KLUMB LUMBER COMPANY,HEUNPCKQLMN5,97330.44,2,ddg,
TF2HVUYPRMV1,"CHASE SUPPLY, INC.",,96037.00,3,ddg,
EHQGGH9CG9U7,"FAIRLEAD INTEGRATED POWER & CONTROLS, LLC",,95715.53,1,ddg,
E4GEJG9DC7K5,"Specialized Industrial Services, Inc",,95000.00,1,ddg,
XW6ZAJKNHM65,VERSAMIL INC,,95000.00,2,ddg,
XJJ6S8U3NAR9,Jules Borel & Co.,,94838.40,1,ddg,
CNCCKFN9TP65,"HARBOR BAY GROUP, INC.",,94740.59,2,ddg,
QLNRJJK28MJ7,"SYSTEMS ENGINEERING AND ANALYTICS, INC.",,94276.00,1,ddg,
NTGALU6XECJ5,YOKOGAWA CORP OF AMERICA,KDP5XKKJCWT6,93540.00,1,ddg,
JAM1MGE5VDJ7,"PACIFIC WESTERN LUMBER, INC.",JAM1MGE5VDJ7,93482.00,1,ddg,
PMTTQUKM2YG1,US SHRINK WRAP INC.,PMTTQUKM2YG1,93000.00,2,ddg,
JE8QAT3GGJN6,LINTECH COMPONENTS CO INC,,92802.84,2,ddg,
MNPUJ84L1AK7,A & A COMPANY INC,,92760.00,1,ddg,
XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,XMLNYKT139G8,92759.50,2,ddg,
HQEUSUQSKVK7,"ADMARTEC, INC.",,92709.00,3,ddg,
Y5HPNMZGC7U3,SEACON ADVANCED PRODUCTS LLC,MPCXJJQJAL83,92400.00,1,ddg,
NSDCX6VCWGN5,"PEERLESS TOOL & MACHINE COMPANY, INC.",,91770.00,1,ddg,
JGLLLKELFB57,ITT CORPORATION,,91637.00,2,ddg,
