country_code,country,amount_M,pct_of_total,records,unique_vendors
US,United States,5936.760487779991,0.9670260341886446,9139,735
GB,United Kingdom,160.96134447999998,0.026218644146173444,59,12
CH,Switzerland,32.80170425999998,0.00534299843331528,42,1
CA,Canada,8.00011758,0.0013031217938393198,20,8
DK,Denmark,0.5095565400000001,8.300055915770142e-05,5,1
BR,Brazil,0.109202,1.7787676831974934e-05,1,1
CN,China,0.05165028,8.413202037700943e-06,1,1
