vintage,pb_year,li,p1_section,row_label,fy_label,value
FY25,2025,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2027,-
FY25,2025,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2028,-
FY25,2025,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2029,-
FY25,2025,1045,base,Plus AP Transfer to NSBDF ($ in Millions),To Complete,-
FY25,2025,1045,base,Plus AP Transfer to NSBDF ($ in Millions),Total,"12,434.998"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),Prior Years,"15,528.469"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2023,"5,857.776"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2024,"5,834.332"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2025 Base,"9,557.174"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2025 OOC,0.000
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2025 Total,"9,557.174"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2026,"10,421.408"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2027,"10,234.574"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2028,"10,181.937"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),FY 2029,"9,143.050"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),To Complete,"49,684.615"
FY25,2025,1045,base,Total Obligation Authority ($ in Millions),Total,"126,443.335"
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),Prior Years,-
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2023,-
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2024,10.742
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2025 Base,30.699
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2025 OOC,-
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2025 Total,30.699
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2026,33.979
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2027,23.482
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2028,107.888
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2029,172.019
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),To Complete,"2,842.554"
FY25,2025,1045,base,Plus Outfitting and Post Delivery ($ in Millions),Total,"3,221.363"
FY25,2025,1045,base,Total ($ in Millions),Prior Years,"15,528.469"
FY25,2025,1045,base,Total ($ in Millions),FY 2023,"5,857.776"
FY25,2025,1045,base,Total ($ in Millions),FY 2024,"5,845.074"
FY25,2025,1045,base,Total ($ in Millions),FY 2025 Base,"9,587.873"
FY25,2025,1045,base,Total ($ in Millions),FY 2025 OOC,-
FY25,2025,1045,base,Total ($ in Millions),FY 2025 Total,"9,587.873"
FY25,2025,1045,base,Total ($ in Millions),FY 2026,"10,455.387"
FY25,2025,1045,base,Total ($ in Millions),FY 2027,"10,258.056"
FY25,2025,1045,base,Total ($ in Millions),FY 2028,"10,289.825"
FY25,2025,1045,base,Total ($ in Millions),FY 2029,"9,315.069"
FY25,2025,1045,base,Total ($ in Millions),To Complete,"52,527.169"
FY25,2025,1045,base,Total ($ in Millions),Total,"129,664.698"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),Prior Years,"15,179.058"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2023,-
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2024,"9,283.076"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2025 Base,-
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2025 OOC,-
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2025 Total,-
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2026,"8,755.955"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2027,"8,955.687"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2028,"8,986.039"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2029,"9,187.449"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),To Complete,"11,016.012"
FY25,2025,1045,base,Gross/Weapon System Unit Cost ($ in Millions),Total,"10,536.945"
FY25,2025,2013,base,Procurement Quantity (Units in Each),Prior Years,36
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2023,2
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2024,2
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2025 Base,1
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2025 OOC,-
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2025 Total,1
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2026,2
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2027,2
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2028,2
FY25,2025,2013,base,Procurement Quantity (Units in Each),FY 2029,2
FY25,2025,2013,base,Procurement Quantity (Units in Each),To Complete,2
FY25,2025,2013,base,Procurement Quantity (Units in Each),Total,51
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),Prior Years,"103,497.904"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2023,"7,250.579"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2024,"9,427.643"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2025 Base,"5,759.534"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2025 OOC,0.000
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2025 Total,"5,759.534"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2026,"9,068.866"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2027,"9,505.624"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2028,"9,773.124"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),FY 2029,"10,341.432"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),To Complete,"12,167.098"
FY25,2025,2013,base,Gross/Weapon System Cost ($ in Millions),Total,"176,791.804"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),Prior Years,"28,400.033"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2023,"1,938.306"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2024,"2,297.678"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2025 Base,"1,871.623"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2025 Total,"1,871.623"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2026,"2,108.969"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2027,"2,202.170"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2028,"2,303.210"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),FY 2029,"2,389.410"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),To Complete,"3,465.398"
FY25,2025,2013,base,Less PY Advance Procurement ($ in Millions),Total,"46,976.797"
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),Prior Years,"4,162.703"
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2023,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2024,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2025 Base,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2025 Total,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2026,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2027,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2028,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),FY 2029,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),To Complete,-
FY25,2025,2013,base,Less Cost To Complete ($ in Millions),Total,"4,162.703"
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),Prior Years,"5,531.791"
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2023,778.089
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2024,-
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2025 Base,272.007
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2025 Total,272.007
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2026,596.592
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2027,832.550
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2028,832.549
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),FY 2029,832.550
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),To Complete,-
FY25,2025,2013,base,Less Economic Order Quantity ($ in Millions),Total,"9,676.128"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),Prior Years,"65,403.377"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2023,"4,534.184"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2024,"7,129.965"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2025 Base,"3,615.904"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2025 OOC,0.000
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2025 Total,"3,615.904"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2026,"6,363.305"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2027,"6,470.904"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2028,"6,637.365"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),FY 2029,"7,119.472"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),To Complete,"8,701.700"
FY25,2025,2013,base,Net Procurement (P-1) ($ in Millions),Total,"115,976.176"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),Prior Years,"31,831.826"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2023,"2,025.651"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2024,"1,855.502"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2025 Base,"2,421.954"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2025 Total,"2,421.954"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2026,"2,288.954"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2027,"2,375.448"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2028,"1,839.613"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),FY 2029,"1,575.177"
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),To Complete,762.672
FY25,2025,2013,base,Plus CY Advance Procurement ($ in Millions),Total,"46,976.797"
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),Prior Years,"1,844.685"
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2023,304.702
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2024,168.180
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2025 Base,293.004
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2025 Total,293.004
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2026,155.215
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2027,412.236
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2028,135.750
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),FY 2029,848.931
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),To Complete,-
FY25,2025,2013,base,Plus Cost To Complete ($ in Millions),Total,"4,162.703"
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),Prior Years,"6,309.880"
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2023,-
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2024,"1,360.037"
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2025 Base,"1,298.349"
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2025 Total,"1,298.349"
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2026,707.862
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2027,-
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2028,-
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),FY 2029,-
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),To Complete,-
FY25,2025,2013,base,Plus Economic Order Quantity ($ in Millions),Total,"9,676.128"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),Prior Years,"105,389.768"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2023,"6,864.537"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2024,"10,513.684"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2025 Base,"7,629.211"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2025 OOC,0.000
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2025 Total,"7,629.211"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2026,"9,515.336"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2027,"9,258.588"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2028,"8,612.728"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),FY 2029,"9,543.580"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),To Complete,"9,464.372"
FY25,2025,2013,base,Total Obligation Authority ($ in Millions),Total,"176,791.804"
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),Prior Years,"1,664.657"
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2023,99.888
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2024,95.434
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2025 Base,92.303
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2025 Total,92.303
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2026,76.241
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2027,116.151
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2028,60.916
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),FY 2029,162.684
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),To Complete,"1,880.310"
FY25,2025,2013,base,Plus Outfitting and Post Delivery ($ in Millions),Total,"4,248.584"
FY25,2025,2013,base,Total ($ in Millions),Prior Years,"107,054.425"
FY25,2025,2013,base,Total ($ in Millions),FY 2023,"6,964.425"
FY25,2025,2013,base,Total ($ in Millions),FY 2024,"10,609.118"
FY25,2025,2013,base,Total ($ in Millions),FY 2025 Base,"7,721.514"
FY25,2025,2013,base,Total ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Total ($ in Millions),FY 2025 Total,"7,721.514"
FY25,2025,2013,base,Total ($ in Millions),FY 2026,"9,591.577"
FY25,2025,2013,base,Total ($ in Millions),FY 2027,"9,374.739"
FY25,2025,2013,base,Total ($ in Millions),FY 2028,"8,673.644"
FY25,2025,2013,base,Total ($ in Millions),FY 2029,"9,706.264"
FY25,2025,2013,base,Total ($ in Millions),To Complete,"11,344.682"
FY25,2025,2013,base,Total ($ in Millions),Total,"181,040.388"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),Prior Years,"2,874.942"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2023,"3,625.290"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2024,"4,713.822"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2025 Base,"5,759.534"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2025 OOC,-
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2025 Total,"5,759.534"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2026,"4,534.433"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2027,"4,752.812"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2028,"4,886.562"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),FY 2029,"5,170.716"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),To Complete,"6,083.549"
FY25,2025,2013,base,Gross/Weapon System Unit Cost ($ in Millions),Total,"3,466.506"
FY26,2026,1045,base,Procurement Quantity (Units in Each),Prior Years,1
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2024,1
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2025,-
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2026 Base,1
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2026 OOC,-
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2026 Total,1
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2027,-
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2028,-
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2029,-
FY26,2026,1045,base,Procurement Quantity (Units in Each),FY 2030,-
FY26,2026,1045,base,Procurement Quantity (Units in Each),To Complete,-
FY26,2026,1045,base,Procurement Quantity (Units in Each),Total,-
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),Prior Years,"16,121.276"
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2024,"10,688.458"
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2025,0.000
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2026 Base,"10,543.724"
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2026 OOC,0.000
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2026 Total,"10,543.724"
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2027,-
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2028,-
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2029,-
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2030,-
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),To Complete,-
FY26,2026,1045,base,Gross/Weapon System Cost ($ in Millions),Total,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),Prior Years,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2024,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2025,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2026 Base,"1,183.076"
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2026 OOC,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2026 Total,"1,183.076"
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2027,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2028,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2029,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),FY 2030,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),To Complete,-
FY26,2026,1045,base,Less PY Advance Procurement ($ in Millions),Total,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),Prior Years,942.218
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2024,"1,381.782"
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2025,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2026 Base,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2026 OOC,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2026 Total,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2027,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2028,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2029,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),FY 2030,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),To Complete,-
FY26,2026,1045,base,Less Cost To Complete ($ in Millions),Total,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),Prior Years,"6,227.811"
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2024,"3,498.243"
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2025,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2026 Base,"2,303.366"
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2026 OOC,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2026 Total,"2,303.366"
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2027,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2028,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2029,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2030,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),To Complete,-
FY26,2026,1045,base,Less AP Transfer to NSBDF ($ in Millions),Total,-
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),Prior Years,*.***
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2024,*.***
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2025,0.000
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2026 Base,"3,928.828"
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2026 OOC,0.000
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2026 Total,"3,928.828"
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2027,-
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2028,-
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2029,-
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),FY 2030,-
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),To Complete,-
FY26,2026,1045,base,Net Procurement (P-1) ($ in Millions),Total,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),Prior Years,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2024,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2025,"3,364.835"
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2026 Base,"3,928.828"
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2026 OOC,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2026 Total,"3,928.828"
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2027,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2028,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2029,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),FY 2030,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),To Complete,-
FY26,2026,1045,base,Full Funding TOA ($ in Millions),Total,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),Prior Years,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2024,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2025,"6,215.939"
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2026 Base,"5,065.766"
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2026 OOC,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2026 Total,"5,065.766"
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2027,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2028,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2029,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),FY 2030,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),To Complete,-
FY26,2026,1045,base,Plus CY Advance Procurement ($ in Millions),Total,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),Prior Years,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2024,0.000
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2025,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2026 Base,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2026 OOC,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2026 Total,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2027,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2028,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2029,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),FY 2030,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),To Complete,-
FY26,2026,1045,base,Plus Cost To Complete ($ in Millions),Total,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),Prior Years,"12,434.998"
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2024,"5,345.734"
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2025,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2026 Base,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2026 OOC,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2026 Total,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2027,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2028,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2029,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),FY 2030,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),To Complete,-
FY26,2026,1045,base,Plus AP Transfer to NSBDF ($ in Millions),Total,-
FY26,2026,1045,base,Total Obligation Authority ($ in Millions),Prior Years,"21,386.245"
FY26,2026,1045,base,Total Obligation Authority ($ in Millions),FY 2024,"7,789.332"
FY26,2026,1045,base,Total Obligation Authority ($ in Millions),FY 2025,"9,580.774"
