program,li,section,fy,gross_then_$M,scope_note
Virginia,2013,20002(16),2026,4600.0,Second FY2026 Virginia-class submarine; full ship procurement (no cost-category breakout)
DDG-51,2122,20002(17),2026,5400.0,Two DDG-51 (DDG 147/149) under current MYP; covers BC + GFE (no breakout)
