ticker,fy,quarter,call_date,source,url,txt_size_chars,filename
NOC,2020,1,2020-04-29,fool,https://www.fool.com/earnings/call-transcripts/2020/04/29/northrop-grumman-corp-noc-q1-2020-earnings-call-tr.aspx,53265,FY2020_Q1_fool.txt
NOC,2020,2,2020-07-30,fool,https://www.fool.com/earnings/call-transcripts/2020/07/31/northrop-grumman-noc-q2-2020-earnings-call-transcr.aspx,50950,FY2020_Q2_fool.txt
NOC,2020,3,2020-10-22,fool,https://www.fool.com/earnings/call-transcripts/2020/10/22/northrop-grumman-noc-q3-2020-earnings-call-transcr/,51996,FY2020_Q3_fool.txt
NOC,2020,4,2021-01-28,fool,https://www.fool.com/earnings/call-transcripts/2021/01/28/northrop-grumman-noc-q4-2020-earnings-call-transcr/,51695,FY2020_Q4_fool.txt
NOC,2021,1,2021-04-29,fool,https://www.fool.com/earnings/call-transcripts/2021/04/29/northrop-grumman-noc-q1-2021-earnings-call-transcr/,53086,FY2021_Q1_fool.txt
NOC,2021,2,2021-07-29,fool,https://www.fool.com/earnings/call-transcripts/2021/07/29/northrop-grumman-noc-q2-2021-earnings-call-transcr/,55362,FY2021_Q2_fool.txt
NOC,2021,3,2021-10-28,fool,https://www.fool.com/earnings/call-transcripts/2021/10/28/northrop-grumman-noc-q3-2021-earnings-call-transcr/,55626,FY2021_Q3_fool.txt
NOC,2021,4,2022-01-27,fool,https://www.fool.com/earnings/call-transcripts/2022/01/27/northrop-grumman-noc-q4-2021-earnings-call-transcr/,53396,FY2021_Q4_fool.txt
NOC,2022,1,2022-04-28,fool,https://www.fool.com/earnings/call-transcripts/2022/04/28/northrop-grumman-noc-q1-2022-earnings-call-transcr/,54711,FY2022_Q1_fool.txt
NOC,2022,2,2022-07-28,fool,https://www.fool.com/earnings/call-transcripts/2022/07/28/northrop-grumman-noc-q2-2022-earnings-call-transcr/,54241,FY2022_Q2_fool.txt
NOC,2022,3,2022-10-27,fool,https://www.fool.com/earnings/call-transcripts/2022/10/27/northrop-grumman-noc-q3-2022-earnings-call-transcr/,57181,FY2022_Q3_fool.txt
NOC,2022,4,2023-01-26,fool,https://www.fool.com/earnings/call-transcripts/2023/01/26/northrop-grumman-noc-q4-2022-earnings-call-transcr/,55525,FY2022_Q4_fool.txt
NOC,2023,1,2023-04-27,fool,https://www.fool.com/earnings/call-transcripts/2023/04/28/northrop-grumman-noc-q1-2023-earnings-call-transcr/,52662,FY2023_Q1_fool.txt
NOC,2023,2,2023-07-27,fool,https://www.fool.com/earnings/call-transcripts/2023/07/27/northrop-grumman-noc-q2-2023-earnings-call-transcr/,50625,FY2023_Q2_fool.txt
NOC,2023,3,2023-10-26,fool,https://www.fool.com/earnings/call-transcripts/2023/10/26/northrop-grumman-noc-q3-2023-earnings-call-transcr/,52585,FY2023_Q3_fool.txt
NOC,2023,4,2024-01-25,fool,https://www.fool.com/earnings/call-transcripts/2024/01/25/northrop-grumman-noc-q4-2023-earnings-call-transcr/,56085,FY2023_Q4_fool.txt
NOC,2024,1,2024-04-25,fool,https://www.fool.com/earnings/call-transcripts/2024/04/25/northrop-grumman-noc-q1-2024-earnings-call-transcr/,53228,FY2024_Q1_fool.txt
NOC,2024,2,2024-07-25,fool,https://www.fool.com/earnings/call-transcripts/2024/07/25/northrop-grumman-noc-q2-2024-earnings-call-transcr/,52794,FY2024_Q2_fool.txt
NOC,2024,3,2024-10-24,fool,https://www.fool.com/earnings/call-transcripts/2024/10/24/northrop-grumman-noc-q3-2024-earnings-call-transcr/,51850,FY2024_Q3_fool.txt
NOC,2024,4,2025-01-30,fool,https://www.fool.com/earnings/call-transcripts/2025/01/30/northrop-grumman-noc-q4-2024-earnings-call-transcr/,52620,FY2024_Q4_fool.txt
NOC,2025,3,2025-10-21,fool,https://www.fool.com/earnings/call-transcripts/2025/10/21/northrop-grumman-noc-q3-2025-earnings-transcript/,56703,FY2025_Q3_fool.txt
NOC,2025,4,2026-01-27,fool,https://www.fool.com/earnings/call-transcripts/2026/01/27/northrop-grumman-noc-q4-2025-earnings-transcript/,54991,FY2025_Q4_fool.txt
NOC,2026,1,2026-04-21,fool,https://www.fool.com/earnings/call-transcripts/2026/04/21/northrop-noc-q1-2026-earnings-transcript/,48163,FY2026_Q1_fool.txt
