Program,Prime PIID,Subawardee UEI,Subawardee Vendor Name,Reports,Distinct Subaward Numbers,Correction Actions,First Action,Last Action,Activity Span (Years),Net Subaward $M (FY2026$)
DDG,N0002413C2305,JLREE96WGKM5,LAUREL TECHNOLOGIES PARTNERSHIP,,1,,,,,
DDG,N0002413C2305,RDQDMFHFM8K3,R P M SUPPLY CORPORATION,,1,,,,,
DDG,N0002413C2305,NBM4G4SAFQM3,QUALITY PERFORMANCE INC,,1,,,,,
DDG,N0002413C2305,DQAYCKTDLND5,"EAGLE INDUSTRIES OF LOUISIANA, L.L.C.",,1,,,,,
DDG,N0002413C2305,MUD4KL77FK98,TURNBULL LLC,,2,,,,,
DDG,N0002413C2305,N5HGL94UC1D6,PIERCE ALUMINUM CO INC,,1,,,,,
DDG,N0002413C2305,YA86NYHUA353,BRENNTAG LUBRICANTS,,1,,,,,
DDG,N0002413C2305,VJMTKNLENX24,ENGINEERED COIL COMPANY,,1,,,,,
DDG,N0002413C2305,HUK5MJK4MH39,"LESLIE CONTROLS, INC.",,1,,,,,
DDG,N0002413C2305,QB7EKDNK2E83,TIM BRIERE,,1,,,,,
DDG,N0002413C2305,C1B6X8AADFB1,"COMSACO, INC.",,1,,,,,
DDG,N0002413C2305,XYNDM1Y7XGG7,AMERICAN METAL BEARING COMPANY,,1,,,,,
DDG,N0002413C2305,MD21J51WM123,TYCO FIRE PRODUCTS LIMITED PARTNERSHIP,,1,,,,,
DDG,N0002413C2305,XJWLF38U74P3,"FLUID HANDLING, LLC",,1,,,,,
DDG,N0002413C2305,YLE5AAYNVPK6,"NOBLE SUPPLY & LOGISTICS, LLC",,1,,,,,
DDG,N0002413C2305,HQEUSUQSKVK7,"ADMARTEC, INC.",,1,,,,,
DDG,N0002413C2305,TPN7LAC6HGW3,"WARTSILA DEFENSE, INC.",,1,,,,,
DDG,N0002413C2305,K8KAE356N7N5,"BAT CONSERVATION AND MANAGEMENT, INC.",,1,,,,,
