Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
DW33W8L3N1P8,"PHOENIX GROUP OF VIRGINIA, INC.",3,1,9
CXQ7A9JSV3K5,"MEASUREMENT SYSTEMS, INC.",4,2,10
UTWXQFNH47D5,"MEGGITT (NORTH HOLLYWOOD), INC.",2,1,6
XEYGFMKSLWW5,THE BUTLER WELDMENTS CORPORATION,2,2,16
FJAVFFKN2LE3,"WATTEREDGE, INC.",3,1,7
DJMMEPKGGNB3,"MEASUREMENT SPECIALTIES, INC.",3,2,9
CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,4,1,8
SE6NBH1ZRQN5,VETERANS' GROUP LLC,2,1,4
L5YANW2XSND4,"B.W. ELLIOTT MANUFACTURING CO., LLC",4,2,24
M8ZHL8ZXGQP5,"CHROMALOX, INC.",4,2,14
VNC1NE44BXJ6,"TOTAL WELDING SUPPLY, INC.",1,1,4
CEN1DBGRNU77,CHESTERFIELD SPECIAL CYLINDERS LIMITED,1,1,1
CJF6S4UR1LM8,EVOQUA WATER TECHNOLOGIES LLC,3,1,13
JFSETNYJ81Y4,ELECTRONIC COMPONENTS INC.,4,2,19
DQLZFV6PFCB9,"TATE ANDALE, LLC",7,3,23
LZP6L339NKZ9,MARINE POLYMERS INC,2,1,9
YMKJUADMJN79,"TRI-TEC MANUFACTURING, LLC",4,2,15
J7RQVJ723JM3,MADISON COMPANY,2,2,8
CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",3,1,28
VXJMLWN9XU18,"BRADKEN - ATLAS, LLC",3,2,14
MUD4KL77FK98,TURNBULL LLC,5,3,10
PFRSFST9SSL1,RANTEC POWER SYSTEMS INC.,3,1,3
V212U2BEGU37,"SAFARI MICRO, INC.",3,2,6
G15JF2TNVBL6,SIGNET MARITIME CORPORATION,3,1,13
EK4EVQQNEFC6,"HEXAGON MANUFACTURING INTELLIGENCE, INC.",1,1,3
P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,3,1,18
PUFMZLZJ2BY2,MATTHEW WARREN INC,3,2,11
YD6LTFVUZNG1,RAYTHEON COMPANY,1,1,2
XP9YLL3TNCB9,"S & S FOREST PRODUCTS, LLC",3,2,26
M35SG6PKLJB3,"ALASKAN COPPER COMPANIES, INC.",2,2,10
P33VWHC39MN5,ADMIRAL VALVE LLC,1,1,11
KB45YQR3KSL5,"MISSISSIPPI SECURITY POLICE, INC.",1,1,4
C1CCV2BRQJ26,MARINE EQUIPMENT AND ENGINEERING SOLUTIONS LLC,2,1,7
XDBJX5QWAM86,"SAI SYSTEMS INTERNATIONAL, INC.",4,2,15
DSBBDM96K6H6,RACER MACHINERY INTERNATIONAL INC,2,1,5
G58FFJ6F2CA7,GK MECHANICAL SYSTEMS LLC,4,2,9
UZMKDFWHKTC9,"Maro Display, Inc.",1,1,2
G9N1X873CYJ6,THE TIMKEN COMPANY,2,1,8
KHK8QYLFGLU1,Rolls-Royce Corporation,2,1,3
LYDRWR6ML2U7,ITT CANNON LLC,1,1,2
VD1NLZGAJ2L4,"DURAMAX MARINE, LLC",1,1,3
GTDWX1272LQ4,LINEAR MOTION LLC,3,2,8
V87VJJNMMFH9,"DEXTER MAGNETIC TECHNOLOGIES, INC.",2,2,5
UPAPN5VL4KR9,EATON AEROSPACE LLC,2,2,4
GHVMX1DLDAK6,"WURTH REVCAR FASTENERS, INC.",3,2,13
JG73AVR7NUN4,"HYDRATIGHT OPERATIONS, INC.",1,1,3
DNY9WHR3SKK6,CLARK-RELIANCE LLC,3,2,11
WWMME88ERQG5,"BESTWELD, INC.",4,1,20
PS39EKC82UU5,DIT-MCO INTERNATIONAL LLC,2,2,4
G8VYMKM2VG59,NORTH AMERICAN CONTROLS INC,1,1,2
FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",3,1,21
KP54PU9M3GY5,TE CONNECTIVITY SEACON PHOENIX INC.,1,1,14
TH91MD9B9RL7,SSI MANUFACTURING TECHNOLOGIES CORP.,2,2,18
YNUWEPDNSH37,ROSEMOUNT SPECIALTY PRODUCTS LLC,1,1,8
N6BAAYHLH8G7,"TTM PRINTED CIRCUIT GROUP, INC.",4,2,11
YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",3,2,12
JTNDE6EBHL41,TRIDENT TECHNICAL COLLEGE,1,1,1
JX92LMWRTRJ9,"DONALDSON COMPANY, INC.",2,2,6
QDWGXNU1NLY9,"REXNORD INDUSTRIES, LLC",2,1,3
GFSJF2WNK1E1,"SCHNEIDER ELECTRIC SYSTEMS USA, INC.",2,1,8
KK9HWTR6SM49,"DUER /CAROLINA COIL, INCORPORATED",2,1,11
T2VFE1NGR3G5,"DRS TRAINING & CONTROL SYSTEMS, LLC",3,3,12
MWJTQK36KMG3,ZAPATA INCORPORATED,2,2,3
KNAGZL3AKW44,"110 TECHNOLOGY, LLC",2,1,4
PW9GWUTL4KV5,"Us, Inc.",3,1,19
NFCDTTZM5JL3,DUREX INTERNATIONAL CORP.,1,1,3
F98TZC6J5XV1,ARC TECHNOLOGIES LLC,5,1,10
H4K1A9NVAB68,CRYSTAL INSTRUMENTS CORPORATION,2,1,4
YHJESY2TDP23,MAJOR TOOL & MACHINE INC,1,1,1
QRS8UUK41BA4,METREX VALVE CORP.,2,1,5
LG8PRS9MR697,SFC Valve Corporation,4,3,11
U43WP4FHDJY3,"MARINE ELECTRIC SYSTEMS, INC.",4,2,13
RDM6SEMM2WB4,"BARDEN CORPORATION, THE",3,1,3
C1H7UWEXRVN7,HOTTINGER BRUEL & KJAER INC.,1,1,2
RG3VUTDYFNF8,FLUIDYNE CORP,3,2,13
HNAKLNNSE339,"HOWELL LABORATORIES, INC.",2,2,14
CKBGA756V5H9,MITCHELL MACHINE INCORPORATED,1,1,3
TMDVSPNEFR69,IVES EQUIPMENT CORPORATION,4,3,13
MHR1KKAZ1NH5,"EDRO CORPORATION, THE",5,2,18
MME9X24LUXP1,"ACROMAG, INCORPORATED",4,2,16
J7JJKMJGC7K1,"NAC GROUP, INC.",2,1,15
ZM8CV5ND9LG8,"JOSEPH T. RYERSON & SON, INC.",1,1,4
FQJTKZNF6GY5,THE HILLER COMPANIES LLC,2,1,3
ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,2,1,8
KMP7FYJJV3N3,"PRYSMIAN CABLES AND SYSTEMS USA, LLC",2,2,3
R7JLC1Y2PLJ1,SCHROEDER INDUSTRIES LLC,1,1,5
CSB6FUPJ5TC1,"TDS AUTOMATION, INC.",2,2,3
X96XQ88UFHM5,Maria Do Carmo De Albuquerque Lins Me,2,2,2
JA3LXNZMCTA9,KK MOLD DESIGN & MACHINING LLC,1,1,1
D9T3VK42BLV7,"MILWAUKEE COMPOSITES, INC.",1,1,4
LN8JD2HB57K5,"PATRIOT ELECTRONICS, INC.",4,2,20
M467BSNHK9J8,KATO ENGINEERING INC.,2,2,6
QPFMBXNMQM85,"AEROTEK, INC.",2,2,5
LRYRHNM7EHJ8,"GAYLORD INDUSTRIES, INC.",5,2,10
N28CNQT19JY9,"USC CONSULTING GROUP, LLC",1,1,1
TXHLDCPC95J3,"C. V. TOOL COMPANY, INC.",4,2,17
HNJDANSKDZK9,"SPECTRONICS, INC.",4,1,22
DEGHQRGPKTQ8,PARKER-HANNIFIN CORPORATION,1,1,3
S3NBXGNJ5433,"CORSERVA, INC.",3,2,12
V25NZRTBX3R3,"SIEMENS GOVERNMENT TECHNOLOGIES, INC.",2,1,2
W547TUQXJ8Y4,CARVER PUMP COMPANY,4,2,10
WW6HFEMKWPC5,FRIES SPINNING & STAMPINGS INC,3,2,5
VJFKVNQBYVL5,GREENE RUBBER CO INC,3,2,16
GXK6HT9PN3P9,KAMATICS CORPORATION,4,2,12
NNRGV1N3Y1G5,"WOLF ROBOTICS, LLC",1,1,5
S9FENR91JGV9,THE CARONDELET FOUNDRY CORPORATION,1,1,4
XRN4L5GSHNJ5,MASON ELECTRIC CO.,2,1,5
UES5F4AAZJK5,"DONALDSON COMPANY, INC.",7,3,15
W2H3SYSJNLK5,Arastaff,3,1,10
SFD8QNU62LD3,INSULATED WIRE INC.,2,1,8
CE4UBZFNCKU9,MOHAWK NORTHEAST INC,2,1,4
JK16ZQ9FRJ51,TAVERNIER DIDIER,3,1,8
W7QMJRYTHHM4,"TECHSPEC, INC.",1,1,6
VUA5GYK66K98,CHAPCO INC,1,1,2
SN8JQ8XJ55N9,"LOVEJOY, LLC",3,2,8
L4ZMKLM4MPL3,MOOG INC.,1,1,2
CMTLME2MH6F4,"SPIRAX SARCO, INC.",2,2,6
NL7RNBHWHJQ1,DRS TECHNOLOGIES CANADA LTD,3,1,15
W2GBUE64GMZ6,"DERBYSHIRE MARINE PRODUCTS, LLC",2,1,16
R82KDN15JP13,"DYNETICS TECHNICAL SOLUTIONS, INC.",1,1,2
MEQJENNPRLG9,"MASS CRANE & HOIST SERVICES, INC",1,1,1
UKXMHUWSFLW7,"G.W. LISK COMPANY, INC.",2,2,3
Y3LKL3D6FNK9,VIABLE POWER CONVERSION TECHNOLOGIES INC,2,2,2
VERVZNQLJQM6,ABRASIVE FINISHING INDUSTRIES LLC,1,1,7
NJBMT6E7P7B4,INTERNATIONAL WELDING & FABRICATION INC.,1,1,2
DKJ1R5ABCN48,SERCO INC.,1,1,7
CERUMMHMPXZ9,"CONAM INSPECTION AND ENGINEERING SERVICES, INC.",1,1,2
QWM1XWLUFQM8,TRIDENT SYSTEMS INCORPORATED,2,1,6
HRJNGAUKL2Q2,"HI-TEST LABORATORIES, INC.",2,2,6
MAKYNVTMNZX1,"TRAC REGULATOR CO., INC.",4,2,7
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",2,2,4
T99DCLB5NRH7,"OCENCO, INCORPORATED",2,1,3
GWKMNJ89SCC5,MATERION BRUSH INC.,2,1,7
NN4BTBUN58J5,"STRATUS TECHNOLOGIES, INC.",1,1,13
PDZUR2FMYD89,"RANGER ENVIRONMENTAL SERVICES, LLC",2,1,8
MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",2,1,14
E83TNKA9JCY6,AIR SYSTEMS COMPONENTS INC,3,2,8
JEDSVNSMLTN4,"OXFORD GLOBAL RESOURCES, LLC",1,1,1
ML82LTYEBMQ5,ADVANCED OFFICE SYSTEMS INC,1,1,8
XLLQN8Q4P7M1,"WANNER ENGINEERING, INC.",2,1,2
ZA7HPV7XXUE3,"MERRILL TECHNOLOGIES GROUP, INC.",2,2,6
KK9FFUUML8N1,ABC APPLICATORS INC,1,1,3
J632BG3ZB8L9,"TTM TECHNOLOGIES, INC.",2,2,3
GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",3,2,11
EKY1E33VMH27,"UNITED RENTALS (NORTH AMERICA), INC.",2,2,3
HK1VJ4NJ6QN7,Lovejoy Curtis LLC,3,2,12
RDRYVJJX3NA5,"ELECTRO STANDARDS LABORATORY, INC.",1,1,4
LQP7LJVDX6M6,"WESCO DISTRIBUTION, INC.",3,1,9
WAK3LFCLKJR4,BELL STEEL COMPANY,2,1,10
FDMCABKJFNE8,"MINE SAFETY APPLIANCES COMPANY, LLC",1,1,1
N9DVRB18H324,ELLWOOD CITY FORGE COMPANY,1,1,2
ZBAJWJYVWC49,"UNITED BUILDERS SUPPLY CO., INCORPORATED",1,1,1
EB3GK67LJFR1,SCHWEITZER ENGINEERING LABORATORIES INC,1,1,2
KTMAJCY6JXM3,"LEIDOS, INC.",3,1,6
Z2M4Q4H6TKM3,"DAWSON-MACDONALD CO., INC.",2,1,9
EAZVTUEVK9J9,AIRLINE HYDRAULICS CORPORATION,4,2,7
XK68QNYRQCH8,"AMERICAN BOA, INCORPORATED",3,2,7
SLTUM1DV4433,"PARASENSE, INC",4,2,12
CJ8CQLEM2RW3,"SYSCO USA II, LLC",4,1,6
WYN3NM142HF3,"LEE COMPANY, THE",2,2,5
GNH1FJWKY3G3,"WEST PHILA. BRONZE CO., INC",2,2,13
V16LFA3JDR14,Limitorque Corporation,2,1,8
NKUARJG8E2E8,ROSCID TECHNOLOGIES,1,1,3
LN9YKAX66918,"KULITE SEMICONDUCTOR PRODUCTS, INC",2,1,15
MK6AGEN4XM53,"POWERSTATION, LLC",2,1,3
XSVGNUK78U74,BAC CORROSION CONTROL A/S,3,2,4
U517SU1EZGK9,"CHALMERS & KUBECK, INC.",3,2,7
C18KXNHETC95,"KITCO FIBER OPTICS, INC.",4,3,6
N5RJW5NX32Y1,W R SYSTEMS LTD.,2,2,7
G42SVPMNBDA1,THOMSON LINEAR LLC,2,1,6
XA3VAXMUA9A8,"EAGLE INDUSTRIES, INC.",2,1,3
PHZDZ8SJ5CM1,CDW GOVERNMENT LLC,3,2,8
YHGHMGTME7A5,HOWDEN AMERICAN FAN COMPANY,3,1,7
KDWVFE3K1TL3,MOOG INC.,2,1,3
XK8VBJ94L4E9,"AEROSPACE SUPPLY, INC",2,1,6
C4C1WKKFJ8H5,ENERGY RENTAL SOLUTIONS LLC,1,1,7
E6KQEMMCJ9B6,"ATRENNE COMPUTING SOLUTIONS, LLC",2,2,2
LKXHMX1K3AC5,NATIONAL INSTRUMENTS CORPORATION,2,2,4
VD5WUGZUCJ44,"Triple Son Wholesale Timber, Inc.",4,1,6
JFEWJZWTH4W4,The Tool House Inc,3,1,5
M618ETNNYA77,DROITCOUR CO,1,1,5
NHA2LDXZPES3,ITT ENIDINE INC.,2,1,6
FRJQGQHDX4J3,"L3 TECHNOLOGIES, INC.",1,1,2
JU7ZGUDEJA79,RAILWAY SPECIALTIES CORPORATION,1,1,4
DN8HGRSV3LA6,OUTLAND TECHNOLOGY INC.,2,1,8
EJT5ERY72NJ3,WELLS PROFESSIONAL CONSULTING SERVICES LLC,1,1,3
GE3JLF1PZBM8,RETLIF INCORPORATED,1,1,3
GMVJD1H9JQX8,"MICROFLEX, INC.",4,3,5
MWCVNKNHLF53,ATI LADISH LLC,2,1,4
V6FJCB53JDK7,"RURAL ROUTE 2, LLC",3,2,6
NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",4,1,14
NB21QESAKUM9,L3 TECHNOLOGIES INC,1,1,1
TYQ7WJJPGH91,ANIXTER INC,1,1,1
WMCUE58SZBD3,MILLER ELECTRIC MFG. CO.,2,2,2
PQXWA9BB6UJ6,"PULSCO, INC.",1,1,2
UWH5HRSJ5ES7,AUTOMATIC COATING LIMITED,2,1,2
TQ6PLXME5XE1,ADHESIVE SYSTEMS TECHNOLOGY CORPORATION,1,1,1
TKE2CB4A5YW4,HONEYWELL INTERNATIONAL INC.,1,1,7
KDKVNQBN2Q53,"Barnhart Northeast, Inc.",2,1,6
H5YBZ3M7LKG3,"HAYES PUMP, INC.",1,1,1
LNU9THQFHLR5,TRIFAX LLC,1,1,1
E5XTWRMQAZN1,APPLIED PRODUCTS INC,1,1,3
MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,2,1,2
M6ZTA4NZGLQ5,"ANDERSON METAL INDUSTRIES, INC.",4,1,13
JQHDLX7VEUC1,"HUISH OUTDOORS, LLC",2,1,3
EPSYXPS5MK39,NORTHROP GRUMMAN SYSTEMS CORPORATION,1,1,2
UPMWNA8Y25L1,"GEODETIC SERVICES, INC",3,2,8
CHSCLZAAPTQ3,PULSAFEEDER INC,3,2,5
JMFNDVNJ67A3,CM-MATRIX CORPORATION,3,1,6
EFVKMVKJ7WA4,FIBA TECHNOLOGIES INC,1,1,1
TGUHUW52MLE3,"NIANTIC SEAL, INC.",4,2,8
XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,3,1,7
LX5BF78ZTHW4,"HDT EXPEDITIONARY SYSTEMS, INC.",3,1,8
LWF3CB1HFZF3,I S C O CORPORATION,2,2,12
EPHBJMLFMGL7,"STACO SYSTEMS, INC.",2,1,5
NNNPMB5KA1V6,DENNEY PLASTICS MACHINING LLC,2,2,8
UN3TBWQUCQN4,DELTA-ELECTRO POWER INC.,2,2,4
Z3KHMUV8E999,"JAN ELECTRONIC SUPPLIES, INC.",4,2,4
K574V7KEQUC8,"CIRCOR AEROSPACE, INC.",2,2,2
EEJPJ342F3P1,"TABET MANUFACTURING COMPANY, INC.",2,1,7
GHJ6L9RLAR65,WILSON TOOL INTERNATIONAL INC.,1,1,1
NSEVFLRKSUV1,"NITCO, LLC",2,2,3
FNBNKXCC3QD8,SUPERBOLT INC.,3,2,5
T3DYDNW4KVC7,"KAUFMAN COMPANY, INC.",1,1,4
FNQSY3S2MCM9,"STS OPERATING, INC.",3,1,10
HA3GWLK3JK58,Evoqua Water Technologies LLC,1,1,2
LSGYNGHKB863,DEBAN ENTERPRISES INC,4,1,10
VBFXNRMUYSK6,NTS TECHNICAL SYSTEMS,2,2,3
GNFJGT9MKJW5,"CONNECTICUT VALLEY INDUSTRIES, LLC",1,1,4
H12BMH6V6495,"PIMA VALVE, LLC",2,2,6
HF33ZG3KCKL5,LORD CORPORATION,1,1,1
K5WVCD4GUK41,JONATHAN ENGINEERED SOLUTIONS CORP.,3,2,12
DZVSKE3ZKRV4,"IE TEST, LLC",1,1,4
GCDKJTM3RJX6,"RAPID DEPLOYABLE SYSTEMS, INC",1,1,2
QH1NZM6TK6C9,"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",2,1,4
EARSLY8TTEC9,REDBUILT LLC,1,1,8
H33DK44BJZE1,HAWTHORNE MACHINERY CO.,1,1,2
MYNQR7KVKSA6,SCHNEIDER ELECTRIC SYSTEMS USA INC,1,1,1
H11HD5VHGHN3,LOCKHEED MARTIN CORPORATION,3,3,9
HYN4GBTR6TF3,GULF COAST MARINE SUPPLY CO,2,1,7
NRFJMVNYQ6C3,"ZAPATA GROUP, INC.",1,1,1
PVUKF83PZZM6,"INTEGRO, LLC",1,1,3
V1XJX2JT3JK1,VECTOR NORTH AMERICA INC.,1,1,4
CZKYJKB7H9J7,"VEGAS FASTENER MANUFACTURING, LLC",3,3,8
WEK3JBN7G6L7,ADMIRAL FILTER COMPANY LLC,1,1,3
CPHLNLBGWFN5,DRS NAVAL POWER SYSTEMS INC,3,2,6
MXDKLLXB3EK7,"B&G MANUFACTURING CO., INC.",2,2,3
WQAKKCKH9LM8,"SECURITAS CRITICAL INFRASTRUCTURE SERVICES, INC.",1,1,2
VJSTD8U7QBD9,"SAFARILAND, LLC",2,1,8
JN14RTY2BEZ5,H. C. STARCK INC.,2,1,4
XTB5UHKL6VE8,"SEA-TECH PRODUCTS, INC.",1,1,4
J2DMF1YRKD96,STANDARD CALIBRATIONS INC,1,1,7
GEZPNX8Q2RM3,"STS OPERATING, INC.",1,1,1
YULJLSW1N2G4,CYGNUS L.L.C.,1,1,1
LJLZRNS9DYC6,ANIXTER INC.,1,1,5
JJRDPJY9GQA8,FLETCHER CONSTRUCTION CO INC,3,1,11
J6DMEL935CD1,XYLEM INC.,4,1,10
HMCHY1Y3NCG9,SPECIALTY BAR PRODUCTS COMPANY,2,1,6
R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",4,1,7
LK9BTBWNLY96,"BEK, INC.",3,2,5
CWM4UN76ZQW8,LOCKHEED MARTIN CORPORATION,2,1,3
JLREE96WGKM5,DRS LAUREL TECHNOLOGIES,2,1,3
N1MARKMJYJU3,"BRANTNER AND ASSOCIATES, INC.",1,1,1
QFG7EC12DQK4,"UNITED RENTALS (NORTH AMERICA), INC.",3,2,7
MKRCHD2CBAY1,HAMILTON SUNDSTRAND CORPORATION,3,2,6
JJGGMB8XQPV7,L. L. ROWE COMPANY,1,1,1
KKRXVDJZQ5V5,KEYSTONE FIRE PROTECTION CO.,1,1,5
CHJNFCBMNJS3,"OCEANEERING INTERNATIONAL, INC.",1,1,1
U8SDJVH8SQ19,CITY ELECTRIC SUPPLY COMPANY,1,1,5
DP49VT4FA4J3,"ADA CORE TECHNOLOGIES, INC.",2,2,4
DLLCKA14LMZ5,"Merrill Aviation, Inc.",2,1,2
N5H9R8EN75V9,"MOTION INDUSTRIES, INC.",3,1,5
WJYVCPD5HKK7,"BWXT NUCLEAR OPERATIONS GROUP, INC.",1,1,1
VE86LWM6ABF6,MASON FOREST PRODUCTS INC,1,1,3
XNFVD42NAB73,TRIAS CONSTRUCTION LLC,1,1,2
RJZKELTAHBM5,"POWER CONVERSION TECHNOLOGIES, INC.",2,1,3
K572F32CSLG5,MANPOWER INC.,1,1,1
RYYRAAAGPXB5,"STOCKERT, LAURA",4,1,5
CP1HCZ82DJL7,NC PRECISION LLC,3,2,5
S1TGQ9L36486,"TOOL-SMITH COMPANY, INCORPORATED",2,1,6
CR39JL3216G7,NEWPORT NEWS NUCLEAR INC,1,1,8
J7JGTBNSM619,MEGATOR CORPORATION,2,1,10
FD69PPCVM2B8,PASCAGOULA LAUNCH SERVICE INC,2,1,7
JL4THZCMNKR7,JACKSON PLATING CO.,4,1,6
E5NZAXG4MNB7,MURRAY BENJAMIN ELECTRIC CO LLC,2,1,3
SJDXENRDPKE8,SOPHEON CORPORATION,1,1,1
X4M2SP7V9BC6,"METHODS MACHINE TOOLS, INC.",1,1,1
E144Y6P6NLN9,"HOPE GROUP, LLC., THE",1,1,2
HJFAW5KCG7N7,"MAST TECHNOLOGIES, LLC",1,1,4
FVFNV3NERP36,"POWERSTAR, INC.",2,1,5
MYDWUALGXBL5,BIOMATED SOLUTIONS LLC,1,1,3
MP94VMTR2DX4,Preece Incorporated,1,1,3
PVLTABUDXLR4,HARTFORD ELECTRIC SUPPLY COMPANY THE,1,1,6
TSJLBQWEYD73,CUSTOM MAGNETICS OF CALIFORNIA INC,1,1,2
JM2GNDJLDWL5,ADVEX CORPORATION,1,1,1
PRNKGJL4NQH1,OMEGA ENGINEERING INC,2,2,4
EJ8LYVPT4KR9,THE WHITMOR CO. INC.,3,2,7
HFL7UADKYZ52,"BARNHART NORTHEAST, INC.",1,1,3
CQLFMKPGRUQ3,"TEVET, LLC",2,2,6
D6BPMCKP2FE4,"O.C. LUGO CO., INC., THE",2,1,1
V62NC51F7YV1,UNIVERSITY OF DAYTON,1,1,1
DQ8FL1MAR4K5,"NAVAL AND MARITIME CONSORTIUM, INC.",1,1,1
ED16VKVTCHC8,ECI DEFENSE GROUP INC,1,1,1
R71XN254HA36,AKRON BRASS COMPANY,3,1,5
DTCND1MN7J15,ASPEQ HEATING GROUP LLC,3,2,6
KQJTYTVTATY8,"NORTH ATLANTIC INDUSTRIES, INC.",1,1,2
L6EMG925NF78,KADANT UNAFLEX LLC,3,3,6
VV9KH3L99VE3,INTERNATIONAL BUSINESS MACHINES CORPORATION,1,1,1
C1PGRWC26153,EXLAR CORPORATION,1,1,1
RL6KA2EUSUC8,ABACUS INDUSTRIES INC,1,1,5
YFAKM74HKAT9,"RZ DESIGN ASSOCIATES, INC",1,1,1
M1BVCGDKJ1L7,RAYTHEON COMPANY,1,1,2
GMBZL1B9YMW9,A W GIFFORD INC,1,1,6
V6JXCLR8QR37,RHINESTAHL CORPORATION,3,1,4
VM23NJLXLCK9,"G. O. CARLSON, INC.",2,2,1
FNQARYRJJEL5,"COSPOLICH, INC.",4,2,7
X25CWCMUL417,"CARLLO, INC.",1,1,1
NK1RB5VKXES9,"DETROIT SWITCH, INC.",3,2,9
FH8KQEYJMGL3,LORD CORPORATION,1,1,1
FREEMCLKFXE3,BATH IRON WORKS CORPORATION,1,1,2
J3HWENQMNG69,"ARCADIA MANUFACTURING GROUP, INC.",2,1,1
GL8XT6HAWLK1,BHI ENERGY I POWER SERVICES LLC,1,1,1
PCELDZMEAL25,"MICROPORE, INC.",1,1,2
DKLBZLX4D674,"L&C PROTEC, INC.",1,1,1
EWDVBA6GPR39,PAVION CORP.,1,1,1
ZVCNH5GL1Z83,Core Active Fixed Income,1,1,4
E383LRP25MY6,YOUNG ENGINEERING COMPANY INC.,4,1,6
V7GQF5M7C667,"SOUTHERN GEAR & MACHINE, INC.",3,2,5
E844ZKYNKDX4,"MECS, INC.",2,1,4
U8SAS3VH6J38,AK INDUSTRIAL SERVICES LLC,3,1,5
CAAPQGM9QL17,SOUTH BAY CABLE CORP.,1,1,1
GU9WXNREUPZ1,FORENTA L.P.,2,1,9
CEZLBLUFVYT9,"BITTWARE, INC.",1,1,2
GN82WS7LRJ77,SPACE MACHINE & ENGINEERING CORP.,2,1,4
HFK9V1G2B513,"MOTOROLA SOLUTIONS, INC.",1,1,2
WVERJSJEZ4U8,LABORATORY TESTING INC,1,1,1
DKVRL7NKED25,"STEELMASTER BUILDINGS, INC.",1,1,1
MBMCF42D4CF7,CLEAN HARBORS ENVIRONMENTAL SERVICES INC,1,1,1
K7WHM32LWU64,"IVEY'S CONSTRUCTION, INC.",1,1,1
D3QJN3GXFR53,"LINCOLN ELECTRIC AUTOMATION, INC.",1,1,3
W7FFRAVN1DA9,"SECURESTRUX, LLC",1,1,1
F1N2KDGBDTU8,"DLT SOLUTIONS, LLC",2,2,4
GJEUJECUQNN6,L-3 CHESAPEAKE SCIENCES CORPORATION,1,1,1
WDZDHBA8ZJX8,Airgas USA LLC,1,1,2
CBY1P9UHMVK1,"D.S. SEWING, INC.",1,1,2
CFLHPEP9NMU4,HUBBS MACHINE & MANUFACTURING,2,2,5
FECPDA1S8WJ1,D. W. BOYD CORPORATION,4,2,4
MFGMH9R7GMG3,"FORCE 3, LLC",3,2,4
C59LDR2KN4U6,"FIN-TECH, INC.",2,1,6
KFF4DTT9LFJ3,"KELLY CONTAINER, INC.",1,1,2
L66VDJVM3VP6,KEYENCE CORP OF AMERICA,1,1,4
URUVKGK3FTV1,"WILLIAMS SCOTSMAN, INC.",1,1,2
RNWJCAQL4ZD7,"EIMC, LLC",1,1,2
RANZTST3FQU3,SID TOOL CO INC,2,2,3
G5W8NZNYN1P6,BRISTOL HARBOR GROUP,1,1,2
YXMXTJMDPJR7,"FAXON ENGINEERING COMPANY, INCORPORATED THE",2,1,6
NYWQLNAXE9G4,"ISLAND HOSE & SEALS, INC.",1,1,2
HBLRJ28LNM16,GE AVIATION SYSTEMS LLC,2,1,2
H1J9UJSSTB98,"AIRGAS USA, LLC",1,1,4
MSSQQ551LG41,"IMPRES TECHNOLOGY SOLUTIONS, INC.",3,1,3
YYVHWZMPP3F8,"DRS NAVAL POWER SYSTEMS, INC.",1,1,1
TCSFXP5TD5P6,"BLOWERS, LLC",2,1,2
SVHJHMJH65S8,ULTRA ELECTRONICS OCEAN SYSTEMS INC,3,1,5
T5PEM8N1QE25,"AMRON INTERNATIONAL, INC.",2,1,3
D28HQ4AA2ZL8,"EFFORT FOUNDRY, INC.",3,1,5
Q7CGW8NCRGJ6,"TRANSDIGM, INC.",1,1,2
KU8MSC4HELN8,"TRANSDIGM, INC.",2,1,2
TFBXC11G77F3,BLACK BOX CORPORATION OF PENNSYLVANIA,2,1,4
C1VMWS2KV645,"OMNI SERVICES, INC.",2,1,3
CMPLJR3G8K76,FOLEY INC,1,1,1
GYDNLMKBK274,"MARCO GROUP INTERNATIONAL, INC.",1,1,3
H2X6CQSJHQL4,WESTERN BRONZE INC,1,1,2
G8HNS2EJYJU6,"BUFFALO MACHINES, INC.",3,2,4
JZXZSN3BBL98,SIEMENS INDUSTRY INC.,2,1,2
EHRJCSUERKU3,EATON AEROSPACE LLC,2,2,2
XECCFU26TTP9,"Moniteq, Inc.",2,1,5
DYJZZ9DANLM3,Ralph & Dorothy Moore,3,1,5
PB11V1KH3KV4,SOUTHWEST RESEARCH INSTITUTE,1,1,6
QJCBMJ8NX5P5,"FOAMPAK, INC.",1,1,2
CYJ3L6SQANB4,"SPARTON AYDIN, LLC",1,1,4
UGQ9ZMC59WA6,"CABLEWORKS, INC.",2,2,3
