Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",5,1,71
K294P4QJHFU9,MW JONES & COMPANY INC,3,2,7
F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,3,2,12
GJNEBDUDNTA1,EURO MACHINERY SPECIALISTS,1,1,1
WSK3WRSGKAU1,ALFA LAVAL INC.,3,1,23
MKXMUFJJYLY5,WARD LEONARD CT LLC,5,3,37
FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,6,2,73
LL3PZJHUKZV3,AMERICAN STEEL AND ALUMINUM LLC,2,2,22
F8M5LJA6LJL4,"SARGENT AEROSPACE & DEFENSE, LLC",3,2,38
PTMFLMD2CUB4,"L3 TECHNOLOGIES, INC.",4,2,20
HUK5MJK4MH39,"LESLIE CONTROLS, INC.",5,2,82
JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,5,1,45
LR2HQKYJLDZ7,ESI ACQUISITION CORP.,8,3,112
U23DM4ULNLS3,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,3,3,5
FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",3,1,31
GZ57A195G7K6,WAUKESHA BEARINGS CORPORATION,2,2,5
KNEFNMWXBK39,JO-KELL INC.,8,3,145
E9DKKLZNCQS9,AISH TECHNOLOGIES LTD,5,2,9
MU3CM1145E44,PROGENY SYSTEMS CORPORATION,4,2,28
WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",3,3,16
X6N2CNV552X7,OCEANEERING INTERNATIONAL INC,4,2,44
C9C6HPQLL4A8,CATERPILLAR INC,4,2,15
GLU5BML5XQK2,Romey Paul Ventures LLC,2,2,4
SKKACASET588,DYNALEC CORPORATION,7,3,227
QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",3,1,77
