uei,name,dollars_total_$M,dollars_submarines_$M,dollars_ddg_$M,records,foreign,enriched,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
Z86FMF9P1KD6,"G. S. E. DYNAMICS, INC.",2.279,2.279,0.0,9,no,yes,Active,Active,Manufacturer of Goods,336413,3364,15,326130;326199;332312;332322;332710;334511;336390;336411;336412;336413;336414;336611;336992;339999;541330,0,,,,29183,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Manufacturer of Goods
KVETLASZ5DL3,CONREX STEEL LIMITED,2.251,2.251,0.0,4,yes,yes,Active,Active,Manufacturer of Goods,332420,3324,2,331221;332420,0,,CANERECTOR INC,,3AB54,N,Foreign Owned;For Profit Organization;Women-Owned Business;Business or Organization;Manufacturer of Goods
M467BSNHK9J8,KATO ENGINEERING INC.,2.25,0.038,2.212,12,no,yes,Active,Active,Manufacturer of Goods,335312,3353,4,221114;335312;423990;811310,0,,NIDEC AMERICAS HOLDING CORPORATION,NIDEC (NIPPON DENSAN CORPORATION),32770,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
SK3YCN3CHJD7,"PLASTIC DISTRIBUTORS & FABRICATORS, INC.",2.239,2.239,0.0,36,no,yes,Inactive,Inactive,Manufacturer of Goods,332710,3327,3,326199;332710;332721,1,9330,,,64628,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
UAWKMCFNMNT1,"CRAIG TECHNOLOGIES AEROSPACE SOLUTIONS, LLC",2.238,2.238,0.0,7,no,yes,Active,Active,Manufacturer of Goods,336414,3364,44,332312;332322;332323;332510;332618;332710;332721;332813;332911;332912;332919;332994;332996;332999;333132;333248;333310;333514;333515;333618;333914;333998;334220;334419;335311;335314;335921;335931;335999;336411;336412;336413;336414;336415;336419;336992;336999;339112;339991;339999;541330;541370;541713;541715,0,,,,7GK95,N,For Profit Organization;Business or Organization;Manufacturer of Goods
QLTXH525A671,"RAPID PREP, LLC",2.235,2.235,0.0,50,no,yes,Active,Active,Limited Liability Company,532490,5324,7,237310;238120;238910;336611;423830;532412;532490,5,W020;W036;W038;W043;W053,,,4JWY4,N,For Profit Organization;Business or Organization;Limited Liability Company
UR5TFK3LAVL5,FEDERAL RESOURCES SUPPLY COMPANY,2.227,2.088,0.139,20,no,yes,Active,Active,,339999,3399,1,339999,0,,,,1Q3Z9,N,For Profit Organization;Business or Organization
J8ATNVMEGLK1,"CHAND, L.L.C.",2.225,0.0,2.225,31,no,yes,Active,Active,Limited Liability Company,423860,4238,3,323117;336611;423860,0,,,,0D5X4,N,For Profit Organization;Business or Organization;Limited Liability Company
XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",2.21,0.935,1.275,18,no,yes,Active,Active,Subchapter S Corporation,335132,3351,2,335132;541330,7,5330;5930;6110;6210;6220;6230;6250,,,85213,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
ZMBFGXHLGLM3,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2.189,0.0,2.189,14,no,yes,Active,Active,Manufacturer of Goods,336611,3366,2,336611;488390,3,J019;J020;J998,"BAE SYSTEMS, INC.",BAE SYSTEMS PLC,57701,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
NKNLZEBJBM67,"TRANSDIGM, INC.",2.16,2.16,0.0,16,no,yes,Active,Active,Manufacturer of Goods,332912,3329,1,332912,0,,TRANSDIGM GROUP INC,,21392,N,For Profit Organization;Business or Organization;Manufacturer of Goods
XPJVJCWTHYV6,"ESCO GROUP, INC.",2.159,2.159,0.0,4,no,yes,Active,Active,Manufacturer of Goods,333248,3332,3,333248;333914;333922,0,,,,6XPH0,N,For Profit Organization;Business or Organization;Manufacturer of Goods
G45GNP4ARKJ3,PROTERIAL CABLE AMERICA INC,2.13,2.13,0.0,37,no,yes,Active,Active,Manufacturer of Goods,332710,3327,6,326121;326220;332710;332721;332999;339112,6,2020;3443;4810;5330;9515;9540,"PROTERIAL CABLE AMERICA, INC.","PROTERIAL, LTD.",79N81,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
CR99X5Q2KQS1,"LBI, INC.",2.118,2.058,0.06,20,no,yes,Active,Active,Subchapter S Corporation,336611,3366,8,238990;326130;326199;332312;336611;336612;339999;541330,8,1540;2050;9390;C216;C223;J019;N019;N020,,,058Z9,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
UNYXWK1ZR391,"MAYCO MANUFACTURING, LLC",2.113,2.113,0.0,4,no,yes,Active,Active,Manufacturer of Goods,331491,3314,16,238390;331410;331491;331492;331523;331529;332312;332313;332420;332510;332710;332992;332999;335311;336612;339113,0,,,,3CN68,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
SS8JL7WNHPX9,"BURNS & MCDONNELL ENGINEERING COMPANY, INC.",2.112,2.112,0.0,6,no,yes,Active,Active,Subchapter S Corporation,541330,5413,30,213112;236210;236220;237110;237120;237130;237990;238210;238220;238290;332313;334516;518210;541310;541320;541330;541370;541380;541410;541490;541512;541513;541519;541611;541620;541690;541715;541990;561210;562910,0,,"BURNS & MCDONNELL, INC.",,1VKQ1,N,For Profit Organization;Business or Organization;Subchapter S Corporation
JHPXZQA4R1X1,"BLACK ROCK TECHNOLOGY GROUP, LLC",2.083,2.083,0.0,35,no,yes,Active,Active,Limited Liability Company,423430,4234,6,334112;337211;423420;423430;423490;423690,0,,,,6DM82,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Limited Liability Company
YGGCA283C3P4,HALE HAMILTON (VALVES) LIMITED,2.019,2.019,0.0,2,yes,yes,Active,Active,Manufacturer of Goods,332911,3329,2,332911;332919,2,H148;H248,"CIRCOR INTERNATIONAL, INC.",,K0207,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JGNYLKEPEBL4,"PEMCO-NAVAL ENGINEERING WORKS, INC.",1.979,0.0,1.979,41,no,yes,Active,Active,Subchapter S Corporation,332312,3323,7,332312;332313;332321;332322;332710;332999;333514,0,,,,52891,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
U2PTLL8PXDE3,"ABLE MACHINE TOOL SALES, INC.",1.974,1.974,0.0,4,no,yes,Active,Active,Subchapter S Corporation,423830,4238,1,423830,0,,,,0RKT2,N,For Profit Organization;Business or Organization;Subchapter S Corporation
EU8ESM53JNE7,LANXESS CORPORATION,1.913,1.913,0.0,6,no,yes,NO_RECORD,,,,,0,,0,,,,,,
WA9LNGN2DPF4,"BECHTEL NATIONAL, INC.",1.878,1.878,0.0,3,no,yes,?,,,,,0,,0,,"BECHTEL NUCLEAR, SECURITY & ENVIRONMENTAL, INC.",BECHTEL GROUP INC,,,
N1C5QLNPJLS4,DELL FEDERAL SYSTEMS L.P.,1.871,1.871,0.0,11,no,yes,Active,Active,Manufacturer of Goods,334111,3341,16,334111;334112;334118;334419;423430;423610;513210;518210;541330;541511;541512;541513;541519;541715;611710;811210,0,,DELL FEDERAL SYSTEMS GP LLC,DELL TECHNOLOGIES INC.,3XAU1,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JFSETNYJ81Y4,ELECTRONIC COMPONENTS INC.,1.864,1.864,0.0,24,no,yes,Active,Active,,423690,4236,10,334416;334418;334419;335311;335314;335999;423690;425120;541519;541614,0,,,,1R2D3,N,For Profit Organization;Business or Organization
DV6YQV71ME11,Mar-Vac Products Inc,1.852,0.0,1.852,25,no,yes,NO_RECORD,,,,,0,,0,,,,,,
