uei,name,dollars_total_$M,dollars_submarines_$M,dollars_ddg_$M,records,foreign,enriched,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,2001.391,2001.391,0.0,112,no,yes,Active,Active,Manufacturer of Goods,335312,3353,3,333611;333612;335312,0,,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,90099,N,For Profit Organization;Business or Organization;Manufacturer of Goods
GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",520.016,411.153,108.863,271,no,yes,Active,Active,Manufacturer of Goods,335311,3353,3,335311;335313;335314,0,,"DRS TECHNOLOGIES, INC.",,27192,N,For Profit Organization;Business or Organization;Manufacturer of Goods
HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,439.264,0.0,439.264,127,no,yes,NO_RECORD,,,,,0,,0,,,,,,
WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,378.171,378.171,0.0,214,no,yes,Active,Active,Manufacturer of Goods,333914,3339,1,333914,1,4320,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,CURTISS-WRIGHT CORPORATION,0UBG9,N,For Profit Organization;Business or Organization;Manufacturer of Goods
N1PJDANWUJ61,SCOT FORGE COMPANY,353.047,353.006,0.041,741,no,yes,Active,Active,Subchapter S Corporation,332111,3321,4,331221;332111;332112;541715,50,1325;1336;1338;1340;1410;1420;1550;1560;1610;1615;1620;1675;1710;1725;2010;2040;2350;2355;2845;3446;3605;3615;3660;3670;3693;3805;3820;3835;3895;4470;4920;5420;9510;9530;9640;AC11;AC12;AC13;AC14;AC15;AC21;AC22;AC23;AC24;AC25;AC31;AC32;AC33;AC34;AC35,,,2W651,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,333.523,333.348,0.175,30,no,yes,Active,Active,Manufacturer of Goods,336611,3366,6,336611;336992;488390;541330;541715;541990,0,,"BAE SYSTEMS, INC.",BAE SYSTEMS PLC,44114,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,333.093,0.0,333.093,28,no,yes,Active,Active,Manufacturer of Goods,336412,3364,6,336412;336413;336992;541330;541715;811310,0,,,,07482,N,For Profit Organization;Business or Organization;Manufacturer of Goods
SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",297.151,118.921,178.23,89,no,yes,Active,Active,Manufacturer of Goods,333415,3334,1,333415,0,,"JOHNSON CONTROLS FEDERAL SYSTEMS, LLC",JOHNSON CONTROLS INTERNATIONAL PLC,66935,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
WJYVCPD5HKK7,"BWXT NUCLEAR OPERATIONS GROUP, INC.",289.874,289.874,0.0,15,no,yes,Active,Active,Manufacturer of Goods,332410,3324,3,325180;332410;541990,0,,"BWX TECHNOLOGIES, INC.",,5AJL2,N,For Profit Organization;Business or Organization;Manufacturer of Goods
E8LNMDLEKM35,D.C. FABRICATORS INC.,255.017,255.017,0.0,66,no,yes,Active,Active,Subchapter S Corporation,332312,3323,6,332312;332313;332410;332420;332439;332710,0,,,,65427,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,240.486,240.486,0.0,20,yes,yes,NO_RECORD,,,,,0,,0,,,,,,
FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",218.319,218.319,0.0,114,no,yes,Active,Active,Manufacturer of Goods,325212,3252,4,325211;325212;325991;326199,0,,ESCO TECHNOLOGIES INC.,,82094,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",211.351,211.351,0.0,85,no,yes,Active,Active,Manufacturer of Goods,332313,3323,5,332313;332410;332420;332710;332999,0,,"PRECISION COMPONENTS GROUP, LLC",,1P555,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,192.135,0.235,191.9,60,no,yes,NO_RECORD,,,,,0,,0,,,,,,
FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,169.174,0.0,169.174,8,no,yes,Active,Active,Manufacturer of Goods,333612,3336,5,237990;333611;333612;333613;336611,10,2010;3010;3020;3040;H230;H330;J030;K030;L030;N030,"TIMKEN COMPANY, THE",,17454,N,For Profit Organization;Business or Organization;Manufacturer of Goods
HNAECT5M9TM4,"SOCAIL, LDA",151.352,0.0,151.352,10,yes,yes,NO_RECORD,,,,,0,,0,,,,,,
KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",141.905,141.905,0.0,73,no,yes,?,,,,,0,,0,,THE RMF IRREVOCABLE DEED OF TRUST,,,,
JEP5GQGFPUL9,PORTLAND VALVE LLC,139.605,119.247,20.359,232,no,yes,Active,Active,Manufacturer of Goods,332911,3329,1,332911,0,,,,53154,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,131.632,127.485,4.148,197,no,yes,Active,Active,Manufacturer of Goods,332911,3329,2,332911;333995,0,,,,95169,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JKZNKGGWYZ87,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,129.324,129.324,0.0,40,no,yes,Active,Active,Manufacturer of Goods,335312,3353,4,333611;333996;335312;336611,0,,CURTISS-WRIGHT CORPORATION,,04808,N,For Profit Organization;Business or Organization;Manufacturer of Goods
PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,123.775,0.0,123.775,79,no,yes,Active,Active,Manufacturer of Goods,334511,3345,5,334511;334515;513210;541330;811210,0,,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,03956,N,For Profit Organization;Business or Organization;Manufacturer of Goods
SX6BF52K2WB1,VACCO INDUSTRIES,109.098,109.098,0.0,88,no,yes,Active,Active,Manufacturer of Goods,332912,3329,4,332812;332912;336419;336611,0,,ROLLER BEARING COMPANY OF AMERICA INC,RBC BEARINGS INCORPORATED,99517,N,For Profit Organization;Business or Organization;Manufacturer of Goods
ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,108.943,5.117,103.827,131,no,yes,Active,Active,Manufacturer of Goods,335313,3353,4,333611;335311;335313;335314,0,,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",3FEQ2,N,For Profit Organization;Business or Organization;Manufacturer of Goods
WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,104.054,98.086,5.968,16,no,yes,Active,Active,,336611,3366,1,336611,0,,"HUNTINGTON INGALLS INDUSTRIES, INC",,43689,N,For Profit Organization;Business or Organization
G9HKMXL5L973,"OIL STATES INDUSTRIES, INC",103.398,103.398,0.0,117,no,yes,Active,Active,Manufacturer of Goods,326291,3262,2,326291;333132,0,,,,18444,N,For Profit Organization;Business or Organization;Manufacturer of Goods
FK17Z7DJWLL1,Apco Technologies SA,102.859,102.859,0.0,72,yes,yes,Active,Active,,,,0,,0,,,,SVP45,N,For Profit Organization;Business or Organization
F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,100.779,76.155,24.625,79,no,yes,Active,Active,Manufacturer of Goods,334416,3344,13,334118;334413;334416;334417;334418;334419;334515;334519;335311;335312;335313;335999;336611,0,,ESCO TECHNOLOGIES INC.,,51435,N,For Profit Organization;Business or Organization;Manufacturer of Goods
PAH8M4BJACA5,"TELEDYNE INSTRUMENTS, INC.",97.089,97.036,0.053,195,no,yes,Active,Active,Manufacturer of Goods,334417,3344,6,332710;332721;332813;333132;334417;335931,4,2040;5935;5995;6150,TELEDYNE INSTRUMENTS INC,TELEDYNE TECHNOLOGIES INCORPORATED,17476,N,For Profit Organization;Business or Organization;Manufacturer of Goods
F2LEAK3EK9R3,THE GRAHAM CORPORATION,89.12,89.12,0.0,28,no,yes,Active,Active,Manufacturer of Goods,336611,3366,3,332410;333998;336611,0,,,,1LCX3,N,For Profit Organization;Business or Organization;Manufacturer of Goods
QGB4RDYJNJT9,ELLWOOD NATIONAL FORGE COMPANY,88.145,0.224,87.921,18,no,yes,Active,Active,Manufacturer of Goods,332111,3321,11,332111;332710;332811;332993;333611;333613;336413;336419;336611;336992;541715,11,1015;1020;1025;1325;1355;1356;1675;2010;2040;2825;2830,"ELLWOOD GROUP, INC.",,3D8M1,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
RG6LJJM6JBS3,"AUSTAL USA, LLC",87.555,87.555,0.0,24,no,yes,Active,Active,Manufacturer of Goods,336611,3366,4,336611;541330;811210;811310,1,1905,"AUSTAL HOLDINGS, INC.",AUSTAL LIMITED,1T3Z4,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
XQW8RJNNAXX8,"W INTERNATIONAL, LLC",85.673,85.673,0.0,106,no,yes,Inactive,Inactive,Manufacturer of Goods,336992,3369,4,332312;332313;332420;336992,0,,,,6UJS1,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",85.233,83.652,1.582,296,no,yes,Active,Active,Manufacturer of Goods,332911,3329,1,332911,0,,"FAIRBANKS MORSE, LLC",ARCLINE CAPITAL PARTNERS UGP LLC,11859,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,83.982,83.982,0.0,5,yes,yes,Active,Active,Foreign Owned,336611,3366,3,332312;336611;541330,0,,BABCOCK MARINE (ROSYTH) LIMITED,BABCOCK INTERNATIONAL GROUP PLC,U1VL1,N,Foreign Owned;For Profit Organization;Business or Organization
CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",82.396,44.419,37.977,39,no,yes,Active,Active,Manufacturer of Goods,335313,3353,1,335313,0,,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC","L3HARRIS TECHNOLOGIES, INC",30086,N,For Profit Organization;Business or Organization;Manufacturer of Goods
Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",74.5,74.5,0.0,33,no,yes,Inactive,Inactive,Manufacturer of Goods,336611,3366,12,332312;332313;332322;332999;333514;336413;336414;336415;336419;336611;336992;541330,0,,,,88ML5,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
VJMTKNLENX24,ENGINEERED COIL COMPANY,73.741,0.489,73.252,147,no,yes,Active,Active,Manufacturer of Goods,333415,3334,2,333414;333415,0,,"LEONARDO DRS, INC.",,38450,N,For Profit Organization;Business or Organization;Manufacturer of Goods
Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",72.847,52.938,19.909,220,no,yes,Active,Active,Manufacturer of Goods,332912,3329,10,332911;332912;332919;332999;334513;336412;336413;336415;336419;336999,0,,,,99657,N,For Profit Organization;Business or Organization;Manufacturer of Goods
Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,71.107,17.508,53.599,131,no,yes,Active,Active,Manufacturer of Goods,335999,3359,9,221118;334290;334416;334419;335311;335313;335999;336320;541715,3,6115;6120;6125,,,20950,N,For Profit Organization;Business or Organization;Manufacturer of Goods
CBMZJ3Z5SC89,GOODRICH CORPORATION,64.627,63.811,0.816,58,no,yes,Active,Active,Manufacturer of Goods,326130,3261,5,326130;326291;326299;332994;336611,0,,GOODRICH CORPORATION,RAYTHEON TECHNOLOGIES CORPORATION,0BBK9,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",64.501,64.501,0.0,309,no,yes,Active,Active,,332710,3327,2,332710;811310,1,3470,,,29293,N,For Profit Organization;Business or Organization
WJ45NXW2TVD7,MOOG INC.,62.09,62.09,0.0,116,no,yes,Active,Active,Manufacturer of Goods,333995,3339,2,333995;541715,0,,"MOOG, INC.",,07270,N,For Profit Organization;Business or Organization;Manufacturer of Goods
KYURG7LRSC89,WARREN PUMPS LLC,62.083,50.595,11.487,75,no,yes,Active,Active,Manufacturer of Goods,333914,3339,1,333914,0,,,,63857,N,For Profit Organization;Business or Organization;Manufacturer of Goods
CPHLNLBGWFN5,"DRS CONSOLIDATED CONTROLS, INC.",59.794,59.794,0.0,18,no,yes,Active,Active,Manufacturer of Goods,334515,3345,8,332510;334413;334418;334419;334515;335311;335314;335999,0,,"LEONARDO DRS, INC.",,06RP6,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC.",57.685,56.489,1.195,52,no,yes,Active,Active,Manufacturer of Goods,332420,3324,1,332420,0,,EVEREST KANTO CYLINDER LIMITED,,48899,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
WREEAHYMRQ45,"PCB PIEZOTRONICS, INC.",57.436,57.436,0.0,30,no,yes,Active,Active,Manufacturer of Goods,334419,3344,2,334419;334519,1,H966,AMPHENOL CORPORATION,,52681,N,For Profit Organization;Business or Organization;Manufacturer of Goods
TZVRTYNM3MN3,PEGASUS STEEL LLC,56.797,56.797,0.0,110,no,yes,Active,Active,Manufacturer of Goods,332313,3323,5,332312;332313;332710;336120;336992,0,,"KEEL PLATFORM, LLC","ARLINGTON CAPITAL PARTNERS VI, L.P.",4T1A9,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",54.436,54.436,0.0,330,no,yes,Active,Active,Manufacturer of Goods,332919,3329,3,332710;332919;332996,0,,"KME AMERICA MARINE HOLDING, INC.",CUNOVA GMBH,7A8G3,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
V1MQFNQB56Z5,RIX INDUSTRIES,54.428,29.658,24.77,67,no,yes,Active,Active,Subchapter S Corporation,333912,3339,4,237120;325120;333912;336413,0,,"CRESTT, LP",,28953,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",52.662,52.662,0.0,6,no,yes,?,,,,,0,,0,,,,,,
NN7PCHZFNZP8,GOODWIN STEEL CASTINGS LIMITED,51.474,46.4,5.074,29,yes,yes,Active,Active,Manufacturer of Goods,331513,3315,1,331513,0,,GOODWIN PLC,,U1AR9,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
N5KMLMXEPFM5,PARKER-HANNIFIN CORPORATION,48.861,18.732,30.128,50,no,yes,Active,Active,Manufacturer of Goods,333310,3333,3,333310;333914;333998,0,,,,62144,N,For Profit Organization;Business or Organization;Manufacturer of Goods
HLVNZXU8EAM1,POWER PARAGON INC,48.619,15.536,33.083,62,no,yes,?,,,,,0,,0,,,,,,
QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",44.961,31.919,13.042,113,no,yes,Active,Active,Manufacturer of Goods,336611,3366,3,336611;423210;423440,0,,,,00096,N,For Profit Organization;Business or Organization;Manufacturer of Goods
K3XPS1HXNBF3,"B & F MACHINE COMPANY, INC.",39.618,39.618,0.0,264,no,yes,Active,Active,Manufacturer of Goods,332710,3327,21,331221;332322;332710;332721;332991;332999;333514;333515;333517;333519;333611;333612;333618;334519;336412;336413;336419;336611;336612;336992;561510,4,2840;3419;3450;5280,,,9J253,N,For Profit Organization;Business or Organization;Manufacturer of Goods
YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",39.369,0.0,39.369,99,no,yes,Active,Active,Manufacturer of Goods,336611,3366,12,332312;332313;332321;332420;332510;332710;332721;332722;332999;333921;333923;336611,0,,"LAKE SHORE SYSTEMS HOLDINGS, LLC","JFL GP INVESTORS IV, LLC",7QAR4,N,For Profit Organization;Business or Organization;Manufacturer of Goods
NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.",38.375,38.375,0.0,28,no,yes,Active,Active,Manufacturer of Goods,339999,3399,25,332313;332439;332710;332721;332911;332999;333241;333242;333517;333612;333613;333991;333995;334220;334511;334519;336411;336413;336419;336992;336999;339112;339999;541330;541990,0,,,,82005,N,For Profit Organization;Business or Organization;Manufacturer of Goods
N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,37.525,37.525,0.0,149,no,yes,Inactive,Inactive,Manufacturer of Goods,332996,3329,11,331313;331318;331420;331491;332111;332112;332431;332919;332996;333517;333519,0,,,,3GR33,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Manufacturer of Goods
JRUCKDSNXKD5,"ENTWISTLE COMPANY, THE",37.486,5.087,32.4,98,no,yes,Active,Active,Manufacturer of Goods,333998,3339,15,332312;332710;332994;332999;333914;333924;333998;334511;336411;336413;336414;336415;336419;336611;339999,0,,,,20722,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
SSD8KRDXKG46,"HILLER COMPANIES, INC., THE",36.674,0.0,36.674,59,no,yes,Active,Active,Manufacturer of Goods,238210,2382,20,236210;236220;238210;238390;238990;325998;332919;332996;334290;334419;334519;336611;336612;336992;339950;423690;423850;424690;541330;561621,0,,"THE HILLER COMPANIES, LLC",,66073,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MSFLXVQVJMG4,"PEERLESS INSTRUMENT CO., INC.",36.672,36.672,0.0,49,no,yes,Active,Active,Manufacturer of Goods,334515,3345,2,334515;335999,0,,CURTISS-WRIGHT CORPORATION,,95210,N,For Profit Organization;Business or Organization;Manufacturer of Goods
VL18ZH6YLPY5,"DRS NAVAL POWER SYSTEMS, INC.",36.065,36.065,0.0,4,no,yes,Active,Active,Manufacturer of Goods,333611,3336,6,333611;334290;334511;335999;336412;541330,0,,"LEONARDO DRS, INC.",,1EKE3,N,For Profit Organization;Business or Organization;Manufacturer of Goods
GZ57A195G7K6,WAUKESHA BEARINGS CORPORATION,35.676,35.676,0.0,17,no,yes,Active,Active,,541330,5413,2,541330;541340,0,,DOVER CORP,,07332,N,For Profit Organization;Business or Organization
WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",35.598,0.0,35.598,9,no,yes,Active,Active,Subchapter S Corporation,336611,3366,3,332111;336611;336612,0,,WHEMCO HOLDINGS INC,PARK CORPORATION,1F460,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",35.26,35.26,0.0,75,no,yes,Active,Active,Manufacturer of Goods,332313,3323,8,331221;331318;331491;332311;332313;332420;332999;336611,0,,,,96059,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MU3CM1145E44,PROGENY SYSTEMS CORPORATION,34.894,34.894,0.0,38,no,yes,Active,Active,Manufacturer of Goods,541715,5417,14,332993;334111;334118;334290;334419;334511;335314;335999;541330;541511;541513;541519;541715;541720,0,,GENERAL DYNAMICS GOVERNMENT SYSTEMS CORPORATION,GENERAL DYNAMICS CORP,04JN4,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JA2KCX21NL48,"WARTSILA DEFENSE, INC.",34.69,11.929,22.761,74,no,yes,Active,Active,Manufacturer of Goods,336611,3366,12,321920;332710;332721;332911;332999;333613;333618;336611;339991;488390;541330;561990,0,,,,0EYA6,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",34.018,34.018,0.0,60,no,yes,Active,Active,Subchapter S Corporation,333413,3334,19,332312;332313;332410;332439;332710;332721;332911;332919;332999;333248;333413;333514;333612;333998;334513;336413;336419;336611;541330,0,,,,60756,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",33.359,33.359,0.0,4,no,yes,Active,Active,Subchapter S Corporation,332996,3329,4,332410;332420;332996;332999,0,,,,40883,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
RLXQHCXFT513,CUNICO CORPORATION,32.954,31.03,1.923,79,no,yes,Active,Active,Manufacturer of Goods,332996,3329,3,332112;332919;332996,2,4710;4810,,,53424,N,Tribally Owned Firm;For Profit Organization;Business or Organization;Community Development Corporation Owned Firm;Manufacturer of Goods
PTMFLMD2CUB4,"L3 TECHNOLOGIES, INC.",32.611,32.611,0.0,44,no,yes,Active,Active,Manufacturer of Goods,334220,3342,20,334111;334112;334118;334210;334220;334310;334413;334418;334515;335999;336413;336419;541330;541511;541512;541519;541990;811210;927110;928110,0,,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",11447,N,For Profit Organization;Business or Organization;Manufacturer of Goods
MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",32.094,9.614,22.481,189,no,yes,Active,Active,Manufacturer of Goods,332911,3329,1,332911,3,4730;4810;4820,NIBCO INC,,76364,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,31.589,0.0,31.589,17,no,yes,Active,Active,,336611,3366,5,332313;332710;332996;336611;541380,0,,,,1CCR8,N,For Profit Organization;Business or Organization
LM35HWEVUPH3,"ADI TECHNOLOGIES, INC.",31.567,0.0,31.567,28,no,yes,Active,Active,,541613,5416,6,423610;423840;541330;541613;541690;541990,0,,,,02NT5,N,For Profit Organization;Business or Organization
UHXFGP3DCRK7,"HANSOME ENERGY SYSTEMS, INC.",31.481,31.481,0.0,16,no,yes,?,,,,,0,,0,,,,,,
HLE1E2KALJA5,POWER PARAGON INC,31.354,0.192,31.162,43,no,yes,Active,Active,Manufacturer of Goods,335311,3353,1,335311,0,,"L3 TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",04801,N,For Profit Organization;Business or Organization;Manufacturer of Goods
F8M5LJA6LJL4,"SARGENT AEROSPACE & DEFENSE, LLC",31.27,31.27,0.0,47,no,yes,Active,Active,Manufacturer of Goods,332911,3329,5,332911;332912;333995;333996;336413,0,,"SARGENT AEROSPACE & DEFENSE, LLC",ROLLER BEARING COMPANY OF AMERICA INC,78062,N,For Profit Organization;Business or Organization;Manufacturer of Goods
M4ELQDG7JLM5,"BUFFALO PUMPS, INC.",31.039,0.0,31.039,39,no,yes,Active,Active,Manufacturer of Goods,333914,3339,1,333914,0,,AMPCO-PITTSBURGH CORP,,83130,N,For Profit Organization;Business or Organization;Manufacturer of Goods
KCYPSYNH1M94,US JOINER LLC,30.924,0.03,30.894,92,no,yes,Active,Active,Manufacturer of Goods,336611,3366,5,332322;332919;336611;336612;811310,0,,"TRIDENT MARITIME SYSTEMS, INC.",,3P2A9,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
XYNDM1Y7XGG7,AMERICAN METAL BEARING COMPANY,30.55,0.234,30.316,41,no,yes,Active,Active,Subchapter S Corporation,332991,3329,8,332710;332721;332991;332999;333613;336611;541330;811310,3,3020;J030;R425,,,70508,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
JG6AMW7E23Z6,C. H. POWELL COMPANY,30.221,30.221,0.0,6,no,yes,Active,Active,Subchapter S Corporation,488510,4885,1,488510,0,,,,1YFV2,N,For Profit Organization;Business or Organization;Subchapter S Corporation
J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",29.907,0.0,29.907,22,no,yes,Active,Active,Manufacturer of Goods,339999,3399,1,339999,0,,"FAIRBANKS MORSE, LLC",ARCLINE CAPITAL PARTNERS UGP LLC,57RT4,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
MAENKG4UJLK8,LOCKHEED MARTIN CORPORATION,29.315,29.315,0.0,7,no,yes,Active,Active,Manufacturer of Goods,334513,3345,5,332322;332993;334513;336414;336419,0,,LOCKHEED MARTIN CORP,,94271,N,For Profit Organization;Business or Organization;Manufacturer of Goods
K294P4QJHFU9,"MW JONES & COMPANY, INC.",28.459,28.459,0.0,10,no,yes,Active,Active,,541611,5416,3,541611;541613;541618,0,,,,7PYS5,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization
F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,28.272,28.272,0.0,19,no,yes,Active,Active,Manufacturer of Goods,333613,3336,3,333612;333613;541330,11,2010;2090;2825;2830;2835;3040;3120;3130;AC12;AG12;H131,WAUKESHA BEARINGS CORPORATION,DOVER CORP,9L185,N,For Profit Organization;Business or Organization;Manufacturer of Goods
GJNEBDUDNTA1,"EURO MACHINERY SPECIALISTS, INC",28.125,28.125,0.0,7,no,yes,Active,Active,,811310,8113,3,238290;811310;813920,0,,,,0BNL6,N,Self Certified Small Disadvantaged Business;For Profit Organization;Business or Organization
WSK3WRSGKAU1,ALFA LAVAL INC.,27.394,0.0,27.394,25,no,yes,Active,Active,Manufacturer of Goods,332410,3324,4,332410;336611;423830;811310,0,,ALFA LAVAL U.S. HOLDING INC.,ALFA LAVAL AB,71871,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
MKXMUFJJYLY5,WARD LEONARD CT LLC,26.651,10.525,16.126,50,no,yes,Active,Active,Manufacturer of Goods,335312,3353,8,333996;335311;335312;335313;335314;335931;335999;811310,0,,"FAIRBANKS MORSE, LLC",ARCLINE CAPITAL PARTNERS UGP LLC,63743,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,26.514,0.224,26.29,74,no,yes,Active,Active,Manufacturer of Goods,333914,3339,1,333914,0,,DOVER CORP,,07524,N,For Profit Organization;Business or Organization;Manufacturer of Goods
LL3PZJHUKZV3,AMERICAN STEEL AND ALUMINUM LLC,26.231,26.231,0.0,62,no,yes,Active,Active,Manufacturer of Goods,332312,3323,8,332312;332313;332322;332323;332710;332812;332999;423510,5,3449;9530;9540;9640;H195,NOVAMERICAN STEEL INC,,5ZVM8,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
HUK5MJK4MH39,"LESLIE CONTROLS, INC.",25.436,8.822,16.614,94,no,yes,Active,Active,Manufacturer of Goods,332911,3329,1,332911,0,,CIRCOR INTL INC,,35795,N,For Profit Organization;Business or Organization;Manufacturer of Goods
JW6PXX1WALN4,HOWDEN NORTH AMERICA INC.,25.426,0.0,25.426,45,no,yes,NO_RECORD,,,,,0,,0,,,,,,
LR2HQKYJLDZ7,ESI ACQUISITION CORP.,24.698,3.905,20.794,119,no,yes,Active,Active,Limited Liability Company,423830,4238,1,423830,0,,"JA MOODY INTERMEDIATE HOLDINGS, LLC","JA MOODY HOLDINGS, LLC",3B558,N,For Profit Organization;Business or Organization;Limited Liability Company
KNEFNMWXBK39,JO-KELL INC.,24.368,3.878,20.491,178,no,yes,Active,Active,Manufacturer of Goods,423610,4236,18,238210;332710;333511;333514;334419;334515;335311;335313;335314;335931;335999;336413;339999;423610;423690;423830;423840;541330,13,2090;5920;5925;5935;5950;5970;5975;5999;6110;6145;6150;6210;6320,,,5V049,N,For Profit Organization;Women-Owned Small Business;Women-Owned Business;Business or Organization;Manufacturer of Goods
