generated_internal_id,piid,tier,award_amount,recipient,matched_axes
CONT_AWD_N3220519P4028_9700_-NONE-_-NONE-,N3220519P4028,broad_maritime,278181.12,AMERICAN VULKAN CORPORATION,psc:2090
CONT_AWD_N3220514P1309_9700_-NONE-_-NONE-,N3220514P1309,broad_maritime,278120.41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,psc:2090
CONT_AWD_N4044210P4006_9700_-NONE-_-NONE-,N4044210P4006,broad_maritime,277058.65,EXCELL TECHNOLOGIES INTERNATIONAL CORPORATION,psc:2090
CONT_AWD_N0018918PG117_9700_-NONE-_-NONE-,N0018918PG117,small_craft,275821.0,MARITIME SOLUTIONS INC,naics:336612
CONT_AWD_N3220523P0009_9700_-NONE-_-NONE-,N3220523P0009,broad_maritime,274994.51,"LEE ENGINEERING SUPPLY COMPANY, INC.",psc:2090
CONT_AWD_0153_9700_N0024410D0011_9700,0153,broad_maritime,274725.0,"MARINE & RESTAURANT FABRICATORS, INC.",psc:2090
CONT_AWD_N0010422FY705_9700_N0010422GY701_9700,N0010422FY705,small_craft,274051.08,"L3 TECHNOLOGIES, INC.",naics:336612
CONT_AWD_N0024424F0444_9700_N0024423D0002_9700,N0024424F0444,broad_maritime,272918.0,"JPL HABITABILITY, INC.",psc:2090
CONT_AWD_N0010425PNB78_9700_-NONE-_-NONE-,N0010425PNB78,small_craft,272874.0,"SARGENT AEROSPACE & DEFENSE, LLC",naics:336612
CONT_AWD_N0010421PCF42_9700_-NONE-_-NONE-,N0010421PCF42,small_craft,271812.0,VERICOR POWER SYSTEMS LLC,naics:336612
CONT_AWD_N3220526P5024_9700_-NONE-_-NONE-,N3220526P5024,broad_maritime,271785.32,"TRYCON ENTERPRISES, L.L.C.",psc:2090
CONT_AWD_N3220515P3522_9700_-NONE-_-NONE-,N3220515P3522,broad_maritime,271189.58,COLTEC INDUSTRIES INC.,psc:2090
CONT_AWD_0072_9700_N6554012D0012_9700,0072,broad_maritime,270773.34,ROCKWELL AUTOMATION INC,psc:2090
CONT_AWD_N0010421PNB56_9700_-NONE-_-NONE-,N0010421PNB56,small_craft,270314.0,"L3 TECHNOLOGIES, INC.",naics:336612
CONT_AWD_N5523623F9980_9700_N0002421D4114_9700,N5523623F9980,broad_maritime,270270.8,HII FLEET SUPPORT GROUP LLC,psc:1905
CONT_AWD_N3220519P6206_9700_-NONE-_-NONE-,N3220519P6206,broad_maritime,270055.0,IMECO INC,psc:2090
CONT_AWD_N0002418F8311_9700_N0002412D6404_9700,N0002418F8311,usv_core,270000.0,THE PENNSYLVANIA STATE UNIVERSITY,keyword
CONT_AWD_N3220517P4041_9700_-NONE-_-NONE-,N3220517P4041,broad_maritime,269500.0,"TRYCON ENTERPRISES, L.L.C.",psc:2090
CONT_AWD_0160_9700_N0024410D0013_9700,0160,broad_maritime,269184.25,PACIFIC MARITIME INDUSTRIES CORP.,psc:2090
CONT_AWD_N0010421PNC51_9700_-NONE-_-NONE-,N0010421PNC51,small_craft,269038.21,"RADIO DESIGN GROUP, INC.",naics:336612
CONT_AWD_N5523622F9955_9700_N0002421D4114_9700,N5523622F9955,broad_maritime,268978.48,HII FLEET SUPPORT GROUP LLC,psc:1905
CONT_AWD_0002_9700_N0025314D0005_9700,0002,broad_maritime,266693.96,KNUDSEN SYSTEMS INC.,psc:2090
CONT_AWD_N3220516P4358_9700_-NONE-_-NONE-,N3220516P4358,broad_maritime,266452.0,APPLETON MARINE INC,psc:2090
CONT_AWD_N3220519P4392_9700_-NONE-_-NONE-,N3220519P4392,broad_maritime,265892.96,"TELEDYNE INSTRUMENTS, INC.",psc:2090
CONT_AWD_N3220520P0106_9700_-NONE-_-NONE-,N3220520P0106,broad_maritime,265219.0,"AUSTAL USA, LLC",psc:2090
CONT_AWD_N0003918F1500_9700_N0003918D0001_9700,N0003918F1500,broad_maritime,264410.61,LOCKHEED MARTIN CORPORATION,psc:2090
CONT_AWD_N3220518P4415_9700_-NONE-_-NONE-,N3220518P4415,broad_maritime,264250.08,ALFA LAVAL INC,psc:2090
CONT_AWD_N0016424FG053_9700_N0016424DGP78_9700,N0016424FG053,broad_maritime,263904.56,"J & N METAL PRODUCTS, LLC",psc:1905
CONT_AWD_N6817123F0085_9700_N3220520D6713_9700,N6817123F0085,broad_maritime,263401.53,ROLLS-ROYCE SOLUTIONS AMERICA INC,psc:2090
CONT_AWD_N3220517P4003_9700_-NONE-_-NONE-,N3220517P4003,broad_maritime,262301.76,"DEFENSE MARITIME SOLUTIONS, INC.",psc:2090
CONT_AWD_N0040624C0025_9700_-NONE-_-NONE-,N0040624C0025,broad_maritime,261938.68,"AUSTAL USA, LLC",psc:2090
CONT_AWD_N3220518P4155_9700_-NONE-_-NONE-,N3220518P4155,other_small,261482.0,AIR & LIQUID SYSTEMS CORPORATION,psc:1990
CONT_AWD_N3220521F1169_9700_N3220520D6713_9700,N3220521F1169,broad_maritime,261318.81,ROLLS-ROYCE SOLUTIONS AMERICA INC,psc:2090
CONT_AWD_N6449826P2055_9700_-NONE-_-NONE-,N6449826P2055,broad_maritime,261304.32,"CARDINAL SCIENTIFIC, INC.",psc:2090
CONT_AWD_N3220515P1260_9700_-NONE-_-NONE-,N3220515P1260,broad_maritime,261017.83,ROLLS-ROYCE MARINE NORTH AMERICA INC.,psc:2090
CONT_AWD_N3220515P5005_9700_-NONE-_-NONE-,N3220515P5005,broad_maritime,260983.76,COLD LLC,psc:2090
CONT_AWD_N3220516P4004_9700_-NONE-_-NONE-,N3220516P4004,broad_maritime,260645.2,"DEFENSE MARITIME SOLUTIONS, INC.",psc:2090
CONT_AWD_0023_9700_N0016408DGP21_9700,0023,broad_maritime,260388.0,GOODRICH CORPORATION,psc:1905
CONT_AWD_0894_9700_N0002407D6200_9700,0894,usv_core,259839.03,UNIVERSITY OF TEXAS AT AUSTIN,keyword
CONT_AWD_N5005422P0198_9700_-NONE-_-NONE-,N5005422P0198,broad_maritime,259794.0,"QED SYSTEMS, INC.",psc:2090
CONT_AWD_N5005419P1046_9700_-NONE-_-NONE-,N5005419P1046,small_craft,259758.2,"LAKE SHORE SYSTEMS, INC.",naics:336612
CONT_AWD_N6817124F2020_9700_N3220521D6175_9700,N6817124F2020,broad_maritime,259296.28,"FINCANTIERI MARINE SYSTEMS NORTH AMERICA, INC.",psc:2090
CONT_AWD_N6817123F0523_9700_N3220521D6175_9700,N6817123F0523,broad_maritime,259024.16,"FINCANTIERI MARINE SYSTEMS NORTH AMERICA, INC.",psc:2090
CONT_AWD_N3220523P2281_9700_-NONE-_-NONE-,N3220523P2281,broad_maritime,258400.0,"WACO PRODUCTS, INC",psc:2090
CONT_AWD_0097_9700_N6554012D0012_9700,0097,broad_maritime,257053.59,ROCKWELL AUTOMATION INC,psc:2090
CONT_AWD_N0010421FCV03_9700_SPRMM118DCV01_9700,N0010421FCV03,small_craft,256800.0,WING INFLATABLES INC,naics:336612; psc:2090
CONT_AWD_N6133125F0142_9700_N6133124D0002_9700,N6133125F0142,broad_maritime,256672.9,"KONGSBERG DISCOVERY US, LLC",psc:2090
CONT_AWD_N0040623C0030_9700_-NONE-_-NONE-,N0040623C0030,broad_maritime,256245.44,17 MACHINERY LLC,psc:2090
CONT_AWD_N3943021C2201_9700_-NONE-_-NONE-,N3943021C2201,broad_maritime,255927.31,"METAL TRADES, LLC",psc:2090
CONT_AWD_N5005426F5026_9700_N0018924D0022_9700,N5005426F5026,broad_maritime,255771.0,"SPEC-BUILT SYSTEMS, INC.",psc:2090
CONT_AWD_N3220513P1504_9700_-NONE-_-NONE-,N3220513P1504,broad_maritime,255655.29,COLTEC INDUSTRIES INC.,psc:2090
CONT_AWD_N0040624F0143_9700_N3220521D4105_9700,N0040624F0143,broad_maritime,255636.22,EVERLLENCE MIDDLE EAST AND AFRICA L.L.C,psc:2090
CONT_AWD_N0010423PFE47_9700_-NONE-_-NONE-,N0010423PFE47,small_craft,255540.0,DERBYSHIRE MACHINE & TOOL CO,naics:336612
CONT_AWD_N3220515P3645_9700_-NONE-_-NONE-,N3220515P3645,broad_maritime,255382.0,RED FOX ENVIRONMENTAL SERVICES INC,psc:2090
CONT_AWD_N3220522P2250_9700_-NONE-_-NONE-,N3220522P2250,broad_maritime,255040.0,"W. & O. SUPPLY, INC.",psc:2090
CONT_AWD_GA01_9700_N0002416D4300_9700,GA01,broad_maritime,254597.0,ELECTRIC BOAT CORPORATION,psc:1905
