prime_piid,prime,prime_uei,sub_key,sub_name,sub_uei,sub_amount,sub_date,capability,report_lag_mo,description
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,G68SW8U2WVM4,MOTION CONTROL SYSTEMS INC,G68SW8U2WVM4,195956.0,2024-03-27,propulsion_power,0.7,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,G68SW8U2WVM4,MOTION CONTROL SYSTEMS INC,G68SW8U2WVM4,195956.0,2023-05-09,propulsion_power,0.9,Engineering services/materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC.",XNHRXR2HTXA8,194670.0,2025-02-24,platform_hull,1.2,Engineering Services/Materials
N0002424C2204,"SAAB, INC",H5FMLSGM29L1,DC5VNMMT1FW6,FORCYS INC.,DC5VNMMT1FW6,187495.44,2024-08-07,other_unclassified,0.4,"Sprint-Nav Mini Navigator 300m P/N 8334-0715-002
"
N0003923F2056,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,FNA3YNLZNM43,186026.68,2023-03-01,propulsion_power,1.2,Engineering services/materials
N6133120F3009,"AVIAN, LLC",D82NUFL39FE3,MBPHTU7Y9S65,BOOZ ALLEN HAMILTON HOLDING CORPORATION,JCBMLGPE6Z71,185512.33,2021-08-20,autonomy_software,13.7,Support of Unmanned Maritime Systems Program.
N6660418F3022,SERCO-IPS CORPORATION,RGEBPDP8RV96,M3WTFLL92KZ3,"DBV TECHNOLOGY, LLC",M3WTFLL92KZ3,185440.47,2021-03-18,other_unclassified,37.5,Services
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,WQKMXY9FRUC5,180000.0,2025-02-26,propulsion_power,1.1,Engineering Servies and materials 
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC",XNHRXR2HTXA8,177360.0,2021-07-12,platform_hull,0.8,Engineering services/materials
N0010426CXA01,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,E582KXT4RVH6,"SUPERIOR MOTION CONTROLS, INC.",E582KXT4RVH6,177024.0,2026-03-05,other_unclassified,1.5,"products
"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,DJ72XMAJLNL4,176610.0,2021-07-30,propulsion_power,0.2,Engineering services/materials
N6660418F3022,SERCO-IPS CORPORATION,RGEBPDP8RV96,M3WTFLL92KZ3,"DBV TECHNOLOGY, LLC",M3WTFLL92KZ3,176315.08,2023-04-14,other_unclassified,25.5,Services
