prime_piid,prime,prime_uei,sub_key,sub_name,sub_uei,sub_amount,sub_date,capability,report_lag_mo,description
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,ME2BVJ4KGAM1,"SYSTIMA TECHNOLOGIES, INC.",ME2BVJ4KGAM1,459071.0,2021-03-16,other_unclassified,17.5,"Launchers&Cannisters, NRE - Other."
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,ME2BVJ4KGAM1,SYSTIMA TECHNOLOGIES INC,ME2BVJ4KGAM1,459071.0,2021-03-16,other_unclassified,37.3,"Launchers&Cannisters, NRE - All."
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,ME2BVJ4KGAM1,SYSTIMA TECHNOLOGIES INC,ME2BVJ4KGAM1,459071.0,2021-03-16,other_unclassified,24.9,"Launchers&Cannisters, NRE - Other."
N0001418C2006,"LEIDOS, INC.",KTMAJCY6JXM3,JXUMFLGNSMP8,"UNITED STATES MARINE, INC.",JXUMFLGNSMP8,459001.0,2018-01-17,other_unclassified,32.2,PROCURED SERVICES BETWEEN 8/1/2020-8/30/2020 IN SUPPORT OF CONTRACT SOW.
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,N1PJDANWUJ61,SCOT FORGE COMPANY,N1PJDANWUJ61,456216.0,2018-07-24,other_unclassified,2.1,"SEA CHEST,NICU,16.000 NOM,DISCHARGE; Item # 2"
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,KZA5CX3J8KE8,CARLYLE HOLDING CORP,EDNNTCM7SUS8,439607.24,2019-04-16,other_unclassified,76.3,"JP-5, DC Voids  pump/clean/wash support
"
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,427853.0,2020-08-10,other_unclassified,1.6,Initial Freight & InstallationPO item #2
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,427853.0,2020-03-10,other_unclassified,3.5,"Initial Freight & Installation;item num#2
"
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,N1PJDANWUJ61,SCOT FORGE COMPANY,N1PJDANWUJ61,412724.0,2018-07-24,other_unclassified,2.1,"SEA CHEST,NICU,16.000 NOM,DISCHARGE; Item # 1"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,Q1B3NG6LP9B5,"EXAIL DEFENSE SYSTEMS, INC.",Q1B3NG6LP9B5,406323.0,2024-12-19,autonomy_software,1.4,Engineering Services/Materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,MHZPPJVGRNN6,IXCORE,Q1B3NG6LP9B5,404324.0,2020-03-03,propulsion_power,10.1,Engineering materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,395410.4,2020-08-10,other_unclassified,1.6,Lease Non-Combust Modular OfficesPO item #1
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,395410.4,2020-03-10,other_unclassified,3.5,"Lease Non-Combust Modular Offices;item num#1
"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,UPV2EK5XFBJ6,PHAZAR CORP,E65NWNLNERQ5,382491.24,2026-02-05,propulsion_power,1.1,Engineering Services
N6133120F3009,"AVIAN, LLC",D82NUFL39FE3,FAZSFFE6CST9,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,377457.6,2023-08-20,autonomy_software,10.8,Training support for UUV Unmanned Maritime System. 
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,PAH8M4BJACA5,372683.48,2021-12-27,propulsion_power,0.3,Engineering services/materials
N0003921F2173,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,FNA3YNLZNM43,361274.27,2024-12-01,propulsion_power,2.0,Engineering Services
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,PX7XVJDX7TZ7,VICOR CORPORATION,PZK1KSXFFNX9,354792.0,2021-04-14,propulsion_power,0.6,Engineering services/materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,RLDUT4AS31N5,"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,353740.35,2020-08-10,other_unclassified,1.6,Non-Combust Offices- 3/22/20 - 6/22/21PO item #11
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",EDNNTCM7SUS8,353085.6,2020-05-27,autonomy_software,1.0,Painting Blast Plugs for CVN 77 DPIA;PO Item#1
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,PJM1KBVHTYL6,"Distribution International, Inc.",CMFGEC4XM233,352070.4,2018-06-01,other_unclassified,2.0,"INSUL,FBRGL,24.000W X 36.000L X 2.000THK; Item #1"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,JNJDBJZLL2R7,EDGEONE LLC,JNJDBJZLL2R7,346437.0,2024-09-12,propulsion_power,1.8,Engineering services/materials
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,MFCTLU3MRXC8,"EMPIRICAL SYSTEMS AEROSPACE, INC.",MFCTLU3MRXC8,340606.0,2021-10-28,other_unclassified,0.5,"Electromech-Mj Assys, NRE - Other."
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,YRD5CM5FTNU9,EDGEONE LLC,JNJDBJZLL2R7,338317.0,2023-05-04,propulsion_power,1.1,Engineering services/materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",T1GVZ5Z6K5L4,337259.4,2019-03-04,other_unclassified,1.6,CVN 77 DPIA JP-5 PUMPING SERVICES; Item #1
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC",XNHRXR2HTXA8,334000.0,2021-10-19,platform_hull,0.7,Engineering materials
N0002416C4112,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,YQ9EQZJ8PKM6,"AUXILIARY SYSTEMS, INC.",YQ9EQZJ8PKM6,327045.0,2017-08-14,other_unclassified,4.2,Execution Funding for Reboiler Work; ITEM #2
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",T1GVZ5Z6K5L4,325025.55,2020-06-02,other_unclassified,1.8,"CVN 77 DPIA JP-5 Pumping Services; item #2
"
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",T1GVZ5Z6K5L4,325025.55,2020-06-02,other_unclassified,1.8,"CVN 77 DPIA JP-5 Pumping Services; item #2
"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,DJ72XMAJLNL4,"Teledyne Instruments, Inc.",DJ72XMAJLNL4,323976.0,2025-12-16,propulsion_power,2.2,Engineering Material/Services
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,XNHRXR2HTXA8,"BEAUFORT COMPOSITE TECHNOLOGIES, INC.",XNHRXR2HTXA8,318180.0,2024-05-24,platform_hull,5.4,Engineering services/materials
N0002417C4103,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,KAYUMJMKWDF9,"J. H. NORTON COMPANY, INC.",KAYUMJMKWDF9,312930.0,2022-07-12,other_unclassified,1.6,PO 4500596793 PO Item No. 1 - CVN77 Blast Equipment 4/23/19-12/30/19
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,M34VC7UDBDE6,ADL EMBEDDED SOLUTIONS INC,M34VC7UDBDE6,293436.0,2022-12-07,propulsion_power,1.6,Engineering services/materials
