cell,desc,net,n,primes,top1,hhi,eff,label,span,n_years
1425,"GUIDED MISSILE SYSTEMS, COMPLETE",1429585810.29,6,4,0.4593640586477173,0.39389887424180026,2.5387226656203548,Moderate,18,6
AC12,NATIONAL DEFENSE R&D SERVICES; DEP,1396174176.8299997,104,70,0.12804382931354524,0.04196227975607579,23.830926389436893,Lower,12,8
J058,MAINT/REPAIR/REBUILD OF EQUIPMENT-,1360123947.92,28,17,0.32594729079505613,0.16744120907917168,5.972245455580575,Lower,14,11
3590,MISCELLANEOUS SERVICE AND TRADE EQ,1265597542.59,7,7,0.7635926331306674,0.6076565467682968,1.6456664629358566,High,9,6
R706,SUPPORT- MANAGEMENT: LOGISTICS SUP,1248155445.3699996,14,11,0.2627591911941538,0.15435923344553465,6.478394441838479,Lower,17,10
D302,IT AND TELECOM- SYSTEMS DEVELOPMEN,1234187062.6000009,393,83,0.13365528945512245,0.0516744076366827,19.35193930099585,Lower,15,15
AC24,NATIONAL DEFENSE R&D SERVICES; ATO,1219889043.24,12,7,0.47353270224950467,0.33479459835506603,2.9869060161462078,Moderate,17,10
5999,MISCELLANEOUS ELECTRICAL AND ELECT,1163963265.14,32,5,0.9801738324385827,0.9608830470903625,1.0407093798023463,High,22,16
H914,OTHER QC/TEST/INSPECT- GUIDED MISS,1092798591.73,5,3,0.6155074605881145,0.4727629963608108,2.115224769488524,High,9,5
5855,"NIGHT VISION EQUIPMENT, EMITTED AN",1034433799.1200001,60,12,0.27463034100555744,0.17188573787662983,5.817818350454098,Lower,16,17
D316,IT AND TELECOM- TELECOMMUNICATIONS,1013954206.2800001,19,16,0.21095967350909267,0.11781076080668164,8.488188966379079,Lower,11,10
AC67,R&D- DEFENSE SYSTEM: ELECTRONICS/C,990327356.3299999,9,2,0.9960321024205954,0.992095693263592,1.00796728258179,High,7,7
2090,MISCELLANEOUS SHIP AND MARINE EQUI,965603231.5799997,808,143,0.12177393375910435,0.047818915614575894,20.912226618856778,Lower,21,21
M181,OPER OF GOVT R&D GOCO FACILITIES,911313725.12,1,1,1.0,1.0,1.0,High,0,1
L099,TECHNICAL REPRESENTATIVE- MISCELLA,910021542.3800001,6,4,0.9661259265254537,0.9341041250477031,1.070544464139832,High,8,4
7010,INFORMATION TECHNOLOGY EQUIPMENT S,856881023.2100002,89,13,0.28801324728312633,0.20748292971504073,4.8196736057921035,Lower,11,12
U008,EDUCATION/TRAINING- TRAINING/CURRI,853728294.3799999,7,4,0.55724322614315,0.4174883611008405,2.395276355401101,High,17,6
DF01,IT AND TELECOM - IT MANAGEMENT SUP,801271351.9300002,47,18,0.1418499361873223,0.09939346189047318,10.061023944431597,Lower,4,5
K012,MODIFICATION OF EQUIPMENT- FIRE CO,787261015.38,7,3,0.9355711753546986,0.8773772753275604,1.1397605432926896,High,7,6
1440,"LAUNCHERS, GUIDED MISSILE",784711325.65,10,4,0.47269997332171165,0.35421017632343954,2.8231825815384566,Moderate,20,8
AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGI,779697647.55,8,7,0.5195001105784727,0.34359059779565604,2.910440525484725,Moderate,11,5
2010,SHIP AND BOAT PROPULSION COMPONENT,774355293.7600002,50,12,0.2979189535204502,0.18359564947565532,5.4467521581038305,Lower,26,13
H212,EQUIPMENT AND MATERIALS TESTING- F,774039836.53,1,1,1.0,1.0,1.0,High,0,1
K016,MODIFICATION OF EQUIPMENT- AIRCRAF,769033985.91,14,4,0.8010856416066088,0.6633949754490598,1.5073976092795824,High,14,8
AD93,R&D- DEFENSE OTHER: OTHER (ADVANCE,724785211.4699999,43,23,0.16436437523109004,0.09489981727759149,10.537428086662166,Lower,14,7
1210,FIRE CONTROL DIRECTORS,717931066.59,8,4,0.6664672149829832,0.537143233339576,1.8617008237871835,High,13,6
AD92,R&D- DEFENSE OTHER: OTHER (APPLIED,680332497.4300001,54,43,0.12395363538940271,0.04205641873316844,23.77758330647718,Lower,3,4
R414,SYSTEMS ENGINEERING SERVICES,676633062.3000001,7,7,0.6709531593635222,0.47140641130007316,2.1213118363030734,High,3,4
AC23,NATIONAL DEFENSE R&D SERVICES; ATO,659198850.5500001,11,6,0.8709454389991426,0.7664498813703927,1.304716752270906,High,12,9
7G20,IT AND TELECOM - NETWORK: ANALOG V,643073084.08,26,18,0.8475290141239961,0.7213768095150288,1.3862380753164016,High,5,6
K058,MODIFICATION OF EQUIPMENT- COMMUNI,642036209.16,19,12,0.2054598533042027,0.12840521221503998,7.78784585726397,Lower,15,9
K010,MODIFICATION OF EQUIPMENT- WEAPONS,638214099.06,4,3,0.4477712720870708,0.35435262619343283,2.822047661230323,Moderate,7,4
AD24,R&D- DEFENSE OTHER: SERVICES (ENGI,632822170.34,25,6,0.6986729726495694,0.5079906801322266,1.968540052230302,High,12,6
AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/C,628064275.57,14,10,0.31386453205143244,0.2203364240547952,4.538514248335587,Lower,17,8
1935,"BARGES AND LIGHTERS, SPECIAL PURPO",579441245.0699999,3,2,0.9405988712525255,0.8882547306979991,1.1258031794710401,High,18,3
1075,DEGAUSSING AND MINE SWEEPING EQUIP,574307155.66,7,4,0.4811005126385265,0.45398413933541354,2.202720124680783,High,9,7
R799,SUPPORT- MANAGEMENT: OTHER,572893811.65,18,13,0.13913460286894688,0.10315862696743529,9.693808742875921,Lower,20,9
6605,NAVIGATIONAL INSTRUMENTS,562567103.4200004,532,73,0.6693145107862589,0.4623669932396011,2.1627841403501624,High,16,17
1340,"ROCKETS, ROCKET AMMUNITION AND ROC",549649676.53,8,3,0.9946532492867945,0.989352068033618,1.0107625306606427,High,6,6
7G21,IT AND TELECOM - NETWORK: DIGITAL ,546819352.2599998,55,10,0.44586082266904886,0.25681161381147705,3.893904894558587,Lower,6,7
J059,MAINT/REPAIR/REBUILD OF EQUIPMENT-,536291940.4899999,17,11,0.3147622800107093,0.1882383148304654,5.312414748828569,Lower,11,10
5985,"ANTENNAS, WAVEGUIDES, AND RELATED ",514274727.96999997,53,22,0.17794465578977145,0.10532624240000618,9.49431003341235,Lower,17,15
2330,TRAILERS,499553753.94,3,2,0.9998037624595415,0.9996076019374276,1.0003925520992556,High,2,3
D307,IT AND TELECOM- IT STRATEGY AND AR,468129677.7799998,48,21,0.336669965034918,0.15694618066239924,6.371610929169794,Lower,16,12
7G22,IT AND TELECOM - NETWORK: SATELLIT,441337887.12000006,35,9,0.49087857256880957,0.31687384870860563,3.155830006406086,Lower,5,6
B541,SPECIAL STUDIES/ANALYSIS- DEFENSE,437804746.69,7,6,0.25295291713320645,0.19544951173571995,5.116410837353052,Lower,17,6
J020,MAINT/REPAIR/REBUILD OF EQUIPMENT-,429504507.9499999,27,10,0.5365227060592951,0.3240204437853031,3.086225018143,Lower,19,11
6910,TRAINING AIDS,427280710.6900001,73,17,0.2349822394693696,0.14309124797962608,6.988547616429931,Lower,14,14
1510,"AIRCRAFT, FIXED WING",389122146.19,7,4,0.659953485799826,0.5164451992290565,1.9363138654261645,High,15,6
DA10,IT AND TELECOM - BUSINESS APPLICAT,375011940.42,43,25,0.33528122056375553,0.17527941709194375,5.70517643537943,Lower,5,6
AJ13,GENERAL SCIENCE & TECHNOLOGY R&D S,372843676.23999995,15,11,0.461020011666646,0.25684882449226376,3.893340769523825,Lower,6,6
J015,MAINT/REPAIR/REBUILD OF EQUIPMENT-,362181672.2,2,2,0.7976838905875481,0.6772313974306785,1.4766001750566506,High,6,2
AJ12,GENERAL SCIENCE AND TECHNOLOGY R&D,350161694.46000004,18,12,0.2166929027374458,0.133000412849145,7.518773653238541,Lower,5,6
R710,SUPPORT- MANAGEMENT: FINANCIAL,346775530.0,4,4,0.4173527499474949,0.30882126853990866,3.238118944099768,Lower,19,4
N059,INSTALLATION OF EQUIPMENT- ELECTRI,345466864.74000007,7,5,0.7074591956422198,0.5346725245409352,1.8703036982470544,High,6,5
5975,ELECTRICAL HARDWARE AND SUPPLIES,341931541.33000004,2,2,0.968652041083115,0.9392694712227394,1.0646571943812906,High,0,1
L014,TECHNICAL REPRESENTATIVE- GUIDED M,337840561.2400001,93,4,0.5085197170210572,0.38579184874438555,2.5920713546816563,Moderate,10,10
N058,INSTALLATION OF EQUIPMENT- COMMUNI,334683382.55999994,6,4,0.9139677923661536,0.8394751256644647,1.1912205250971266,High,11,6
C219,ARCHITECT AND ENGINEERING- GENERAL,334611540.23,6,3,0.5294091736293252,0.3972714910970675,2.51717030396139,Moderate,8,5
1310,"AMMUNITION, OVER 30MM UP TO 75MM",310622764.0200001,17,6,0.46540599236536273,0.3095400946631407,3.2305992575477416,Lower,14,10
D306,IT AND TELECOM- SYSTEMS ANALYSIS,305142265.6700001,8,4,0.7166307023704416,0.5877094774840644,1.701520969647992,High,7,4
J099,MAINT/REPAIR/REBUILD OF EQUIPMENT-,299923983.7699999,24,3,0.5385816162800564,0.39925682198980506,2.5046535085267365,Moderate,6,7
AC17,R&D- DEFENSE SYSTEM: AIRCRAFT (COM,297575953.88,6,3,0.5824481984182559,0.4264749980423963,2.344803340383834,High,7,3
C211,ARCHITECT AND ENGINEERING- GENERAL,291098821.02,3,2,0.852277986391963,0.7481995593927521,1.3365418188853415,High,20,3
AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D,290711348.7,9,4,0.4100333678855104,0.3460931898236979,2.889395195870241,Moderate,6,6
AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/C,287173734.09999996,19,15,0.21224975999641746,0.1181592770716825,8.463152659552412,Lower,9,8
AR23,R&D- SPACE: SCIENCE/APPLICATIONS (,284665427.04,2,2,0.7499456540607657,0.6249456599677279,1.6001391225784973,High,0,1
1930,"BARGES AND LIGHTERS, CARGO",282643352.04,4,3,0.8840234208467745,0.7928603692229963,1.2612561288439736,High,6,4
M1HA,OPERATION OF GOVERNMENT-OWNED CONT,278611801.59,1,1,1.0,1.0,1.0,High,0,1
M127,OPER OF GOVT ELCT & COMM SYS FAC,275472568.11,2,2,0.8303278973631375,0.718233039552703,1.3923057627963957,High,3,2
L020,TECHNICAL REPRESENTATIVE- SHIP AND,271422718.89,2,1,1.0,1.0,1.0,High,3,2
1907,LANDING CRAFT,270864509.0,1,1,1.0,1.0,1.0,High,0,1
D325,IT AND TELECOM- DATA CENTERS AND S,263897456.28,4,4,0.4718974797084391,0.3515912211162063,2.8442120847763848,Moderate,6,2
2895,MISCELLANEOUS ENGINES AND COMPONEN,262390768.42000002,5,3,0.9997230671626233,0.999446249453199,1.000554057356365,High,13,5
5998,ELECTRICAL AND ELECTRONIC ASSEMBLI,257116961.68,14,4,0.6906621891830377,0.5403918696678462,1.8505089660483853,High,10,9
J016,MAINT/REPAIR/REBUILD OF EQUIPMENT-,251433546.36,10,7,0.33371542518778485,0.22578097941216557,4.429071051970633,Lower,16,9
AC25,NATIONAL DEFENSE R&D SVCS; ATOMIC ,247384562.32,10,4,0.5454231790561959,0.39449083067237944,2.534913164636999,Moderate,18,8
K015,MODIFICATION OF EQUIPMENT- AIRCRAF,240833992.24999997,12,3,0.5947133118622294,0.43891760822145526,2.2783319266960267,High,17,7
DE01,IT and Telecom - End User: Help De,232488984.83,8,6,0.9570544088043537,0.9164529239305058,1.0911635217564426,High,3,4
1240,OPTICAL SIGHTING AND RANGING EQUIP,231395331.76,7,4,0.36573235231804835,0.2820456225395191,3.5455256883481114,Lower,11,5
AD23,R&D- DEFENSE OTHER: SERVICES (ADVA,228531682.96999997,13,7,0.32587224958114963,0.21527561311830787,4.645207998782636,Lower,11,8
J070,MAINT/REPAIR/REBUILD OF EQUIPMENT-,227260151.7599999,33,12,0.48037869320482945,0.33472196901540724,2.987554127210485,Moderate,6,7
Z2KZ,REPAIR OR ALTERATION OF OTHER CONS,225053693.66000003,3,2,0.6653433064120988,0.5546768179505704,1.8028516203269813,High,1,2
1924,REPAIR SHIPS,222455407.18,1,1,1.0,1.0,1.0,High,0,1
1315,"AMMUNITION, 75MM THROUGH 125MM",221059778.16,16,5,0.888494161420179,0.7953818092604348,1.2572578205300222,High,14,8
6130,"CONVERTERS, ELECTRICAL, NONROTATIN",220001116.38,7,3,0.9912914992818002,0.9827308388269711,1.0175726256780973,High,3,3
AN42,HEALTH R&D SERVICES; HEALTH CARE -,218895666.25999996,20,6,0.44965520433414913,0.36920702559723145,2.70850750573447,Moderate,7,7
D311,IT AND TELECOM- DATA CONVERSION,217217274.3,2,2,0.9934759571283323,0.9870370405274471,1.0131332046724668,High,6,2
AD26,R&D- DEFENSE OTHER: SERVICES (MANA,217094802.72,5,5,0.23765130235080922,0.20577995333562774,4.859559854059238,Lower,5,4
AD25,R&D- DEFENSE OTHER: SERVICES (OPER,211475893.03000003,5,5,0.31906874917619066,0.2587311825713634,3.8650153802940985,Lower,11,5
N010,INSTALLATION OF EQUIPMENT- WEAPONS,207590976.4,2,1,1.0,1.0,1.0,High,1,2
AC11,NATIONAL DEFENSE R&D SERVICES; DEP,204334399.34,8,6,0.6690372501720934,0.49443807775499105,2.0224979527072957,High,4,4
R699,SUPPORT- ADMINISTRATIVE: OTHER,192181007.70999998,6,6,0.373263584548617,0.3167452864271466,3.157110911672576,Lower,8,5
L058,TECHNICAL REPRESENTATIVE- COMMUNIC,190830389.26,3,3,0.3903196722955739,0.34194035055568367,2.9244866783779995,Moderate,5,3
7A21,IT AND TELECOM - BUSINESS APPLICAT,189371923.7099999,136,27,0.3187091672703587,0.15144219690424737,6.603179433749708,Lower,6,7
DG01,IT AND TELECOM - NETWORK SUPPORT S,188621120.76,9,8,0.6090019268635375,0.44245548962897324,2.260114346956262,High,4,3
J012,MAINT/REPAIR/REBUILD OF EQUIPMENT-,188157885.39,2,2,0.6212885074026926,0.5294218040559461,1.8888530701586406,High,1,2
AC34,NATIONAL DEFENSE R&D SERVICES; DEF,187632714.89000002,4,4,0.3700177568218951,0.31395456215198897,3.18517429129088,Lower,8,3
4920,AIRCRAFT MAINTENANCE AND REPAIR SH,186945165.72,8,5,0.9043820082688149,0.8263184281588386,1.2101872182956757,High,10,6
N020,INSTALLATION OF EQUIPMENT- SHIP AN,175776633.24,4,4,0.30106967396367906,0.26445480827661977,3.7813644097330985,Lower,8,4
L059,TECHNICAL REPRESENTATIVE- ELECTRIC,170617433.87,1,1,1.0,1.0,1.0,High,0,1
AC31,NATIONAL DEFENSE R&D SERVICES; DEF,169176618.66,10,9,0.20907236910252125,0.15230037576992178,6.565971980992924,Lower,17,7
1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS,167953925.0,4,1,1.0,1.0,1.0,High,4,4
C1ED,ARCHITECT AND ENGINEERING- CONSTRU,164827522.0,2,1,1.0,1.0,1.0,High,2,2
K099,MODIFICATION OF EQUIPMENT- MISCELL,162865914.64,2,1,1.0,1.0,1.0,High,5,2
1270,AIRCRAFT GUNNERY FIRE CONTROL COMP,155026925.28999996,9,5,0.3903935538732118,0.32294668518645275,3.096486342390081,Lower,8,7
DB02,IT AND TELECOM - COMPUTE SUPPORT S,154235899.95,4,4,0.7970475348466368,0.6548636512838417,1.5270354340778087,High,4,3
1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE",150458843.79,11,5,0.9589809342904828,0.9202584179414063,1.0866512932714851,High,12,7
D308,IT AND TELECOM- PROGRAMMING,149854915.68,25,14,0.31386256471183116,0.19071241623148438,5.243497092429537,Lower,13,13
DG10,IT AND TELECOM - NETWORK AS A SERV,147707625.17000002,6,6,0.5553922687849278,0.4300140303471979,2.3255055170934527,High,3,3
7F20,IT AND TELECOM - IT MANAGEMENT TOO,147176826.19999996,19,9,0.42609105597087543,0.298427552866816,3.3508970280846886,Lower,6,7
1950,FLOATING DRYDOCKS,143093143.0,2,2,0.9843100518100997,0.9691124525686028,1.031871995194707,High,3,2
AC53,R&D- DEFENSE SYSTEM: WEAPONS (ADVA,140101870.62,6,4,0.9067586396798961,0.8259562953479768,1.210717813560218,High,5,3
1220,FIRE CONTROL COMPUTING SIGHTS AND ,138066734.72,1,1,1.0,1.0,1.0,High,0,1
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARG",133067727.41,3,3,0.8170383096347192,0.6955012427918218,1.4378119526945563,High,0,1
U006,EDUCATION/TRAINING- VOCATIONAL/TEC,129931217.28,2,2,0.6192773852537865,0.5284541892659604,1.8923116143502081,High,5,2
U099,EDUCATION/TRAINING- OTHER,129343236.21,3,3,0.6011380184098766,0.5171592873657865,1.9336402234863095,High,12,3
7025,INFORMATION TECHNOLOGY INPUT/OUTPU,127650020.33,19,13,0.56386811881364,0.353253722908759,2.830826499904397,Moderate,8,9
DH10,IT AND TELECOM - PLATFORM AS A SER,124874354.19,3,3,0.9391525142269087,0.8854116289280697,1.129418190735373,High,2,3
DE10,IT and Telecom - End User as a Ser,124289288.86000001,5,4,0.9757871880384656,0.9523665867051906,1.050015838396433,High,4,3
6930,OPERATION TRAINING DEVICES,122144746.79,4,4,0.9100044963955833,0.834031272148136,1.1989958091432158,High,6,4
J049,MAINT/REPAIR/REBUILD OF EQUIPMENT-,122097845.76000002,29,1,1.0,1.0,1.0,High,5,6
7050,INFORMATION TECHNOLOGY COMPONENTS,120729881.54,24,6,0.5801033543364812,0.46907796959069925,2.131841750898181,High,6,7
N019,"INSTALLATION OF EQUIPMENT- SHIPS, ",118509056.66,2,1,1.0,1.0,1.0,High,1,2
2835,GAS TURBINES AND JET ENGINES; NON-,115694205.52000001,5,2,0.720472145907001,0.5972159342416758,1.6744362343073873,High,5,4
D319,IT AND TELECOM- ANNUAL SOFTWARE MA,113919148.35000001,56,27,0.2969401798551982,0.137523414497043,7.27148903084792,Lower,8,8
H249,EQUIPMENT AND MATERIALS TESTING- M,113756713.89,2,1,1.0,1.0,1.0,High,5,2
DC01,IT AND TELECOM - DATA CENTER SUPPO,112166783.15,12,5,0.6259156342757254,0.47065912386663333,2.1246799420027,High,4,5
7A20,IT AND TELECOM - APPLICATION DEVEL,107642745.50999998,70,18,0.20793500215879063,0.1156964656478648,8.64330638278625,Lower,6,7
D301,IT AND TELECOM- FACILITY OPERATION,107314708.64000002,10,9,0.4089824293073717,0.23757731930865592,4.209156004074695,Lower,7,6
M2CA,SHIP HUSBANDING SERVICES—MANAGEMEN,106446455.91,3,3,0.5259822144509761,0.39988293432093075,2.500731874687701,Moderate,0,1
5850,VISIBLE AND INVISIBLE LIGHT COMMUN,105582851.88,3,2,0.6404655176093923,0.539461123274549,1.8537016975940046,High,6,3
1290,MISCELLANEOUS FIRE CONTROL EQUIPME,104917668.25999999,3,2,0.7422011807108378,0.6173228238754478,1.6198979874454826,High,7,3
DC10,IT AND TELECOM - DATA CENTER AS A ,103861283.77,1,1,1.0,1.0,1.0,High,0,1
AJ15,GENERAL SCIENCE & TECHNOLOGY R&D S,102536407.93,1,1,1.0,1.0,1.0,High,0,1
Y154,CONSTRUCT/SHIP CONSTR & REP FAC,97658444.0,1,1,1.0,1.0,1.0,High,0,1
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC",96946938.36,50,9,0.7896592258099238,0.6356024119908188,1.5733105808516739,High,22,13
AC55,R&D- DEFENSE SYSTEM: WEAPONS (OPER,94820973.65,4,3,0.9500318077571227,0.9048947070911156,1.105100949495672,High,3,3
H159,QUALITY CONTROL- ELECTRICAL AND EL,91180116.87,1,1,1.0,1.0,1.0,High,0,1
AC27,R&D- DEFENSE SYSTEM: MISSILE/SPACE,89933468.43,1,1,1.0,1.0,1.0,High,0,1
AJ46,R&D- GENERAL SCIENCE/TECHNOLOGY: E,85847911.56,3,3,0.47466428162926416,0.4526023636314354,2.2094449352330896,High,4,3
AR13,"SPACE R&D SERVICES; SPACE FLIGHT, ",84452906.58,3,3,0.5622302822108506,0.416408267091119,2.4014893051611264,High,2,2
AC51,R&D- DEFENSE SYSTEM: WEAPONS (BASI,83907378.71,3,1,1.0,1.0,1.0,High,0,1
K014,MODIFICATION OF EQUIPMENT- GUIDED ,80990851.0,1,1,1.0,1.0,1.0,High,0,1
7B22,IT AND TELECOM - COMPUTE: SERVERS ,77988197.42,17,9,0.5647372853460164,0.4242086314380631,2.357330629058654,High,5,6
J013,MAINT/REPAIR/REBUILD OF EQUIPMENT-,76934583.24000001,3,3,0.6826436788013203,0.5211388031745101,1.9188745760409958,High,2,2
J017,MAINT/REPAIR/REBUILD OF EQUIPMENT-,75914190.79,4,2,0.5037261753310721,0.5000277687651958,1.9998889311077086,High,6,3
J066,MAINT/REPAIR/REBUILD OF EQUIPMENT-,72300023.27000001,2,2,0.9965952425896085,0.9932136699252643,1.0068326990256249,High,3,2
AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: E,71822895.54,3,3,0.7596202894606942,0.6119871638579641,1.6340212002095025,High,4,3
R703,SUPPORT- MANAGEMENT: ACCOUNTING,69013265.94999999,2,2,0.6806957423813965,0.5653019026295281,1.7689662733283817,High,1,2
1520,"AIRCRAFT, ROTARY WING",67456414.66,2,2,0.8792981633987128,0.7877341935152733,1.2694637458068032,High,9,2
J010,MAINT/REPAIR/REBUILD OF EQUIPMENT-,66115697.23,1,1,1.0,1.0,1.0,High,0,1
5996,AMPLIFIERS,64984959.42,17,6,0.4781806479121442,0.3172349113593925,3.1522381812104823,Lower,11,10
1330,GRENADES,64568232.95999999,46,5,0.5546974016183452,0.3637226187595989,2.7493478503214734,Moderate,15,14
B504,SPECIAL STUDIES/ANALYSIS- CHEMICAL,64006927.4,1,1,1.0,1.0,1.0,High,0,1
Y1ED,CONSTRUCTION OF SHIP CONSTRUCTION ,62743771.0,2,2,0.561958078675252,0.5076776070262574,1.9697540056130136,High,0,1
L019,"TECHNICAL REPRESENTATIVE- SHIPS, S",62537996.29,1,1,1.0,1.0,1.0,High,0,1
AC95,R&D- DEFENSE SYSTEM: MISCELLANEOUS,60099434.45,1,1,1.0,1.0,1.0,High,0,1
2040,MARINE HARDWARE AND HULL ITEMS,59304836.81999999,20,11,0.6999629943505845,0.5050327021531517,1.980069796939108,High,9,9
H220,EQUIPMENT AND MATERIALS TESTING- S,59078170.23,2,2,0.8543932900001734,0.7511892079942939,1.3312225326959117,High,17,2
R416,SUPPORT- PROFESSIONAL: VETERINARY/,58999828.92,1,1,1.0,1.0,1.0,High,0,1
5830,INTERCOMMUNICATION AND PUBLIC ADDR,58179643.43000001,10,4,0.7365946886828488,0.5682707015489189,1.7597247179457416,High,3,4
U009,EDUCATION/TRAINING- GENERAL,57508223.13,1,1,1.0,1.0,1.0,High,0,1
R426,SUPPORT- PROFESSIONAL: COMMUNICATI,54720238.239999995,2,2,0.8323685885692154,0.7209377573349848,1.387082296392126,High,5,2
H299,EQUIPMENT AND MATERIALS TESTING- M,53611228.15,1,1,1.0,1.0,1.0,High,0,1
AD22,R&D- DEFENSE OTHER: SERVICES (APPL,53369762.37,2,2,0.7798467619446513,0.6566284203418127,1.5229313398884605,High,1,2
D321,IT AND TELECOM- HELP DESK,52071006.35,2,2,0.8908110355735424,0.8054665310521292,1.2415165142787055,High,5,2
1390,FUZES AND PRIMERS,51131734.63,3,3,0.9417173400909516,0.8899105294297407,1.1237084706041238,High,13,3
D314,IT AND TELECOM- SYSTEM ACQUISITION,50851751.03,4,4,0.5778064830582885,0.399825952736138,2.501088268924709,Moderate,7,3
6665,HAZARD-DETECTING INSTRUMENTS AND A,50458653.4,8,2,0.918787440332286,0.8507658403601359,1.1754115557539218,High,15,5
M1HB,OPERATION OF GOVERNMENT-OWNED GOVE,50431600.92,1,1,1.0,1.0,1.0,High,0,1
L070,TECHNICAL REPRESENTATIVE- ADP EQUI,49063232.589999996,4,3,0.799552198034247,0.6669518500590923,1.4993586117369635,High,5,4
R419,EDUCATIONAL SERVICES,48502850.38,1,1,1.0,1.0,1.0,High,0,1
L012,TECHNICAL REPRESENTATIVE- FIRE CON,47935716.68,3,2,0.9541892563188439,0.9125757611109289,1.0957994312523103,High,6,3
N063,"INSTALLATION OF EQUIPMENT- ALARM, ",47202422.85,8,4,0.7485964396846634,0.5816850786089771,1.7191432903717725,High,4,4
AC37,R&D- DEFENSE SYSTEM: SHIPS (COMMER,46481210.4,1,1,1.0,1.0,1.0,High,0,1
5811,OTHER CRYPTOLOGIC EQUIPMENT AND CO,46462254.03,3,2,0.745887725929598,0.6209215475256582,1.6105094177919106,High,1,2
1350,"UNDERWATER MINE AND COMPONENTS, IN",45969428.87,1,1,1.0,1.0,1.0,High,0,1
AC57,R&D- DEFENSE SYSTEM: WEAPONS (COMM,45069602.6,1,1,1.0,1.0,1.0,High,0,1
N099,INSTALLATION OF EQUIPMENT- MISCELL,44651298.0,1,1,1.0,1.0,1.0,High,0,1
N060,INSTALLATION OF EQUIPMENT- FIBER O,43049114.37,1,1,1.0,1.0,1.0,High,0,1
AD21,R&D- DEFENSE OTHER: SERVICES (BASI,42804940.0,1,1,1.0,1.0,1.0,High,0,1
AD27,R&D- DEFENSE OTHER: SERVICES (COMM,42688200.47,1,1,1.0,1.0,1.0,High,0,1
AC61,R&D- DEFENSE SYSTEM: ELECTRONICS/C,42487277.45,3,2,0.854547352268626,0.7514076500013864,1.3308355324811438,High,11,3
1560,AIRFRAME STRUCTURAL COMPONENTS,41984207.91,1,1,1.0,1.0,1.0,High,0,1
M1BG,OPERATION OF ELECTRONIC AND COMMUN,41484586.66,1,1,1.0,1.0,1.0,High,0,1
AC36,R&D- DEFENSE SYSTEM: SHIPS (MANAGE,41092643.55,1,1,1.0,1.0,1.0,High,0,1
H258,EQUIPMENT AND MATERIALS TESTING- C,41004976.18,1,1,1.0,1.0,1.0,High,0,1
