cell,desc,net,n,primes,top1,hhi,eff,label,span,n_years
AD91,R&D- DEFENSE OTHER: OTHER (BASIC R,12000000.0,1,1,1.0,1.0,1.0,High,0,1
AC92,R&D- DEFENSE SYSTEM: MISCELLANEOUS,11892033.0,1,1,1.0,1.0,1.0,High,0,1
6650,"OPTICAL INSTRUMENTS, TEST EQUIPMEN",11658488.98,1,1,1.0,1.0,1.0,High,0,1
R708,SUPPORT- MANAGEMENT: PUBLIC RELATI,11404109.04,2,2,0.6424933972746371,0.5406087365337351,1.8497666286560241,High,1,2
5180,"SETS, KITS, AND OUTFITS OF HAND TO",10935903.98,1,1,1.0,1.0,1.0,High,0,1
6660,METEOROLOGICAL INSTRUMENTS AND APP,10418592.8,1,1,1.0,1.0,1.0,High,0,1
5980,OPTOELECTRONIC DEVICES AND ASSOCIA,10403248.0,2,2,0.819520595875442,0.704186822377195,1.4200776956095236,High,7,2
H112,QUALITY CONTROL- FIRE CONTROL EQUI,9974365.0,1,1,1.0,1.0,1.0,High,0,1
7045,INFORMATION TECHNOLOGY SUPPLIES,9536231.77,4,4,0.8808180424499058,0.7810368708081616,1.2803492861550452,High,6,4
AD35,R&D- DEFENSE OTHER: SUBSISTENCE (O,9459578.74,1,1,1.0,1.0,1.0,High,0,1
DD01,IT AND TELECOM - SERVICE DELIVERY ,9407756.77,1,1,1.0,1.0,1.0,High,0,1
6320,SHIPBOARD ALARM AND SIGNAL SYSTEMS,9102110.0,1,1,1.0,1.0,1.0,High,0,1
D305,"IT AND TELECOM – TELEPROCESSING, T",9091841.25,2,2,0.9767655424031958,0.9546107648460269,1.0475473740978545,High,1,2
1450,GUIDED MISSILE HANDLING AND SERVIC,9019232.809999999,3,3,0.5759565729626621,0.44870381663468606,2.2286416182061446,High,7,3
AC66,R&D- DEFENSE SYSTEM: ELECTRONICS/C,8933750.0,1,1,1.0,1.0,1.0,High,0,1
1305,"AMMUNITION, THROUGH 30MM",8515450.08,10,4,0.8276617552551022,0.6960983839668291,1.436578539805449,High,12,9
6135,"BATTERIES, NONRECHARGEABLE",8145453.449999999,5,1,1.0,1.0,1.0,High,4,5
7K20,IT AND TELECOM - STORAGE PRODUCTS ,7987401.38,6,4,0.41433972233908195,0.33026991285702034,3.027826517255048,Lower,5,5
AR11,"SPACE R&D SERVICES; SPACE FLIGHT, ",7761305.93,1,1,1.0,1.0,1.0,High,0,1
5342,"HARDWARE, WEAPON SYSTEM",7212685.46,7,2,0.6231447447591871,0.5303292563236107,1.885621032737807,High,6,4
4925,"AMMUNITION MAINTENANCE, REPAIR, AN",6941046.0,1,1,1.0,1.0,1.0,High,0,1
D317,IT AND TELECOM- WEB-BASED SUBSCRIP,6865796.84,1,1,1.0,1.0,1.0,High,0,1
4130,REFRIGERATION AND AIR CONDITIONING,6441454.5,3,3,0.5571081034570686,0.4094731558884095,2.44216253402585,High,2,2
DK01,IT AND TELECOM - STORAGE SUPPORT S,5930000.28,1,1,1.0,1.0,1.0,High,0,1
7C20,IT AND TELECOM - DATA CENTER PRODU,5857681.67,5,3,0.4995134397598633,0.4676127475698828,2.1385216831595337,High,5,3
5995,"CABLE, CORD, AND WIRE ASSEMBLIES: ",5497523.5,3,3,0.7276003458648244,0.6035876339513402,1.6567602511230666,High,2,3
7035,INFORMATION TECHNOLOGY SUPPORT EQU,5397586.97,7,5,0.46542427458098007,0.34336314171948046,2.91236850581061,Moderate,6,4
1720,AIRCRAFT LAUNCHING EQUIPMENT,5210991.0,3,1,1.0,1.0,1.0,High,1,2
W070,LEASE OR RENTAL OF EQUIPMENT- INFO,5129854.7,9,8,0.4514385173521581,0.25411490193178027,3.9352276958100636,Lower,3,4
1398,SPECIALIZED AMMUNITION HANDLING AN,5085636.04,1,1,1.0,1.0,1.0,High,0,1
7B20,IT AND TELECOM - HIGH PERFORMANCE ,4590358.91,8,4,0.46714590123411504,0.33083453486935094,3.0226590473540123,Lower,4,5
R420,SUPPORT- PROFESSIONAL: CERTIFICATI,4517595.45,1,1,1.0,1.0,1.0,High,0,1
D304,IT AND TELECOM- TELECOMMUNICATIONS,4453540.6,7,5,0.4928767147648772,0.3530557535189616,2.832413832752602,Moderate,6,6
R405,SUPPORT- PROFESSIONAL: OPERATIONS ,4387672.92,1,1,1.0,1.0,1.0,High,0,1
J063,MAINT/REPAIR/REBUILD OF EQUIPMENT-,4281528.84,3,3,0.38329266514995614,0.34285810293316366,2.9166584993761657,Moderate,12,3
R415,SUPPORT- PROFESSIONAL: TECHNOLOGY ,4240823.36,1,1,1.0,1.0,1.0,High,0,1
4820,"VALVES, NONPOWERED",4110422.1,3,3,0.586386249723599,0.4505781444933928,2.219370851030401,High,2,2
6145,"WIRE AND CABLE, ELECTRICAL",3996676.35,1,1,1.0,1.0,1.0,High,0,1
K069,MODIFICATION OF EQUIPMENT- TRAININ,3912546.6999999997,4,1,1.0,1.0,1.0,High,3,3
R409,PROGRAM REVIEW/DEVELOPMENT SERVICE,3682254.94,2,2,0.8462295171773195,0.7397497571296796,1.35180848707558,High,6,2
6610,FLIGHT INSTRUMENTS,3680777.0,1,1,1.0,1.0,1.0,High,0,1
6105,"MOTORS, ELECTRICAL",3476750.1,2,2,0.5691723716352234,0.5095696339952829,1.9624403286347654,High,0,1
5930,SWITCHES,3441276.02,4,2,0.6103770833238771,0.5243662010461722,1.9070641814916418,High,3,2
AJ45,R&D- GENERAL SCIENCE/TECHNOLOGY: E,3286005.6799999997,3,1,1.0,1.0,1.0,High,1,2
H999,OTHER QC/TEST/INSPECT- MISCELLANEO,3124789.0,1,1,1.0,1.0,1.0,High,0,1
5836,VIDEO RECORDING AND REPRODUCING EQ,3103805.94,1,1,1.0,1.0,1.0,High,0,1
