generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_N0001415C5116_9700_-NONE-_-NONE-,N0001415C5116,WOODS HOLE OCEANOGRAPHIC INSTITUTION,371410.97,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '541712', 'description': 'RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)'}","{'code': 'AD92', 'description': 'R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)'}",2015-09-16,2021-02-23,yes,keyword,unmanned surface vessel,IGF::CT::IGF  MULTI-VEHICLE SORTIES FROM AN UNMANNED SURFACE VESSEL
CONT_AWD_N6449821F4356_9700_N6449817D0014_9700,N6449821F4356,"NAG, LLC",371000.18,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '334513', 'description': 'INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2021-08-18,2022-08-18,yes,psc:2090,psc:2090,MISC. TLI MATERIAL PER 3.14 REQUIREMENTS
CONT_AWD_N3220516P4341_9700_-NONE-_-NONE-,N3220516P4341,"DEFENSE MARITIME SOLUTIONS, INC.",370118.38,PURCHASE ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332911', 'description': 'INDUSTRIAL VALVE MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2016-02-09,2016-05-20,yes,psc:2090,psc:2090,FIRM FIXED PRICE PURCHASE ORDER TO WARTSILA DEFENSE FOR THE PROCUREMENT OF SHIPHAM VALVES FOR THE USNS WASHINGTON CHAMBERS.
CONT_AWD_0007_9700_N6554013D0025_9700,0007,"TRELLEBORG MARINE SYSTEMS NORTH AMERICA, INC.",367992.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332312', 'description': 'FABRICATED STRUCTURAL METAL MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2016-05-26,2016-11-21,yes,psc:2090,psc:2090,IGF::CT::IGF DDG SHIP SEPARATOR
CONT_AWD_0006_9700_N6554013D0025_9700,0006,"TRELLEBORG MARINE SYSTEMS NORTH AMERICA, INC.",367714.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332312', 'description': 'FABRICATED STRUCTURAL METAL MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2016-05-26,2016-11-21,yes,psc:2090,psc:2090,IGF::CT::IGF DDG SHIP SEPARATOR
CONT_AWD_4T01_9700_N0002416G4303_9700,4T01,HUNTINGTON INGALLS INC,366448.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2016-10-05,2016-10-07,yes,psc:2090,psc:2090,"IGF::OT::IGF PUMP UNIT, CENTRIFUGAL"
CONT_AWD_N5523622F9997_9700_N0002421D4114_9700,N5523622F9997,HII FLEET SUPPORT GROUP LLC,366377.8,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2021-12-13,2026-01-22,yes,psc:1905,psc:1905,C440B/CVN.  INCORPORATE AND FULLY FUND TASK ORDER 22-P106 CVN76 VENT CLEANING IN SUPPORT OF CARRIER ENGINEERING MAINTENANCE ASSIST TEAM PROGRAM (CEMAT).
CONT_AWD_N0002417F6200_9700_N0002412D6216_9700,N0002417F6200,"ARGON ST, INC.",366078.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '541330', 'description': 'ENGINEERING SERVICES'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2017-09-14,2018-09-30,yes,psc:1905,psc:1905,DAC (FMS CANADA CN-P-MHW)  IGF::CL::IGF
CONT_AWD_N0024422F0179_9700_N0024420D0006_9700,N0024422F0179,"MARINE & RESTAURANT FABRICATORS, INC.",365945.0,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332322', 'description': 'SHEET METAL WORK MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2022-03-15,2022-08-01,yes,psc:2090,psc:2090,HAB MATERIALS FOR CREW MESS
CONT_AWD_0004_9700_N0002413D2253_9700,0004,GRAVOIS ALUMINUM BOATS LLC,365885.0,DO,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2014-08-20,2016-05-26,yes,naics:336612; psc:1940,naics:336612; psc:1940,FORCE PROTECTION MEDIUM BOAT
CONT_AWD_N3220523F1174_9700_N3220519D9006_9700,N3220523F1174,CIRCOR NAVAL SOLUTIONS LLC,364058.38,DELIVERY ORDER,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '333914', 'description': 'MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2023-05-16,2023-10-02,yes,psc:2090,psc:2090,N102/N7 M. WOLIVER CIRCOR PUMP OVERHAUL KITS USNS PATUXENT
CONT_AWD_0201_9700_N0024410D0013_9700,0201,PACIFIC MARITIME INDUSTRIES CORP.,364000.0,DO,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '332322', 'description': 'SHEET METAL WORK MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2015-04-22,2015-07-20,yes,psc:2090,psc:2090,GRP PHENOLIC COMPOSITE DECK GRATING
