vendor,piid,is_ot,award_type,base_signed,last_signed,ceiling_$m,obligated_$m
L3HARRIS TECHNOLOGIES,00575199907C575C92019V575P1099,no,DELIVERY ORDER,1999-07-15,1999-07-15,0.0,0.0
L3HARRIS TECHNOLOGIES,F3361583C1012,no,IDC,1983-11-15,1983-11-15,0.0,0.0
L3HARRIS TECHNOLOGIES,DAAJ0981C1694,no,IDC,1981-09-15,1981-09-15,0.0,0.0
L3HARRIS TECHNOLOGIES,AB070198112C02880288DAAB0779G6229,no,DELIVERY ORDER,1981-12-15,1981-12-15,0.0,0.0
L3HARRIS TECHNOLOGIES,DAAB0782CJ011,no,IDC,1981-11-15,1981-11-15,0.0,0.0
L3HARRIS TECHNOLOGIES,3294198501C4332845C274GS00K8401S5790,no,DELIVERY ORDER,1985-01-15,1985-01-15,0.0,0.0
L3HARRIS TECHNOLOGIES,543294574,no,BOA,1985-07-15,1985-07-15,0.0,0.0
L3HARRIS TECHNOLOGIES,F3060280C0278,no,IDC,1980-10-15,1980-10-15,0.0,0.0
L3HARRIS TECHNOLOGIES,3294198301C4332943123543A75051,no,DELIVERY ORDER,1983-01-15,1983-01-15,0.0,0.0
L3HARRIS TECHNOLOGIES,F0960381C3486,no,IDC,1981-01-15,1981-01-15,0.0,0.0
L3HARRIS TECHNOLOGIES,AB070198208C90689068DAAK8081D0138,no,DELIVERY ORDER,1982-08-15,1982-08-15,0.0,0.0
L3HARRIS TECHNOLOGIES,FH020198305C17771777DAAB0779G6229,no,DELIVERY ORDER,1983-05-15,1983-05-15,0.0,0.0
L3HARRIS TECHNOLOGIES,DAAG0882MS004,no,BPA,1982-03-15,1982-03-15,0.0,0.0
L3HARRIS TECHNOLOGIES,N0001485C2086,no,IDC,1984-12-15,1984-12-15,0.0,0.0
L3HARRIS TECHNOLOGIES,JSC00198608BNAS917472,no,PURCHASE ORDER,1986-08-15,1986-08-15,0.0,0.0
L3HARRIS TECHNOLOGIES,ACBBD198509BJ9M30048,no,PURCHASE ORDER,1985-09-15,1985-09-15,0.0,0.0
L3HARRIS TECHNOLOGIES,N0001485C0383,no,IDC,1986-04-15,1986-04-15,0.0,0.0
L3HARRIS TECHNOLOGIES,15600198206CQ142N0010477A0079,no,DELIVERY ORDER,1982-06-15,1982-06-15,0.0,0.0
L3HARRIS TECHNOLOGIES,F3361581C1501,no,IDC,1981-10-15,1981-10-15,0.0,0.0
L3HARRIS TECHNOLOGIES,DAAB0782GC031,no,BOA,1984-02-15,1984-02-15,0.0,0.0
L3HARRIS TECHNOLOGIES,KA197810CBC79KAE40024GS00C01358,no,DELIVERY ORDER,1978-10-15,1978-10-15,0.0,0.0
L3HARRIS TECHNOLOGIES,AB070198206C8802DAAB0778C0028,no,DELIVERY ORDER,1982-06-15,1982-06-15,0.0,0.0
L3HARRIS TECHNOLOGIES,01390198109C1303N0003980C0011,no,DELIVERY ORDER,1981-09-15,1981-09-15,0.0,0.0
L3HARRIS TECHNOLOGIES,3294198501C4332945C341GS00K8401S5790,no,DELIVERY ORDER,1985-01-15,1985-01-15,0.0,0.0
L3HARRIS TECHNOLOGIES,3294198207C40329421944543A75051,no,DELIVERY ORDER,1982-07-15,1982-07-15,0.0,0.0
L3HARRIS TECHNOLOGIES,47QRCA25DU209,no,IDC,2026-01-08,2026-01-08,1000000.0,0.0
L3HARRIS TECHNOLOGIES,FA881921D0420,no,IDC,2022-08-30,2022-08-30,200.0,0.0
L3HARRIS TECHNOLOGIES,N6600108D0054,no,IDC,2017-03-30,2017-03-30,1.0,0.0
L3HARRIS TECHNOLOGIES,N6600103D7000,no,IDC,2017-03-30,2017-03-30,20.2,0.0
TEXTRON SYSTEMS,W911S818P0129,no,PURCHASE ORDER,2018-09-14,2019-04-17,0.0,0.0
TEXTRON SYSTEMS,W911S819P0045,no,PURCHASE ORDER,2019-05-10,2019-12-10,0.0,0.0
TEXTRON SYSTEMS,W911QY17D0019,no,IDC,2017-06-22,2017-06-22,900.0,0.0
TEXTRON SYSTEMS,N6893623P0186,no,PURCHASE ORDER,2023-03-15,2023-03-15,0.0,0.0
TEXTRON SYSTEMS,N0038324PP055,no,PURCHASE ORDER,2025-07-24,2025-07-24,0.0,0.0
TEXTRON SYSTEMS,N0038323PC291,no,PURCHASE ORDER,2023-02-23,2023-02-23,0.0,0.0
TEXTRON SYSTEMS,FA851723D0006,no,IDC,2024-07-19,2025-05-09,72.1,0.0
TEXTRON SYSTEMS,N0038323PP091,no,PURCHASE ORDER,2025-02-27,2025-02-27,0.0,0.0
TEXTRON SYSTEMS,FA462120P0027,no,PURCHASE ORDER,2020-09-30,2020-09-30,0.0,0.0
TEXTRON SYSTEMS,N0038324FZD09,no,DELIVERY ORDER,2025-01-08,2025-01-08,0.0,0.0
TEXTRON SYSTEMS,W56KGY16D0017,no,IDC,2016-08-17,2016-08-17,9.6,0.0
TEXTRON SYSTEMS,N0038323PP098,no,PURCHASE ORDER,2023-02-27,2023-02-27,0.0,0.0
TEXTRON SYSTEMS,W31P4Q23D0010,no,IDC,2024-10-31,2024-10-31,144.1,0.0
TEXTRON SYSTEMS,N0038324FZD04,no,DELIVERY ORDER,2024-07-30,2024-07-30,0.0,0.0
TEXTRON SYSTEMS,N0038323FZD01,no,DELIVERY ORDER,2023-03-13,2023-03-13,0.0,0.0
TEXTRON SYSTEMS,N0038324PC308,no,PURCHASE ORDER,2024-04-22,2024-04-22,0.0,0.0
TEXTRON SYSTEMS,W911QY19D0033,no,IDC,2020-12-03,2020-12-03,99.5,0.0
TEXTRON SYSTEMS,H9240820D0006,no,IDC,2020-11-17,2020-11-17,975.0,0.0
TEXTRON SYSTEMS,N6893616D0001,no,IDC,2020-09-29,2020-09-29,49.8,0.0
TEXTRON SYSTEMS,N0038319PP278,no,PURCHASE ORDER,2020-07-23,2020-07-23,0.0,0.0
TEXTRON SYSTEMS,N0038320P005P,no,PURCHASE ORDER,2019-10-22,2019-10-22,0.0,0.0
TEXTRON SYSTEMS,W911QX04P0728,no,PURCHASE ORDER,2004-07-23,2004-07-23,0.0,0.0
TEXTRON SYSTEMS,N0038319P009P,no,PURCHASE ORDER,2020-05-04,2020-05-04,0.0,0.0
TEXTRON SYSTEMS,H9224110P0032,no,PURCHASE ORDER,2010-04-06,2010-04-06,0.0,0.0
TEXTRON SYSTEMS,N6833508P0090,no,PURCHASE ORDER,2008-06-04,2008-06-04,0.0,0.0
TEXTRON SYSTEMS,FA851907M0008,no,PURCHASE ORDER,2007-05-11,2007-05-11,0.0,0.0
TEXTRON SYSTEMS,FA825011M0161,no,PURCHASE ORDER,2011-05-25,2011-05-25,0.0,0.0
TEXTRON SYSTEMS,SPRMM113PYB71,no,PURCHASE ORDER,2012-11-06,2012-11-06,0.0,0.0
TEXTRON SYSTEMS,SPM4A612MMD21,no,PURCHASE ORDER,2012-07-18,2012-07-18,0.0,0.0
TEXTRON SYSTEMS,SPE5E816V0363,no,PURCHASE ORDER,2015-10-14,2015-10-14,0.0,0.0
TEXTRON SYSTEMS,SPE4A616MB691,no,PURCHASE ORDER,2016-04-13,2016-04-13,0.0,0.0
TEXTRON SYSTEMS,SPE4A615MB077,no,PURCHASE ORDER,2015-06-23,2015-06-23,0.0,0.0
TEXTRON SYSTEMS,SPE4A615M4632,no,PURCHASE ORDER,2015-01-14,2015-01-14,0.0,0.0
TEXTRON SYSTEMS,N6833510P0458,no,PURCHASE ORDER,2010-09-16,2010-09-16,0.0,0.0
TEXTRON SYSTEMS,H9224114P0020,no,PURCHASE ORDER,2014-05-07,2014-05-07,0.0,0.0
TEXTRON SYSTEMS,FA466411P0023,no,PURCHASE ORDER,2011-06-30,2011-06-30,0.0,0.0
TEXTRON SYSTEMS,SPE4A617P0612,no,PURCHASE ORDER,2016-10-11,2016-10-11,0.0,0.0
TEXTRON SYSTEMS,SPE4A616MB641,no,PURCHASE ORDER,2016-04-12,2016-04-12,0.0,0.0
TEXTRON SYSTEMS,SPE4A613VC133,no,PURCHASE ORDER,2013-05-02,2013-05-02,0.0,0.0
TEXTRON SYSTEMS,N6893604G0005,no,IDC,2003-10-01,2003-10-01,0.0,0.0
TEXTRON SYSTEMS,0032,no,DELIVERY ORDER,2011-08-18,2011-08-18,0.0,0.0
TEXTRON SYSTEMS,UR28,no,DELIVERY ORDER,2011-06-20,2011-06-20,0.0,0.0
TEXTRON SYSTEMS,SPE4A617PD887,no,PURCHASE ORDER,2020-02-07,2020-02-07,0.0,0.0
TEXTRON SYSTEMS,N0038310PP310,no,PURCHASE ORDER,2010-02-20,2010-02-20,0.0,0.0
TEXTRON SYSTEMS,N0038308PP723,no,PURCHASE ORDER,2008-05-12,2008-05-12,0.0,0.0
TEXTRON SYSTEMS,N0038306PP677,no,PURCHASE ORDER,2006-04-05,2006-04-05,0.0,0.0
TEXTRON SYSTEMS,N0038305PP241,no,PURCHASE ORDER,2005-01-24,2005-01-24,0.0,0.0
TEXTRON SYSTEMS,N0038305PLA79,no,PURCHASE ORDER,2004-11-16,2004-11-16,0.0,0.0
TEXTRON SYSTEMS,H9224109P0012,no,PURCHASE ORDER,2008-12-12,2008-12-12,0.0,0.0
TEXTRON SYSTEMS,FA851807M0095,no,PURCHASE ORDER,2007-04-13,2007-04-13,0.0,0.0
TEXTRON SYSTEMS,FA820409M0081,no,PURCHASE ORDER,2009-09-29,2009-09-29,0.0,0.0
TEXTRON SYSTEMS,FA820409M0085,no,PURCHASE ORDER,2009-09-29,2009-09-29,0.0,0.0
TEXTRON SYSTEMS,W912NW11V0124,no,PURCHASE ORDER,2011-01-19,2011-01-19,0.0,0.0
TEXTRON SYSTEMS,W15QKN05P0273,no,PURCHASE ORDER,2005-05-16,2005-05-16,0.0,0.0
TEXTRON SYSTEMS,SPE4A617PA651,no,PURCHASE ORDER,2017-03-31,2017-03-31,0.0,0.0
TEXTRON SYSTEMS,SPE4A617P7242,no,PURCHASE ORDER,2017-02-07,2017-02-07,0.0,0.0
TEXTRON SYSTEMS,SPE4A617P2091,no,PURCHASE ORDER,2016-10-31,2016-10-31,0.0,0.0
TEXTRON SYSTEMS,SPE4A617P0964,no,PURCHASE ORDER,2016-10-14,2016-10-14,0.0,0.0
TEXTRON SYSTEMS,SPE4A616ML507,no,PURCHASE ORDER,2016-09-22,2016-09-22,0.0,0.0
TEXTRON SYSTEMS,SPE4A616ML372,no,PURCHASE ORDER,2016-09-23,2016-09-23,0.0,0.0
TEXTRON SYSTEMS,SPE4A616MD116,no,PURCHASE ORDER,2016-05-11,2016-05-11,0.0,0.0
TEXTRON SYSTEMS,SPE4A616M9043,no,PURCHASE ORDER,2016-02-26,2016-02-26,0.0,0.0
TEXTRON SYSTEMS,FA821319G0002,no,BOA,2019-09-24,2019-09-24,2.1,0.0
TEXTRON SYSTEMS,N0038318P012M,no,PURCHASE ORDER,2017-10-30,2017-10-30,0.0,0.0
TEXTRON SYSTEMS,SPM7A608M1039,no,PURCHASE ORDER,2008-03-25,2008-03-25,0.0,0.0
TEXTRON SYSTEMS,N0038309PP190,no,PURCHASE ORDER,2008-12-19,2008-12-19,0.0,0.0
TEXTRON SYSTEMS,N0038306PP202,no,PURCHASE ORDER,2005-11-29,2005-11-29,0.0,0.0
TEXTRON SYSTEMS,SPM4A509M7565,no,PURCHASE ORDER,2009-05-11,2009-05-11,0.0,0.0
TEXTRON SYSTEMS,SPM4A509M5879,no,PURCHASE ORDER,2009-03-30,2009-03-30,0.0,0.0
TEXTRON SYSTEMS,N0038307PPC34,no,PURCHASE ORDER,2007-07-24,2007-07-24,0.0,0.0
TEXTRON SYSTEMS,NNA16BD45B,no,IDC,2017-01-03,2017-01-03,2.5,0.0
TEXTRON SYSTEMS,FA865615D0272,no,IDC,2015-10-05,2015-10-05,490.0,0.0
TEXTRON SYSTEMS,HSHQDC09A00052,no,BPA,2010-03-25,2010-03-25,0.0,0.0
TEXTRON SYSTEMS,NNA11AA23B,no,IDC,2011-02-15,2014-08-13,5.0,0.0
TEXTRON SYSTEMS,HSHQDC09J00321,no,BPA CALL,2014-04-17,2014-04-17,0.0,0.0
TEXTRON SYSTEMS,FA868209C0125,no,DEFINITIVE CONTRACT,2009-08-03,2009-08-03,0.7,0.0
TEXTRON SYSTEMS,FA820414D0001,no,IDC,2020-11-10,2020-11-10,33.1,0.0
TEXTRON SYSTEMS,SPRBL112D0020,no,IDC,2012-09-07,2012-09-07,9.6,0.0
TEXTRON SYSTEMS,N0038308PP197,no,PURCHASE ORDER,2007-11-16,2007-11-16,0.0,0.0
TEXTRON SYSTEMS,SPM4A706M4695,no,PURCHASE ORDER,2006-05-19,2006-05-19,0.0,0.0
TEXTRON SYSTEMS,N0010422PJA95,no,PURCHASE ORDER,2022-03-29,2022-03-29,0.0,0.0
TEXTRON SYSTEMS,70Z04018P50196B00,no,PURCHASE ORDER,2018-02-14,2018-02-14,0.0,0.0
TEXTRON SYSTEMS,HSCG4011P50159,no,PURCHASE ORDER,2011-09-01,2011-09-01,0.0,0.0
TEXTRON SYSTEMS,SPE4A615D0086,no,IDC,2018-01-26,2018-01-26,0.5,0.0
TEXTRON SYSTEMS,GS07F0400T,no,FSS,2011-01-03,2011-01-24,8.0,0.0
TEXTRON SYSTEMS,N0010408PCM78,no,PURCHASE ORDER,2008-02-20,2008-02-20,0.0,0.0
TEXTRON SYSTEMS,N0010409VCQ92,no,PURCHASE ORDER,2010-01-25,2010-01-25,0.0,0.0
TEXTRON SYSTEMS,W56HZV14PA651,no,PURCHASE ORDER,2014-06-23,2014-06-23,0.0,0.0
TEXTRON SYSTEMS,SPE7MC16M2456,no,PURCHASE ORDER,2015-12-23,2015-12-23,0.0,0.0
TEXTRON SYSTEMS,SPE7M416M2366,no,PURCHASE ORDER,2016-04-01,2016-04-01,0.0,0.0
TEXTRON SYSTEMS,SPE7M415M1022,no,PURCHASE ORDER,2015-01-20,2015-01-20,0.0,0.0
TEXTRON SYSTEMS,SPE5EK15M1361,no,PURCHASE ORDER,2015-04-28,2015-04-28,0.0,0.0
TEXTRON SYSTEMS,SPE5E415M2521,no,PURCHASE ORDER,2015-08-13,2015-08-13,0.0,0.0
TEXTRON SYSTEMS,SP048001M9565,no,PURCHASE ORDER,2001-02-05,2001-02-05,0.0,0.0
TEXTRON SYSTEMS,SPE8E913M0117,no,PURCHASE ORDER,2013-08-23,2013-08-23,0.0,0.0
TEXTRON SYSTEMS,SPM7M011M8139,no,PURCHASE ORDER,2011-09-06,2011-09-06,0.0,0.0
TEXTRON SYSTEMS,SPM5EK13M0066,no,PURCHASE ORDER,2012-10-31,2012-10-31,0.0,0.0
TEXTRON SYSTEMS,SPE8EE15M0703,no,PURCHASE ORDER,2015-03-31,2015-03-31,0.0,0.0
TEXTRON SYSTEMS,SPE7L015M1615,no,PURCHASE ORDER,2015-02-17,2015-02-17,0.0,0.0
TEXTRON SYSTEMS,SPE4A615M9883,no,PURCHASE ORDER,2015-05-12,2015-05-12,0.0,0.0
TEXTRON SYSTEMS,SPM7A508M0252,no,PURCHASE ORDER,2007-10-31,2007-10-31,0.0,0.0
TEXTRON SYSTEMS,SPM4M108M1674,no,PURCHASE ORDER,2007-11-15,2007-11-15,0.0,0.0
TEXTRON SYSTEMS,SP074005M3810,no,PURCHASE ORDER,2005-03-30,2005-03-30,0.0,0.0
TEXTRON SYSTEMS,0004,no,DELIVERY ORDER,2005-07-22,2005-07-22,0.0,0.0
TEXTRON SYSTEMS,SP048003MB655,no,PURCHASE ORDER,2003-07-03,2003-07-03,0.0,0.0
TEXTRON SYSTEMS,SPE4A413V4467,no,PURCHASE ORDER,2013-02-13,2013-02-13,0.0,0.0
TEXTRON SYSTEMS,SPM7MC10M5184,no,PURCHASE ORDER,2010-06-25,2010-06-25,0.0,0.0
TEXTRON SYSTEMS,SPE7M019P3623,no,PURCHASE ORDER,2019-08-06,2019-08-06,0.0,0.0
TEXTRON SYSTEMS,SPE4A619P6234,no,PURCHASE ORDER,2019-01-09,2019-01-09,0.0,0.0
TEXTRON SYSTEMS,SPM5A610M1094,no,PURCHASE ORDER,2010-09-10,2010-09-10,0.0,0.0
TEXTRON SYSTEMS,SPM7M109M4574,no,PURCHASE ORDER,2009-04-17,2009-04-17,0.0,0.0
TEXTRON SYSTEMS,SPM4A608M5082,no,PURCHASE ORDER,2008-01-10,2008-01-10,0.0,0.0
TEXTRON SYSTEMS,W911S804M0115,no,PURCHASE ORDER,2004-01-23,2004-01-23,0.0,0.0
TEXTRON SYSTEMS,SPE4A619F7440,no,DELIVERY ORDER,2018-12-21,2018-12-21,0.0,0.0
TEXTRON SYSTEMS,SPE7L218P0630,no,PURCHASE ORDER,2018-04-06,2018-04-06,0.0,0.0
TEXTRON SYSTEMS,SPE4A619P1281,no,PURCHASE ORDER,2018-10-17,2018-10-17,0.0,0.0
TEXTRON SYSTEMS,SPE7M318P4301,no,PURCHASE ORDER,2018-05-24,2018-05-24,0.0,0.0
TEXTRON SYSTEMS,SPE7L318P6813,no,PURCHASE ORDER,2018-05-21,2018-05-21,0.0,0.0
TEXTRON SYSTEMS,SPE7MC18P0125,no,PURCHASE ORDER,2017-10-05,2017-10-05,0.0,0.0
TEXTRON SYSTEMS,N0010418PCC71,no,PURCHASE ORDER,2018-03-30,2018-03-30,0.0,0.0
TEXTRON SYSTEMS,SPE7M018P2636,no,PURCHASE ORDER,2018-04-16,2018-04-16,0.0,0.0
TEXTRON SYSTEMS,SPE4A617PN188,no,PURCHASE ORDER,2017-09-25,2017-09-25,0.0,0.0
TEXTRON SYSTEMS,N0010417PXA50,no,PURCHASE ORDER,2017-01-18,2017-01-18,0.0,0.0
TEXTRON SYSTEMS,N0010416PCD27,no,PURCHASE ORDER,2016-06-23,2016-06-23,0.0,0.0
TEXTRON SYSTEMS,SPE7L315M8557,no,PURCHASE ORDER,2015-12-08,2015-12-08,0.0,0.0
LEIDOS,47QTCA25D00CN,no,FSS,2025-07-15,2026-06-16,0.5,0.0
BOLLINGER,VA512A10188,no,PURCHASE ORDER,2011-03-30,2011-03-30,0.0,0.0
BOLLINGER,47QSHA19D000G,no,FSS,2018-10-19,2021-06-11,0.7,0.0
BOLLINGER,VA512A10514,no,PURCHASE ORDER,2011-09-08,2011-09-08,0.0,0.0
BOLLINGER,V512A60713,no,PURCHASE ORDER,2006-07-07,2006-07-07,0.0,0.0
BOLLINGER,V512A90229,no,PURCHASE ORDER,2009-05-13,2009-05-13,0.0,0.0
BOLLINGER,VA512A10282,no,PURCHASE ORDER,2011-06-13,2011-07-27,0.0,0.0
BOLLINGER,V512A00305,no,PURCHASE ORDER,2010-06-22,2010-06-22,0.0,0.0
BOLLINGER,V512A60521,no,PURCHASE ORDER,2006-04-25,2006-04-25,0.0,0.0
BOLLINGER,VA512A10406,no,PURCHASE ORDER,2011-08-25,2011-08-25,0.0,0.0
BOLLINGER,V512A00213,no,PURCHASE ORDER,2010-03-11,2010-03-11,0.0,0.0
BOLLINGER,VA24512P0653,no,PURCHASE ORDER,2012-02-23,2013-03-06,0.0,0.0
BOLLINGER,V512A60571,no,PURCHASE ORDER,2006-05-16,2006-05-16,0.0,0.0
BOLLINGER,V512A60450,no,PURCHASE ORDER,2006-04-05,2006-04-05,0.0,0.0
BOLLINGER,36C25720P1391,no,PURCHASE ORDER,2020-09-30,2020-09-30,0.0,0.0
AUSTAL USA,N5005415P0015,no,PURCHASE ORDER,2015-04-14,2015-04-14,0.0,0.0
AUSTAL USA,N5523622P0032,no,PURCHASE ORDER,2022-01-18,2022-02-03,0.0,0.0
AUSTAL USA,N0016722P0028,no,PURCHASE ORDER,2022-01-13,2022-01-13,0.0,0.0
AUSTAL USA,N5523620F0116,no,DELIVERY ORDER,2019-12-13,2019-12-13,0.0,0.0
AUSTAL USA,N5523621P0175,no,PURCHASE ORDER,2021-09-23,2021-09-23,0.0,0.0
AUSTAL USA,N6817122P0142,no,PURCHASE ORDER,2022-05-10,2022-05-10,0.0,0.0
AUSTAL USA,N5523619P0039,no,PURCHASE ORDER,2019-02-08,2019-02-08,0.0,0.0
AUSTAL USA,SPE7L123P2532,no,PURCHASE ORDER,2022-12-22,2024-03-12,0.0,0.0
AUSTAL USA,N5523624P0011,no,PURCHASE ORDER,2024-01-03,2024-01-11,0.0,0.0
AUSTAL USA,SPE7L323P7737,no,PURCHASE ORDER,2023-09-14,2024-03-12,0.0,0.0
AUSTAL USA,N5523619D0012,no,IDC,2019-09-30,2019-09-30,0.2,0.0
AUSTAL USA,N5005425P0391,no,PURCHASE ORDER,2025-09-04,2025-09-04,0.0,0.0
AUSTAL USA,N5523619P0043,no,PURCHASE ORDER,2019-02-22,2019-02-22,0.0,0.0
AUSTAL USA,N5523625P0031,no,PURCHASE ORDER,2025-01-31,2025-01-31,0.0,0.0
AUSTAL USA,N5005422P0130,no,PURCHASE ORDER,2022-05-18,2022-05-18,0.0,0.0
AUSTAL USA,N5523620F0133,no,DELIVERY ORDER,2019-12-19,2019-12-19,0.0,0.0
AUSTAL USA,N5523619F0572,no,DELIVERY ORDER,2019-09-30,2019-09-30,0.0,0.0
AUSTAL USA,N5523621P0068,no,PURCHASE ORDER,2021-02-26,2021-02-26,0.0,0.0
AUSTAL USA,SPE4A726P1882,no,PURCHASE ORDER,2025-11-03,2025-11-03,0.0,0.0
AUSTAL USA,SPE7M026V2697,no,PURCHASE ORDER,2026-03-18,2026-03-18,0.0,0.0
AUSTAL USA,SPE4A625V508R,no,PURCHASE ORDER,2025-08-07,2025-08-07,0.0,0.0
AUSTAL USA,SPE4A125P1463,no,PURCHASE ORDER,2025-06-11,2025-06-11,0.0,0.0
AUSTAL USA,SPE4A625PZ056,no,PURCHASE ORDER,2024-10-22,2024-10-22,0.0,0.0
AUSTAL USA,N4034524F0509,no,DELIVERY ORDER,2024-07-15,2024-07-15,0.0,0.0
AUSTAL USA,N3220521F0001,no,DELIVERY ORDER,2020-10-01,2020-10-01,0.0,0.0
AUSTAL USA,SPRMM122PYA45,no,PURCHASE ORDER,2024-08-22,2024-08-22,0.0,0.0
AUSTAL USA,SPRMM120VYA45,no,PURCHASE ORDER,2024-06-05,2024-06-05,0.0,0.0
