action_date,war_gov_id,source_url,piid,in_scope_ddg_piid,amount_usd,prime,prime_location,expected_completion,pop_biw_site_pct,pop_ingalls_site_pct,pop_other_us_pct,pop_foreign_pct,pop_locations_detail,paragraph_text,program_primary,program_all,work_type_primary,work_type_all,work_type_ambiguous,is_ddg_new_construction_tam,program_refined,ddg_relevance
2025-01-21,4035485,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4035485.htm,N00024-25-F-5319,no,8808973,L-3 Harris Technologies Inc.,"Northampton, Massachusetts",April 2027,0.0,0.0,71.0,0.0,"Work will be performed in Northampton, Massachusetts 55% | Moonachie, New Jersey 8% | Keene, New Hampshire 5% | Radford, Virginia 3%","L-3 Harris Technologies Inc., Northampton, Massachusetts, is awarded an $8,808,973 fixed-price-incentive order under previously awarded blanket ordering agreement N00024-24-G-5317 for the procurement of spares for the MK 20 Electro-Optical Sensor System (EOSS), MK 46 Optical Sight System (OSS), and associated the MK 48 and MK 34 Gun Weapon Systems. This contract includes options which, if exercised, would bring the cumulative value of this order to $9,815,050. Work will be performed in Northampton, Massachusetts (55%); Orlando Florida (29%); Moonachie, New Jersey (8%); Keene, New Hampshire (5%); and Radford, Virginia (3%), and is expected to be completed by April 2027. If all options are exercised, work will continue through June 2028. Fiscal 2024 other procurement (Navy) funds in the amount of $8,808,973 will be obligated at time of award and will not expire at the end of the current fiscal year. This order was not competitively procured in accordance with 10 U.S. Code 3204(a)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-25-F-5319).",ddg_gfe_weapons,ddg_gfe_weapons,other,,,no,ddg_gfe_weapons,borderline
2025-01-22,4037103,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4037103.htm,,no,29880000,General Dynamics Electric Boat Corp.,"Groton, Connecticut",December 2026,0.0,0.0,100.0,0.0,"Vancouver, Washington 100% [parsed from single-site]","General Dynamics Electric Boat Corp., Groton, Connecticut, is awarded a $29,880,000 undefinitized contract action under previously awarded contract N00024-24-C-2124 in support of procurement of long lead time material for the USS Ohio Class Drydock Seismic Stability System. Work will be performed in Vancouver, Washington, and is expected to be completed by December 2026. Fiscal 2024 other procurement (Navy) funds in the amount of $14,940,000 will be obligated at time of award and will not expire at the end of the current fiscal year. Supervisor of Shipbuilding Conversion and Repair, Groton, Connecticut, is the contracting activity.",sub_other,sub_other,lltm_early_mfg,lltm_early_mfg,,no,non_ddg,no
2025-01-24,4040498,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4040498.htm,N00024-12-C-2115,no,51664912,,,,0.0,0.0,100.0,0.0,"Work will be performed in Newport News, Virginia 98% | Groton, Connecticut 2%","General Dynamics Electric Boat Corp., Groton, Connecticut, is being awarded a $51,664,912 cost-plus-fixed-fee modification to a previously awarded contract (N00024-12-C-2115) for planning and execution of USS New Jersey (SSN 796) post-delivery work period. Work will be performed in Newport News, Virginia (98%); and Groton, Connecticut (2%), and is expected to be completed by Oct. 21, 2025. Fiscal 2025 shipbuilding and conversion (Navy) funds in the amount of $8,000,000 will be obligated at the time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured. The statutory authority for this sole source award is in accordance with Federal Acquisition Regulation 6.302-1(a)(2)(iii) - Only one responsible source and no other supplies or services will satisfy agency requirements. The Supervisor of Shipbuilding Conversion and Repair, Groton, Connecticut, is the contracting activity.",va,va;sub_other,other,,,no,non_ddg,no
2025-01-24,4040498,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4040498.htm,N00024-25-C-4427,no,23323644,,,May 2026,0.0,0.0,100.0,0.0,"Norfolk, Virginia 100% [parsed from single-site]","General Dynamics NASSCO, Norfolk, Virginia, is being awarded a $23,323,644 modification to exercise options on a previously awarded contract (N00024-25-C-4427) for the USS Porter (DDG-78) Fiscal 2025 Extended Dry-dock Selected Restricted Availability (EDSRA). Work will be performed in Norfolk, Virginia, and is expected to be completed by May 2026. Fiscal 2025 other procurement (Navy) funds in the amount of $23,323,644 will be obligated at time of award and will not expire at the end of the current fiscal year. Mid-Atlantic Regional Maintenance Center, Norfolk, Virginia, is the contracting activity.",ddg51,ddg51,repair_overhaul,sustainment_maintenance;repair_overhaul,Y,no,ddg_repair,yes_sustainment
2025-01-24,4040498,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4040498.htm,N00024-24-C-5105,no,12010982,Lockheed Martin Rotary and Mission Systems,"Moorestown, New Jersey",January 2026,0.0,15.0,85.0,0.0,"Work will be performed in Moorestown, New Jersey 22% | San Diego, California 17% | Pascagoula, Mississippi 15% | Newport News, Virginia 15% | Norfolk, Virginia 15% | Virginia Beach, Virginia 11% | Washington, D.C. 5%","Lockheed Martin Rotary and Mission Systems, Moorestown, New Jersey, was awarded a $12,010,982 cost-plus-fixed-fee and cost only modification to previously awarded contract N00024-24-C-5105 to exercise option items supporting the Ship Self-Defense System, combat system ship integration, and test. Work will be performed in Moorestown, New Jersey (22%); San Diego, California (17%); Pascagoula, Mississippi (15%); Newport News, Virginia (15%); Norfolk, Virginia (15%); Virginia Beach, Virginia (11%); and Washington, D.C. (5%), and is expected to be completed by January 2026. Fiscal 2025 other procurement (Navy) funds in the amount of $762,620 (77%); and fiscal 2018 shipbuilding and conversion (Navy) funds in the amount of $222,267 (23%), will be obligated at time of award and will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-24-C-5105).",ddg_gfe_combat_systems,ddg_gfe_combat_systems,component_procurement,,,yes,ddg_gfe_aegis,yes_supplier_or_gfe
2025-01-24,4040498,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4040498.htm,N00024-25-C-6113,no,9265787,,,December 2029,0.0,0.0,100.0,0.0,"Work will be performed in Fall River, Massachusetts 90% | Arlington, Virginia 5% | San Diego, California 3% | Mt. Laurel, New Jersey 2%","Innovative Defense Technologies,* Arlington, Virginia, was awarded a $9,265,787 cost-plus-fixed-fee and cost contract for Navy engineering design, development, and supporting material and travel for Sound Navigation and Ranging systems (SONAR). This contract includes options which, if exercised, would bring the cumulative value of this contract to $49,184,195. Work will be performed in Fall River, Massachusetts (90%); Arlington, Virginia (5%); San Diego, California (3%); and Mt. Laurel, New Jersey (2%), and is expected to be completed by December 2029. Fiscal 2025 research, development, test and evaluation (Navy) funds in the amount of $2,402,000 will be obligated at time of award and will not expire at the end of the current fiscal year. This contract was not competitively in accordance with 15 U.S. Code 638(r)(4). The Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-25-C-6113).",unknown,,design,design;engineering,Y,no,non_ddg,no
2025-01-29,4047048,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4047048.htm,,no,9165174,,,April 2027,30.0,0.0,70.0,0.0,"Work will be performed in Mayport, Florida 70% | Bath, Maine 30%","General Dynamics, Bath Iron Works, Bath, Maine, is awarded a $9,165,174 cost-plus-award-fee order (N6278625F0003) against the previously awarded basic ordering agreement N00024-25-G-2305 to provide planning, management, and emergent availability support for USS Harvey C. Barnum Jr. (DDG 124). Work will be performed in Mayport, Florida (70%); and Bath, Maine (30%), and is expected to be completed by April 2027. Funding in the amount of $8,588,730 will be obligated at time of award. Fiscal 2022 shipbuilding and conversion (Navy) funds in the amount of $8,588,730 (94%) will be obligated at time of award and will not expire at the end of the current fiscal year. The Supervisor of Shipbuilding, Conversion, and Repair, Bath, Maine, is the contracting activity.",ddg51,ddg51,construction,sustainment_maintenance,,yes,ddg51,yes_new_construction
2025-01-31,4049800,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4049800.htm,,no,11152002,Sechan Electronics Inc.,"Lititz, Pennsylvania",January 2027,0.0,0.0,100.0,0.0,"Decoy Launch Message Convertor subassembly. Work will be performed in Lititz, Pennsylvania 79% | Upper Marlboro, Maryland 21%","Sechan Electronics Inc., Lititz, Pennsylvania, is awarded an $11,152,002 firm-fixed price modification to previously awarded contract N00024-23-C-5535 for the option exercise of the production of the Nulka MK 53 Decoy Launch System and MK 54 Decoy Launch Message Convertor subassembly. Work will be performed in Lititz, Pennsylvania (79%); and Upper Marlboro, Maryland (21%), and is expected to be completed by January 2027. Fiscal 2024 shipbuilding and conversion (Navy) funds in the amount of $4,560,868 (41%); fiscal 2025 shipbuilding and conversion (Navy) funds in the amount of $2,923,628 (26%); fiscal 2024 other procurement (Navy) funds in the amount of $1,637,086 (15%); fiscal 2025 other procurement (Navy) funds in the amount of $1,015,210 (9%); and fiscal 2023 shipbuilding and conversion (Navy) funds in the amount of $1,015,210 (9%), will be obligated at the time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg_gfe_weapons,ddg_gfe_weapons,other,,,no,ddg_gfe_weapons,borderline
2025-02-03,4051668,https://www.globalsecurity.org/military/library/news/2025/02/dod-contracts_4051668.htm,N00024-25-D-6211,no,551012019,Lockheed Martin Rotary and Mission Systems,"Syracuse, New York",January 2030,0.0,0.0,100.0,0.0,"Syracuse, New York 100% [parsed from single-site]","Lockheed Martin Rotary and Mission Systems, Syracuse, New York, is awarded a $551,012,019 cost-plus-incentive-fee, fixed-price incentive (firm-target), and firm-fixed-price, indefinite-delivery/indefinite-quantity contract for engineering and technical support and production of the submarine AN/BLQ-10 electronic warfare systems on new-construction and in-service submarines. This contract includes options which, if exercised, would bring the cumulative value of this contract to $1,365,790,743. Work will be performed in Syracuse, New York, and is expected to be completed by January 2030. Fiscal 2025 shipbuilding and conversion (Navy) funds in the amount of $2,000,000 will be obligated to satisfy the minimum guarantee and begin engineering efforts under delivery order N00024-25-F-6260 and the funds will not expire at the end of the current fiscal year. The requirement was competitively procured through full and open competition via System for Award Management (SAM.gov) with one offer received in response to this solicitation. Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-25-D-6211).",sub_other,sub_other,engineering,engineering,,no,non_ddg,no
2025-02-03,4051668,https://www.globalsecurity.org/military/library/news/2025/02/dod-contracts_4051668.htm,,no,75125477,Raytheon Co.,"Tucson, Arizona",March 2028,0.0,0.0,100.0,0.0,"Tucson, Arizona 100% [parsed from single-site]","Raytheon Co., Tucson, Arizona, is awarded a $75,125,477 cost-plus-fixed-fee modification to previously awarded contract N00024-23-C-5410 to exercise options for Standard Missiles 2 and 6 (SM-2/6) engineering and technical support. Work will be performed in Tucson, Arizona, and is expected to be completed by March 2028. Fiscal 2024 research, development, test, and evaluation (Navy) funds in the amount of $21,754,175 (76%); fiscal 2025 research, development, test, and evaluation (Navy) funds in the amount of $2,782,000 (10%); fiscal 2024 weapons procurement (Navy) funds in the amount of $2,683,000 (9%); Foreign Military Sales (FMS) (Spain) funds in the amount of $581,500 (2%); FMS (Netherlands) funds in the amount of $553,500 (2%); and FMS (Germany) funds in the amount of $398,400 (1%), will be obligated at time of award, of which, $21,754,175 will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg_gfe_weapons,ddg_gfe_weapons,fms,fms;engineering,Y,no,ddg_gfe_weapons,borderline
