generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_W91QEX22P0040_9700_-NONE-_-NONE-,W91QEX22P0040,BRUNSWICK CORP,73526.36,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '2895', 'description': 'MISCELLANEOUS ENGINES AND COMPONENTS'}",2022-09-16,2023-02-23,yes,naics:336611,naics:336611,ENGINE SPARE PARTS
CONT_AWD_W912JB15C9000_9700_-NONE-_-NONE-,W912JB15C9000,FOGG TOWING & MARINE LLC,73387.5,DCA,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Air Force,"{'code': '483113', 'description': 'COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2015-05-27,2015-06-26,yes,psc:2090,psc:2090,IGF::OT::IGF: TRANSPORT OF MAVERICK MISSILE TARGETS
CONT_AWD_W912P725P0013_9700_-NONE-_-NONE-,W912P725P0013,BAY SHIP & YACHT CO,73386.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2025-04-21,2025-10-23,yes,naics:336611,naics:336611,MAIN ENGINE MOUNT BRACKET SWAP
CONT_AWD_W912EK15P0120_9700_-NONE-_-NONE-,W912EK15P0120,ILLINOIS MARINE TOWING INC,73250.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2015-06-04,2015-09-30,yes,naics:336611,naics:336611,IGF::OT::IGF DRY DOCK THE M/V LASALLE FOR KEEL REPAIR FOR ILWW IN PEORIA IL 61603
CONT_AWD_W912EQ22P0017_9700_-NONE-_-NONE-,W912EQ22P0017,"VALLIANT INDUSTRIES, INC.",73100.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '333618', 'description': 'OTHER ENGINE EQUIPMENT MANUFACTURING'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2022-01-20,2022-02-28,yes,psc:2090,psc:2090,"2 DETROIT 8V92 MARINE ENGINES, TRANSMISSIONS FOR MV GRETNA"
CONT_AWD_W912EK24P0058_9700_-NONE-_-NONE-,W912EK24P0058,ILLINOIS MARINE TOWING INC,72963.42,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'S202', 'description': 'HOUSEKEEPING- FIRE PROTECTION'}",2024-08-02,2026-08-01,yes,naics:336611,naics:336611,ILWW NEW FLEET FIRE SERVICE
CONT_AWD_W912QR18P0125_9700_-NONE-_-NONE-,W912QR18P0125,STEVEN C. WESTELL,72905.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2018-09-17,2018-09-30,yes,naics:336612; psc:1940,naics:336612; psc:1940,PATROL BOAT FOR MONROE LAKE
CONT_AWD_W912EE22P0041_9700_-NONE-_-NONE-,W912EE22P0041,PKJ INTERNATIONAL LLC,72695.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '326291', 'description': 'RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE'}","{'code': '2090', 'description': 'MISCELLANEOUS SHIP AND MARINE EQUIPMENT'}",2022-07-01,2022-09-30,yes,psc:2090,psc:2090,D-SHAPED RUBBER BUMPER
CONT_AWD_W912CN21P0021_9700_-NONE-_-NONE-,W912CN21P0021,SHAKA ENGINEERING INC,72580.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J020', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT'}",2021-05-19,2021-06-15,yes,naics:336611,naics:336611,LSV-3 STERN ANCHOR CABLE REPLACEMENT
CONT_AWD_W912HZ23P0096_9700_-NONE-_-NONE-,W912HZ23P0096,"GREENSEA SYSTEMS, INC.",72450.0,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '334511', 'description': 'SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2023-08-02,2023-09-30,yes,psc:1940,psc:1940,CRAWLER MOTOR UPGRADES
CONT_AWD_W9127820P0107_9700_-NONE-_-NONE-,W9127820P0107,"SHARK TECH, LLC",72196.24,PURCHASE ORDER,contract,Department of Defense,Department of the Army,Corps of Engineers - Civil Works,U.S. Army Corps of Engineers - Civil Program Financing Only,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J019', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS'}",2020-04-15,2020-05-16,yes,naics:336611,naics:336611,"DRY DOCK REPAIR, S/V DAMRELL"
CONT_AWD_W912P819C0046_9700_-NONE-_-NONE-,W912P819C0046,"PONTCHARTRAIN PARTNERS, LLC",72108.3,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': 'J020', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIP AND MARINE EQUIPMENT'}",2019-06-10,2019-07-27,yes,naics:336611,naics:336611,DRYDOCK FOR TOWBOAT KENT REPAIRS
CONT_AWD_W912P419F0010_9700_GS07F069DA_4732,W912P419F0010,"LAKE ASSAULT BOATS, LLC",72040.0,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2019-02-22,2019-06-22,yes,naics:336612; psc:1940,naics:336612; psc:1940,VESSEL
